Round,Cid,Size of parameters,Loss,Accuracy
1,25,89592,2.316855162382126,0.0
1,30,89592,2.4963911175727844,0.001953125
1,2,89592,2.403700883047921,0.0
1,15,89592,3.150605641878568,0.0
1,23,89592,2.3257428805033364,0.28125
1,18,89592,1.8662006974220275,0.4
1,32,89592,2.3494848838219275,0.0829326923076923
1,31,89592,2.4361510927026924,0.22632575757575757
1,11,89592,2.4076078029779286,0.0
1,26,89592,2.8490824699401855,0.0
1,29,89592,1.6522753238677979,0.3229166666666667
1,22,89592,2.7558594226837156,0.0
1,3,89592,2.8795694510142007,0.0
1,33,89592,2.504069677988688,0.0
1,27,89592,2.091187040011088,0.14375
1,4,89592,2.468750645716985,0.3072916666666667
1,8,89592,1.7849233606282402,0.36580882352941174
1,13,89592,2.08822543753518,0.15104166666666666
1,14,89592,2.236948675579495,0.08333333333333333
1,10,89592,2.8043274879455566,0.2138671875
1,7,89592,1.6317562262217205,0.45
1,21,89592,2.4941239595413207,0.2421875
1,20,89592,3.2294215261936188,0.0
1,19,89592,3.411283470335461,0.0
1,17,89592,2.271777093410492,0.0
1,12,89592,2.808053159713745,0.0
1,16,89592,2.2264818251132965,0.05078125
1,5,89592,2.11025158315897,0.0830078125
1,6,89592,2.36910446758928,0.0
1,28,89592,1.8824580357624934,0.29086538461538464
1,9,89592,2.8681453267733255,0.009548611111111112
1,24,89592,2.8644152198519026,0.022321428571428572
1,1,89592,2.489882971111097,0.04111842105263158
1,34,89592,3.2082991925152866,0.018465909090909092
1,0,89592,3.258049170176188,0.0
2,13,89592,2.1685700151655407,0.03298611111111111
2,26,89592,2.57347164551417,0.08333333333333333
2,20,89592,3.6087262630462646,0.0
2,17,89592,1.8293444067239761,0.21875
2,19,89592,1.1705814259392875,0.9136904761904762
2,22,89592,1.5307600259780885,0.5
2,16,89592,2.316626489162445,0.0
2,9,89592,2.747341904375288,0.171875
2,29,89592,2.095698356628418,0.0
2,33,89592,2.6358669916788737,0.0
2,34,89592,2.1880862441929905,0.40625
2,14,89592,2.4423992236455283,0.003472222222222222
2,15,89592,3.5862477926107554,0.0
2,8,89592,2.622718930244446,0.0027573529411764708
2,5,89592,2.2110283076763153,0.0029296875
2,31,89592,2.1441690090930825,0.26136363636363635
2,32,89592,2.4260255923637977,0.0
2,24,89592,3.0250292250088284,0.0
2,30,89592,2.7329693883657455,0.009765625
2,18,89592,2.8615421414375306,0.0
2,11,89592,2.4233464277707615,0.002403846153846154
2,27,89592,1.9824795722961426,0.004166666666666667
2,25,89592,2.2853094935417175,0.0
2,21,89592,2.1553433537483215,0.365625
2,7,89592,2.4849939187367758,0.0020833333333333333
2,23,89592,1.7123724222183228,0.3828125
2,12,89592,2.9281318823496503,0.0
2,3,89592,3.0286549613589333,0.0
2,0,89592,3.6482781569163003,0.0
2,28,89592,2.3502464386133046,0.0
2,4,89592,2.2463052570819855,0.4010416666666667
2,1,89592,2.802452978334929,0.001644736842105263
2,6,89592,2.2794546587713835,0.0021551724137931034
2,10,89592,2.0463646687567234,0.5126953125
2,2,89592,2.0273851019995552,0.11517857142857142
3,20,89592,2.9923518300056458,0.0
3,21,89592,1.8151413023471832,0.3625
3,4,89592,1.7281931738058727,0.3984375
3,18,89592,2.490569698810577,0.0
3,0,89592,3.022456149260203,0.0
3,6,89592,2.516768504833353,0.0
3,27,89592,2.2791751543680827,0.0
3,17,89592,2.4819955229759216,0.2109375
3,7,89592,2.297408850987752,0.004166666666666667
3,30,89592,2.678040489554405,0.0
3,15,89592,3.183189795567439,0.0
3,34,89592,1.7382905808362095,0.4005681818181818
3,25,89592,2.7541661262512207,0.0
3,31,89592,1.8467739964976455,0.2604166666666667
3,1,89592,2.7366560509330347,0.0
3,11,89592,2.5763583916884203,0.0
3,2,89592,2.5968580995287214,0.1125
3,13,89592,2.7768407662709556,0.03298611111111111
3,10,89592,1.548381395637989,0.5078125
3,23,89592,1.8945140540599823,0.3880208333333333
3,3,89592,2.865645272391183,0.0
3,32,89592,2.8272495086376486,0.0
3,19,89592,1.2713387863976615,0.9107142857142857
3,9,89592,2.446389271153344,0.1736111111111111
3,22,89592,1.9260974645614624,0.50625
3,33,89592,3.112703053156535,0.0
3,29,89592,2.539100964864095,0.0
3,8,89592,2.4688641534132114,0.0009191176470588235
3,5,89592,2.6292263716459274,0.0009765625
3,16,89592,3.231536954641342,0.0
3,28,89592,2.2168319133611827,0.002403846153846154
3,24,89592,2.617843134062631,0.0
3,12,89592,2.970976209640503,0.0
3,14,89592,2.61228781276279,0.0
3,26,89592,2.3924417429500155,0.08506944444444445
4,33,89592,3.6362656593322753,0.0
4,4,89592,2.3060314456621804,0.16145833333333334
4,16,89592,4.466187357902527,0.0
4,21,89592,3.013974893093109,0.0078125
4,29,89592,3.4418501059214273,0.3020833333333333
4,17,89592,1.0080280900001526,0.7890625
4,34,89592,3.0598156452178955,0.011363636363636364
4,30,89592,1.2299931570887566,0.478515625
4,13,89592,4.227662762006124,0.0
4,23,89592,3.5646014412244162,0.0026041666666666665
4,14,89592,2.8197970257865057,0.24131944444444445
4,26,89592,3.121299578083886,0.006076388888888889
4,9,89592,1.6377550330426958,0.2204861111111111
4,19,89592,1.9450195687157767,0.12053571428571429
4,11,89592,1.7982438711019664,0.6394230769230769
4,8,89592,3.059634341913111,0.234375
4,12,89592,3.621227502822876,0.0
4,5,89592,2.3313197009265423,0.4169921875
4,28,89592,2.8020061346200795,0.21995192307692307
4,18,89592,3.7597581505775453,0.0
4,2,89592,2.910404246194022,0.2294642857142857
4,10,89592,2.7423670142889023,0.0166015625
4,6,89592,1.9966105387128632,0.3760775862068966
4,24,89592,3.276168780667441,0.0
4,22,89592,1.3999460220336915,0.50625
4,20,89592,2.5882889330387115,0.0
4,7,89592,2.822324752807617,0.31666666666666665
4,25,89592,3.8704001009464264,0.0
4,27,89592,3.1736686706542967,0.125
4,1,89592,2.0038337080102218,0.2779605263157895
4,0,89592,2.661876598993937,0.0
4,15,89592,2.3446026948782115,0.0
4,32,89592,4.202365425916819,0.0
4,3,89592,2.804413398106893,0.0
4,31,89592,2.933503663901127,0.010416666666666666
5,16,89592,2.0899138897657394,0.0
5,22,89592,2.9351558685302734,0.0
5,20,89592,1.5908506363630295,0.734375
5,0,89592,1.6566766301790874,0.7213541666666666
5,12,89592,2.1452463308970136,0.25625
5,4,89592,3.157892386118571,0.049479166666666664
5,30,89592,1.7941809222102165,0.091796875
5,19,89592,3.581432808013189,0.0
5,14,89592,2.634488476647271,0.029513888888888888
5,18,89592,2.634036862850189,0.0046875
5,23,89592,3.5845405062039695,0.0
5,25,89592,2.921680599451065,0.03515625
5,33,89592,1.7876513401667278,0.06666666666666667
5,1,89592,1.8083766573353817,0.10032894736842106
5,5,89592,2.4355718940496445,0.0009765625
5,11,89592,2.6885407887972317,0.01201923076923077
5,3,89592,1.9434460458301364,0.5163690476190477
5,26,89592,2.687516060140398,0.03993055555555555
5,6,89592,2.4386458479124924,0.032327586206896554
5,32,89592,2.71686891409067,0.0
5,7,89592,2.9490060806274414,0.0020833333333333333
5,27,89592,3.085986264546712,0.0
5,29,89592,3.135688384373983,0.0
5,17,89592,2.406669110059738,0.0
5,15,89592,1.145953962436089,0.8485576923076923
5,28,89592,2.995145421761733,0.0
5,24,89592,2.6621576803071156,0.2734375
5,21,89592,3.4106206059455872,0.0
5,8,89592,2.6882376320221844,0.0027573529411764708
5,10,89592,3.5725011005997658,0.0
5,9,89592,1.979763087299135,0.20833333333333334
5,13,89592,2.699625704023573,0.001736111111111111
5,31,89592,3.3199204965071245,0.0
5,34,89592,3.736320278861306,0.0
5,2,89592,2.63708940914699,0.0008928571428571428
6,11,89592,2.2101617593031664,0.5685096153846154
6,32,89592,3.116810706945566,0.0
6,12,89592,2.904141982396444,0.0
6,14,89592,2.5555305216047497,0.19791666666666666
6,7,89592,2.2648397286732993,0.26666666666666666
6,20,89592,2.656747281551361,0.0
6,0,89592,2.762887458006541,0.0
6,19,89592,0.9971014147713071,0.7946428571428571
6,17,89592,1.0417505577206612,0.88671875
6,25,89592,2.978320986032486,0.0
6,21,89592,2.015648418664932,0.284375
6,33,89592,2.41945637067159,0.0
6,31,89592,2.0809673793388135,0.19507575757575757
6,10,89592,1.891469482332468,0.40234375
6,9,89592,1.6821608510282304,0.3168402777777778
6,16,89592,2.7003987431526184,0.0
