Round,Cid,Size of parameters,Loss,Accuracy
1,31,89592,3.1025196313858032,0.0
1,30,89592,1.4812333072934831,0.8125
1,15,89592,2.088876146536607,0.6274038461538461
1,26,89592,1.6339514785342746,0.6354166666666666
1,25,89592,1.9124253431955973,0.5875
1,5,89592,3.379192624773298,0.0
1,2,89592,2.6905554207888516,0.0
1,32,89592,3.150705282504742,0.0
1,18,89592,2.8732999254156044,0.0
1,11,89592,2.0218897660573325,0.3229166666666667
1,14,89592,2.5175870548595083,0.05397727272727273
1,27,89592,3.161858106481618,0.0
1,22,89592,2.0744291998091198,0.0
1,8,89592,2.0474169534795426,0.37316176470588236
1,29,89592,3.120853393308578,0.0
1,10,89592,2.6785213629404705,0.0
1,33,89592,2.695360494984521,0.0
1,3,89592,2.8713245689868927,0.0
1,13,89592,2.1006129105885822,0.390625
1,4,89592,2.635359151022775,0.0
1,7,89592,1.7695669054985046,0.0
1,20,89592,2.0585745498538017,0.5625
1,19,89592,2.0875636146914576,0.22278225806451613
1,17,89592,2.1754029487308704,0.25164473684210525
1,21,89592,3.280397715107087,0.0
1,34,89592,3.0465834617614744,0.0
1,23,89592,1.7919715813228063,0.0
1,16,89592,3.565659696405584,0.0
1,6,89592,3.3878703117370605,0.0
1,24,89592,3.1768677451393823,0.0
1,28,89592,2.4854649875475014,0.0
1,1,89592,1.7750655954534358,0.0014204545454545455
1,9,89592,2.42600040435791,0.3875
1,0,89592,1.7578462839126587,0.003125
1,12,89592,2.6324785692351207,0.0
2,31,89592,2.347396731376648,0.0
2,15,89592,1.994702513401325,0.3317307692307692
2,34,89592,1.6421830654144287,0.4625
2,26,89592,1.3678324619928997,0.6701388888888888
2,14,89592,1.2739178159020164,0.9289772727272727
2,16,89592,2.9004435539245605,0.0
2,22,89592,1.4276655798866635,0.7514880952380952
2,29,89592,2.35139121547822,0.0
2,20,89592,1.7660777419805527,0.275390625
2,17,89592,2.2051591371235095,0.13322368421052633
2,32,89592,1.841427981853485,0.2848557692307692
2,24,89592,2.121146483854814,0.0
2,30,89592,1.611093589237758,0.44642857142857145
2,33,89592,2.158732467227512,0.2282986111111111
2,18,89592,2.6422111016732677,0.0
2,13,89592,2.517968535423279,0.21041666666666667
2,19,89592,2.0338702547934746,0.125
2,5,89592,2.134095617703029,0.0
2,8,89592,1.967527985572815,0.4540441176470588
2,9,89592,1.9567209148406983,0.2
2,7,89592,1.5544079661369323,0.609375
2,21,89592,2.5031955088338544,0.0
2,23,89592,1.5600654823439462,0.5982142857142857
2,28,89592,2.056285215460736,0.4008152173913043
2,10,89592,2.3386603355407716,0.42083333333333334
2,25,89592,1.8792722622553508,0.30416666666666664
2,1,89592,2.1877103502100166,0.09517045454545454
2,3,89592,2.556649168332418,0.0
2,11,89592,1.8641571369436052,0.2829861111111111
2,4,89592,2.2845026424952914,0.18303571428571427
2,12,89592,2.491407479558672,0.0
2,2,89592,2.6613145849921485,0.0
2,6,89592,2.6143676673664764,0.0
2,27,89592,2.51382433134934,0.12607758620689655
2,0,89592,2.0298424402872723,0.0875
3,31,89592,2.48864738146464,0.0
3,10,89592,1.0013886173566182,0.4895833333333333
3,34,89592,2.0755102396011353,0.46875
3,30,89592,3.1992513111659457,0.0
3,7,89592,2.588928246498108,0.0
3,6,89592,3.317660177455229,0.0
3,4,89592,1.5493073889187403,0.3169642857142857
3,21,89592,2.9636526184697307,0.0
3,25,89592,3.070295063654582,0.01875
3,2,89592,2.7615561810406772,0.029829545454545456
3,20,89592,3.3527394235134125,0.0078125
3,13,89592,2.2901512304941813,0.04791666666666667
3,1,89592,2.2360730442133816,0.20738636363636365
3,11,89592,2.5770556529363,0.05381944444444445
3,32,89592,2.5506987250768223,0.3112980769230769
3,17,89592,2.7587847458688834,0.20394736842105263
3,27,89592,3.1577614915782006,0.1336206896551724
3,15,89592,3.757656354170579,0.0
3,18,89592,2.7041794812237776,0.037037037037037035
3,0,89592,1.12327738404274,0.5229166666666667
3,23,89592,2.542772855077471,0.017857142857142856
3,26,89592,2.2422631316714816,0.3506944444444444
3,16,89592,4.155955574729226,0.06534090909090909
3,8,89592,1.8542444986455582,0.3069852941176471
3,3,89592,3.3470985690752664,0.0
3,19,89592,2.125693267391574,0.1814516129032258
3,9,89592,3.1637229442596437,0.0
3,5,89592,3.435700229236058,0.0
3,14,89592,0.38974259116432886,0.9460227272727273
3,29,89592,2.526240994853358,0.0
3,24,89592,3.6886417757381094,0.0
3,33,89592,2.1930664016140833,0.24305555555555555
3,12,89592,2.6136692506926402,0.012276785714285714
3,28,89592,3.2402864435444707,0.0
3,22,89592,1.6768221230733962,0.37351190476190477
4,34,89592,1.8554498672485351,0.5125
4,14,89592,3.525660514831543,0.05397727272727273
4,5,89592,0.5290431209972927,0.8169642857142857
4,30,89592,0.533823332616261,0.8794642857142857
4,26,89592,1.5741032229529486,0.625
4,16,89592,3.766554355621338,0.07670454545454546
4,2,89592,1.7704451409253208,0.5710227272727273
4,4,89592,1.7348494018827165,0.29464285714285715
4,17,89592,1.8671401237186633,0.4917763157894737
4,23,89592,4.074149625641959,0.0
4,19,89592,1.1045788738035387,0.4576612903225806
4,28,89592,4.076038785602735,0.0
4,8,89592,1.5267508450676412,0.6121323529411765
4,9,89592,0.7128599286079407,0.755
4,12,89592,2.3471872423376356,0.10379464285714286
4,21,89592,1.9238785197657924,0.20665322580645162
4,33,89592,2.6487015353308783,0.12413194444444445
4,29,89592,1.3672238972879225,0.1905241935483871
4,13,89592,0.7473595937093099,0.8114583333333333
4,11,89592,1.5297256078985002,0.4114583333333333
4,6,89592,2.6179220956914566,0.027573529411764705
4,10,89592,2.152448280652364,0.39791666666666664
4,25,89592,0.4700130442778269,0.9229166666666667
4,18,89592,1.2631744830696672,0.6793981481481481
4,20,89592,0.38805868849158287,0.953125
4,1,89592,2.834990989078175,0.2528409090909091
4,24,89592,0.9867138889702883,0.7869318181818182
4,31,89592,1.4406864047050476,0.125
4,15,89592,1.7774610152611365,0.6057692307692307
4,7,89592,4.144651556015015,0.0
4,3,89592,3.042803297440211,0.08333333333333333
4,22,89592,3.916063274656023,0.0
4,27,89592,3.1187859074822786,0.1400862068965517
4,32,89592,1.359457220022495,0.6574519230769231
4,0,89592,1.418365518252055,0.4979166666666667
5,30,89592,3.6848646913255965,0.16071428571428573
5,26,89592,3.529234276877509,0.03819444444444445
5,4,89592,1.1318012390817915,0.5290178571428571
5,16,89592,2.1084744930267334,0.0
5,14,89592,2.032543019814925,0.09659090909090909
5,25,89592,2.940025313695272,0.29791666666666666
5,19,89592,1.7189134205541303,0.3911290322580645
5,5,89592,0.7465736653123584,0.8214285714285714
5,23,89592,2.3595798015594482,0.026785714285714284
5,22,89592,2.1398288692746843,0.05654761904761905
5,6,89592,1.1075171547777511,0.5422794117647058
5,3,89592,0.7996011972427368,0.69921875
5,1,89592,1.267493193799799,0.38920454545454547
5,20,89592,2.8356961011886597,0.32421875
5,12,89592,0.37364351536546436,0.9375
5,32,89592,1.1101993918418884,0.5757211538461539
5,0,89592,1.8039540608723958,0.01875
5,18,89592,0.902989266095338,0.7199074074074074
5,33,89592,0.7835299140877194,0.7526041666666666
5,11,89592,2.1314879622724323,0.3758680555555556
5,7,89592,2.405626344680786,0.040625
5,34,89592,1.276471209526062,0.4875
5,31,89592,0.3695913751920064,0.9427083333333334
5,17,89592,2.5542368763371517,0.003289473684210526
5,28,89592,2.258277452510336,0.02309782608695652
5,24,89592,0.6312467482956973,0.8238636363636364
5,2,89592,0.7926796241240068,0.7755681818181818
5,13,89592,2.4515639185905456,0.34479166666666666
5,29,89592,0.43807402157014413,0.9294354838709677
5,8,89592,2.6141179309171787,0.21691176470588236
5,15,89592,3.538326006669265,0.0
5,10,89592,1.525617241859436,0.38333333333333336
5,9,89592,2.124106149673462,0.51625
5,27,89592,1.373358574406854,0.44396551724137934
5,21,89592,0.8259040174945709,0.7288306451612904
6,17,89592,2.021092094873127,0.3355263157894737
6,7,89592,3.6935644865036013,0.0
6,34,89592,1.1284483671188354,0.5375
6,30,89592,2.095978243010385,0.20982142857142858
6,31,89592,0.425018772482872,0.953125
6,14,89592,2.316704338247126,0.005681818181818182
6,8,89592,2.1548658819759594,0.07169117647058823
6,10,89592,1.9447477340698243,0.08125
6,20,89592,1.6706381812691689,0.37109375
6,12,89592,1.079487464257649,0.6004464285714286
6,24,89592,0.4287621968171813,0.8366477272727273
6,25,89592,1.9048074245452882,0.24791666666666667
6,32,89592,0.8788185578126174,0.6478365384615384
6,19,89592,1.0414181313207072,0.6683467741935484
6,33,89592,1.202941260404057,0.5277777777777778
6,0,89592,1.0090339163939157,0.6604166666666667
6,21,89592,0.9044424131993325,0.7459677419354839
6,9,89592,1.0592534375190734,0.62
6,13,89592,2.0520419160525005,0.09166666666666666
6,11,89592,1.7687486112117767,0.4548611111111111
6,16,89592,2.874257716265592,0.09090909090909091
6,23,89592,3.657538890838623,0.0
6,4,89592,1.2144422445978438,0.5200892857142857
6,26,89592,2.6115538544125028,0.013888888888888888
6,15,89592,2.7946944603553185,0.026442307692307692
6,22,89592,3.1242436227344332,0.00744047619047619
6,5,89592,0.1066344968442406,0.9754464285714286
6,6,89592,1.6472251134760239,0.5147058823529411
6,2,89592,1.2743905972350726,0.4190340909090909
6,3,89592,1.6336369166771572,0.4309895833333333
6,1,89592,1.6917046796191821,0.4133522727272727
6,18,89592,1.1322383085886638,0.4699074074074074
6,27,89592,1.8476911207725262,0.3577586206896552
6,28,89592,3.447155351224153,0.0
6,29,89592,0.3204608674972288,0.9596774193548387
7,15,89592,1.520457964677077,0.5456730769230769
7,7,89592,2.595467185974121,0.1375
7,23,89592,2.4223390562193736,0.11830357142857142
7,31,89592,0.6125375231107076,0.8333333333333334
7,26,89592,0.7706064118279351,0.7916666666666666
7,5,89592,0.4951612949371338,0.84375
7,4,89592,0.5803076667445046,0.8080357142857143
7,10,89592,0.44865866700808205,0.89375
7,24,89592,0.43141447617249057,0.8267045454545454
7,18,89592,0.44535386120831527,0.8321759259259259
7,17,89592,1.5651059401662726,0.4917763157894737
7,28,89592,2.6572928117669146,0.07608695652173914
7,1,89592,1.6499418128620496,0.3494318181818182
7,2,89592,0.7145489142699675,0.7244318181818182
7,32,89592,0.3269988341400257,0.90625
7,13,89592,0.3428583338856697,0.925
7,33,89592,1.1809977723492517,0.5625
7,11,89592,0.9026689223117299,0.7361111111111112
7,19,89592,0.6952328624263886,0.7973790322580645
7,21,89592,1.3117291869655732,0.5483870967741935
7,20,89592,0.40107597783207893,0.908203125
7,14,89592,0.8484754399819807,0.7528409090909091
7,29,89592,0.7718443726339648,0.7328629032258065
7,25,89592,0.42538015445073446,0.9229166666666667
7,34,89592,0.4095475137233734,0.89375
7,6,89592,1.5393590927124023,0.5055147058823529
7,27,89592,2.0193580841195993,0.27370689655172414
7,9,89592,0.8740288519859314,0.7025
7,8,89592,0.5630093830473283,0.8566176470588235
7,16,89592,2.811719395897605,0.07670454545454546
7,3,89592,1.625206212202708,0.3997395833333333
7,12,89592,0.9231680312326976,0.6551339285714286
7,0,89592,1.0762420872847238,0.6354166666666666
7,22,89592,1.7996288992109752,0.37202380952380953
7,30,89592,0.7643179297447205,0.7991071428571429
8,34,89592,0.21861971616744996,0.98125
8,31,89592,0.62162846326828,0.859375
8,16,89592,3.783286853270097,0.06818181818181818
8,10,89592,0.2130095422267914,0.975
8,22,89592,1.1499987471671331,0.5758928571428571
8,6,89592,2.0179189022849586,0.5202205882352942
8,20,89592,1.0412459149956703,0.5859375
8,8,89592,0.8096172143431271,0.7113970588235294
8,2,89592,0.28171049668030307,0.9147727272727273
8,30,89592,1.6721809250967843,0.29464285714285715
8,28,89592,2.549313317174497,0.24456521739130435
8,27,89592,2.2196298673235137,0.36853448275862066
8,29,89592,0.7950291825879005,0.7318548387096774
8,9,89592,1.3645748949050904,0.45125
8,12,89592,0.4569391118628638,0.8850446428571429
8,32,89592,0.2009643273284802,0.96875
8,21,89592,1.5572374366944837,0.5423387096774194
8,11,89592,1.1490273310078516,0.5807291666666666
8,4,89592,0.492231799023492,0.8839285714285714
8,18,89592,0.2110384120433419,0.9467592592592593
8,7,89592,1.7847721576690674,0.328125
8,25,89592,1.0557538946469625,0.5791666666666667
8,23,89592,1.649623887879508,0.359375
8,26,89592,1.2866084575653076,0.5173611111111112
8,15,89592,2.6274931614215555,0.15865384615384615
8,17,89592,2.2956350539859973,0.32894736842105265
8,14,89592,0.4351025250825015,0.90625
8,1,89592,1.0995198298584332,0.6079545454545454
8,5,89592,0.5584864275796073,0.8035714285714286
8,24,89592,0.21197153289209714,0.9417613636363636
8,3,89592,1.4481214955449104,0.6315104166666666
8,19,89592,0.9990351584649855,0.6703629032258065
8,13,89592,0.739376840988795,0.721875
8,33,89592,0.7409563354319997,0.7439236111111112
8,0,89592,1.2132378458976745,0.615625
9,34,89592,0.4965520441532135,0.8125
9,31,89592,0.3575187598665555,0.90625
9,4,89592,0.3931026394878115,0.8973214285714286
9,26,89592,0.6401570240656534,0.7847222222222222
9,5,89592,0.9812363173280444,0.5870535714285714
9,7,89592,0.5908856093883514,0.8125
9,6,89592,1.0410970098832075,0.5422794117647058
9,24,89592,1.3493749120018699,0.45454545454545453
9,0,89592,0.3041802992423375,0.915625
9,21,89592,0.8374110191099106,0.6814516129032258
9,2,89592,1.5726122422651811,0.4715909090909091
9,12,89592,1.2810551758323396,0.6183035714285714
9,22,89592,0.3921320395810263,0.8779761904761905
9,1,89592,1.4095664539120414,0.5596590909090909
9,18,89592,1.2618593352812308,0.5752314814814815
9,32,89592,0.7020861128201852,0.7079326923076923
