Round,Cid,Size of parameters,Loss,Accuracy
1,2,92064,2.28929534639631,0.19375
1,15,92064,3.47032591012808,0.0
1,23,92064,2.3499892552693686,0.3359375
1,37,92064,2.818020757039388,0.225
1,42,92064,2.8734624862670897,0.1125
1,30,92064,2.0794577449560165,0.42578125
1,11,92064,2.2133025114352884,0.5516826923076923
1,26,92064,2.3671618236435785,0.0
1,25,92064,2.9388468861579895,0.0
1,32,92064,2.2551173797020545,0.09254807692307693
1,41,92064,1.8277773022651673,0.76875
1,6,92064,2.104162709466342,0.3297413793103448
1,35,92064,2.522984418002042,0.15198863636363635
1,28,92064,1.9098043671021094,0.31490384615384615
1,5,92064,1.8991892151534557,0.3642578125
1,31,92064,2.4675051949240943,0.0
1,0,92064,3.517456909020742,0.0
1,47,92064,1.9987442642450333,0.138671875
1,29,92064,1.8345754941304524,0.6145833333333334
1,22,92064,2.500600528717041,0.44375
1,19,92064,3.0444017251332602,0.07738095238095238
1,1,92064,2.0993067967264274,0.25493421052631576
1,18,92064,2.0211079120635986,0.0
1,16,92064,1.9398657977581024,0.078125
1,12,92064,2.675445540746053,0.0
1,9,92064,2.519583914015028,0.18489583333333334
1,38,92064,2.4402883894303264,0.2702205882352941
1,24,92064,3.063090775694166,0.0
1,7,92064,1.9022541840871174,0.475
1,49,92064,2.0697041898965836,0.0859375
1,43,92064,2.8711033344268797,0.0
1,20,92064,3.4976558685302734,0.0
1,8,92064,1.9539494935204,0.27849264705882354
1,14,92064,2.294455051422119,0.3298611111111111
1,3,92064,3.1051727476574125,0.0
1,36,92064,1.9813911489077978,0.0
1,13,92064,1.944220867421892,0.1909722222222222
1,4,92064,2.565035661061605,0.11979166666666667
1,40,92064,2.344766389239918,0.0
1,17,92064,2.1013523638248444,0.703125
1,34,92064,2.9744965488260444,0.0
1,21,92064,2.7392609238624575,0.0
1,48,92064,2.699831873178482,0.0
1,44,92064,1.8932556245062087,0.3663194444444444
1,27,92064,1.8712931791941325,0.2875
1,46,92064,2.0818547010421753,0.0
1,33,92064,2.108526182174683,0.0
1,39,92064,2.10783186379601,0.23713235294117646
1,45,92064,2.594309156591242,0.3053977272727273
1,10,92064,2.7951237857341766,0.0
2,29,89592,2.1264283657073975,0.0
2,22,89592,1.2082305431365967,0.50625
2,35,89592,2.518279108134183,0.08238636363636363
2,42,89592,1.8278115828831991,0.3729166666666667
2,47,89592,2.571247026324272,0.0
2,36,89592,3.001374534198216,0.0
2,31,89592,2.28104715275042,0.2604166666666667
2,30,89592,3.0417792350053787,0.009765625
2,17,89592,1.5533343404531479,0.21875
2,20,89592,3.7312744557857513,0.0
2,48,89592,1.500331516067187,0.4947916666666667
2,19,89592,0.8237178637867882,0.9136904761904762
2,10,89592,2.0908914618194103,0.5146484375
2,14,89592,2.7256882852978177,0.003472222222222222
2,32,89592,2.980133982805105,0.0
2,33,89592,3.3418808778127036,0.0
2,26,89592,3.095850818687015,0.08506944444444445
2,45,89592,2.6595844463868574,0.004261363636363636
2,34,89592,2.4245355996218594,0.40198863636363635
2,23,89592,1.6545409262180328,0.3880208333333333
2,16,89592,2.978708565235138,0.0
2,9,89592,3.015218814214071,0.17447916666666666
2,39,89592,2.6942133202272305,0.05514705882352941
2,15,89592,3.5873530277839074,0.0
2,11,89592,2.500670552253723,0.001201923076923077
2,21,89592,2.2723182439804077,0.365625
2,6,89592,2.43375616238035,0.0021551724137931034
2,0,89592,3.792440434296926,0.0
2,44,89592,2.3694067332479687,0.003472222222222222
2,38,89592,1.6362310016856474,0.44485294117647056
2,24,89592,3.412114134856633,0.0
2,18,89592,3.4256354093551638,0.0
2,37,89592,2.2561643520991006,0.30416666666666664
2,2,89592,2.2145334482192993,0.11607142857142858
2,46,89592,3.524854063987732,0.0
2,1,89592,3.2727466131511487,0.001644736842105263
2,3,89592,3.1390048889886764,0.0
2,8,89592,2.9144220422295963,0.0027573529411764708
2,49,89592,3.340495452284813,0.0
2,27,89592,2.0755721807479857,0.004166666666666667
2,28,89592,2.4841101352985087,0.0
2,4,89592,2.2205115258693695,0.4010416666666667
2,13,89592,2.5748289691077337,0.03298611111111111
2,43,89592,2.6049801826477053,0.0
2,7,89592,2.5943145751953125,0.0020833333333333333
2,25,89592,2.682430177927017,0.0
2,12,89592,3.4181693394978843,0.0
2,41,89592,1.9215127944946289,0.0
2,40,89592,2.906149051406167,0.06818181818181818
2,5,89592,2.3427924439311028,0.001953125
3,20,89592,3.345117747783661,0.0
3,43,89592,2.4277142524719237,0.0
3,21,89592,1.9205805957317352,0.346875
3,30,89592,2.7880967259407043,0.01171875
3,1,89592,2.8936564671365836,0.003289473684210526
3,38,89592,1.289711678729338,0.5238970588235294
3,17,89592,2.008400321006775,0.2109375
3,46,89592,2.602158466974894,0.0
3,34,89592,2.124263644218445,0.38636363636363635
3,27,89592,1.9309303045272828,0.058333333333333334
3,4,89592,1.907020588715871,0.3854166666666667
3,36,89592,2.948909742491586,0.0
3,18,89592,2.737356114387512,0.0
3,40,89592,2.4156164906241675,0.06534090909090909
3,42,89592,1.870199203491211,0.36875
3,39,89592,2.238796395414016,0.14705882352941177
3,10,89592,1.7825998775660992,0.4853515625
3,7,89592,2.0848207314809164,0.07916666666666666
3,13,89592,2.263360963927375,0.09722222222222222
3,6,89592,2.4544108653890677,0.003232758620689655
3,15,89592,3.356543485934918,0.0
3,2,89592,2.3266437666756765,0.1125
3,25,89592,2.4677774906158447,0.0
3,11,89592,2.565916996735793,0.004807692307692308
3,44,89592,2.057159900665283,0.0876736111111111
3,3,89592,2.9583358764648438,0.0
3,16,89592,2.8081060349941254,0.0390625
3,0,89592,3.402633249759674,0.0
3,23,89592,1.2925061881542206,0.4921875
3,45,89592,2.6924479116093027,0.02130681818181818
3,32,89592,2.6283201346030602,0.028846153846153848
3,29,89592,1.720717986424764,0.125
3,19,89592,1.1051974693934123,0.8869047619047619
3,37,89592,1.9361644744873048,0.3770833333333333
3,47,89592,2.2248627841472626,0.05859375
3,31,89592,1.9971600265213938,0.2518939393939394
3,22,89592,1.5647451162338257,0.49375
3,9,89592,2.681092037094964,0.16927083333333334
3,5,89592,2.4377044811844826,0.005859375
3,8,89592,2.4351060039856853,0.027573529411764705
3,26,89592,2.7213631537225513,0.07899305555555555
3,48,89592,1.645914341012637,0.46875
3,24,89592,2.9424196737153188,0.0
3,14,89592,2.389615601963467,0.050347222222222224
3,35,89592,2.125726916573264,0.11505681818181818
3,41,89592,2.0358649492263794,0.05
3,28,89592,2.1394910628979025,0.04567307692307692
3,12,89592,3.100489632288615,0.0
3,49,89592,3.0011578798294067,0.0
3,33,89592,3.0489065488179525,0.0
4,12,92064,2.837662633260091,0.0
4,41,92064,1.5450647115707397,0.7
4,40,92064,2.65972037748857,0.05823863636363636
4,43,92064,2.301088285446167,0.0
4,42,92064,2.1711661497751873,0.11458333333333333
4,17,92064,1.2161748707294464,0.78125
4,46,92064,2.0898576180140176,0.15625
4,20,92064,2.638254016637802,0.0
4,21,92064,2.1541327476501464,0.06875
4,22,92064,1.6244045972824097,0.4875
4,34,92064,2.691856481812217,0.014204545454545454
4,9,92064,1.9341782629489899,0.2126736111111111
4,11,92064,1.7268329858779907,0.6322115384615384
4,26,92064,2.7290277348624334,0.0
4,4,92064,1.8968249658743541,0.2604166666666667
4,45,92064,2.1870405186306345,0.3025568181818182
4,1,92064,1.9000338190480281,0.2911184210526316
4,27,92064,2.7052062193552655,0.125
4,28,92064,2.1728606590857873,0.29927884615384615
4,6,92064,1.9709506322597634,0.3728448275862069
4,44,92064,2.582646277215746,0.15104166666666666
4,7,92064,1.8893565257390341,0.39791666666666664
4,18,92064,2.315942370891571,0.1328125
4,35,92064,2.2891188859939575,0.09517045454545454
4,24,92064,2.615423892225538,0.011160714285714286
4,47,92064,2.761263072490692,0.0
4,14,92064,2.13698410987854,0.2378472222222222
4,36,92064,2.874032190867833,0.0
4,29,92064,2.406472682952881,0.3020833333333333
4,19,92064,2.1706455378305343,0.08779761904761904
4,5,92064,1.9648774340748787,0.44140625
4,0,92064,2.6856850584348044,0.0
4,23,92064,2.71497635046641,0.0
4,15,92064,2.5728031121767483,0.0
4,8,92064,2.010423688327565,0.3180147058823529
4,3,92064,2.6033225059509277,0.0
4,37,92064,2.6023426055908203,0.0020833333333333333
4,38,92064,2.6078782221850227,0.009191176470588236
4,49,92064,2.4080915302038193,0.099609375
4,16,92064,2.906268000602722,0.0
4,32,92064,2.853069332929758,0.0
4,10,92064,2.2628921195864677,0.0732421875
4,25,92064,2.3223668932914734,0.0
4,39,92064,2.903338264016544,0.0
4,33,92064,2.6513909339904784,0.0
4,2,92064,2.2664174250194002,0.21964285714285714
4,31,92064,2.3468965328100957,0.061553030303030304
4,30,92064,1.5500898882746696,0.474609375
4,48,92064,2.5162501533826194,0.0026041666666666665
4,13,92064,2.917082005076938,0.0
5,16,89592,1.974843516945839,0.15234375
5,46,89592,2.273531119028727,0.036458333333333336
5,30,89592,1.518147051334381,0.498046875
5,22,89592,2.0895087480545045,0.06875
5,20,89592,2.6551798582077026,0.0
5,43,89592,2.2354039192199706,0.0
5,49,89592,1.7935048267245293,0.328125
5,25,89592,2.244312673807144,0.0078125
5,19,89592,2.3838393801734563,0.044642857142857144
5,37,89592,2.130593419075012,0.28541666666666665
5,48,89592,2.455406198898951,0.014322916666666666
5,42,89592,2.2738200028737388,0.020833333333333332
5,23,89592,1.9372161825497944,0.4036458333333333
5,3,89592,2.5204995473225913,0.0
5,11,89592,2.206179976463318,0.05889423076923077
5,1,89592,1.6097201485382884,0.47368421052631576
5,24,89592,2.5590012839862277,0.041294642857142856
5,44,89592,1.8117117120159998,0.390625
5,18,89592,2.2233511209487915,0.0328125
5,26,89592,2.257434288660685,0.21788194444444445
5,0,89592,2.6986235976219177,0.0
5,34,89592,2.7497964230450718,0.009943181818181818
5,33,89592,1.8651923179626464,0.27708333333333335
5,29,89592,1.6658979256947835,0.4895833333333333
5,14,89592,1.8523425923453436,0.3524305555555556
5,27,89592,2.072132674853007,0.2625
5,6,89592,1.99631680702341,0.18642241379310345
5,12,89592,2.431519937515259,0.035416666666666666
5,40,89592,2.6418229883367363,0.002840909090909091
5,41,89592,1.680957281589508,0.265625
5,7,89592,1.8843011140823365,0.28958333333333336
5,47,89592,1.9817818626761436,0.375
5,5,89592,2.0807280614972115,0.068359375
5,39,89592,2.0020254569895126,0.3327205882352941
5,38,89592,1.9938527976765352,0.3860294117647059
5,36,89592,2.0781667062214444,0.060267857142857144
5,9,89592,1.7926155626773834,0.4392361111111111
5,8,89592,2.0358244145617768,0.14246323529411764
5,45,89592,2.2475420344959605,0.08380681818181818
5,13,89592,1.90910800298055,0.3090277777777778
5,28,89592,2.0858392119407654,0.171875
5,4,89592,2.31813383102417,0.015625
5,31,89592,2.4373067436796245,0.01231060606060606
5,35,89592,2.1240071004087273,0.1278409090909091
5,15,89592,2.547132033568162,0.019230769230769232
5,32,89592,2.162031604693486,0.15865384615384615
5,17,89592,1.8649657666683197,0.109375
5,2,89592,2.158896606309073,0.04107142857142857
5,21,89592,2.397012495994568,0.009375
5,10,89592,2.5098945647478104,0.0224609375
6,0,89592,3.0601238210995994,0.0
6,14,89592,2.146081527074178,0.21180555555555555
6,32,89592,2.3675824587161722,0.14783653846153846
6,12,89592,2.541845115025838,0.11666666666666667
6,24,89592,2.8479882308415005,0.012276785714285714
6,21,89592,2.036003077030182,0.228125
6,46,89592,2.1109206080436707,0.09895833333333333
6,38,89592,2.2319257609984455,0.3088235294117647
6,30,89592,1.5636543855071068,0.48046875
6,9,89592,1.7568412058883243,0.3984375
6,33,89592,1.7416826645533243,0.28958333333333336
6,47,89592,2.1187371984124184,0.09765625
6,19,89592,1.5696796803247361,0.6428571428571429
6,23,89592,2.382978002230326,0.25
6,1,89592,1.6166755086497258,0.4276315789473684
6,48,89592,1.8484163582324982,0.3346354166666667
6,13,89592,2.1558539933628507,0.1736111111111111
6,4,89592,1.9198121428489685,0.3515625
6,10,89592,2.102892830967903,0.318359375
6,35,89592,2.257064938545227,0.09659090909090909
6,8,89592,2.0217245782122895,0.234375
6,22,89592,1.4968133449554444,0.65625
6,15,89592,2.7216626497415395,0.009615384615384616
6,36,89592,1.771974972316197,0.23883928571428573
6,37,89592,2.401426156361898,0.2125
6,42,89592,1.9122702439626058,0.3104166666666667
6,20,89592,2.9983390867710114,0.0
6,34,89592,2.714831590652466,0.22443181818181818
6,7,89592,2.1835723718007407,0.21458333333333332
6,6,89592,1.8005894751384341,0.32004310344827586
6,45,89592,2.257013662294908,0.2059659090909091
6,3,89592,2.556742929276966,0.005952380952380952
6,29,89592,2.439476172129313,0.20833333333333334
6,17,89592,1.466294676065445,0.7109375
6,44,89592,2.2120129267374673,0.171875
6,39,89592,2.463245195500991,0.13786764705882354
6,41,89592,1.872210144996643,0.509375
6,27,89592,2.192468452453613,0.1
6,5,89592,1.7346507608890533,0.3779296875
6,26,89592,2.2301014794243708,0.20572916666666666
6,25,89592,2.2385582625865936,0.0078125
6,2,89592,1.8213710614613123,0.3
6,11,89592,2.2667721326534567,0.43990384615384615
6,16,89592,1.8634640723466873,0.23046875
6,43,89592,2.221711540222168,0.0
6,31,89592,2.0368483211054946,0.15625
6,49,89592,1.7065827175974846,0.28515625
6,18,89592,2.022984880208969,0.134375
6,28,89592,2.0900718661455007,0.15504807692307693
6,40,89592,2.566552855751731,0.05965909090909091
7,32,92064,2.1895988170917215,0.18509615384615385
7,11,92064,1.943419153873737,0.23798076923076922
7,48,92064,1.642172634601593,0.5091145833333334
7,43,92064,1.6722474813461303,0.6125
7,10,92064,1.6485293172299862,0.4990234375
7,7,92064,2.1884779930114746,0.13125
7,15,92064,2.08867753469027,0.009615384615384616
7,4,92064,1.777246395746867,0.3984375
7,19,92064,1.1956850091616313,0.7857142857142857
7,49,92064,2.5300394147634506,0.0703125
7,33,92064,2.5095229466756184,0.06666666666666667
7,28,92064,2.225754976272583,0.09014423076923077
7,5,92064,2.200941786170006,0.1396484375
7,26,92064,2.2164834572209253,0.13194444444444445
7,36,92064,2.4809107099260603,0.08482142857142858
7,29,92064,2.1687487761179605,0.19791666666666666
7,21,92064,1.7142093062400818,0.475
7,44,92064,2.2604448000590005,0.0859375
7,31,92064,1.9090954354315093,0.33238636363636365
7,18,92064,2.4436965465545653,0.0328125
7,45,92064,2.100361715663563,0.11505681818181818
7,39,92064,2.2170085065505085,0.1213235294117647
7,40,92064,2.1006425239823083,0.1278409090909091
7,1,92064,2.4134262361024557,0.07730263157894737
7,17,92064,1.7394221276044846,0.4140625
7,2,92064,1.9805259670530047,0.31875
7,37,92064,1.808419648806254,0.29791666666666666
7,13,92064,2.337651636865404,0.09375
7,25,92064,1.642033964395523,0.60546875
7,30,92064,2.3704889863729477,0.1484375
7,34,92064,1.6393617933446711,0.4630681818181818
7,16,92064,2.4932222962379456,0.05078125
7,41,92064,2.0357584714889527,0.2625
7,14,92064,2.121142307917277,0.2725694444444444
7,38,92064,1.7511815043056713,0.42463235294117646
7,47,92064,2.353741616010666,0.046875
7,0,92064,1.977282722791036,0.041666666666666664
7,20,92064,1.935052141547203,0.05078125
7,42,92064,1.5043216546376545,0.63125
7,23,92064,1.8508167962233226,0.3723958333333333
7,35,92064,1.873895531350916,0.3963068181818182
7,24,92064,1.8994507108415877,0.24776785714285715
7,22,92064,1.4360589027404784,0.64375
7,27,92064,2.220121320088704,0.0625
7,46,92064,2.369829773902893,0.0625
7,3,92064,1.9919535773141044,0.13392857142857142
7,12,92064,2.1740420420964557,0.09375
7,6,92064,2.1176082923494537,0.20797413793103448
7,9,92064,2.2076234453254275,0.2074652777777778
7,8,92064,2.3053734092151417,0.08639705882352941
8,22,92064,2.0634400844573975,0.04375
8,37,92064,2.3887084325154624,0.052083333333333336
8,41,92064,2.1034491539001463,0.028125
8,4,92064,1.968633900086085,0.23177083333333334
8,29,92064,2.14775021870931,0.09375
8,19,92064,2.152274568875631,0.01636904761904762
8,12,92064,1.9102638959884644,0.3625
8,34,92064,2.0520953265103428,0.11931818181818182
8,45,92064,2.6227479739622637,0.015625
8,18,92064,1.4516829073429107,0.6140625
8,33,92064,1.6198549270629883,0.5
8,15,92064,2.9831406886761007,0.0
8,31,92064,2.0464641686641807,0.2878787878787879
8,9,92064,2.401812924279107,0.046875
8,44,92064,2.1409203575717077,0.17447916666666666
8,48,92064,2.2600377847750983,0.125
8,40,92064,2.1659509377046064,0.18892045454545456
8,14,92064,2.0022695461908975,0.2013888888888889
8,32,92064,1.5639201494363637,0.48197115384615385
8,39,92064,1.7875570619807524,0.3088235294117647
8,0,92064,2.741743882497152,0.015625
8,13,92064,1.8121568825509813,0.3524305555555556
8,7,92064,1.9231849352518717,0.24791666666666667
8,47,92064,2.481904372572899,0.080078125
8,25,92064,1.4138520807027817,0.59765625
8,10,92064,1.9431613385677338,0.251953125
8,28,92064,2.153926432132721,0.19471153846153846
8,8,92064,1.7156477360164417,0.41911764705882354
8,43,92064,1.4062846183776856,0.58125
8,1,92064,2.0500047897037708,0.20065789473684212
8,23,92064,2.183110157648722,0.06770833333333333
8,16,92064,1.3929448425769806,0.56640625
8,21,92064,1.7546788275241851,0.3796875
8,3,92064,2.5745373226347423,0.11607142857142858
8,27,92064,2.4485134919484457,0.04583333333333333
