Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,16,1,-1675962382.4881923,89592,1.2153377383947372,0.5768229166666666
1,24,1,-1675962370.2861633,89592,1.6209037474987218,0.288677130044843
1,12,1,-1675962382.1956215,89592,1.3079914271831512,0.6317708333333333
1,20,1,-1675962381.338229,89592,1.0188205362705702,0.5470505617977528
1,4,1,-1675962380.626398,89592,1.56093903885612,0.43156645569620256
1,30,1,-1675962379.516411,89592,1.0179972976446152,0.5009375
1,15,1,-1675962378.9632275,89592,1.0713718268606398,0.6808035714285714
1,7,1,-1675962378.5819485,89592,0.9252534068964579,0.736451048951049
1,8,1,-1675962377.731894,89592,1.2813043161614301,0.4175941780821918
1,14,1,-1675962377.5229053,89592,1.562390717249068,0.32490079365079366
2,21,1,-1675962399.4052858,89592,0.9329714278380076,0.5447916666666667
2,25,1,-1675962397.6956246,89592,0.7846054850884203,0.5088443396226415
2,23,1,-1675962397.0681448,89592,0.7932581420867674,0.5598118279569892
2,31,1,-1675962398.0725706,89592,1.1188223790196539,0.6155946601941747
2,5,1,-1675962398.054532,89592,1.3003533866054329,0.45566860465116277
2,9,1,-1675962394.6390417,89592,1.3834643936963473,0.41696859903381644
2,3,1,-1675962396.4935875,89592,1.1029309319878766,0.5351796407185628
2,33,1,-1675962394.4975903,89592,1.34740397846976,0.38808139534883723
2,26,1,-1675962395.2957718,89592,1.5805203430155381,0.33288770053475936
2,32,1,-1675962392.7632778,89592,1.159208371537797,0.4631648936170213
3,0,1,-1675962402.555619,89592,0.4398646888344787,0.8706395348837209
3,30,1,-1675962402.279701,89592,0.7983763247728348,0.516875
3,20,1,-1675962404.5749507,89592,0.7044948932160152,0.6235955056179775
3,23,1,-1675962402.2200243,89592,0.7649230232802771,0.5665322580645161
3,15,1,-1675962400.38953,89592,0.8777950245236593,0.6812996031746031
3,8,1,-1675962403.5750911,89592,1.1215366402717486,0.4648972602739726
3,2,1,-1675962399.4467418,89592,1.4605568379163743,0.413671875
3,18,1,-1675962399.242893,89592,0.6317393152934053,0.6801970108695652
3,19,1,-1675962402.933269,89592,0.5855873105997708,0.7264371657754011
3,34,1,-1675962403.233546,89592,0.9489690874939534,0.710976368159204
4,0,1,-1675962412.7016213,89592,0.4339066123546556,0.8713662790697675
4,12,1,-1675962410.9647384,89592,0.8904678990443547,0.6588541666666666
4,4,1,-1675962418.5400321,89592,1.1868862102303324,0.5166139240506329
4,25,1,-1675962411.8560545,89592,0.8038215187360656,0.5144457547169812
4,15,1,-1675962407.157795,89592,0.8867126367394886,0.683531746031746
4,2,1,-1675962411.818079,89592,1.4013914689421654,0.4552734375
4,28,1,-1675962417.6448407,89592,1.2482936615363145,0.43409455128205127
4,19,1,-1675962419.9127593,89592,0.5268492172746098,0.7687165775401069
4,6,1,-1675962416.3146784,89592,1.385594815170209,0.39863989637305697
4,34,1,-1675962415.554341,89592,0.9073214049066477,0.7123756218905473
5,22,1,-1675962416.6182928,89592,0.5419813163818852,0.8195564516129032
5,29,1,-1675962438.0638087,89592,0.45765300281345844,0.8504464285714286
5,16,1,-1675962427.3138752,89592,0.8178741013010343,0.6028645833333334
5,20,1,-1675962419.632887,89592,0.6844257390900944,0.675561797752809
5,5,1,-1675962424.9890506,89592,1.2033720529356668,0.4735949612403101
