Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,0,1,-1676076783.792636,89592,0.8578226918854365,0.7176067073170732
1,7,1,-1676076788.9029155,89592,1.2612210877239705,0.94375
1,16,1,-1676076788.728348,89592,0.8425408059205765,0.9262820512820513
1,15,1,-1676076788.672671,89592,1.061541623622179,0.8265625
1,6,1,-1676076788.5653691,89592,1.2608435849348705,0.7395833333333334
1,30,1,-1676076788.0424268,89592,1.0841316775135372,0.6677989130434783
1,14,1,-1676076788.1239207,89592,0.9243176837225218,0.652027027027027
1,8,1,-1676076787.6943705,89592,1.296610187821918,0.5579861111111111
1,3,1,-1676076787.939017,89592,1.2949694868074644,0.5596330275229358
1,24,1,-1676076787.5549679,89592,0.7787514315254387,0.7546695402298851
1,27,1,-1676076787.2633817,89592,1.3831547045936952,0.48197115384615385
1,20,1,-1676076787.4035985,89592,0.9559890311211348,0.7744140625
1,4,1,-1676076787.2822745,89592,1.272809099110346,0.611359126984127
1,12,1,-1676076787.4843554,89592,0.868148357366884,0.7309602649006622
2,26,1,-1676076792.489549,89592,0.7811513107556564,0.6538461538461539
2,31,1,-1676076796.1689274,89592,0.6011108686526616,0.8489583333333334
2,19,1,-1676076791.6809716,89592,0.606127805738564,0.7993222891566265
2,28,1,-1676076795.3881,89592,0.6734611131250858,0.7825520833333334
2,6,1,-1676076792.3562078,89592,0.4118174787829904,0.9344362745098039
2,8,1,-1676076791.5046842,89592,0.8640939000580046,0.6739583333333333
2,23,1,-1676076794.4813917,89592,0.37716273482768764,0.8616431451612904
2,21,1,-1676076793.0697577,89592,0.5023682994501931,0.8553571428571428
2,3,1,-1676076791.0671911,89592,0.617459878735586,0.819954128440367
2,5,1,-1676076791.6992862,89592,0.3031121438433384,0.8943965517241379
2,9,1,-1676076792.531846,89592,0.6345698124375837,0.7710129310344828
2,25,1,-1676076794.0954244,89592,0.44977371780373526,0.8781028368794326
2,33,1,-1676076794.1489296,89592,0.597039965402197,0.8115740740740741
2,32,1,-1676076793.3212287,89592,0.46295315310568874,0.8400088028169014
3,7,1,-1676076799.1506844,89592,0.2351496554678306,0.95
3,34,1,-1676076796.651614,89592,0.5545004645983378,0.78125
3,18,1,-1676076793.849149,89592,0.42658508500015296,0.8802083333333334
3,6,1,-1676076796.8213477,89592,0.20526310253669233,0.9515931372549019
3,17,1,-1676076794.893634,89592,0.8204356712707574,0.6553442028985508
3,30,1,-1676076795.8836124,89592,0.5305626583488091,0.7758152173913043
3,15,1,-1676076795.4389403,89592,0.43333900086581706,0.84296875
3,19,1,-1676076795.4601088,89592,0.41602921046047325,0.8565512048192772
3,0,1,-1676076792.8071935,89592,0.2743817625067583,0.9127286585365854
3,8,1,-1676076795.8228357,89592,0.6957738323344125,0.7454861111111111
3,23,1,-1676076793.5824223,89592,0.2747700957641486,0.8999495967741935
3,33,1,-1676076795.705644,89592,0.3921544210778342,0.868287037037037
3,2,1,-1676076792.7713268,89592,0.22192457610548572,0.9326508620689655
3,20,1,-1676076793.240435,89592,0.29141450178576633,0.909423828125
4,7,1,-1676076798.0479324,89592,0.1798772381618619,0.95
4,15,1,-1676076798.8558896,89592,0.38555468544363974,0.8625
4,34,1,-1676076798.4336789,89592,0.5315695598721504,0.8104166666666667
4,6,1,-1676076800.913269,89592,0.16344508795323326,0.9589460784313726
4,28,1,-1676076797.029189,89592,0.3915029092070957,0.8912760416666666
4,0,1,-1676076794.16081,89592,0.19602187273160712,0.9386432926829268
4,17,1,-1676076799.7882216,89592,0.6796565353870392,0.7527173913043478
4,1,1,-1676076794.3694768,89592,0.5301171954668743,0.7874119718309859
4,19,1,-1676076796.471553,89592,0.3174135980746114,0.8968373493975904
4,4,1,-1676076796.663833,89592,0.3258971007215598,0.908234126984127
4,9,1,-1676076793.7201421,89592,0.32614045911307993,0.8973599137931034
4,2,1,-1676076794.3554919,89592,0.1491985352677775,0.9620150862068966
4,12,1,-1676076796.088766,89592,0.14867777425475073,0.9675082781456954
4,25,1,-1676076794.5959907,89592,0.2127752813992771,0.931959219858156
5,7,1,-1676076803.5314028,89592,0.1648642483225558,0.95
5,31,1,-1676076795.684797,89592,0.13002242296934127,0.9677083333333333
5,22,1,-1676076797.897117,89592,0.12882864255397047,0.9590163934426229
5,29,1,-1676076799.8947778,89592,0.07591607483724754,0.9805555555555555
5,16,1,-1676076796.1988113,89592,0.19486527698926437,0.9439102564102564
5,15,1,-1676076799.6313672,89592,0.31889638118445873,0.89609375
5,24,1,-1676076795.5739603,89592,0.11500953245993661,0.9640804597701149
5,1,1,-1676076795.5799348,89592,0.447525937792281,0.8397887323943662
