Round,Cid,Size of parameters,Loss,Accuracy
1,25,1400,2.3086593449115753,0.0
1,2,1400,2.3508535044533865,0.06428571428571428
1,12,1400,2.206872653961182,0.24375
1,19,1400,2.5408824511936734,0.0
1,18,1400,2.2252617835998536,0.0171875
1,31,1400,2.4451421679872456,0.0
1,32,1400,2.201851542179401,0.1875
1,34,1400,2.4207132296128706,0.01278409090909091
1,29,1400,2.1797879536946616,0.6666666666666666
1,0,1400,2.2918500105539956,0.0
1,1,1400,2.2481930255889893,0.001644736842105263
1,9,1400,2.3051155275768704,0.0026041666666666665
1,27,1400,2.3750575224558514,0.3458333333333333
1,8,1400,3.7124224620706894,0.375
1,20,1400,2.2644954323768616,0.0
1,17,1400,2.300371438264847,0.0
1,13,1400,2.2230418655607433,0.453125
1,10,1400,2.493257910013199,0.0
1,7,1400,3.0236976305643717,0.35
1,4,1400,2.0879356463750205,0.0703125
1,16,1400,1.0702564418315887,0.37890625
1,22,1400,2.4194273471832277,0.0
1,6,1400,2.319314249630632,0.004310344827586207
1,14,1400,2.282892836464776,0.2829861111111111
1,33,1400,2.28687957127889,0.0
1,26,1400,2.4166520966423883,0.0
1,30,1400,2.291833445429802,0.0
1,15,1400,1.0999554097652435,0.8557692307692307
1,23,1400,2.25442373752594,0.5338541666666666
1,24,1400,3.3085966876574924,0.06808035714285714
1,3,1400,2.3577263468787786,0.0
1,11,1400,2.336745078747089,0.0
1,28,1400,2.303876913510836,0.21634615384615385
1,21,1400,2.3324106097221375,0.034375
1,5,1400,2.3857198506593704,0.0146484375
2,29,1400,2.4409947395324707,0.0
2,17,1400,2.450452446937561,0.0
2,16,1400,0.35378927551209927,0.8828125
2,15,1400,1.662251665041997,0.12259615384615384
2,19,1400,2.2973342736562095,0.0
2,22,1400,2.407297468185425,0.0
2,28,1400,2.349354698107793,0.0
2,33,1400,1.1006193995475768,0.6875
2,25,1400,2.302213102579117,0.0
2,7,1400,1.1146936456362406,0.4083333333333333
2,32,1400,2.4063958617357106,0.49158653846153844
2,30,1400,2.3397870659828186,0.0
2,21,1400,2.340204155445099,0.0
2,34,1400,2.3237432674928145,0.0
