Round,Cid,Size of parameters,Loss,Accuracy
1,15,1400,2.4082622344677267,0.0
1,25,1400,2.3449182510375977,0.0
1,23,1400,2.3160091439882913,0.0
1,18,1400,2.1343024253845213,0.475
1,11,1400,2.2974639122302714,0.0
1,30,1400,1.2366741709411144,0.48046875
1,31,1400,7.071942719546231,0.27178030303030304
1,32,1400,2.1536150712233324,0.4855769230769231
1,2,1400,2.3034798554011755,0.225
1,26,1400,2.3289359741740756,0.06076388888888889
1,29,1400,2.1462720235188804,0.65625
1,27,1400,2.239851395289103,0.3333333333333333
1,22,1400,2.4428726196289063,0.0
1,3,1400,2.354299931299119,0.0
1,33,1400,2.1969969272613525,0.0625
1,13,1400,2.1502591371536255,0.4027777777777778
1,4,1400,1.5403259495894115,0.3932291666666667
1,14,1400,2.2452915244632297,0.2013888888888889
1,8,1400,3.5636561828501083,0.23069852941176472
1,10,1400,2.4404664784669876,0.0
1,7,1400,3.629233153661092,0.3375
1,20,1400,2.4166758954524994,0.0
1,17,1400,2.3832773566246033,0.0
1,21,1400,2.422874164581299,0.0
1,19,1400,2.646339178085327,0.0
1,12,1400,2.3377673467000326,0.0020833333333333333
1,16,1400,0.6014782451093197,0.66796875
1,0,1400,2.5335026383399963,0.0
1,1,1400,2.343356960698178,0.0
1,34,1400,2.537398500875993,0.0
1,28,1400,2.2261753173974843,0.23918269230769232
1,24,1400,2.4412990595613207,0.3203125
1,5,1400,2.24448162317276,0.0
1,6,1400,2.355350510827426,0.0
1,9,1400,2.4543191393216452,0.0
2,29,1400,2.3604660828908286,0.0
2,22,1400,2.267029619216919,0.325
2,17,1400,2.2996692657470703,0.16796875
2,16,1400,0.3467673100531101,0.87890625
2,20,1400,2.375037521123886,0.0
2,30,1400,0.7190767005085945,0.482421875
2,18,1400,2.2414257168769836,0.515625
2,33,1400,2.2771671454111737,0.00625
2,15,1400,2.375160785821768,0.0
2,19,1400,0.3269277389516078,0.9136904761904762
2,14,1400,2.319580594698588,0.001736111111111111
2,13,1400,2.321667287084791,0.034722222222222224
2,5,1400,2.827389694750309,0.416015625
2,26,1400,2.350999593734741,0.035590277777777776
2,34,1400,2.2447138916362417,0.4005681818181818
2,24,1400,2.7117511374609813,0.10379464285714286
2,31,1400,3.0705510341759883,0.27178030303030304
2,8,1400,1.6142462316681356,0.32628676470588236
2,32,1400,2.317775698808523,0.0
2,9,1400,2.3157921632130942,0.17274305555555555
2,25,1400,2.352287530899048,0.0
2,21,1400,2.251077854633331,0.3625
2,27,1400,2.3412102540334065,0.0
2,3,1400,1.658230872381301,0.5267857142857143
2,23,1400,1.3781995077927907,0.3958333333333333
2,1,1400,2.3308401107788086,0.0
2,12,1400,2.3110653877258303,0.0
2,7,1400,1.08721714814504,0.38333333333333336
2,0,1400,2.3561607003211975,0.0
2,28,1400,1.5042844047913184,0.30288461538461536
2,4,1400,1.5363434155782063,0.3984375
2,6,1400,2.293186796122584,0.0
2,11,1400,2.3110353029691257,0.0
2,2,1400,2.3030834674835203,0.11160714285714286
2,10,1400,2.608846977353096,0.240234375
3,25,1400,2.314911723136902,0.0
3,4,1400,1.603982428709666,0.4010416666666667
3,17,1400,2.363189250230789,0.0
3,20,1400,2.3438971042633057,0.0
3,0,1400,2.3389673829078674,0.2109375
3,21,1400,2.2597891688346863,0.3484375
3,13,1400,2.2961192395952015,0.036458333333333336
3,30,1400,0.7963864877820015,0.478515625
3,27,1400,2.2971863746643066,0.0
3,15,1400,0.557635112450673,0.8581730769230769
3,34,1400,1.4731591127135537,0.4559659090909091
3,7,1400,1.416953404744466,0.3645833333333333
3,1,1400,2.4068287673749422,0.049342105263157895
3,18,1400,2.294809865951538,0.0015625
3,11,1400,2.297731115267827,0.004807692307692308
3,32,1400,2.308536171913147,0.003605769230769231
3,10,1400,1.634350921958685,0.1201171875
3,6,1400,2.3586977514727363,0.0
3,31,1400,2.6247747775280112,0.2727272727272727
3,2,1400,2.3119737693241666,0.0008928571428571428
3,23,1400,0.6176029145717621,0.6458333333333334
3,9,1400,2.306471480263604,0.0008680555555555555
3,29,1400,2.340550502141317,0.0
3,16,1400,0.610775999724865,0.66015625
3,5,1400,1.5248662903904915,0.41796875
3,3,1400,1.189233402411143,0.5282738095238095
3,22,1400,2.3399548053741457,0.0
3,12,1400,2.319529660542806,0.0
3,19,1400,0.24648535003264746,0.9107142857142857
3,24,1400,1.966775621686663,0.12053571428571429
3,33,1400,2.3013009707132976,0.0
3,14,1400,2.332641190952725,0.010416666666666666
3,26,1400,2.330330318874783,0.0
3,28,1400,1.4246572714585524,0.2704326923076923
3,8,1400,1.8413814130951376,0.4742647058823529
4,17,1400,2.2867478728294373,0.0
4,29,1400,2.3781792322794595,0.3020833333333333
4,16,1400,0.4753662534058094,0.8359375
4,4,1400,1.5439898272355397,0.4583333333333333
4,23,1400,0.6264413793881735,0.6770833333333334
4,12,1400,2.316374333699544,0.0
4,33,1400,2.3085548877716064,0.19375
4,30,1400,0.8366392552852631,0.486328125
4,14,1400,2.315868682331509,0.2326388888888889
4,19,1400,0.2802437948329108,0.8988095238095238
4,34,1400,1.2909514199603687,0.4602272727272727
4,13,1400,2.3435731066597834,0.0
4,21,1400,2.3299156427383423,0.0
4,5,1400,1.7026803642511368,0.41796875
4,28,1400,1.3055854668984046,0.3641826923076923
4,11,1400,2.242935400742751,0.6418269230769231
4,26,1400,2.3217487004068165,0.0
4,8,1400,1.509097909226137,0.48161764705882354
4,2,1400,2.2867346354893274,0.22142857142857142
4,9,1400,1.6236866778797574,0.53125
4,20,1400,2.2615804076194763,0.20703125
4,18,1400,2.3153529167175293,0.0
4,25,1400,0.6071077957749367,0.8828125
4,1,1400,2.288436249682778,0.05263157894736842
4,15,1400,0.5390786161789527,0.8557692307692307
4,22,1400,2.302619791030884,0.0
4,0,1400,2.2280066212018332,0.7395833333333334
4,7,1400,1.0766533613204956,0.3770833333333333
4,6,1400,1.7217117465775589,0.3728448275862069
4,3,1400,1.2741263679095678,0.5282738095238095
4,27,1400,2.3327828566233317,0.0
4,10,1400,1.599909134209156,0.3076171875
4,32,1400,2.3304643630981445,0.0
4,24,1400,1.9964993851525443,0.05915178571428571
4,31,1400,2.579397443569068,0.27178030303030304
5,4,1400,1.6054960389931996,0.34375
5,22,1400,1.4896353244781495,0.5125
5,23,1400,0.6705165455738703,0.6015625
5,16,1400,0.5459541529417038,0.7421875
5,25,1400,0.5746495649218559,0.953125
5,20,1400,2.2581850588321686,0.76953125
5,0,1400,2.260164042313894,0.7421875
5,12,1400,2.2897854804992677,0.26875
5,30,1400,0.7118100933730602,0.486328125
5,19,1400,0.30862256458827425,0.9002976190476191
5,33,1400,0.9728357474009196,0.70625
5,3,1400,1.2236832153229487,0.5282738095238095
5,14,1400,2.302056484752231,0.0
5,5,1400,1.3953103981912136,0.4189453125
5,1,1400,1.2509755900031643,0.3305921052631579
5,18,1400,2.30668306350708,0.0
5,6,1400,1.6680869521765873,0.36314655172413796
5,11,1400,2.319046607384315,0.010817307692307692
5,26,1400,2.289993643760681,0.15538194444444445
5,32,1400,2.3134119510650635,0.0
5,17,1400,2.326228141784668,0.0
5,7,1400,1.4957353353500367,0.3458333333333333
5,29,1400,1.7878976265589397,0.3125
5,21,1400,2.3387408018112184,0.0
5,31,1400,2.6527086171236904,0.2708333333333333
5,24,1400,1.9198172688484192,0.07254464285714286
5,15,1400,0.5409185611284696,0.8557692307692307
5,28,1400,1.520687222480774,0.2548076923076923
5,27,1400,2.3123799165089927,0.0
5,13,1400,2.311584379937914,0.003472222222222222
5,10,1400,1.9978695102036,0.11328125
5,34,1400,1.4111340154301037,0.453125
5,9,1400,1.7407244212097592,0.23350694444444445
5,2,1400,2.287404891422817,0.0008928571428571428
5,8,1400,1.6938668349209953,0.46231617647058826
6,17,1400,2.2709042727947235,0.19921875
6,20,1400,2.3425705432891846,0.0
6,25,1400,0.484053585678339,0.9609375
6,0,1400,2.11389630039533,0.2578125
6,21,1400,2.2974493145942687,0.359375
6,12,1400,2.322003221511841,0.0
6,7,1400,1.2383722146352132,0.34791666666666665
6,33,1400,1.0096588611602784,0.7
6,30,1400,0.7594874799251556,0.482421875
6,34,1400,1.2412137226624922,0.4602272727272727
6,13,1400,2.3302868207295737,0.034722222222222224
6,14,1400,2.31701303852929,0.0
6,19,1400,0.2947657895939691,0.9032738095238095
6,24,1400,1.9966384513037545,0.14174107142857142
6,32,1400,2.313736227842478,0.0
6,11,1400,2.2865656339205227,0.0
6,31,1400,2.2575614885850386,0.2708333333333333
6,10,1400,1.6664450094103813,0.123046875
6,8,1400,1.6356143846231348,0.48621323529411764
6,9,1400,1.3918814874357648,0.5390625
6,16,1400,0.3328697271645069,0.8671875
6,23,1400,0.6087829445799192,0.6588541666666666
6,22,1400,1.128562045097351,0.5125
6,29,1400,1.8662956555684407,0.3020833333333333
6,15,1400,0.5726779584701245,0.8581730769230769
6,26,1400,2.2982601324717202,0.15711805555555555
6,4,1400,1.5609833896160126,0.4036458333333333
6,18,1400,2.3102315187454225,0.0
6,27,1400,2.309769058227539,0.00625
6,1,1400,1.3082006291339272,0.31085526315789475
6,3,1400,1.16231065704709,0.5297619047619048
6,6,1400,1.6255132535408283,0.36637931034482757
6,28,1400,1.3723661991266103,0.37740384615384615
6,5,1400,1.3160500824451447,0.4365234375
6,2,1400,1.8088233981813704,0.21696428571428572
7,23,1400,0.8138133734464645,0.4713541666666667
7,17,1400,2.313025653362274,0.0078125
7,21,1400,2.302570807933807,0.30625
7,7,1400,1.215976397196452,0.35833333333333334
7,4,1400,1.5983737508455913,0.3072916666666667
7,15,1400,0.5283472194121435,0.8557692307692307
7,18,1400,2.30537189245224,0.0484375
7,13,1400,2.328084879451328,0.003472222222222222
7,33,1400,1.1312251091003418,0.68125
7,19,1400,0.23374689122041067,0.9270833333333334
7,28,1400,1.346148202052483,0.37259615384615385
7,31,1400,2.0167121309222598,0.27178030303030304
7,1,1400,1.343010613792821,0.3042763157894737
7,32,1400,2.324666738510132,0.040865384615384616
7,5,1400,1.2769249752163887,0.43359375
7,10,1400,1.817271500825882,0.11328125
7,11,1400,2.2752138009438148,0.0
7,24,1400,1.8143325916358404,0.17633928571428573
7,2,1400,1.772910407611302,0.17410714285714285
7,26,1400,2.3100005785624185,0.2048611111111111
7,25,1400,0.8115075379610062,0.078125
7,29,1400,1.8471469084421794,0.2916666666666667
7,27,1400,2.337492799758911,0.0
7,22,1400,1.1309595346450805,0.49375
7,20,1400,0.5459406115114689,0.80859375
7,16,1400,0.38813840225338936,0.8515625
7,14,1400,2.32155970732371,0.203125
7,12,1400,2.321288808186849,0.22708333333333333
7,0,1400,2.0595215360323587,0.2578125
7,6,1400,2.017081453882415,0.13900862068965517
7,3,1400,1.160422648702349,0.5252976190476191
7,30,1400,0.7354047633707523,0.482421875
7,34,1400,1.5459730435501446,0.4588068181818182
7,9,1400,1.416001973880662,0.5651041666666666
7,8,1400,1.632281787255231,0.47794117647058826
8,29,1400,1.6132474740346272,0.2916666666666667
8,22,1400,1.181340479850769,0.5125
8,20,1400,0.605339914560318,0.734375
8,16,1400,0.3616430126130581,0.8671875
8,12,1400,1.4809492031733196,0.2625
8,4,1400,1.5987699031829834,0.3203125
8,27,1400,2.331716012954712,0.0020833333333333333
8,21,1400,2.309539556503296,0.30625
8,30,1400,0.7312409840524197,0.484375
8,18,1400,2.320765221118927,0.0
8,34,1400,1.4669021042910488,0.4602272727272727
8,28,1400,1.4289942567165081,0.25
8,32,1400,2.2894894709953895,0.0
8,11,1400,2.279328364592332,0.3485576923076923
8,2,1400,1.897625606400626,0.25535714285714284
8,6,1400,1.951152937165622,0.13038793103448276
8,31,1400,2.085495103489269,0.27178030303030304
8,8,1400,1.6520228175555958,0.4954044117647059
8,10,1400,1.8448538407683372,0.1123046875
8,25,1400,0.6793276444077492,0.65625
8,9,1400,1.29776251481639,0.5876736111111112
8,7,1400,1.3539467096328734,0.3375
8,17,1400,2.2858817875385284,0.0078125
8,3,1400,1.1523505335762387,0.5297619047619048
8,0,1400,2.1544248263041177,0.2578125
8,23,1400,0.6907251377900442,0.6067708333333334
8,19,1400,0.2996884783109029,0.9017857142857143
8,26,1400,2.3071670134862265,0.08506944444444445
8,15,1400,0.6034478499339178,0.8581730769230769
8,13,1400,2.3514587216907077,0.0
8,5,1400,1.2830831930041313,0.4560546875
8,1,1400,1.27871615008304,0.4769736842105263
8,14,1400,2.098471999168396,0.2621527777777778
8,33,1400,0.9904746611913046,0.7083333333333334
8,24,1400,1.6272000244685583,0.31361607142857145
9,22,1400,1.2259140968322755,0.5125
9,0,1400,1.837561120589574,0.2578125
9,4,1400,1.6346869270006816,0.296875
9,12,1400,1.4710338513056438,0.2604166666666667
9,20,1400,0.6046607568860054,0.73046875
9,1,1400,1.3300162867495888,0.3026315789473684
9,7,1400,1.5753506104151407,0.3333333333333333
9,21,1400,1.7863213479518891,0.4296875
9,33,1400,0.9859150131543477,0.7083333333333334
9,18,1400,2.2549068450927736,0.00625
9,5,1400,1.3006088770925999,0.4404296875
9,31,1400,2.106265729123896,0.2708333333333333
9,6,1400,2.0191010072313507,0.1271551724137931
9,24,1400,1.5743442220347268,0.32142857142857145
