Round,Cid,Size of parameters,Loss,Accuracy
1,31,1400,2.4292500416437783,0.0
1,30,1400,0.30991355436188833,0.8214285714285714
1,26,1400,2.1383153332604303,0.034722222222222224
1,23,1400,2.3869929143360684,0.0
1,25,1400,2.182697057723999,0.03958333333333333
1,15,1400,2.3909910917282104,0.3629807692307692
1,2,1400,2.2988100702112373,0.0
1,18,1400,2.301513089074029,0.0
1,32,1400,2.3628037250958958,0.0
1,11,1400,2.2786691321267023,0.13368055555555555
1,27,1400,2.4046696136737693,0.0
1,8,1400,3.412745377596687,0.375
1,14,1400,3.215486244721846,0.05113636363636364
1,3,1400,2.3318674067656198,0.0
1,22,1400,2.334489118485224,0.0
1,29,1400,2.436495473307948,0.0
1,10,1400,2.103957494099935,0.5479166666666667
1,33,1400,2.3520324428876243,0.0
1,4,1400,2.5950110980442593,0.5178571428571429
1,13,1400,2.116670266787211,0.5895833333333333
1,7,1400,0.000706380553310737,1.0
1,17,1400,2.24832494635331,0.23026315789473684
1,20,1400,0.6760489586740732,0.73828125
1,21,1400,2.5298201499446744,0.0
1,19,1400,2.2612398747474916,0.20665322580645162
1,34,1400,2.3380885124206543,0.00625
1,16,1400,12.711029139432041,0.10511363636363637
1,5,1400,2.5724606854575023,0.0
1,6,1400,2.503933205324061,0.0
1,24,1400,0.0966875430365855,0.9616477272727273
1,28,1400,2.625575490619825,0.0
1,9,1400,2.342715997695923,0.3375
1,1,1400,2.276743108575994,0.007102272727272727
1,12,1400,0.3990915332521711,0.8258928571428571
1,0,1400,2.1096739133199054,0.016666666666666666
2,34,1400,2.2655992031097414,0.0
2,31,1400,0.4802623937527339,0.828125
2,30,1400,1.7797367061887468,0.19642857142857142
2,26,1400,1.3314565022786458,0.3541666666666667
2,10,1400,2.289115381240845,0.004166666666666667
2,7,1400,0.1143656998872757,1.0
2,16,1400,4.285587592558428,0.11079545454545454
2,15,1400,1.5970881535456731,0.3629807692307692
2,25,1400,0.6025027016798655,0.775
2,5,1400,0.27637759117143496,0.8772321428571429
2,17,1400,2.395052696529188,0.0
2,8,1400,1.4132863283157349,0.3897058823529412
2,28,1400,2.3079362744870395,0.057065217391304345
2,22,1400,2.2548484915778753,0.06101190476190476
2,32,1400,0.3681051587829223,0.8581730769230769
2,9,1400,0.7220499968528747,0.68125
2,29,1400,2.272909902757214,0.2752016129032258
2,19,1400,2.3815685010725454,0.0
2,21,1400,0.5337194781149587,0.7681451612903226
2,33,1400,3.382105780972375,0.4852430555555556
2,4,1400,1.0566956528595515,0.5848214285714286
2,6,1400,2.278675163493437,0.0
2,24,1400,0.18467712266878647,0.9673295454545454
2,18,1400,2.249606132507324,0.36689814814814814
2,13,1400,2.4945318778355916,0.0
2,23,1400,0.03391609360863056,0.9910714285714286
2,3,1400,0.7230918370187283,0.74609375
2,20,1400,0.7714573666453362,0.63671875
2,14,1400,0.4013165967030959,0.9460227272727273
2,1,1400,2.3284366889433428,0.0
2,27,1400,2.2930854928904565,0.08405172413793104
2,2,1400,2.2643450823697178,0.26704545454545453
2,11,1400,2.3614746928215027,0.0
2,0,1400,2.3620017528533936,0.0
2,12,1400,0.20834065042436123,0.9676339285714286
3,34,1400,0.5754820108413696,0.90625
3,31,1400,0.6533631831407547,0.828125
3,30,1400,0.3938630861895425,0.9508928571428571
3,7,1400,0.046954582631587985,1.0
3,15,1400,0.8002259502044091,0.36778846153846156
3,10,1400,2.2523175557454427,0.0020833333333333333
3,6,1400,2.3328966954175163,0.0
3,17,1400,2.348728154834948,0.0
3,20,1400,0.12150648864917457,0.9453125
3,25,1400,0.32108862499396007,0.9333333333333333
3,1,1400,2.2892395041205664,0.002840909090909091
3,4,1400,1.5372489861079626,0.5691964285714286
3,2,1400,0.8251286541873758,0.6875
3,21,1400,0.4784217678731488,0.9082661290322581
3,18,1400,0.7717508894425852,0.8171296296296297
3,32,1400,0.32514795317099643,0.9387019230769231
3,27,1400,2.3327699694140205,0.0
3,13,1400,2.2433435757954916,0.6145833333333334
3,0,1400,0.15321388269464176,0.9458333333333333
3,11,1400,2.2854686114523144,0.11371527777777778
3,26,1400,1.103573547469245,0.34375
3,16,1400,4.79852312261408,0.10795454545454546
3,23,1400,0.03117507669542517,1.0
3,14,1400,1.3142655979503284,0.05397727272727273
3,22,1400,2.339179663431077,0.0
3,9,1400,0.5956478536128997,0.755
3,8,1400,1.1955346324864555,0.39705882352941174
3,5,1400,0.23464894507612502,0.8839285714285714
3,3,1400,0.8733045483628908,0.79296875
3,28,1400,2.3522402721902598,0.0
3,19,1400,0.7053801465419031,0.6582661290322581
3,24,1400,0.16355682435360822,0.9517045454545454
3,29,1400,2.3289800151701896,0.0
3,12,1400,0.23380039419446672,0.9464285714285714
3,33,1400,1.5353401866224077,0.5017361111111112
4,14,1400,0.9254389892924916,0.05965909090909091
4,34,1400,0.4285017788410187,0.95
4,16,1400,4.913413741371849,0.11363636363636363
4,30,1400,0.646046119076865,0.59375
4,26,1400,1.0062260296609666,0.3506944444444444
4,5,1400,0.2721717634371349,0.8392857142857143
4,23,1400,0.03783035650849342,1.0
4,4,1400,0.2785137434090887,0.9352678571428571
4,17,1400,2.325635784550717,0.0
4,8,1400,0.9716032462961534,0.48161764705882354
4,2,1400,0.17220645126971332,0.9375
4,28,1400,0.6832315869953322,0.36820652173913043
4,12,1400,0.12388971108677131,0.9542410714285714
4,9,1400,0.6427150785923004,0.715
4,19,1400,0.27978542663397327,0.905241935483871
4,29,1400,2.2775932665794127,0.2913306451612903
4,13,1400,2.245178461074829,0.296875
4,21,1400,0.5071370486290224,0.8770161290322581
4,33,1400,1.4807996700207393,0.4869791666666667
4,11,1400,2.2904125650723777,0.3506944444444444
4,6,1400,0.46112531598876505,0.7536764705882353
4,10,1400,2.230362590154012,0.3
4,20,1400,0.12386874458752573,0.958984375
4,7,1400,0.04674750603735447,1.0
4,31,1400,0.6376978556315104,0.828125
4,15,1400,1.1855458479661207,0.37740384615384615
4,18,1400,0.8348829790397927,0.5856481481481481
4,25,1400,0.14274941235780716,0.9604166666666667
4,24,1400,0.17541833221912384,0.9829545454545454
4,3,1400,0.8275523061553637,0.81640625
4,1,1400,2.2874810695648193,0.03835227272727273
4,22,1400,2.3643159298669723,0.0
4,0,1400,0.056480590564509235,0.9822916666666667
4,32,1400,0.3842843799636914,0.8834134615384616
4,27,1400,2.310183656626734,0.01293103448275862
5,30,1400,0.8688099554606846,0.28125
5,4,1400,0.3858268197093691,0.9040178571428571
5,26,1400,1.1300087372461955,0.34375
5,16,1400,3.4209116155450996,0.09659090909090909
5,14,1400,0.9597978917035189,0.05397727272727273
5,23,1400,0.028544976974704435,0.9977678571428571
5,20,1400,0.3263581348583102,0.8828125
5,25,1400,0.3901273141304652,0.8729166666666667
5,5,1400,0.10502827446907759,0.9508928571428571
5,6,1400,0.44189124072299285,0.8805147058823529
5,1,1400,2.3353125236251135,0.453125
5,22,1400,1.7321734797386896,0.6220238095238095
5,3,1400,0.3313563459863265,0.90234375
5,19,1400,0.3248898987808535,0.8951612903225806
5,12,1400,0.08801590225526265,0.9799107142857143
5,18,1400,0.7871860707247699,0.9502314814814815
5,32,1400,0.1219032068665211,0.9591346153846154
5,0,1400,0.07180914220710595,0.978125
5,33,1400,1.620690405368805,0.4861111111111111
5,11,1400,2.3148282368977866,0.0008680555555555555
5,7,1400,0.007986349519342184,1.0
5,34,1400,0.4903338193893433,0.8125
5,31,1400,0.5837929795185725,0.828125
5,17,1400,2.3947204539650366,0.0
5,8,1400,1.091984864543466,0.40441176470588236
5,29,1400,0.7963577489699086,0.6401209677419355
5,28,1400,0.6104525664578313,0.9741847826086957
5,24,1400,0.052154558202759785,0.9914772727272727
5,9,1400,0.8271214318275452,0.5775
5,2,1400,0.1550961627878926,0.9616477272727273
5,10,1400,2.320261335372925,0.0
5,15,1400,1.2800027223733754,0.37740384615384615
