Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,17,1,-1676003898.8866339,1400,2.1649763226509093,0.684375
1,1,1,-1676003887.6638732,1400,1.5183274909932778,0.3090277777777778
1,0,1,-1676003897.394611,1400,0.9856363209181054,0.8502906976744186
1,16,1,-1676003897.3546963,1400,1.2210802485545476,0.5735677083333334
1,43,1,-1676003897.1225064,1400,0.4432679352089109,0.975328947368421
1,4,1,-1676003896.1013818,1400,1.563136334660687,0.4196993670886076
1,23,1,-1676003896.2447257,1400,0.9696801900863647,0.552755376344086
1,41,1,-1676003896.105232,1400,0.9064116700627338,0.6853448275862069
1,27,1,-1676003895.5477881,1400,1.4086813423368665,0.38958333333333334
1,30,1,-1676003895.6247752,1400,1.0080446791648865,0.516875
1,31,1,-1676003895.4196143,1400,1.300384269177335,0.6104368932038835
1,7,1,-1676003895.3212352,1400,0.9222353236241774,0.7381993006993007
1,8,1,-1676003894.9257636,1400,1.2813595819146666,0.413527397260274
1,13,1,-1676003894.5720546,1400,1.5076949185616262,0.3327702702702703
1,28,1,-1676003894.4471135,1400,1.4737339860353715,0.3703926282051282
1,40,1,-1676003893.901531,1400,1.4280249207360405,0.35714285714285715
1,6,1,-1676003893.7547195,1400,1.5962702196496756,0.31055699481865284
1,36,1,-1676003893.5217555,1400,0.9775815955523787,0.6787253694581281
1,24,1,-1676003892.9643207,1400,1.6209037474987218,0.288677130044843
1,44,1,-1676003892.4751775,1400,1.581559423477419,0.3678175403225806
2,17,1,-1676003900.3279276,1400,1.275703001022339,0.85
2,27,1,-1676003897.6595883,1400,1.0402313676145343,0.43506944444444445
2,16,1,-1676003898.0062819,1400,0.6763306800276041,0.6028645833333334
2,29,1,-1676003899.233811,1400,0.8032251141433205,0.8448660714285714
2,13,1,-1676003897.5721836,1400,1.2773614115006215,0.40815033783783783
2,39,1,-1676003898.8698003,1400,1.5837818384170532,0.42578125
2,5,1,-1676003901.4104886,1400,1.3869324548299922,0.467781007751938
2,23,1,-1676003898.8156295,1400,0.6764344085929215,0.5887096774193549
2,25,1,-1676003901.0487645,1400,0.9470557019395648,0.5047169811320755
2,45,1,-1676003903.0429173,1400,1.2570261341152769,0.46117424242424243
2,46,1,-1676003900.0860384,1400,1.2374684348284641,0.44100467289719625
2,14,1,-1676003898.0925198,1400,1.5315812826156616,0.32407407407407407
2,3,1,-1676003900.4306202,1400,1.2263542560046305,0.5447230538922155
2,2,1,-1676003899.6199706,1400,1.6039202526211738,0.337890625
2,10,1,-1676003899.7387152,1400,1.3065765920438264,0.5338815789473684
2,48,1,-1676003899.656094,1400,0.9308203975589289,0.7151372832369942
2,19,1,-1676003897.1347797,1400,0.725574884185179,0.6662767379679144
2,32,1,-1676003895.7979126,1400,1.2284856327036593,0.4550531914893617
3,17,1,-1676003912.2099721,1400,0.6331837117671967,0.859375
3,22,1,-1676003906.5919394,1400,1.1961376128658172,0.7661290322580645
3,0,1,-1676003904.5045729,1400,0.3635241792992104,0.8917151162790697
3,4,1,-1676003904.9195623,1400,1.1974431329135653,0.48299050632911394
3,16,1,-1676003905.1536312,1400,0.6359054620067278,0.6380208333333334
3,38,1,-1676003905.2349548,1400,1.5257942512923597,0.48161764705882354
3,30,1,-1676003903.011,1400,0.7217405498027801,0.525
3,23,1,-1676003903.7732368,1400,0.651130889051704,0.6495295698924731
3,7,1,-1676003900.4262807,1400,0.7239151055162604,0.7410402097902098
3,15,1,-1676003904.718377,1400,1.0175235801272922,0.6798115079365079
3,8,1,-1676003903.035369,1400,1.0653627502591643,0.4811643835616438
3,49,1,-1676003903.2379391,1400,1.0144048787110689,0.5589817880794702
3,32,1,-1676003902.7322824,1400,1.0899654865264892,0.5065159574468086
3,34,1,-1676003902.0459723,1400,1.0340335920675476,0.7120646766169154
3,35,1,-1676003899.5688362,1400,1.5082814894160446,0.4257015306122449
3,6,1,-1676003905.4706364,1400,1.3819734834018766,0.38811528497409326
4,17,1,-1676003910.4627218,1400,0.5247594892978669,0.85
4,0,1,-1676003906.1424344,1400,0.3486820899469908,0.8938953488372093
4,12,1,-1676003908.0585196,1400,1.2729166795810063,0.6489583333333333
4,15,1,-1676003905.7369068,1400,0.8353276929211995,0.691468253968254
4,30,1,-1676003916.61488,1400,0.7033068352937698,0.5403125
4,25,1,-1676003906.8901389,1400,0.7177857424852983,0.5256485849056604
4,19,1,-1676003903.4676735,1400,0.5697600307630345,0.7045454545454546
4,2,1,-1676003906.8539383,1400,1.4553174093365668,0.3767578125
4,5,1,-1676003907.0375538,1400,1.2348878226538962,0.4680232558139535
4,6,1,-1676003904.13953,1400,1.3083438329746069,0.43086139896373055
4,32,1,-1676003900.3719413,1400,1.0310162709114399,0.551063829787234
