Round,Cid,Size of parameters,Loss,Accuracy
1,30,88192,1.5241713151335716,0.478515625
1,25,88192,2.3062728345394135,0.0
1,37,88192,2.2873241901397705,0.022916666666666665
1,48,88192,2.283875991900762,0.040364583333333336
1,15,88192,2.2888179192176232,0.016826923076923076
1,18,88192,2.3304792046546936,0.0
1,32,88192,2.3180652856826782,0.0
1,45,88192,2.2890589887445625,0.29545454545454547
1,31,88192,1.8733098290183328,0.26988636363636365
1,2,88192,2.289130210876465,0.23125
1,39,88192,2.3224981111638687,0.0
1,38,88192,2.2755286974065445,0.15808823529411764
1,0,88192,2.3015028834342957,0.0
1,16,88192,1.3309200257062912,0.1171875
1,34,88192,2.3348236734216865,0.0
1,12,88192,2.304894049962362,0.0
1,41,88192,1.2343057632446288,0.29375
1,1,88192,2.2620068474819788,0.48355263157894735
1,42,88192,2.31783029238383,0.0
1,36,88192,1.2365923098155431,0.9129464285714286
1,9,88192,2.3034868439038596,0.0
1,29,88192,2.2879366079966226,0.0
1,49,88192,2.3139397650957108,0.0
1,33,88192,2.3382697741190595,0.014583333333333334
1,27,88192,2.2760810057322183,0.0375
1,22,88192,2.296517324447632,0.0
1,8,88192,1.6959685998804428,0.1479779411764706
1,13,88192,2.315538922945658,0.003472222222222222
1,3,88192,2.2805030800047374,0.19196428571428573
1,46,88192,2.279989997545878,0.06770833333333333
1,4,88192,1.825751801331838,0.14322916666666666
1,47,88192,2.3442740440368652,0.0
1,14,88192,2.28154538737403,0.2725694444444444
1,10,88192,2.3019145503640175,0.0
1,43,88192,2.312726068496704,0.0
1,28,88192,1.6542442120038545,0.21153846153846154
1,23,88192,2.2800681988398233,0.4609375
1,40,88192,2.3258167288520117,0.0
1,11,88192,2.318128127318162,0.0
1,26,88192,2.3146932787365384,0.0685763888888889
1,7,88192,1.411574331919352,0.3458333333333333
1,17,88192,2.3080460131168365,0.0
1,44,88192,2.288518342706892,0.3611111111111111
1,6,88192,2.3244442528691787,0.0
1,21,88192,2.3072279691696167,0.0
1,35,88192,2.286966562271118,0.125
1,20,88192,2.3359391391277313,0.0
1,5,88192,2.308279275894165,0.07421875
1,19,88192,2.2531647000994,0.15625
1,24,88192,2.0271889524800435,0.14732142857142858
2,22,88192,2.2465731620788576,0.55625
2,29,88192,2.3195460637410483,0.0
2,17,88192,2.290986329317093,0.0
2,15,88192,2.335671516565176,0.040865384615384616
2,43,88192,2.3224172592163086,0.0
2,46,88192,2.3144877354303994,0.0
2,37,88192,2.2873241901397705,0.022916666666666665
2,47,88192,2.2786000818014145,0.0625
2,26,88192,2.2734989987479315,0.2517361111111111
2,41,88192,2.0872389554977415,0.29375
2,20,88192,2.354382276535034,0.0
2,14,88192,2.288670433892144,0.2065972222222222
2,45,88192,2.2903289903293955,0.0
2,36,88192,1.8875081879752023,0.9151785714285714
2,38,88192,1.8952007363824284,0.4411764705882353
2,31,88192,2.1710817741625235,0.2708333333333333
2,40,88192,2.3215830651196567,0.14914772727272727
2,33,88192,2.2804941177368163,0.24791666666666667
2,32,88192,2.3180652856826782,0.0
2,48,88192,1.8093467056751251,0.4947916666666667
2,30,88192,2.1290441155433655,0.474609375
2,35,88192,2.319330768151717,0.0
2,5,88192,2.007667824625969,0.4169921875
2,16,88192,1.8419982939958572,0.8828125
2,8,88192,2.139403315151439,0.24080882352941177
2,34,88192,2.3483610261570322,0.0014204545454545455
2,18,88192,2.364697241783142,0.0
2,44,88192,2.310212320751614,0.06076388888888889
2,25,88192,2.3227573335170746,0.0
2,19,88192,1.5615918466023035,0.7544642857142857
