Round,Cid,Size of parameters,Loss,Accuracy
1,18,88192,2.3304792046546936,0.0
1,32,88192,2.3180652856826782,0.0
1,2,88192,2.289130210876465,0.23125
1,12,88192,2.325651105244954,0.0
1,25,88192,2.349630892276764,0.0
1,31,88192,2.3058019117875532,0.02462121212121212
1,19,88192,2.2531647000994,0.15625
1,0,88192,2.3015028834342957,0.0
1,29,88192,2.3195460637410483,0.0
1,28,88192,2.302521485548753,0.001201923076923077
1,27,88192,2.314335648218791,0.0
1,1,88192,2.2620068474819788,0.48355263157894735
1,20,88192,2.2991532683372498,0.0
1,9,88192,2.3129374186197915,0.0
1,8,88192,1.6284137824002434,0.39889705882352944
1,13,88192,2.315538922945658,0.003472222222222222
1,17,88192,2.2941984832286835,0.0
1,7,88192,1.2864272435506185,0.4791666666666667
1,4,88192,1.7959670921166737,0.4088541666666667
1,10,88192,2.3170283883810043,0.08984375
1,22,88192,2.296517324447632,0.0
1,6,88192,2.2982064691083184,0.009698275862068966
1,30,88192,2.326678514480591,0.0
1,23,88192,2.2800681988398233,0.4609375
1,16,88192,1.679364874958992,0.8828125
1,24,88192,1.780272092138018,0.08928571428571429
1,14,88192,1.7715674506293402,0.2760416666666667
1,33,88192,2.282147216796875,0.21875
1,11,88192,2.318128127318162,0.0
1,15,88192,1.36149158844581,0.8581730769230769
1,21,88192,2.297463762760162,0.0
1,34,88192,2.315978624603965,0.0
1,3,88192,2.310046048391433,0.0
1,5,88192,2.308279275894165,0.07421875
1,26,88192,2.3146932787365384,0.0685763888888889
2,17,88192,2.2814902663230896,0.00390625
2,16,88192,1.0353290438652039,0.8828125
2,28,88192,2.302521485548753,0.001201923076923077
2,29,88192,2.3195460637410483,0.0
2,30,88192,2.2871210128068924,0.0078125
2,22,88192,2.2465731620788576,0.55625
2,21,88192,2.2995699048042297,0.0234375
2,33,88192,1.1486989577611288,0.7083333333333334
2,34,88192,2.3077430725097656,0.03125
2,15,88192,1.8508644929298987,0.24519230769230768
2,25,88192,2.3227573335170746,0.0
2,19,88192,2.275439058031355,0.0
2,10,88192,2.3187765330076218,0.0
2,7,88192,1.8044432322184245,0.3416666666666667
2,8,88192,1.9233676826252657,0.24356617647058823
2,26,88192,1.7260527180300818,0.2552083333333333
2,32,88192,1.4843964760120099,0.48197115384615385
2,9,88192,2.284428444173601,0.006076388888888889
2,31,88192,2.079718170744,0.29071969696969696
2,5,88192,1.7621352151036263,0.2119140625
2,24,88192,1.9667232760361262,0.3169642857142857
2,18,88192,2.3069131731987,0.0
2,20,88192,2.300051063299179,0.0
2,0,88192,2.30121256907781,0.0
2,4,88192,2.068417569001516,0.15104166666666666
2,12,88192,2.325619411468506,0.0
2,13,88192,2.315538922945658,0.003472222222222222
2,11,88192,2.298569991038396,0.34615384615384615
2,23,88192,1.453054964542389,0.4348958333333333
2,14,88192,1.9258647627300687,0.2847222222222222
2,27,88192,2.2760810057322183,0.0375
2,1,88192,2.3156973060808683,0.0
2,3,88192,1.5890599829810006,0.20535714285714285
2,6,88192,2.3139870988911597,0.032327586206896554
2,2,88192,2.302216638837542,0.0017857142857142857
3,20,88192,2.0711578130722046,0.62890625
3,17,88192,2.3080460131168365,0.0
3,21,88192,2.2957218289375305,0.0
3,7,88192,2.074241304397583,0.3458333333333333
3,27,88192,2.2760810057322183,0.0375
3,15,88192,1.7575317804629986,0.8581730769230769
3,34,88192,2.3095081611113115,0.017045454545454544
3,0,88192,2.356631815433502,0.0
3,25,88192,2.3227573335170746,0.0
3,2,88192,2.129609203338623,0.20714285714285716
3,1,88192,2.285784119053891,0.004934210526315789
3,13,88192,2.315538922945658,0.003472222222222222
3,18,88192,1.8135829865932465,0.4796875
3,11,88192,2.298569991038396,0.34615384615384615
3,30,88192,1.9937293902039528,0.4765625
3,4,88192,2.181399961312612,0.052083333333333336
3,6,88192,2.3139870988911597,0.032327586206896554
3,31,88192,2.1105462926806826,0.2708333333333333
3,32,88192,1.9861083855995765,0.484375
3,10,88192,2.318602479994297,0.0048828125
3,19,88192,2.3199764660426547,0.001488095238095238
3,23,88192,1.74727064371109,0.5989583333333334
3,3,88192,1.9933363369532995,0.2961309523809524
3,9,88192,2.2995310756895275,0.003472222222222222
3,16,88192,1.917199045419693,0.8828125
3,29,88192,2.2621755599975586,0.03125
3,5,88192,2.0955872014164925,0.2138671875
3,26,88192,2.0747632251845465,0.2604166666666667
3,12,88192,2.280494387944539,0.2604166666666667
3,22,88192,2.295085334777832,0.0
3,8,88192,1.9906745728324442,0.2555147058823529
3,14,88192,2.190276450581021,0.2361111111111111
3,33,88192,1.9464155356089274,0.7083333333333334
3,28,88192,2.328521728515625,0.0
3,24,88192,2.1922533682414462,0.21540178571428573
4,17,88192,2.290986329317093,0.0
4,29,88192,2.3184882005055747,0.0
4,30,88192,2.026062786579132,0.52734375
4,16,88192,1.9623768627643585,0.8828125
4,23,88192,1.8216795921325684,0.6145833333333334
4,19,88192,1.6338777258282615,0.09226190476190477
4,4,88192,2.039392610390981,0.052083333333333336
4,13,88192,2.2493057118521795,0.3020833333333333
4,21,88192,2.297114384174347,0.28125
4,12,88192,2.310575278600057,0.21666666666666667
4,33,88192,1.9593948443730673,0.7083333333333334
4,11,88192,2.3208674650925856,0.003605769230769231
4,14,88192,2.1709464655982122,0.2361111111111111
4,2,88192,2.0246291705540247,0.22678571428571428
4,8,88192,2.0156256205895366,0.2426470588235294
4,34,88192,1.9513717618855564,0.45170454545454547
4,5,88192,2.075842946767807,0.322265625
4,26,88192,2.095526158809662,0.2604166666666667
4,9,88192,2.3016836974355908,0.0008680555555555555
4,28,88192,2.3053506154280443,0.010817307692307692
4,20,88192,2.050308883190155,0.765625
4,18,88192,1.9556588113307953,0.4796875
4,22,88192,2.318198013305664,0.025
4,24,88192,2.0930865151541576,0.27455357142857145
4,1,88192,2.297419698614823,0.09703947368421052
4,7,88192,2.086871592203776,0.33125
4,25,88192,1.781247854232788,0.96484375
4,6,88192,1.9767259770426258,0.3771551724137931
4,0,88192,2.340547283490499,0.020833333333333332
4,27,88192,2.2980643113454184,0.01875
4,10,88192,2.2837652266025543,0.28125
4,15,88192,1.4479552232302153,0.8581730769230769
4,3,88192,2.0055462689626786,0.26785714285714285
4,31,88192,2.134522806514393,0.2803030303030303
4,32,88192,2.0082307366224437,0.47716346153846156
5,25,88192,1.8338657170534134,0.9609375
5,12,88192,2.316202656428019,0.0
5,18,88192,1.9528127372264863,0.475
5,20,88192,1.5464897602796555,0.75390625
5,17,88192,2.311016321182251,0.0
5,21,88192,2.3515771985054017,0.0
5,0,88192,2.3235004345575967,0.0
5,13,88192,2.3082089689042835,0.005208333333333333
5,30,88192,1.9854926839470863,0.517578125
5,14,88192,2.0459976196289062,0.19618055555555555
5,22,88192,2.0359440803527833,0.48125
5,16,88192,1.4827605187892914,0.8828125
5,4,88192,1.953872819741567,0.2838541666666667
5,3,88192,1.929060391017369,0.2767857142857143
