Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,24,1,-1675881507.3201172,88192,0.44444146679564456,0.8588362068965517
1,7,1,-1675881513.4608114,88192,0.645956856245175,0.971875
1,31,1,-1675881513.2069254,88192,1.0830825567245483,0.7151041666666667
1,16,1,-1675881512.6783187,88192,0.541243311113272,0.9395032051282052
1,30,1,-1675881512.5946753,88192,0.7917109410399976,0.7194293478260869
1,28,1,-1675881512.412092,88192,0.8270474225282669,0.798828125
1,8,1,-1675881511.2941191,88192,1.0438183155324725,0.6310763888888888
1,36,1,-1675881510.7166295,88192,0.872467130358912,0.656517094017094
1,41,1,-1675881510.6127481,88192,1.048148779849696,0.6130589430894309
1,4,1,-1675881509.6306386,88192,0.8310333634504959,0.7533482142857143
2,16,1,-1675881520.1288567,88192,0.20773421452404597,0.9527243589743589
2,39,1,-1675881520.1107128,88192,0.8539083539805514,0.6386303191489362
2,10,1,-1675881519.665814,88192,0.678299303712516,0.7521551724137931
2,44,1,-1675881519.5690732,88192,0.7031679720175071,0.7333504098360656
2,48,1,-1675881519.8735075,88192,0.48631737831859817,0.8981854838709677
2,19,1,-1675881518.9636421,88192,0.8122852831540337,0.7460466867469879
2,3,1,-1675881517.7398627,88192,0.7821281786768808,0.7413990825688074
2,5,1,-1675881518.1341555,88192,0.33727022122334815,0.8865840517241379
2,23,1,-1675881517.9902494,88192,0.3875141125923443,0.8630292338709677
3,34,1,-1675881523.418913,88192,1.0582766731580098,0.7041666666666667
3,38,1,-1675881522.7212794,88192,1.061623802956413,0.7357536764705882
3,15,1,-1675881522.0340986,88192,0.7270406538620591,0.8359375
3,30,1,-1675881522.7966816,88192,0.4371190241983403,0.8383152173913043
3,47,1,-1675881520.8225472,88192,0.9029059657356241,0.7074175824175825
3,8,1,-1675881523.1551688,88192,0.7245987627241347,0.7416666666666667
3,23,1,-1675881520.247306,88192,0.15154773150495585,0.9488407258064516
3,4,1,-1675881517.943614,88192,0.43474922818501316,0.8484623015873016
3,40,1,-1675881517.54738,88192,0.40761946950277145,0.8819839015151515
4,15,1,-1675881526.2901192,88192,0.4466833909973502,0.85703125
4,30,1,-1675881524.681436,88192,0.38331777788698673,0.8634510869565217
4,6,1,-1675881526.588536,88192,0.7353761250189706,0.8707107843137255
4,19,1,-1675881525.6046484,88192,0.4212868872536234,0.8618222891566265
4,9,1,-1675881520.8821313,88192,0.6759712347632338,0.77734375
4,5,1,-1675881523.9828649,88192,0.14531676354416614,0.9567618534482759
4,4,1,-1675881518.037553,88192,0.3285808442012658,0.910094246031746
4,25,1,-1675881523.288262,88192,0.537989305596508,0.8395390070921985
5,16,1,-1675881529.7097242,88192,0.23372619985960996,0.9527243589743589
5,29,1,-1675881523.7608626,88192,0.6890024668640561,0.8690972222222222
5,15,1,-1675881530.3831556,88192,0.3852657275274396,0.866015625
5,22,1,-1675881530.5375738,88192,0.3308840722425795,0.9564549180327869
5,1,1,-1675881520.1578097,88192,0.7013027373124177,0.7981954225352113
5,45,1,-1675881526.3695831,88192,0.42707142057682734,0.8797063253012049
5,3,1,-1675881530.039822,88192,0.3811510960750897,0.8870412844036697
5,33,1,-1675881524.4602568,88192,0.6666163366149973,0.7920138888888889
6,31,1,-1675881533.6927931,88192,0.5050770367185274,0.865625
6,16,1,-1675881530.1189072,88192,0.25261876837183267,0.9527243589743589
6,30,1,-1675881528.8875525,88192,0.46295217262661975,0.813858695652174
6,37,1,-1675881534.9861255,88192,0.5799221654068416,0.8556338028169014
6,0,1,-1675881529.4767923,88192,0.5205219860938264,0.844702743902439
6,2,1,-1675881536.111853,88192,0.48983502437778076,0.8659752155172413
6,9,1,-1675881525.0166643,88192,0.46249787172238377,0.8363415948275862
6,5,1,-1675881524.297108,88192,0.1516060110679346,0.9497575431034483
7,34,1,-1675881537.9160078,88192,0.6369859198729197,0.709375
7,6,1,-1675881538.604781,88192,0.3698352487648235,0.8866421568627451
7,3,1,-1675881536.2228596,88192,0.42732656237865807,0.8622419724770642
7,9,1,-1675881536.2439363,88192,0.3281335307060388,0.8995150862068966
7,23,1,-1675881530.4727585,88192,0.2508451719618132,0.903351814516129
7,4,1,-1675881537.3289337,88192,0.44232937782293275,0.8412698412698413
7,20,1,-1675881534.9658144,88192,0.5915733448491665,0.833251953125
7,25,1,-1675881535.7123077,88192,0.35135473199981326,0.8706781914893617
8,14,1,-1675881540.140193,88192,0.7282529660576099,0.6849662162162162
8,8,1,-1675881535.0865397,88192,0.6071309343808227,0.7706597222222222
8,24,1,-1675881536.645103,88192,0.17314984413912926,0.9430675287356322
8,42,1,-1675881531.297237,88192,0.5039493982356203,0.8225203804347826
8,2,1,-1675881530.1452618,88192,0.19475574700707762,0.9403286637931034
8,5,1,-1675881543.3071885,88192,0.09299396379481487,0.9754849137931034
8,23,1,-1675881540.1208827,88192,0.1737637588784339,0.9448084677419355
8,12,1,-1675881534.3371496,88192,0.49670317913374756,0.8579263245033113
9,29,1,-1675881544.8306649,88192,0.23814074301885235,0.9368055555555556
9,17,1,-1675881532.7081294,88192,1.120425257993781,0.5756340579710145
9,0,1,-1675881542.6659145,88192,0.2420385305701596,0.9119664634146342
9,8,1,-1675881533.1992977,88192,0.562910399834315,0.7894097222222223
9,21,1,-1675881535.8047419,88192,0.6571412103161925,0.80625
9,11,1,-1675881542.2619872,88192,0.8566039743379128,0.7104855371900827
9,23,1,-1675881543.259211,88192,0.15223628555559704,0.9477066532258065
10,29,1,-1675881545.5908656,88192,0.2149328304661645,0.9402777777777778
10,30,1,-1675881544.6777525,88192,0.3493872563476148,0.8648097826086957
10,13,1,-1675881537.5235896,88192,0.3573400714988078,0.9617300724637681
10,0,1,-1675881534.0575514,88192,0.2133294878890965,0.9314024390243902
10,27,1,-1675881546.0144567,88192,1.0807471250971923,0.603515625
10,2,1,-1675881533.6510203,88192,0.2057232458088226,0.939520474137931
