Round,Cid,Size of parameters,Loss,Accuracy
1,26,88192,2.3308733304341636,0.0
1,15,88192,2.311350840788621,0.34375
1,35,88192,2.3614177385965984,0.0
1,31,88192,1.2189022501309712,0.953125
1,10,88192,2.279771820704142,0.0
1,5,88192,2.26827187197549,0.0
1,42,88192,2.2747986912727356,0.0
1,47,88192,2.3280500835842557,0.0
1,25,88192,2.326504850387573,0.0
1,23,88192,0.6578696710722787,0.9888392857142857
1,6,88192,1.2402179942411535,0.9007352941176471
1,43,88192,1.0662479400634766,0.6770833333333334
1,49,88192,2.3103378130042036,0.0
1,28,88192,0.9474862865779711,0.6508152173913043
1,48,88192,2.3078191444791596,0.16810344827586207
1,32,88192,2.2742505073547363,0.0
1,1,88192,1.8690690885890613,0.38920454545454547
1,11,88192,2.3417026665475635,0.0
1,33,88192,2.302284922864702,0.0008680555555555555
1,41,88192,1.359592428803444,0.55625
1,38,88192,2.272729374113537,0.5639880952380952
1,34,88192,2.3446250438690184,0.0
1,22,88192,2.3023191747211276,0.19642857142857142
1,9,88192,2.3082134914398194,0.00125
1,7,88192,0.39238245487213136,1.0
1,37,88192,2.33730857188885,0.09615384615384616
1,40,88192,1.0897316231447107,0.6617647058823529
1,16,88192,2.743035771630027,0.10795454545454546
1,20,88192,2.286814421415329,0.0
1,18,88192,2.332595048127351,0.0
1,19,88192,2.2572196529757593,0.39919354838709675
1,12,88192,2.280934844698225,0.5212053571428571
1,46,88192,2.254866501864265,0.7058823529411765
1,8,88192,1.5586329698562622,0.37316176470588236
1,39,88192,2.3332759766351607,0.002976190476190476
1,24,88192,1.1892229264432734,0.3252840909090909
1,21,88192,2.2882619980842835,0.40725806451612906
1,45,88192,2.35383669535319,0.0
1,0,88192,0.8703070104122161,0.9666666666666667
1,27,88192,1.6089126940431266,0.13577586206896552
1,30,88192,0.9262945226260594,0.20089285714285715
1,4,88192,1.7162793363843645,0.24107142857142858
1,17,88192,1.3179077851144891,0.5921052631578947
1,3,88192,2.2484891513983407,0.16927083333333334
1,44,88192,0.8842951854070028,0.7986111111111112
1,14,88192,2.374830115925182,0.0
1,2,88192,2.277764081954956,0.10085227272727272
1,36,88192,1.1850694363767451,0.32670454545454547
1,13,88192,1.1402064820130666,0.6145833333333334
1,29,88192,2.3010881331659134,0.009072580645161291
2,34,88192,2.310729646682739,0.0
2,22,88192,2.2951191720508395,0.008928571428571428
2,30,88192,1.9762077672140939,0.1875
2,31,88192,1.9693547288576763,0.8072916666666666
2,35,88192,2.3313807964324953,0.0
2,42,88192,1.8071317474047344,0.6484375
2,46,88192,2.122222297331866,0.22242647058823528
2,14,88192,2.292416897687045,0.002840909090909091
2,20,88192,2.3230797350406647,0.0
2,10,88192,1.8104195594787598,0.5604166666666667
2,26,88192,2.3021733495924206,0.0
2,36,88192,1.9533681761134754,0.5369318181818182
2,17,88192,1.9845737344340275,0.43256578947368424
2,39,88192,2.317772490637643,0.0
2,29,88192,2.2666734803107476,0.6330645161290323
2,9,88192,2.300612688064575,0.00875
2,32,88192,1.853328723173875,0.6598557692307693
2,48,88192,2.04587434078085,0.4709051724137931
2,19,88192,1.9841398039171774,0.39919354838709675
2,33,88192,2.2938572698169284,0.2421875
2,15,88192,2.320793995490441,0.0
2,6,88192,1.9432666161481071,0.6599264705882353
2,16,88192,2.0824564586986196,0.11647727272727272
2,23,88192,1.7189515914235796,0.9888392857142857
2,47,88192,2.2752818134095936,0.5104166666666666
2,37,88192,1.9324246461574848,0.10336538461538461
2,38,88192,1.9407229593821935,0.41517857142857145
2,28,88192,1.7661451308623604,0.8152173913043478
2,1,88192,2.1863270564512773,0.3835227272727273
2,21,88192,2.292800026555215,0.08770161290322581
2,8,88192,2.062815610100241,0.06801470588235294
2,40,88192,1.9643187733257519,0.7352941176470589
2,11,88192,2.3011994693014355,0.11284722222222222
2,0,88192,1.8188987811406454,0.903125
2,2,88192,1.8940639116547324,0.5994318181818182
2,44,88192,1.7645152144961886,0.9027777777777778
2,18,88192,2.2707306897198714,0.0625
2,27,88192,2.0140300989151,0.47844827586206895
2,24,88192,1.8974551991982893,0.28125
2,3,88192,1.9826596180597942,0.4049479166666667
2,4,88192,2.0697654145104543,0.24107142857142858
2,49,88192,2.3248109299203623,0.0
2,13,88192,1.7445695718129477,0.6083333333333333
2,45,88192,1.7320141858524747,0.6388888888888888
2,7,88192,1.7378242254257201,1.0
2,43,88192,1.9652045011520385,0.6729166666666667
2,25,88192,1.9115514119466146,0.21666666666666667
2,5,88192,1.7788289870534624,0.7142857142857143
2,41,88192,1.96003460586071,0.50859375
2,12,88192,2.3188229373523166,0.0
3,45,88192,1.3436111741595798,0.6388888888888888
3,30,88192,1.0618819509233748,0.1875
3,40,88192,1.156280433430391,0.6617647058823529
3,26,88192,2.2469598717159696,0.3715277777777778
3,7,88192,0.9924431562423706,1.0
3,5,88192,1.4164376769747054,0.7142857142857143
3,17,88192,1.633123567229823,0.4342105263157895
3,4,88192,1.6758179749761308,0.34598214285714285
3,22,88192,2.326075690133231,0.0
3,9,88192,2.277836112976074,0.22625
3,43,88192,1.143449862798055,0.6458333333333334
3,18,88192,2.349729546794185,0.0
3,36,88192,1.5566990538076921,0.40767045454545453
3,1,88192,2.039605205709284,0.3778409090909091
3,24,88192,1.6933358853513545,0.1846590909090909
3,41,88192,1.415146216750145,0.58515625
3,27,88192,1.740936488940798,0.13254310344827586
3,46,88192,2.027383769259733,0.22242647058823528
3,13,88192,1.2609054783980052,0.6135416666666667
3,48,88192,1.6043812077620934,0.4709051724137931
3,31,88192,1.6554979880650837,0.7239583333333334
3,47,88192,2.290579597155253,0.0
3,35,88192,1.753524645169576,0.7625
3,19,88192,1.781592276788527,0.3961693548387097
3,10,88192,1.4413138310114542,0.56875
3,44,88192,0.8660402496655782,0.8819444444444444
