Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,28,1,-1675910603.3155034,89592,1.4788965391807067,0.37560096153846156
1,16,1,-1675910617.0091352,89592,1.2210802485545476,0.5735677083333334
1,41,1,-1675910614.4511938,89592,0.9064116700627338,0.6853448275862069
1,31,1,-1675910614.6838129,89592,1.300384269177335,0.6104368932038835
1,4,1,-1675910616.253324,89592,1.563136334660687,0.4196993670886076
1,30,1,-1675910615.396363,89592,1.0080446791648865,0.516875
1,8,1,-1675910613.578622,89592,1.2813595819146666,0.413527397260274
1,7,1,-1675910611.8984318,89592,0.9222353236241774,0.7381993006993007
1,36,1,-1675910610.7526858,89592,0.9775815955523787,0.6787253694581281
1,24,1,-1675910609.9492722,89592,1.6209037474987218,0.288677130044843
2,38,1,-1675910630.9116342,89592,1.1398487313120973,0.47671568627450983
2,16,1,-1675910628.618827,89592,0.7764656990766525,0.5768229166666666
2,42,1,-1675910629.3689592,89592,0.6600904911756516,0.8442307692307692
2,23,1,-1675910622.2306714,89592,0.7822336387890642,0.5729166666666666
2,5,1,-1675910634.9805658,89592,1.284403032110643,0.4626937984496124
2,48,1,-1675910633.2897587,89592,0.7775573952694159,0.7180274566473989
2,13,1,-1675910625.082442,89592,1.3666168878207337,0.3483952702702703
2,3,1,-1675910619.8450148,89592,1.1117345016159697,0.5282559880239521
2,19,1,-1675910633.8747315,89592,0.630177333871311,0.6946858288770054
2,10,1,-1675910633.1187901,89592,1.2203589872310037,0.5243421052631579
3,38,1,-1675910646.5935519,89592,1.1174196004867554,0.47794117647058826
3,4,1,-1675910654.986321,89592,1.2780879041816615,0.4576740506329114
3,37,1,-1675910640.37556,89592,1.0007968984152142,0.5518092105263158
3,30,1,-1675910654.207612,89592,0.8070816558599472,0.5053125
3,23,1,-1675910636.3087537,89592,0.7476849991788146,0.5698924731182796
3,15,1,-1675910633.7155483,89592,0.9135617419840798,0.6857638888888888
3,48,1,-1675910638.4129415,89592,0.7273321627192415,0.7257947976878613
3,40,1,-1675910638.1959612,89592,1.2669128053528922,0.4082142857142857
3,8,1,-1675910635.4692245,89592,1.1172048049430325,0.457833904109589
3,34,1,-1675910649.5132673,89592,0.9450459821307244,0.7137748756218906
4,4,1,-1675910646.5531561,89592,1.2062105445922175,0.5154272151898734
4,25,1,-1675910652.2112029,89592,0.7972980630847643,0.5168042452830188
4,46,1,-1675910651.3060606,89592,1.0606703574412337,0.5043808411214953
4,30,1,-1675910662.1027431,89592,0.821098148226738,0.50125
