Round,Cid,Size of parameters,Loss,Accuracy
1,15,92064,3.4698363084059496,0.06490384615384616
1,23,92064,2.41827658812205,0.18489583333333334
1,25,92064,2.9853393137454987,0.0
1,37,92064,2.870729112625122,0.11666666666666667
1,11,92064,2.211683355844938,0.27403846153846156
1,41,92064,0.5993169188499451,0.734375
1,32,92064,2.249122353700491,0.042067307692307696
1,30,92064,0.6995614543557167,0.52734375
1,2,92064,2.2840473788125175,0.20625
1,42,92064,2.926944128672282,0.04583333333333333
1,28,92064,1.3622968242718623,0.35096153846153844
1,35,92064,2.5759379213506524,0.07528409090909091
1,5,92064,1.8821436278522015,0.326171875
1,6,92064,1.6775551088925065,0.37176724137931033
1,0,92064,3.5142765442530313,0.0
1,26,92064,2.3248624867863126,0.10677083333333333
1,47,92064,1.985849380493164,0.37109375
1,38,92064,2.5129802227020264,0.1488970588235294
1,12,92064,2.6382007280985516,0.0
1,22,92064,2.5311107635498047,0.24375
1,29,92064,1.9021309614181519,0.3020833333333333
1,9,92064,2.5202424791124134,0.0763888888888889
1,19,92064,3.096817686444237,0.03571428571428571
1,31,92064,2.489564198436159,0.27367424242424243
1,20,92064,3.4906152188777924,0.0
1,1,92064,1.3894508324171368,0.19736842105263158
1,24,92064,1.7318111572946822,0.3872767857142857
1,18,92064,2.02068344950676,0.0
1,16,92064,0.5701810345053673,0.8515625
1,7,92064,1.4060043096542358,0.33958333333333335
1,49,92064,2.0416079238057137,0.041015625
1,3,92064,3.10071983791533,0.12797619047619047
1,43,92064,2.915030574798584,0.0
1,14,92064,2.3211773766411676,0.15104166666666666
1,4,92064,1.48659743865331,0.3984375
1,8,92064,1.8858741627019995,0.22242647058823528
1,21,92064,2.782406377792358,0.0
1,36,92064,0.6038336711270469,0.9107142857142857
1,27,92064,1.860832929611206,0.48333333333333334
1,34,92064,2.9779511365023525,0.0
1,13,92064,1.5271875593397353,0.421875
1,40,92064,1.7020255110480569,0.3125
1,45,92064,2.5989246368408203,0.26988636363636365
1,48,92064,2.708284725745519,0.19270833333333334
1,17,92064,2.155494809150696,0.2890625
1,44,92064,1.48320848080847,0.3975694444444444
1,46,92064,2.100216031074524,0.0
1,39,92064,2.130604666822097,0.13602941176470587
1,10,92064,2.8330269306898117,0.0
1,33,92064,2.0754162788391115,0.0
2,29,89592,2.072066386540731,0.0
2,47,89592,2.533390074968338,0.0
2,10,89592,1.7146271616220474,0.130859375
2,42,89592,1.8410677115122478,0.11666666666666667
2,22,89592,1.2420675039291382,0.49375
2,17,89592,1.5381638258695602,0.22265625
2,14,89592,2.6447610987557306,0.008680555555555556
2,20,89592,3.728222072124481,0.0
2,34,89592,2.4036835648796777,0.40482954545454547
2,48,89592,1.0590439264973004,0.5104166666666666
2,31,89592,2.114846767801227,0.27367424242424243
2,36,89592,0.7778894475528172,0.9129464285714286
2,30,89592,0.8555290251970291,0.48046875
2,35,89592,2.4407088539817114,0.08380681818181818
2,33,89592,3.309732675552368,0.0
2,32,89592,2.9256388132388773,0.0
2,45,89592,1.8772068511356006,0.3068181818181818
2,26,89592,3.061279488934411,0.08506944444444445
2,19,89592,0.23303919321014768,0.9211309523809523
2,9,89592,3.008476416269938,0.1736111111111111
2,23,89592,0.7201607972383499,0.5234375
2,39,89592,2.6590863676632153,0.05330882352941176
2,16,89592,0.63340113312006,0.65234375
2,15,89592,3.589111034686749,0.0
2,0,89592,3.7915391524632773,0.0
2,38,89592,1.0271862359607922,0.44669117647058826
2,6,89592,1.5692262649536133,0.35560344827586204
2,11,89592,2.463340768447289,0.008413461538461538
2,21,89592,2.274290990829468,0.3609375
2,37,89592,1.2230806509653727,0.35833333333333334
2,1,89592,1.456508799603111,0.1924342105263158
2,3,89592,1.187156359354655,0.53125
2,2,89592,1.9348490136010306,0.24285714285714285
2,49,89592,3.3051036447286606,0.0
2,18,89592,3.4100715041160585,0.0
2,24,89592,1.6617169167314256,0.4654017857142857
2,27,89592,0.9849648515383402,0.6020833333333333
2,44,89592,1.4214629431565602,0.4322916666666667
2,8,89592,1.6830294447786667,0.16544117647058823
2,4,89592,1.5362662474314372,0.4010416666666667
2,46,89592,3.5063487688700357,0.0
2,28,89592,1.4082345228928785,0.359375
2,13,89592,1.5410941110716925,0.0642361111111111
2,43,89592,2.4831708908081054,0.0
2,25,89592,2.5574196875095367,0.0
2,12,89592,3.3904708862304687,0.0
2,41,89592,0.8938092827796936,0.41875
2,7,89592,1.3448170979817708,0.34791666666666665
2,5,89592,1.3492219299077988,0.421875
2,40,89592,1.6337164044380188,0.21306818181818182
3,17,89592,1.925430878996849,0.22265625
3,4,89592,1.5286969939867656,0.3541666666666667
3,43,89592,0.0029251243453472854,1.0
3,21,89592,1.8764501690864563,0.35625
3,1,89592,1.555515822611357,0.3125
3,20,89592,3.344396859407425,0.0
3,13,89592,1.639958878358205,0.03993055555555555
3,27,89592,1.0166691700617472,0.6333333333333333
3,34,89592,1.2554422942074863,0.4630681818181818
