Round,Cid,Size of parameters,Loss,Accuracy
1,26,89592,2.112041062778897,0.020833333333333332
1,15,89592,2.3714923675243673,0.01201923076923077
1,30,89592,0.8523308890206474,0.1875
1,5,89592,2.8153815950666154,0.0
1,42,89592,2.9525393644968667,0.0
1,37,89592,2.2751928659585805,0.0
1,25,89592,2.1830209573109944,0.008333333333333333
1,35,89592,1.5794371604919433,0.76875
1,10,89592,2.657726510365804,0.0
1,23,89592,1.6469764624323164,0.6116071428571429
1,28,89592,0.5084024058735889,0.8519021739130435
1,2,89592,2.3890551328659058,0.3068181818181818
1,32,89592,2.9460211166968713,0.0
1,11,89592,2.21310994360182,0.11805555555555555
1,41,89592,1.0321727409958839,0.58046875
1,31,89592,0.6272496581077576,0.8125
1,0,89592,2.1825653553009032,0.0
1,47,89592,2.344258043501112,0.0
1,22,89592,2.049647115525745,0.39880952380952384
1,9,89592,2.1738040161132814,0.00375
1,16,89592,4.063422246412798,0.11363636363636363
1,1,89592,2.2043515010313555,0.5284090909090909
1,38,89592,2.3441197985694524,0.41369047619047616
1,24,89592,0.22025614231824875,0.9886363636363636
1,18,89592,2.5793490056638366,0.1724537037037037
1,29,89592,2.653577873783727,0.0
1,7,89592,0.07396686747670174,1.0
1,19,89592,2.3500459501820226,0.005040322580645161
1,12,89592,2.399314684527261,0.3392857142857143
1,49,89592,2.640646509502245,0.30978260869565216
1,20,89592,2.260460004210472,0.013671875
1,14,89592,2.709364804354581,0.002840909090909091
1,48,89592,2.39534775964145,0.00646551724137931
1,43,89592,2.383927567799886,0.0
1,34,89592,2.917617082595825,0.0
1,27,89592,2.6494733054062416,0.1497844827586207
1,3,89592,2.565398017565409,0.3541666666666667
1,8,89592,1.475169630611644,0.37683823529411764
1,4,89592,1.3681100010871887,0.5959821428571429
1,40,89592,0.7653637353111716,0.7647058823529411
1,44,89592,0.7323419253031412,0.4583333333333333
1,21,89592,2.757963926561417,0.0
1,36,89592,0.8485897969115864,0.8238636363636364
1,17,89592,2.42491216408579,0.003289473684210526
1,13,89592,1.7599153916041057,0.6104166666666667
1,46,89592,2.5080106398638558,0.2757352941176471
1,6,89592,0.45858918042743907,0.9540441176470589
1,45,89592,2.192702611287435,0.3628472222222222
1,39,89592,2.220536481766474,0.01488095238095238
1,33,89592,2.339369535446167,0.2543402777777778
2,42,89592,0.1775582047800223,0.9427083333333334
2,14,89592,1.939057631926103,0.0
2,31,89592,0.7639269729455312,0.84375
2,30,89592,0.8132302250180926,0.1875
2,10,89592,0.3325750152269999,0.975
2,20,89592,2.026416599750519,0.03125
2,22,89592,2.1531437692188082,0.0
2,35,89592,1.1760517994562785,0.76875
2,47,89592,2.2827228440178766,0.003472222222222222
2,17,89592,2.6721440867373816,0.0
2,29,89592,2.4481000900268555,0.0
2,45,89592,0.10683950905998547,0.9913194444444444
2,34,89592,1.8035129308700562,0.05
2,32,89592,1.7942414925648615,0.05889423076923077
2,48,89592,1.639251659656393,0.4709051724137931
2,26,89592,2.114904271231757,0.003472222222222222
2,19,89592,0.3947602779634537,0.9163306451612904
2,33,89592,1.8935589161184099,0.2612847222222222
2,9,89592,2.153998727798462,0.0125
2,36,89592,0.8017742362889376,0.8849431818181818
2,15,89592,2.595978076641376,0.0
2,23,89592,0.038764246473354955,0.9955357142857143
2,16,89592,3.3984276164661753,0.10511363636363637
2,44,89592,0.7127074003219604,0.6875
2,6,89592,0.5779887052143321,0.9742647058823529
2,39,89592,2.0798029558999196,0.0
2,2,89592,0.22928629951043564,0.9417613636363636
2,37,89592,0.13233132316515997,0.9807692307692307
2,21,89592,2.5946970216689573,0.0
2,8,89592,1.4033241832957548,0.3713235294117647
2,0,89592,2.468443727493286,0.0
2,38,89592,0.37029904269036795,0.9672619047619048
2,3,89592,0.36918408547838527,0.9388020833333334
2,1,89592,1.9352606751702048,0.453125
2,49,89592,2.1154705959817637,0.3138586956521739
2,24,89592,0.30287940258329565,0.9772727272727273
2,18,89592,1.6988966155935217,0.21412037037037038
2,28,89592,0.5592100179713705,0.7296195652173914
2,27,89592,1.1534056642959858,0.5086206896551724
2,11,89592,2.3955848614374795,0.0
2,46,89592,2.1450042373993816,0.22242647058823528
2,4,89592,1.3588811755180359,0.5870535714285714
2,25,89592,2.059247064590454,0.016666666666666666
2,43,89592,2.3636600176493325,0.0
2,40,89592,0.7388919626965242,0.78125
2,13,89592,1.5390942553679148,0.6114583333333333
2,12,89592,1.9083179661205836,0.34375
2,5,89592,0.10040871373244695,0.9642857142857143
2,7,89592,0.1290920592844486,1.0
2,41,89592,0.6797981232404708,0.77109375
3,43,89592,0.0998360442618529,0.9791666666666666
3,34,89592,0.2740610927343369,0.94375
3,17,89592,2.2177412572659945,0.31414473684210525
3,30,89592,1.0810767667634147,0.3125
3,7,89592,0.2178542822599411,1.0
3,42,89592,0.24989678213993707,0.9479166666666666
3,21,89592,1.7252437068570046,0.6129032258064516
3,46,89592,1.8014943880193375,0.4834558823529412
3,1,89592,1.507379412651062,0.5326704545454546
3,39,89592,1.2227319308689661,0.5803571428571429
3,6,89592,0.6833912449724534,0.8180147058823529
3,10,89592,0.4047917584578196,0.93125
3,40,89592,0.32692311265889334,0.8621323529411765
3,4,89592,0.46089918272835867,0.8616071428571429
3,20,89592,2.043738730251789,0.16015625
3,38,89592,0.1692524566536858,0.9806547619047619
3,18,89592,2.740125391218397,0.0
3,36,89592,0.9117298153313723,0.5113636363636364
3,13,89592,0.9982377370198567,0.615625
3,27,89592,1.171566235608068,0.35237068965517243
3,31,89592,0.6772462427616119,0.9947916666666666
3,2,89592,0.2836970714005557,0.9616477272727273
3,25,89592,2.0078492164611816,0.18125
3,37,89592,0.09358178824186325,0.9783653846153846
