Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,44,1,-1676093995.4987702,89592,0.7373057995907596,0.7633196721311475
1,31,1,-1676093999.2032306,89592,1.0836309840281804,0.7026041666666667
1,16,1,-1676093999.0183775,89592,0.5439357803895687,0.9391025641025641
1,7,1,-1676093999.4719648,89592,0.647672763443552,0.97421875
1,6,1,-1676093997.8722155,89592,0.7663365303009164,0.8887867647058824
1,28,1,-1676093997.6581762,89592,0.8340060220410427,0.7779947916666666
1,13,1,-1676093997.993319,89592,0.330374753413101,0.9649003623188406
1,1,1,-1676093998.0120237,89592,0.81612132080424,0.7691461267605634
1,30,1,-1676093998.54635,89592,0.7966975848311963,0.7167119565217391
1,24,1,-1676093996.8638325,89592,0.4587172273246721,0.866558908045977
1,8,1,-1676093997.0587142,89592,1.0449094540543027,0.6347222222222222
1,4,1,-1676093996.3526216,89592,0.8244606785417076,0.7454117063492064
1,41,1,-1676093996.3383098,89592,1.0481788138063943,0.6140752032520326
1,36,1,-1676093995.948683,89592,0.8761504649733886,0.6594551282051282
1,40,1,-1676093996.1968572,89592,0.4405766219803781,0.8702651515151515
2,16,1,-1676094004.2014055,89592,0.24627809670682138,0.9399038461538461
2,10,1,-1676094007.5528152,89592,0.3094761360051303,0.888739224137931
2,39,1,-1676094004.1071153,89592,0.5489612207450765,0.7576462765957447
2,45,1,-1676094000.9780755,89592,0.17602466751473494,0.9533132530120482
2,19,1,-1676094002.4079673,89592,0.3891676979880017,0.8670933734939759
2,13,1,-1676094003.7996678,89592,0.1408243433612844,0.9664855072463768
2,48,1,-1676094006.3923483,89592,0.32927222976521137,0.9110383064516129
2,27,1,-1676094006.0421724,89592,0.6265973199445468,0.7750901442307693
2,2,1,-1676094005.3394895,89592,0.20799514853620324,0.9476023706896551
2,23,1,-1676094005.296737,89592,0.18167692558058807,0.9388860887096774
2,5,1,-1676094000.830722,89592,0.14376814447841124,0.9560883620689655
2,3,1,-1676093999.8491917,89592,0.39795782517881023,0.8821674311926605
2,25,1,-1676094000.506705,89592,0.2643147526401366,0.9220966312056738
3,34,1,-1676094009.3667886,89592,0.3951250278701385,0.8578125
3,16,1,-1676094004.3176925,89592,0.21142479703307915,0.9395032051282052
3,15,1,-1676094009.8452973,89592,0.30026056673377755,0.901953125
3,38,1,-1676094005.9463358,89592,0.21488423930371509,0.9402573529411765
3,30,1,-1676094010.641629,89592,0.31609991079439287,0.8923233695652174
3,14,1,-1676094007.2108984,89592,0.336023911229662,0.8657094594594594
3,0,1,-1676094009.542415,89592,0.1460282052299235,0.9578887195121951
3,8,1,-1676094001.9334123,89592,0.4210466934988896,0.8576388888888888
3,47,1,-1676094009.0416296,89592,0.24757819561349168,0.9268543956043956
3,4,1,-1676094005.0011637,89592,0.254565770493909,0.9210069444444444
3,23,1,-1676094002.0362635,89592,0.1368084468262931,0.9572832661290323
3,12,1,-1676094004.305349,89592,0.12337109495250397,0.9699917218543046
4,29,1,-1676094005.0320907,89592,0.08808322517304784,0.9788194444444445
4,30,1,-1676094015.3008466,89592,0.2718432111179699,0.9239130434782609
4,15,1,-1676094007.0011098,89592,0.26250627408735455,0.915234375
4,17,1,-1676094013.0801506,89592,0.44863544760838797,0.8365036231884058
4,1,1,-1676094006.396925,89592,0.23596525139791866,0.9223151408450704
4,6,1,-1676094013.0698488,89592,0.1207619434788677,0.9626225490196079
4,19,1,-1676094010.8835096,89592,0.22343749216342546,0.9280873493975904
4,42,1,-1676094012.4929848,89592,0.14736623420764733,0.9578804347826086
4,5,1,-1676094002.9273787,89592,0.09578095768490036,0.9735991379310345
4,9,1,-1676094010.6592016,89592,0.21260024198523625,0.9381734913793104
4,4,1,-1676094007.5559769,89592,0.16048554495893538,0.9557291666666666
4,25,1,-1676094005.21043,89592,0.1306731083119909,0.9598847517730497
5,16,1,-1676094010.2514772,89592,0.14485999580042866,0.9491185897435898
5,10,1,-1676094019.0087445,89592,0.06546217136502523,0.9819504310344828
5,22,1,-1676094018.301432,89592,0.06587697687219127,0.9802766393442623
5,15,1,-1676094005.8860872,89592,0.21712881978601217,0.94140625
5,29,1,-1676094017.960022,89592,0.0561866939947423,0.9850694444444444
5,1,1,-1676094021.2887318,89592,0.21099975436243792,0.9282570422535211
5,37,1,-1676094015.0829954,89592,0.05931916886048628,0.9826144366197183
5,49,1,-1676094008.6146061,89592,0.24000194168301545,0.9223484848484849
5,3,1,-1676094019.027123,89592,0.1528083039191338,0.9555619266055045
5,11,1,-1676094016.3817146,89592,0.23356715645179277,0.924845041322314
5,33,1,-1676094017.9630213,89592,0.1686845528996653,0.9472222222222222
5,32,1,-1676094011.7984014,89592,0.10920427205913345,0.9680897887323944
6,31,1,-1676094023.7787826,89592,0.05976711805754652,0.9859375
6,16,1,-1676094014.060596,89592,0.1363852975460199,0.9511217948717948
6,15,1,-1676094023.7832148,89592,0.17067545949248597,0.95
6,18,1,-1676094020.2357461,89592,0.07526587371507452,0.9791666666666666
6,0,1,-1676094019.135206,89592,0.04540398302942333,0.9887576219512195
6,24,1,-1676094017.7343566,89592,0.04766510888645104,0.9850933908045977
6,21,1,-1676094020.4846091,89592,0.07968776691261502,0.9797619047619047
6,2,1,-1676094019.551475,89592,0.054434992542594735,0.984375
6,9,1,-1676094013.063883,89592,0.13600582036125505,0.9601293103448276
6,5,1,-1676094010.0127928,89592,0.044853312638788966,0.986395474137931
6,43,1,-1676094019.1517687,89592,0.13229842316114196,0.9600123355263158
7,16,1,-1676094021.2372215,89592,0.12462194027223934,0.9535256410256411
7,31,1,-1676094021.112356,89592,0.04039807252120227,0.9890625
7,6,1,-1676094026.843068,89592,0.0577223353160947,0.9810049019607843
7,18,1,-1676094015.9610536,89592,0.06580820226938361,0.9820601851851852
7,1,1,-1676094028.275469,89592,0.17809271115914616,0.9421214788732394
7,3,1,-1676094026.363535,89592,0.11217227582435269,0.9686066513761468
7,9,1,-1676094019.9435694,89592,0.10420427884071551,0.9678071120689655
7,11,1,-1676094020.2695732,89592,0.18195191434438318,0.9429235537190083
7,4,1,-1676094010.6368961,89592,0.1059351033819396,0.9682539682539683
7,25,1,-1676094019.8931267,89592,0.07026508918233507,0.978834219858156
7,20,1,-1676094020.8611128,89592,0.07519584558031056,0.9779052734375
8,7,1,-1676094014.6027744,89592,0.042443636826828876,0.98359375
8,31,1,-1676094029.3048716,89592,0.038812050747219475,0.9895833333333334
8,16,1,-1676094024.6628983,89592,0.12464149518965338,0.953125
8,14,1,-1676094029.0067036,89592,0.20871435777863134,0.9408783783783784
8,24,1,-1676094023.0723329,89592,0.03225695473695945,0.9906609195402298
8,8,1,-1676094031.084298,89592,0.17758758160182173,0.9425347222222222
8,2,1,-1676094017.0188508,89592,0.04432388365666125,0.9880118534482759
8,23,1,-1676094020.681228,89592,0.06358200960957835,0.9793346774193549
8,4,1,-1676094019.4344761,89592,0.09384633733388333,0.9732142857142857
8,25,1,-1676094029.483328,89592,0.05927030050942133,0.9818262411347518
8,12,1,-1676094020.7062492,89592,0.05486726894009464,0.9838576158940397
9,16,1,-1676094039.909152,89592,0.12817734129016456,0.9555288461538461
9,10,1,-1676094032.341124,89592,0.029892046446109127,0.9927262931034483
9,29,1,-1676094034.394607,89592,0.0242691521500496,0.9920138888888889
9,17,1,-1676094025.962569,89592,0.32377357853819494,0.8879076086956522
9,14,1,-1676094031.6976185,89592,0.18648525815759157,0.948902027027027
9,0,1,-1676094023.1823912,89592,0.03294663550935561,0.9902820121951219
9,8,1,-1676094031.6792107,89592,0.15309910379971067,0.9493055555555555
9,19,1,-1676094026.805123,89592,0.13537381738087678,0.9615963855421686
9,2,1,-1676094035.0621388,89592,0.04162260275891107,0.9878771551724138
9,23,1,-1676094018.336241,89592,0.05866489216831753,0.9819808467741935
9,11,1,-1676094027.5207174,89592,0.1589048257220752,0.9510588842975206
10,26,1,-1676094034.942413,89592,0.2743249185956441,0.9344951923076923
10,30,1,-1676094021.0178666,89592,0.06931206989911912,0.9782608695652174
10,15,1,-1676094037.8580718,89592,0.11531381086679175,0.965625
10,46,1,-1676094042.1165044,89592,0.1299717391084414,0.955078125
10,29,1,-1676094028.8433151,89592,0.02843929488832752,0.990625
