Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,27,1,-1675969425.0147173,89592,1.4167440897888608,0.3836805555555556
1,16,1,-1675969430.4595222,89592,1.2210802485545476,0.5735677083333334
1,0,1,-1675969430.3944144,89592,0.9856363209181054,0.8502906976744186
1,12,1,-1675969429.8979337,89592,1.3154841681321463,0.6322916666666667
1,4,1,-1675969428.650792,89592,1.563136334660687,0.4196993670886076
1,20,1,-1675969428.1714687,89592,1.0242383808232425,0.5561797752808989
1,7,1,-1675969426.4069128,89592,0.9222353236241774,0.7381993006993007
1,15,1,-1675969426.4143865,89592,1.0697317809339553,0.6798115079365079
1,30,1,-1675969427.5551896,89592,1.0080446791648865,0.516875
1,14,1,-1675969423.7830548,89592,1.5630278480116022,0.31746031746031744
1,3,1,-1675969424.6544027,89592,1.232399546814536,0.5417290419161677
1,8,1,-1675969426.034004,89592,1.2813595819146666,0.413527397260274
1,6,1,-1675969424.2435615,89592,1.5962702196496756,0.31055699481865284
1,24,1,-1675969424.1293392,89592,1.6209037474987218,0.288677130044843
2,21,1,-1675969443.2832763,89592,0.93868408203125,0.5375
2,25,1,-1675969449.5565152,89592,0.7829020428207686,0.5162146226415094
2,23,1,-1675969448.3140228,89592,0.7989041029766042,0.5480510752688172
2,31,1,-1675969443.5937064,89592,1.1000806625606945,0.6268203883495146
2,8,1,-1675969434.9200253,89592,1.1544477037371021,0.421875
2,5,1,-1675969448.1457946,89592,1.2998935520186905,0.45978682170542634
2,3,1,-1675969434.8124518,89592,1.0876907920409105,0.5434131736526946
2,6,1,-1675969436.7492058,89592,1.442491441810687,0.3541126943005181
2,28,1,-1675969447.3954325,89592,1.3123079171547523,0.4036458333333333
2,9,1,-1675969439.6388025,89592,1.392862215422202,0.40655193236714976
2,33,1,-1675969445.7732186,89592,1.352754392180332,0.38226744186046513
2,26,1,-1675969435.768448,89592,1.5724826133187442,0.33288770053475936
2,19,1,-1675969439.5440834,89592,0.6273349354611361,0.6869986631016043
2,32,1,-1675969445.5055325,89592,1.1642731420537258,0.4545212765957447
3,17,1,-1675969461.475661,89592,0.8277435570955276,0.771875
3,0,1,-1675969456.1160269,89592,0.4240601832090422,0.8786337209302325
3,20,1,-1675969449.1548812,89592,0.7205584370688106,0.6313202247191011
3,30,1,-1675969454.8747652,89592,0.7967754465341568,0.5065625
3,23,1,-1675969445.6989515,89592,0.7643279837023828,0.5648521505376344
3,15,1,-1675969451.008981,89592,0.8778497430067214,0.6775793650793651
3,7,1,-1675969454.7811854,89592,0.7552427828728736,0.7303321678321678
3,8,1,-1675969441.5257778,89592,1.1020029517885757,0.4657534246575342
3,19,1,-1675969447.857232,89592,0.5756934778416221,0.7267713903743316
3,18,1,-1675969455.3272696,89592,0.6483846886650376,0.6645720108695652
3,34,1,-1675969449.8539252,89592,0.9487260677921239,0.7140858208955224
3,6,1,-1675969441.9178357,89592,1.412984385391591,0.38082901554404147
3,2,1,-1675969442.3144608,89592,1.455823577940464,0.4203125
3,33,1,-1675969446.3907893,89592,1.333266844860343,0.40494186046511627
4,17,1,-1675969473.0907867,89592,0.6475304573774338,0.846875
4,0,1,-1675969455.6640446,89592,0.4205085257458132,0.877906976744186
4,12,1,-1675969464.8060381,89592,0.9178297907114029,0.6505208333333333
4,4,1,-1675969460.5107539,89592,1.1904008765763874,0.5162183544303798
4,25,1,-1675969457.8784904,89592,0.7964145760491209,0.5053066037735849
4,15,1,-1675969448.0138435,89592,0.8856787374095311,0.6820436507936508
4,7,1,-1675969472.8675382,89592,0.719820801403139,0.7331730769230769
4,28,1,-1675969462.350356,89592,1.2317636868892572,0.45532852564102566
4,34,1,-1675969466.9643064,89592,0.9235618685311939,0.7179726368159204
4,19,1,-1675969462.6225195,89592,0.5220388954973476,0.7710561497326203
4,2,1,-1675969446.7809002,89592,1.4041601419448853,0.4525390625
4,1,1,-1675969460.8646672,89592,1.252902350097737,0.3994708994708995
4,6,1,-1675969467.1156805,89592,1.3655404068645418,0.41369818652849744
4,9,1,-1675969462.008692,89592,1.2262874930953058,0.5031702898550725
5,22,1,-1675969475.0501893,89592,0.558236634058337,0.8125
5,29,1,-1675969476.9719334,89592,0.42650578383888516,0.8560267857142857
5,16,1,-1675969458.8587365,89592,0.763572670519352,0.6419270833333334
5,12,1,-1675969478.6026142,89592,0.8924948945641518,0.6505208333333333
5,20,1,-1675969492.4140582,89592,0.6774159649784646,0.672752808988764
5,31,1,-1675969478.4055912,89592,0.9809474563135684,0.6298543689320388
5,5,1,-1675969483.1334891,89592,1.1930309677308844,0.49200581395348836
5,15,1,-1675969469.1067798,89592,0.8634697042760395,0.6723710317460317
5,7,1,-1675969472.6126857,89592,0.6997806052644769,0.7368881118881119
5,3,1,-1675969472.9583306,89592,1.0819904365225466,0.5280688622754491
5,11,1,-1675969466.0059326,89592,0.9849007818150648,0.5558155080213903
5,1,1,-1675969469.5627975,89592,1.2003549807286136,0.4384920634920635
5,24,1,-1675969456.040368,89592,1.3075226681649417,0.4489910313901345
5,32,1,-1675969474.3512158,89592,1.0754422197950648,0.5273936170212766
6,0,1,-1675969489.945831,89592,0.36688875944115396,0.8829941860465116
6,16,1,-1675969466.9730659,89592,0.7520126228531202,0.6451822916666666
6,21,1,-1675969486.1003637,89592,0.744332321981589,0.70625
6,23,1,-1675969474.69219,89592,0.7442142402613035,0.6122311827956989
6,31,1,-1675969481.7084255,89592,0.9635932561263297,0.6322815533980582
6,4,1,-1675969479.5103939,89592,1.1069909967953646,0.5617088607594937
6,30,1,-1675969487.331467,89592,0.7548838293552399,0.55625
6,15,1,-1675969483.852307,89592,0.8569379704339164,0.6815476190476191
6,18,1,-1675969478.1813233,89592,0.5010892852492954,0.7873641304347826
6,2,1,-1675969475.6806977,89592,1.351454009488225,0.493359375
6,5,1,-1675969491.9302583,89592,1.1803786634474762,0.49103682170542634
6,10,1,-1675969491.051087,89592,1.0622896357586509,0.5758223684210526
6,11,1,-1675969484.09058,89592,0.9520980951620296,0.5668449197860963
6,24,1,-1675969481.1874151,89592,1.2685203375837728,0.4743553811659193
7,17,1,-1675969520.7920504,89592,0.5894870221614837,0.834375
7,16,1,-1675969493.5335822,89592,0.7182680771996578,0.6783854166666666
7,20,1,-1675969520.2279527,89592,0.6181299934226475,0.7169943820224719
7,31,1,-1675969487.923436,89592,0.9408917583308174,0.6298543689320388
7,25,1,-1675969474.959986,89592,0.7742655378467632,0.5138561320754716
7,18,1,-1675969494.4939394,89592,0.4834598110097906,0.7965353260869565
7,26,1,-1675969480.8712428,89592,1.3245064880758683,0.4742647058823529
7,11,1,-1675969480.2778792,89592,0.9300927548485006,0.5835561497326203
7,3,1,-1675969478.974851,89592,1.0647384231675885,0.5334955089820359
7,1,1,-1675969483.1738367,89592,1.1454914631666961,0.4697420634920635
7,2,1,-1675969482.920501,89592,1.3163697592914105,0.508203125
7,6,1,-1675969488.4378905,89592,1.2755590986093708,0.4522344559585492
7,9,1,-1675969476.3574848,89592,1.1206869811251543,0.5495169082125604
7,24,1,-1675969494.720745,89592,1.2240846384266566,0.500560538116592
8,22,1,-1675969529.6412582,89592,0.5342692079082612,0.8225806451612904
8,16,1,-1675969505.7089329,89592,0.7445686099429926,0.67578125
8,12,1,-1675969548.304212,89592,0.797756647070249,0.6838541666666667
8,4,1,-1675969486.8605132,89592,1.0462525660478617,0.5854430379746836
8,23,1,-1675969505.945929,89592,0.7371398736071842,0.6206317204301075
8,20,1,-1675969493.2303674,89592,0.5605721272779315,0.75
8,30,1,-1675969489.1174953,89592,0.7205502396821976,0.5890625
8,8,1,-1675969493.9704382,89592,0.9401661112700423,0.5856164383561644
8,2,1,-1675969493.0187745,89592,1.3080686699599027,0.5140625
8,7,1,-1675969514.7744422,89592,0.6550238722271019,0.7552447552447552
8,1,1,-1675969489.0898747,89592,1.115399231355657,0.49289021164021163
8,6,1,-1675969507.304242,89592,1.23792702484625,0.47134067357512954
8,14,1,-1675969496.583071,89592,1.2213801035174616,0.48412698412698413
8,24,1,-1675969528.4509614,89592,1.1832029421233277,0.5255044843049327
9,17,1,-1675969551.7842057,89592,0.5348761200904846,0.86875
9,0,1,-1675969529.5891876,89592,0.3580576806913975,0.8859011627906976
9,16,1,-1675969519.3793507,89592,0.6965903726716837,0.6920572916666666
9,29,1,-1675969523.735035,89592,0.3442705545042242,0.8699776785714286
9,21,1,-1675969499.669402,89592,0.6957108095288277,0.7421875
9,23,1,-1675969515.4822493,89592,0.6888658436395789,0.6643145161290323
9,27,1,-1675969514.4675171,89592,1.001222574048572,0.5013888888888889
9,8,1,-1675969537.836294,89592,0.9029834233734706,0.6061643835616438
9,19,1,-1675969500.4839308,89592,0.4418665287010172,0.8221925133689839
9,5,1,-1675969504.5694633,89592,1.1232106011043224,0.5213178294573644
9,2,1,-1675969532.5443695,89592,1.286183800548315,0.525390625
9,10,1,-1675969495.6877482,89592,0.9422659212037137,0.6450657894736842
9,26,1,-1675969534.3643022,89592,1.243707260983513,0.5073529411764706
9,14,1,-1675969501.6970744,89592,1.1772426966006162,0.4978505291005291
10,0,1,-1675969544.9640827,89592,0.37282417627961134,0.8859011627906976
10,16,1,-1675969525.472472,89592,0.6493777496119341,0.6927083333333334
10,20,1,-1675969500.8842103,89592,0.5624211929487378,0.7608848314606742
10,30,1,-1675969505.912324,89592,0.7164681780338288,0.600625
10,27,1,-1675969573.2317178,89592,0.9553656114472283,0.5152777777777777
10,15,1,-1675969511.1222224,89592,0.8611423538790809,0.673859126984127
10,8,1,-1675969528.1222806,89592,0.8777870915523948,0.6243578767123288
10,5,1,-1675969530.886661,89592,1.1144851441531218,0.529796511627907
10,26,1,-1675969537.0378911,89592,1.2133721827185728,0.5227272727272727
10,28,1,-1675969507.7751265,89592,1.0551282186538746,0.5580929487179487
10,2,1,-1675969536.439278,89592,1.2665104720741511,0.5181640625
10,1,1,-1675969501.8941288,89592,1.0765910656363875,0.5221560846560847
10,6,1,-1675969532.5549328,89592,1.1757955656150463,0.5105246113989638
10,14,1,-1675969519.0886993,89592,1.1492706389023513,0.5193452380952381
11,16,1,-1675969536.6050413,89592,0.6090525798499584,0.7317708333333334
11,29,1,-1675969528.0179727,89592,0.3244014922529459,0.8816964285714286
11,12,1,-1675969516.6943622,89592,0.746341864267985,0.7260416666666667
11,20,1,-1675969537.7849872,89592,0.5252681327669808,0.7780898876404494
11,25,1,-1675969540.7856228,89592,0.7955671970574361,0.5221108490566038
11,30,1,-1675969538.3766658,89592,0.6951158821582795,0.618125
11,15,1,-1675969543.3962743,89592,0.83869544972503,0.6763392857142857
11,5,1,-1675969582.010098,89592,1.0784031762633213,0.5530523255813954
11,28,1,-1675969554.0157976,89592,1.0140046996948047,0.5713141025641025
11,3,1,-1675969533.8535595,89592,1.041375123455139,0.5202095808383234
11,34,1,-1675969508.232614,89592,0.7213554841962027,0.7472014925373134
11,14,1,-1675969513.3044393,89592,1.1185366482961745,0.5315806878306878
11,19,1,-1675969536.5117218,89592,0.4278199304552639,0.8342245989304813
11,9,1,-1675969508.5502439,89592,1.080928136761062,0.5786533816425121
12,17,1,-1675969549.3143425,89592,0.35837631225585936,0.909375
12,22,1,-1675969564.1081982,89592,0.4120243850254243,0.8588709677419355
12,0,1,-1675969556.7949922,89592,0.29768525861030404,0.9026162790697675
12,12,1,-1675969547.7861338,89592,0.7196051999926567,0.7177083333333333
12,30,1,-1675969560.643049,89592,0.706888787150383,0.6059375
12,20,1,-1675969575.6203637,89592,0.48760000775369366,0.797752808988764
12,15,1,-1675969533.6948783,89592,0.8127288553449843,0.6897321428571429
12,7,1,-1675969545.6038668,89592,0.5597114602585772,0.7867132867132867
12,8,1,-1675969514.8655987,89592,0.835960670285029,0.6556078767123288
12,11,1,-1675969538.9923713,89592,0.7844762041925747,0.6609291443850267
12,14,1,-1675969585.6739013,89592,1.0982397293287611,0.5393518518518519
