Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,27,1,-1676076198.7949643,89592,1.3782644804853659,0.5051081730769231
1,7,1,-1676076203.3360329,89592,1.2644925013184547,0.9484375
1,15,1,-1676076203.0821075,89592,1.0602055624127389,0.83125
1,6,1,-1676076202.5889566,89592,1.2582348550067228,0.8118872549019608
1,16,1,-1676076202.8158789,89592,0.851068469003225,0.9254807692307693
1,30,1,-1676076202.7422295,89592,1.0849956364735314,0.6671195652173914
1,14,1,-1676076202.5394514,89592,0.9222639404438637,0.644847972972973
1,24,1,-1676076202.3420231,89592,0.7738592849038113,0.7611350574712644
1,12,1,-1676076201.4793434,89592,0.8578662885143268,0.7384105960264901
1,0,1,-1676076202.50443,89592,0.8578226918854365,0.7176067073170732
1,8,1,-1676076202.3045847,89592,1.2994561162259843,0.5579861111111111
1,3,1,-1676076202.1137054,89592,1.2912596887951597,0.5685206422018348
1,4,1,-1676076201.713015,89592,1.2662531449681236,0.5922619047619048
1,20,1,-1676076201.7864506,89592,0.9529758582357317,0.75439453125
2,31,1,-1676076207.497375,89592,0.5933210680882136,0.8572916666666667
2,26,1,-1676076205.8105536,89592,0.762876244691702,0.6694711538461539
2,6,1,-1676076207.3718119,89592,0.41189293563365936,0.9240196078431373
2,28,1,-1676076208.612146,89592,0.6629485252002875,0.7467447916666666
2,19,1,-1676076206.0233898,89592,0.6022772280925728,0.8008283132530121
2,8,1,-1676076204.2468605,89592,0.8600688166088528,0.675
2,21,1,-1676076204.3645873,89592,0.492204588722615,0.8583333333333333
2,5,1,-1676076207.8760917,89592,0.29480319871599303,0.8917025862068966
2,23,1,-1676076207.8107731,89592,0.3813439378695142,0.8550907258064516
2,33,1,-1676076207.6271532,89592,0.5964860756088186,0.8134259259259259
2,3,1,-1676076205.7355063,89592,0.6191677459336202,0.794151376146789
2,9,1,-1676076204.371555,89592,0.6273417477977687,0.7801724137931034
2,32,1,-1676076207.2448795,89592,0.46619323404951835,0.8415492957746479
2,25,1,-1676076206.9962397,89592,0.4391314262088309,0.880540780141844
3,15,1,-1676076209.401127,89592,0.4111337373033166,0.853125
3,7,1,-1676076210.6385899,89592,0.23008710285648704,0.95
3,34,1,-1676076209.7158682,89592,0.6096343562006951,0.7458333333333333
3,18,1,-1676076206.3484032,89592,0.4382108786591777,0.8611111111111112
3,30,1,-1676076208.8419797,89592,0.484208426721718,0.7921195652173914
3,6,1,-1676076207.4477777,89592,0.21196851411870882,0.9479166666666666
3,19,1,-1676076207.0725443,89592,0.41534204879798087,0.8610692771084337
3,0,1,-1676076208.5849223,89592,0.27813160773820994,0.9119664634146342
3,8,1,-1676076208.8448324,89592,0.6815563344293171,0.7541666666666667
3,17,1,-1676076209.1792653,89592,0.8153498410314753,0.6408514492753623
3,2,1,-1676076209.0505626,89592,0.24091962512967915,0.927801724137931
3,23,1,-1676076206.9196393,89592,0.2698555911680864,0.9059979838709677
3,20,1,-1676076209.2740312,89592,0.27977583260508254,0.914306640625
3,33,1,-1676076209.229013,89592,0.3975352781790274,0.8671296296296296
4,34,1,-1676076210.1199138,89592,0.5058385282754898,0.8177083333333334
4,7,1,-1676076211.452127,89592,0.18900489516090602,0.95
4,15,1,-1676076212.564111,89592,0.3604938186705112,0.8734375
4,6,1,-1676076210.3703315,89592,0.15966502730460727,0.9577205882352942
4,1,1,-1676076210.6909957,89592,0.5201429225189586,0.8116197183098591
4,28,1,-1676076211.4819472,89592,0.40147146334250766,0.84765625
4,0,1,-1676076210.32856,89592,0.20497851573475978,0.932545731707317
4,17,1,-1676076210.2318912,89592,0.688138136829155,0.7210144927536232
4,19,1,-1676076210.4453907,89592,0.30678077338330717,0.9043674698795181
4,9,1,-1676076208.3530638,89592,0.3414879414606197,0.888739224137931
4,4,1,-1676076207.2911844,89592,0.320208941246309,0.9047619047619048
4,2,1,-1676076209.9439085,89592,0.15997387993888096,0.953125
4,12,1,-1676076207.3222685,89592,0.15220628622055843,0.9631622516556292
4,25,1,-1676076212.8637202,89592,0.21208995099820144,0.9317375886524822
5,7,1,-1676076212.957073,89592,0.1700848978711292,0.95
5,31,1,-1676076215.3304172,89592,0.13395545625438293,0.96875
5,15,1,-1676076212.240906,89592,0.34339604233391585,0.89140625
5,16,1,-1676076213.5451136,89592,0.21019802003716812,0.9407051282051282
5,29,1,-1676076212.7319863,89592,0.0763727818408774,0.9840277777777777
5,22,1,-1676076217.2349758,89592,0.12543105376792735,0.9605532786885246
5,1,1,-1676076211.8289533,89592,0.43495915620259834,0.8446302816901409
5,24,1,-1676076214.8660276,89592,0.09434393166039867,0.975933908045977
5,5,1,-1676076212.3644934,89592,0.10488516384543016,0.9671336206896551
5,11,1,-1676076216.789805,89592,0.4215425255993181,0.8517561983471075
5,20,1,-1676076213.7924745,89592,0.1488844865380088,0.95654296875
5,3,1,-1676076213.6594203,89592,0.23285262566914253,0.9377866972477065
5,32,1,-1676076207.684117,89592,0.1887495404791454,0.9410211267605634
5,12,1,-1676076209.9983943,89592,0.11074172806562177,0.9714403973509934
6,31,1,-1676076210.1604493,89592,0.1036414314682285,0.9739583333333334
6,15,1,-1676076216.7794318,89592,0.3244499957421795,0.88984375
6,18,1,-1676076215.8680484,89592,0.12611970464112582,0.9670138888888888
6,16,1,-1676076217.24347,89592,0.19609137941211557,0.9326923076923077
6,30,1,-1676076214.3378303,89592,0.4121436392483504,0.8668478260869565
