Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,16,1,-1677702642.4003987,3515176,0.03810670634265989,0.5638020833333334
1,4,1,-1677702646.6687956,3515176,0.04877934496425375,0.43156645569620256
1,8,1,-1677702645.4308808,3515176,0.04004075988004469,0.4175941780821918
1,48,1,-1677702644.9370763,3515176,0.027877946545752142,0.7097182080924855
1,36,1,-1677702643.6903107,3515176,0.030368331613321902,0.6790332512315271
2,23,1,-1677702656.0275419,17520,0.032939949062883216,0.5470430107526881
2,5,1,-1677702654.377805,17520,0.047767597431129266,0.4808624031007752
2,3,1,-1677702646.7280812,17520,0.04164893197977614,0.5480913173652695
2,10,1,-1677702654.0062284,17520,0.04336061101210745,0.5269736842105263
3,38,1,-1677702661.968257,19560,0.05085724928215438,0.49387254901960786
3,15,1,-1677702660.6335828,19560,0.03613864494458077,0.6812996031746031
3,8,1,-1677702660.032854,19560,0.0369776943570947,0.519263698630137
3,34,1,-1677702654.5423782,19560,0.036454026017393636,0.7061567164179104
4,15,1,-1677702656.4017487,21600,0.02677471943140503,0.6912202380952381
4,49,1,-1677702661.416961,21600,0.03419265397731831,0.5829884105960265
4,19,1,-1677702660.9463792,21600,0.026017951634637812,0.6697860962566845
4,6,1,-1677702667.3459125,21600,0.05398796286453237,0.2967940414507772
5,22,1,-1677702664.7617197,21600,0.045973483232721206,0.7610887096774194
5,16,1,-1677702676.754905,21600,0.026988037473832566,0.6321614583333334
5,41,1,-1677702674.606563,21600,0.032148432821549215,0.6584051724137931
5,46,1,-1677702673.9506698,21600,0.046343390246696564,0.4407126168224299
6,16,1,-1677702678.6139808,21600,0.02269278901318709,0.6634114583333334
6,37,1,-1677702675.9436321,21600,0.04346970307003511,0.5633223684210527
6,31,1,-1677702683.0517373,21600,0.04110037671058502,0.6328883495145631
6,5,1,-1677702676.0046675,21600,0.04117625495491102,0.48207364341085274
7,20,1,-1677702677.1275852,21600,0.03559455679457509,0.5832162921348315
7,25,1,-1677702670.5063298,21600,0.03254784696366427,0.5274174528301887
7,45,1,-1677702678.1123223,21600,0.04488718941469084,0.4559659090909091
7,9,1,-1677702683.0292406,21600,0.05049758327108075,0.39266304347826086
8,23,1,-1677702685.6116502,21600,0.025493702761107875,0.6189516129032258
8,8,1,-1677702686.0875947,21600,0.03337656820116386,0.5612157534246576
8,14,1,-1677702678.9523067,21600,0.05093984386671788,0.3404431216931217
8,24,1,-1677702679.8197374,21600,0.05465267105821537,0.30591367713004486
9,17,1,-1677702694.1565795,21600,0.06058553904294968,0.85625
9,29,1,-1677702699.4607255,21600,0.032626495397250564,0.8125
9,43,1,-1677702687.694256,21600,0.017665924471721314,0.9473684210526315
9,23,1,-1677702693.890657,21600,0.02099451809240285,0.6532258064516129
10,39,1,-1677702695.066418,21600,0.05095303652342409,0.4182942708333333
10,27,1,-1677702694.7210996,21600,0.0438230628768603,0.41458333333333336
10,30,1,-1677702687.4896686,21600,0.03427488235756755,0.51
10,2,1,-1677702687.3306603,21600,0.05273111839778721,0.358203125
11,29,1,-1677702710.6400628,21600,0.01704772819565343,0.8610491071428571
11,28,1,-1677702692.1155748,21600,0.0484395890425031,0.3954326923076923
11,35,1,-1677702692.5990407,21600,0.05234432391518233,0.41964285714285715
11,32,1,-1677702696.715284,21600,0.04280075441966666,0.45146276595744683
12,17,1,-1677702697.4347045,21600,0.026752199977636337,0.85625
12,30,1,-1677702716.698824,21600,0.024232321344316007,0.543125
12,33,1,-1677702706.439145,21600,0.049113545896008956,0.39811046511627907
13,16,1,-1677702705.1299407,21600,0.023216043637755018,0.6848958333333334
13,18,1,-1677702714.6280675,21600,0.02900120904466704,0.6030910326086957
13,11,1,-1677702719.5318599,21600,0.04390138604822643,0.4742647058823529
14,15,1,-1677702726.7049773,21600,0.029564549717756492,0.6912202380952381
14,6,1,-1677702714.3888168,21600,0.04750115046074971,0.35783678756476683
14,33,1,-1677702720.7008028,21600,0.042462476828070576,0.4174418604651163
15,0,1,-1677702718.8105779,21600,0.031396448244015836,0.8771802325581395
15,13,1,-1677702722.0941594,21600,0.050608091836644185,0.34776182432432434
15,33,1,-1677702727.435665,21600,0.03977016768483228,0.46075581395348836
16,23,1,-1677702730.7769494,21600,0.0221113660523007,0.699260752688172
16,30,1,-1677702741.9029024,21600,0.025164190959185363,0.5653125
16,18,1,-1677702725.0380948,21600,0.01784971840274723,0.7598505434782609
17,26,1,-1677702731.3848705,21600,0.055741091164197516,0.29378342245989303
17,19,1,-1677702725.882863,21600,0.02021918169417005,0.7329545454545454
17,33,1,-1677702727.6083126,21600,0.03870693679119265,0.5055232558139535
18,7,1,-1677702746.9597068,21600,0.03281807864306273,0.7336101398601399
18,28,1,-1677702729.4259677,21600,0.04221901619950166,0.4753605769230769
18,11,1,-1677702732.4154682,21600,0.03508746977596678,0.5407754010695187
19,7,1,-1677702766.1401107,21600,0.024232575995521945,0.7384178321678322
19,2,1,-1677702743.4687936,21600,0.04686151978094131,0.45
19,33,1,-1677702746.2012627,21600,0.03602191160411336,0.5462209302325581
20,16,1,-1677702762.785034,21600,0.022286645447214443,0.6803385416666666
20,6,1,-1677702739.6289527,21600,0.04430731623361148,0.4185556994818653
20,9,1,-1677702744.053461,21600,0.040306300410757896,0.5351751207729468
21,18,1,-1677702753.4407785,21600,0.016124371778341414,0.8271059782608695
21,26,1,-1677702743.325461,21600,0.050674262411772884,0.3544451871657754
21,10,1,-1677702770.4942296,21600,0.03850474553672891,0.5483552631578947
22,15,1,-1677702769.8539615,21600,0.028818332811906225,0.6909722222222222
22,8,1,-1677702778.0047216,21600,0.03037013742460372,0.6145119863013698
22,1,1,-1677702750.9234524,21600,0.05070593050390324,0.3062169312169312
23,5,1,-1677702769.9985669,21600,0.04006741698398147,0.48643410852713176
23,18,1,-1677702778.072883,21600,0.012966125426591252,0.8527513586956522
23,1,1,-1677702751.5394936,21600,0.042944828373572184,0.3548280423280423
24,11,1,-1677702784.242103,21600,0.031271765257585495,0.5835561497326203
24,24,1,-1677702761.121,21600,0.04644976716672358,0.40456838565022424
24,44,1,-1677702780.8440633,21600,0.0542943142654915,0.34085181451612906
25,0,1,-1677702783.1254396,21600,0.01558625475005355,0.8931686046511628
25,13,1,-1677702759.635336,21600,0.043698832468205204,0.4049831081081081
25,24,1,-1677702762.4850118,21600,0.04023780276990525,0.4848654708520179
26,12,1,-1677702787.496594,21600,0.043814978158722324,0.6328125
26,27,1,-1677702765.3036184,21600,0.036375595422254665,0.4461805555555556
26,13,1,-1677702794.7763631,21600,0.038852994959499385,0.4467905405405405
27,17,1,-1677702792.650829,21600,0.02281426899135113,0.8625
27,30,1,-1677702769.6664429,21600,0.024742495678365232,0.5784375
27,18,1,-1677702806.25219,21600,0.012649053859564921,0.8651494565217391
28,7,1,-1677702796.9081979,21600,0.023858832371245316,0.7397290209790209
28,8,1,-1677702807.5795846,21600,0.028651127413119357,0.6414811643835616
28,34,1,-1677702792.703213,21600,0.030970212377941432,0.7204601990049752
29,22,1,-1677702806.5115378,21600,0.022795613074014263,0.7993951612903226
29,4,1,-1677702796.0234442,21600,0.0424458221355571,0.5075158227848101
