Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,24,1,-1675919412.3861778,249288,0.06684054105204316,0.22295403587443946
1,16,1,-1675919418.1228762,249288,0.06939834433918197,0.296875
1,41,1,-1675919417.6200182,249288,0.06190519009170861,0.5915948275862069
1,31,1,-1675919417.3632278,249288,0.0533130881783453,0.5679611650485437
1,7,1,-1675919416.4507062,249288,0.04685444763855084,0.6872814685314685
1,8,1,-1675919416.4968867,249288,0.05887247282654455,0.3009417808219178
1,30,1,-1675919417.328473,249288,0.060062804855406285,0.515
1,4,1,-1675919417.3344147,249288,0.06715184676496289,0.3370253164556962
1,28,1,-1675919416.5010602,249288,0.06269894549861932,0.2854567307692308
1,36,1,-1675919417.9479375,249288,0.03818080458661605,0.6114532019704434
2,16,1,-1675919431.9720573,17120,0.04942786534472058,0.529296875
2,38,1,-1675919432.0229735,17120,0.07066133939752392,0.28125
2,5,1,-1675919424.9659765,17120,0.06224364663163821,0.48255813953488375
2,42,1,-1675919424.9700253,17120,0.06162245565882096,0.8081730769230769
2,23,1,-1675919431.308135,17120,0.06540153335819962,0.4025537634408602
2,3,1,-1675919423.018539,17120,0.060583673975246395,0.5370508982035929
2,13,1,-1675919430.8736217,17120,0.06801009968527265,0.27892736486486486
2,48,1,-1675919422.8113017,17120,0.04746986541229521,0.7033959537572254
2,19,1,-1675919425.598022,17120,0.043748358005588066,0.6592580213903744
2,10,1,-1675919430.3518531,17120,0.062042943074514995,0.5018092105263158
3,38,1,-1675919433.6506968,17120,0.06485471794126081,0.5159313725490197
3,37,1,-1675919428.4207416,17120,0.06702578763820623,0.4449013157894737
3,4,1,-1675919430.2605913,17120,0.060506058314555806,0.4117879746835443
3,23,1,-1675919435.6340914,17120,0.04805170211900947,0.5342741935483871
3,30,1,-1675919436.640354,17120,0.030327260177582503,0.525625
3,15,1,-1675919437.270854,17120,0.05683158503638373,0.6108630952380952
3,48,1,-1675919430.3842337,17120,0.02656755858030967,0.721278901734104
3,8,1,-1675919435.7822163,17120,0.041674989543549,0.3944777397260274
3,34,1,-1675919430.679007,17120,0.04366659714066567,0.7213930348258707
3,40,1,-1675919436.0782397,17120,0.06514543422630854,0.3507142857142857
4,46,1,-1675919434.9694252,17120,0.06473815730102708,0.37295560747663553
4,30,1,-1675919441.5206432,17120,0.02342118177562952,0.535625
4,15,1,-1675919438.7476366,17120,0.031199805083728972,0.6917162698412699
4,4,1,-1675919443.8308704,17120,0.04944742654886427,0.4117879746835443
4,25,1,-1675919438.3430037,17120,0.05769827701854256,0.5094339622641509
4,5,1,-1675919442.4976463,17120,0.04310886893970098,0.48328488372093026
4,9,1,-1675919432.691371,17120,0.06580172736503652,0.3155193236714976
4,6,1,-1675919440.8076391,17120,0.06454269346718343,0.29015544041450775
4,1,1,-1675919437.8350444,17120,0.06658372828963573,0.25132275132275134
4,19,1,-1675919432.4567058,17120,0.021425568055421274,0.6747994652406417
5,22,1,-1675919461.1021597,17120,0.06788809236980253,0.6018145161290323
5,16,1,-1675919457.470673,17120,0.029122643716012437,0.546875
5,39,1,-1675919441.5529659,17120,0.0678529383148998,0.3743489583333333
5,47,1,-1675919460.6487017,17120,0.06414312650342933,0.36020992366412213
5,29,1,-1675919446.6136873,17120,0.06484149143631969,0.6819196428571429
5,41,1,-1675919450.8785305,17120,0.030417612165041352,0.6792385057471264
5,15,1,-1675919445.341297,17120,0.02817572122587571,0.6907242063492064
5,33,1,-1675919434.6712291,17120,0.06227452713389729,0.38125
5,1,1,-1675919452.8768094,17120,0.0473846677079718,0.2923280423280423
5,44,1,-1675919441.549481,17120,0.06662421371607531,0.2935987903225806
6,0,1,-1675919451.3465612,17120,0.06563716936250065,0.6627906976744186
6,16,1,-1675919453.1725202,17120,0.025575504327813785,0.5481770833333334
6,42,1,-1675919448.2191985,17120,0.028624590214055317,0.8576923076923076
6,37,1,-1675919451.397361,17120,0.054980482072814515,0.5711348684210527
6,31,1,-1675919455.283467,17120,0.037456453660304104,0.6362257281553398
6,5,1,-1675919452.2493927,17120,0.040063719604482025,0.48255813953488375
6,30,1,-1675919464.6908674,17120,0.02359007440507412,0.53375
6,2,1,-1675919461.2980294,17120,0.06616959972307086,0.3212890625
6,9,1,-1675919470.9478977,17120,0.050906645143089665,0.3458635265700483
6,36,1,-1675919466.6644545,17120,0.030227201261323663,0.6848830049261084
7,37,1,-1675919470.5211055,17120,0.03665273494430279,0.5703125
7,20,1,-1675919466.0136232,17120,0.059449377103468,0.42240168539325845
7,41,1,-1675919478.4451993,17120,0.022460417736364507,0.6792385057471264
7,4,1,-1675919468.5464735,17120,0.04344036552724959,0.41060126582278483
7,23,1,-1675919471.557835,17120,0.026746595879235575,0.5332661290322581
7,25,1,-1675919465.4554281,17120,0.027211877798556158,0.5280070754716981
7,3,1,-1675919465.3362527,17120,0.03862006337699776,0.5606287425149701
7,34,1,-1675919456.7491958,17120,0.02952648652022454,0.720771144278607
7,6,1,-1675919462.0055003,17120,0.049617943484239625,0.29031735751295334
7,9,1,-1675919475.365189,17120,0.046310134070075074,0.34646739130434784
8,12,1,-1675919466.578411,17120,0.06670941691845655,0.65
8,46,1,-1675919467.9507384,17120,0.041348584031111725,0.40741822429906543
8,23,1,-1675919466.5224116,17120,0.023633140109239087,0.5332661290322581
8,5,1,-1675919460.3020642,17120,0.038635165596655176,0.48158914728682173
8,8,1,-1675919461.618842,17120,0.03738776068777254,0.3934075342465753
8,2,1,-1675919470.3635697,17120,0.053447308600880206,0.332421875
8,15,1,-1675919476.7378104,17120,0.027393159101761523,0.6907242063492064
8,24,1,-1675919473.6090434,17120,0.05320404015581704,0.2592488789237668
8,14,1,-1675919459.9484787,17120,0.06489983031516353,0.29927248677248675
8,32,1,-1675919476.8816743,17120,0.05508153246755296,0.3941489361702128
9,17,1,-1675919485.4896355,17120,0.07210417687892914,0.0
9,29,1,-1675919469.7255425,17120,0.03421770638254072,0.8604910714285714
9,21,1,-1675919480.9581237,17120,0.06945926969250044,0.3734375
9,0,1,-1675919474.3569226,17120,0.035296383725349295,0.8931686046511628
9,43,1,-1675919468.0506332,17120,0.051790712401270866,0.8097587719298246
9,23,1,-1675919476.8803203,17120,0.022717077024681592,0.5332661290322581
9,39,1,-1675919492.6303835,17120,0.054774263640865684,0.4352213541666667
9,8,1,-1675919483.3105955,17120,0.03671806928229659,0.3944777397260274
9,11,1,-1675919466.0488386,17120,0.057649638703003284,0.39371657754010697
9,32,1,-1675919472.600565,17120,0.03851790773741742,0.44361702127659575
10,17,1,-1675919497.0348303,17120,0.06953721940517425,0.68125
10,0,1,-1675919487.3296807,17120,0.017719347051583057,0.8931686046511628
10,29,1,-1675919487.8473015,17120,0.018882712266141816,0.8604910714285714
10,27,1,-1675919471.873603,17120,0.06592475556664996,0.41909722222222223
10,31,1,-1675919506.9830143,17120,0.03228424862027168,0.6359223300970874
10,30,1,-1675919477.6279683,17120,0.02308197407051921,0.5315625
10,2,1,-1675919502.8839366,17120,0.04831291306763887,0.3494140625
10,49,1,-1675919480.1770408,17120,0.05945743119578488,0.5043460264900662
10,13,1,-1675919499.1791239,17120,0.053600838055481784,0.3260135135135135
10,36,1,-1675919492.8050222,17120,0.026502257433210687,0.6848830049261084
11,29,1,-1675919507.3441732,17120,0.01629694813995489,0.8604910714285714
11,12,1,-1675919497.5078506,17120,0.050056978749732174,0.6666666666666666
11,37,1,-1675919497.796686,17120,0.033193028654511035,0.5707236842105263
11,30,1,-1675919500.6876323,17120,0.022704015653580427,0.5240625
11,35,1,-1675919510.0363965,17120,0.06527240017467008,0.38632015306122447
11,11,1,-1675919481.955385,17120,0.03709269301059412,0.433322192513369
11,45,1,-1675919498.9703176,17120,0.063929617066275,0.4715909090909091
11,49,1,-1675919500.3328059,17120,0.030102189395897434,0.5871274834437086
11,28,1,-1675919481.0262716,17120,0.047092109273832575,0.34375
11,32,1,-1675919482.5596738,17120,0.037553152410273856,0.4441489361702128
12,17,1,-1675919516.9659877,17120,0.0670842818915844,0.859375
12,22,1,-1675919488.4888961,17120,0.04870494034501814,0.7983870967741935
12,0,1,-1675919499.997252,17120,0.014570416276191557,0.8938953488372093
12,42,1,-1675919486.627249,17120,0.021614740373423466,0.8572115384615384
12,23,1,-1675919505.2214246,17120,0.022721018221589825,0.5366263440860215
12,30,1,-1675919513.9356987,17120,0.02251304157078266,0.5353125
12,47,1,-1675919500.7264836,17120,0.042999864051132715,0.3967080152671756
12,33,1,-1675919508.2653458,17120,0.04588594800511072,0.4061046511627907
12,24,1,-1675919499.9089026,17120,0.049530387175323716,0.2686378923766816
12,9,1,-1675919511.0288193,17120,0.045174158479712435,0.3458635265700483
13,41,1,-1675919491.3804429,17120,0.021203843684032046,0.6799568965517241
13,42,1,-1675919505.2912388,17120,0.01921439182299834,0.8572115384615384
13,43,1,-1675919519.8157444,17120,0.006952379413537289,1.0
13,16,1,-1675919493.8232338,17120,0.023955118687202532,0.5546875
13,46,1,-1675919510.127527,17120,0.03609385003692636,0.41880841121495327
13,47,1,-1675919493.80976,17120,0.03710257571958404,0.40791984732824427
13,14,1,-1675919497.6260839,17120,0.050099514956985204,0.33101851851851855
13,11,1,-1675919521.9837947,17120,0.03517125834795562,0.433322192513369
13,18,1,-1675919504.6444714,17120,0.05083314360767279,0.5076426630434783
13,9,1,-1675919511.9988477,17120,0.0415273101253498,0.483695652173913
14,17,1,-1675919498.5306616,17120,0.06462491303682327,0.86875
14,16,1,-1675919522.902819,17120,0.02347128337714821,0.5481770833333334
14,4,1,-1675919523.5194962,17120,0.0411687230667736,0.4117879746835443
14,41,1,-1675919524.9815714,17120,0.020525429247953426,0.6785201149425287
14,39,1,-1675919524.115248,17120,0.04510977076521764,0.435546875
14,15,1,-1675919524.7869022,17120,0.026967936668485876,0.6912202380952381
