Round,Cid,Size of parameters,Loss,Accuracy
1,25,17120,2.437648832798004,0.0
1,30,17120,2.3182241395115852,0.474609375
1,15,17120,2.3506461765903692,0.02403846153846154
1,23,17120,2.39139981319507,0.0
1,31,17120,3.6281059366283994,0.2689393939393939
1,18,17120,2.3463328571990134,0.0
1,32,17120,2.5849189311265945,0.0
1,26,17120,2.641834309531583,0.21788194444444445
1,11,17120,2.7181277126073837,0.0
1,2,17120,2.404572671864714,0.0
1,27,17120,2.368644139418999,0.3541666666666667
1,22,17120,2.4004662442952394,0.0
1,29,17120,2.2838088988016048,0.7083333333333334
1,8,17120,3.8232781536438885,0.3943014705882353
1,3,17120,2.4034369474365596,0.0
1,33,17120,2.3740406026442846,0.0
1,13,17120,2.329306917885939,0.3732638888888889
1,14,17120,2.40121639561322,0.21875
1,4,17120,2.745941827694575,0.4036458333333333
1,10,17120,2.4300604831660166,0.0
1,7,17120,3.7067708055178326,0.3375
1,19,17120,2.2870040505769706,0.0
1,20,17120,2.5419017914682627,0.0
1,17,17120,2.2857991888886318,0.0
1,21,17120,2.371178558282554,0.31875
1,16,17120,1.9223719015717506,0.87890625
1,0,17120,2.5265241662661233,0.0
1,12,17120,2.6494426757097242,0.0
1,28,17120,3.41629735323099,0.3161057692307692
1,34,17120,2.7886571139097214,0.0
1,5,17120,2.339477515517501,0.0
1,6,17120,2.3425912787045897,0.1713362068965517
1,24,17120,3.6453425756522586,0.10379464285714286
1,9,17120,2.286407357909613,0.4748263888888889
1,1,17120,2.3298983783706237,0.48355263157894735
2,16,17120,0.7742755683138967,0.8828125
2,29,17120,2.281569272900621,0.7083333333333334
2,22,17120,2.392176374979317,0.0
2,17,17120,2.429975701146759,0.0
2,20,17120,2.3396456162445247,0.0
2,34,17120,2.374633284539662,0.028409090909090908
2,15,17120,2.32978851462786,0.0
2,8,17120,4.001449963625739,0.39705882352941174
2,30,17120,2.623611506074667,0.482421875
2,18,17120,2.2735311309807003,0.521875
2,14,17120,2.3116516139772205,0.21875
2,33,17120,2.2982682953278224,0.0
2,13,17120,2.332699356911083,0.0
2,19,17120,0.45304919974434943,0.9107142857142857
2,31,17120,3.9294286424463447,0.2708333333333333
2,26,17120,2.3331497800019054,0.0
2,5,17120,1.563701915089041,0.41796875
2,32,17120,2.3140687382636735,0.171875
2,24,17120,4.622032846723284,0.10714285714285714
2,9,17120,2.30356021799768,0.016493055555555556
2,21,17120,2.356674309913069,0.0
2,27,17120,2.383464050417145,0.0
2,11,17120,2.2946694307745648,0.0
2,3,17120,1.2823778178010667,0.5282738095238095
2,25,17120,2.386417535250075,0.0
2,0,17120,2.3030747255931296,0.0026041666666666665
2,7,17120,3.827783747514089,0.3375
2,6,17120,2.328273317134329,0.0
2,23,17120,0.9226134195923805,0.3828125
2,1,17120,2.346990301616882,0.2746710526315789
2,12,17120,2.2845678728073837,0.26458333333333334
2,4,17120,2.8676266421874366,0.3958333333333333
2,28,17120,3.4842738646727343,0.3125
2,10,17120,2.1050440557301044,0.107421875
2,2,17120,2.3322694359347222,0.029464285714285714
3,17,17120,2.2854996521491557,0.796875
3,21,17120,2.315605858899653,0.0
