Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,28,1,-1676093626.3950596,178968,0.044982767198234797,0.5462239583333334
1,7,1,-1676093630.00713,178968,0.05818117968738079,1.0
1,31,1,-1676093630.419371,178968,0.06381603814661503,0.6979166666666666
1,16,1,-1676093630.6150038,178968,0.03334790187625167,0.9527243589743589
1,30,1,-1676093630.3172052,178968,0.06162580499506515,0.6827445652173914
1,24,1,-1676093630.2461722,178968,0.017845244521553488,0.7169540229885057
1,8,1,-1676093630.1057944,178968,0.045059505767292445,0.5482638888888889
1,36,1,-1676093629.9629416,178968,0.035521538227669194,0.468482905982906
1,41,1,-1676093629.8132186,178968,0.046189762137042796,0.3709349593495935
1,4,1,-1676093629.9551458,178968,0.04179701291852527,0.4099702380952381
2,16,1,-1676093635.0279813,11360,0.011319232232964192,0.9527243589743589
2,39,1,-1676093634.9794662,11360,0.05797366758293294,0.6117021276595744
2,10,1,-1676093634.7066245,11360,0.0513144684634332,0.6848060344827587
2,44,1,-1676093634.9246323,11360,0.04872085838044276,0.5435450819672131
2,48,1,-1676093634.9310246,11360,0.02398297031440081,0.9133064516129032
2,19,1,-1676093634.7267253,11360,0.05391412201416062,0.5067771084337349
2,3,1,-1676093634.6098862,11360,0.05280694884991427,0.4997133027522936
2,5,1,-1676093634.4777286,11360,0.021517528654557878,0.7308728448275862
2,23,1,-1676093634.1145995,11360,0.022715638001118938,0.7154737903225806
3,34,1,-1676093635.5240524,11360,0.06027977156142394,0.4864583333333333
3,38,1,-1676093635.221264,11360,0.06474790229078602,0.5055147058823529
3,15,1,-1676093635.483365,11360,0.05653295172378421,0.865625
3,30,1,-1676093635.3698435,11360,0.027602214285213013,0.6827445652173914
3,8,1,-1676093634.9121618,11360,0.03760987114575174,0.5482638888888889
3,47,1,-1676093634.6162786,11360,0.05186164813054787,0.5157967032967034
3,23,1,-1676093634.9116638,11360,0.01461932719534924,0.756804435483871
3,4,1,-1676093635.1933465,11360,0.037212637903553156,0.5667162698412699
3,40,1,-1676093635.0690036,11360,0.024096403898897046,0.7258522727272727
4,15,1,-1676093636.0315073,11360,0.023732635751366617,0.86796875
4,30,1,-1676093636.4299297,11360,0.021559701098696045,0.6820652173913043
4,6,1,-1676093637.4612617,11360,0.06078629568219185,0.5698529411764706
4,19,1,-1676093637.5923083,11360,0.03369795728519739,0.6016566265060241
4,9,1,-1676093636.5981872,11360,0.04067534291795615,0.3857758620689655
4,5,1,-1676093635.559969,11360,0.008812869569800538,0.9679418103448276
4,4,1,-1676093635.1201882,11360,0.01978700410663372,0.873015873015873
4,25,1,-1676093636.116267,11360,0.04397371054646817,0.3829787234042553
5,15,1,-1676093637.9563055,11360,0.01700807618908584,0.8640625
5,16,1,-1676093641.145068,11360,0.009059851374238348,0.9527243589743589
5,29,1,-1676093636.5358577,11360,0.048652687172094984,0.8777777777777778
5,22,1,-1676093637.3898523,11360,0.010462807949449196,0.9728483606557377
5,1,1,-1676093639.7237883,11360,0.047833998359634845,0.5171654929577465
5,45,1,-1676093637.417213,11360,0.035035534862832854,0.5850903614457831
5,3,1,-1676093636.8438916,11360,0.03910678211565411,0.5002866972477065
5,33,1,-1676093637.5613136,11360,0.04050376815376459,0.45023148148148145
6,31,1,-1676093637.9046366,11360,0.049686493103702864,0.696875
6,16,1,-1676093639.7718391,11360,0.007747144629366887,0.9527243589743589
6,30,1,-1676093642.051983,11360,0.021011207171756287,0.6820652173913043
6,37,1,-1676093638.708911,11360,0.03470245688419107,0.8195422535211268
6,0,1,-1676093641.3646266,11360,0.025151093808434357,0.7122713414634146
6,5,1,-1676093637.0502114,11360,0.003442540871188173,0.9876077586206896
6,9,1,-1676093640.4389052,11360,0.03563416463419281,0.43723060344827586
6,2,1,-1676093641.136435,11360,0.032894597340632103,0.7567349137931034
7,34,1,-1676093641.0652685,11360,0.02930086546887954,0.5291666666666667
7,6,1,-1676093638.8024158,11360,0.027671233915230808,0.5772058823529411
7,3,1,-1676093639.2694893,11360,0.029186062275543125,0.6751720183486238
7,9,1,-1676093641.6194015,11360,0.031048791097669767,0.681573275862069
7,4,1,-1676093640.4494793,11360,0.010968190920908772,0.9223710317460317
7,23,1,-1676093643.911819,11360,0.006140956995002325,0.9722782258064516
7,20,1,-1676093639.8773215,11360,0.038750262508983724,0.644287109375
7,25,1,-1676093641.960469,11360,0.026537295655472904,0.7486702127659575
8,14,1,-1676093639.3931084,11360,0.03347127464272686,0.6372466216216216
8,24,1,-1676093641.8159683,11360,0.015800465744031572,0.8074712643678161
8,8,1,-1676093640.4574654,11360,0.03548472211178806,0.5482638888888889
8,42,1,-1676093640.8043804,11360,0.028967779372697292,0.5788043478260869
8,5,1,-1676093641.966544,11360,0.0032366988498011024,0.9897629310344828
8,2,1,-1676093641.9812415,11360,0.014465107446022588,0.8952047413793104
8,23,1,-1676093644.2218022,11360,0.003150469458271419,0.9828629032258065
8,12,1,-1676093645.0106983,11360,0.036322760081153045,0.5300082781456954
9,29,1,-1676093642.9752052,11360,0.018054037416974703,0.8770833333333333
9,17,1,-1676093644.3198683,11360,0.054613325474918754,0.4796195652173913
9,0,1,-1676093640.1626112,11360,0.019610085342897147,0.7126524390243902
9,8,1,-1676093641.4754639,11360,0.033186268226967915,0.5482638888888889
9,21,1,-1676093642.230889,11360,0.03675455396019277,0.5416666666666666
9,23,1,-1676093642.240312,11360,0.0024757680817387036,0.9889112903225806
9,11,1,-1676093644.2679896,11360,0.04014603550399631,0.4610020661157025
10,30,1,-1676093643.1892054,11360,0.019234722156239593,0.6820652173913043
10,29,1,-1676093643.835441,11360,0.013964495518141322,0.8798611111111111
10,13,1,-1676093644.6727896,11360,0.009641134750394933,0.9741847826086957
10,0,1,-1676093644.6061187,11360,0.016499025406452213,0.7130335365853658
10,27,1,-1676093646.2050881,11360,0.0511306941222686,0.44471153846153844
10,2,1,-1676093644.4454489,11360,0.008979000022699093,0.9014008620689655
10,43,1,-1676093641.4422116,11360,0.044332370112993215,0.41180098684210525
11,35,1,-1676093650.7112463,11360,0.04742973674906463,0.8239329268292683
11,29,1,-1676093648.1123993,11360,0.012391456154485543,0.8777777777777778
11,28,1,-1676093649.4621356,11360,0.025443309258359175,0.6022135416666666
11,49,1,-1676093644.4569826,11360,0.04406711752667571,0.473800505050505
11,11,1,-1676093648.1385107,11360,0.02942950377040658,0.6753615702479339
11,32,1,-1676093645.9618478,11360,0.03478504166426793,0.5715228873239436
11,12,1,-1676093646.2961888,11360,0.01674070626201219,0.8340231788079471
12,30,1,-1676093650.413744,11360,0.016358856374964766,0.7167119565217391
12,22,1,-1676093652.400557,11360,0.006420084156981501,0.9723360655737705
12,17,1,-1676093645.75756,11360,0.035287991760001663,0.4805253623188406
12,0,1,-1676093647.4804378,11360,0.008180476020930744,0.9748475609756098
12,9,1,-1676093647.6271172,11360,0.014902914785940585,0.9428879310344828
12,33,1,-1676093644.0228798,11360,0.021909008175134657,0.7826388888888889
12,12,1,-1676093646.1242857,11360,0.008571184385222513,0.9629552980132451
13,7,1,-1676093651.5551794,11360,0.015142075158655644,1.0
13,16,1,-1676093654.794134,11360,0.007708473429561426,0.9527243589743589
13,18,1,-1676093645.0194008,11360,0.06081384689443641,0.4056712962962963
13,14,1,-1676093648.449239,11360,0.02228844231246291,0.636402027027027
13,27,1,-1676093652.8932536,11360,0.03861576547989479,0.47025240384615385
13,9,1,-1676093650.4173396,11360,0.006572393708509104,0.9676724137931034
13,11,1,-1676093648.761003,11360,0.014652756943313543,0.90599173553719
14,16,1,-1676093655.5462723,11360,0.007081858849582763,0.9527243589743589
14,15,1,-1676093653.1247063,11360,0.014931057335343213,0.865625
14,6,1,-1676093658.172946,11360,0.02185956487322555,0.7751225490196079
14,17,1,-1676093656.2339978,11360,0.03296042160819406,0.4759963768115942
14,9,1,-1676093650.5295851,11360,0.0044589088928628845,0.9789870689655172
14,23,1,-1676093652.9780054,11360,0.0022878797655369364,0.991179435483871
14,33,1,-1676093648.6995506,11360,0.0139957330086165,0.8581018518518518
15,7,1,-1676093647.9407473,11360,0.004998870729468763,1.0
15,29,1,-1676093656.43733,11360,0.011595207721822792,0.8777777777777778
15,10,1,-1676093650.6421254,11360,0.022906753619940115,0.6837284482758621
15,13,1,-1676093650.8544803,11360,0.005837613542942141,0.9737318840579711
15,0,1,-1676093650.565221,11360,0.004599589951018371,0.9897103658536586
15,2,1,-1676093650.8756285,11360,0.00731196407437453,0.9523168103448276
15,33,1,-1676093648.83114,11360,0.007974129628941968,0.9449074074074074
16,7,1,-1676093649.064282,11360,0.0006771058542653918,1.0
16,26,1,-1676093654.9927728,11360,0.06266489453040637,0.6490384615384616
16,34,1,-1676093662.1757822,11360,0.02551606185734272,0.5791666666666667
16,30,1,-1676093654.3317356,11360,0.010792760563123486,0.9510869565217391
16,18,1,-1676093655.6692195,11360,0.038161853397334064,0.4288194444444444
16,14,1,-1676093655.4935167,11360,0.02130836057099136,0.6385135135135135
16,23,1,-1676093649.049938,11360,0.0027970019483848684,0.9914314516129032
17,26,1,-1676093655.3996763,11360,0.03381071425974369,0.6490384615384616
17,18,1,-1676093657.5714352,11360,0.03345706362139295,0.5133101851851852
17,19,1,-1676093649.4285069,11360,0.03056515726339386,0.6652861445783133
17,24,1,-1676093649.3639724,11360,0.006431330418235612,0.9709051724137931
