Round,Cid,Size of parameters,Loss,Accuracy
1,35,17120,2.3066369275223804,0.0
1,42,17120,2.3092095728963615,0.0
1,30,17120,1.5290187150239944,0.482421875
1,37,17120,2.2988330332562326,0.31666666666666665
1,23,17120,2.3418048776996634,0.0
1,25,17120,2.2580990239512175,0.03125
1,28,17120,2.6869056545771084,0.2932692307692308
1,41,17120,1.8696720734238625,0.29375
1,26,17120,2.3197320942611745,0.0
1,15,17120,2.224363984110264,0.8557692307692307
1,11,17120,2.3310716681791326,0.01201923076923077
1,5,17120,2.3395918890164467,0.0
1,2,17120,2.3116372148107205,0.0
1,6,17120,3.0202904816331535,0.032327586206896554
1,32,17120,2.2785296056491253,0.0
1,47,17120,2.3328185918508098,0.0
1,1,17120,2.2087426813025224,0.29276315789473684
1,0,17120,2.2687340838213763,0.0026041666666666665
1,7,17120,3.26226323445638,0.33958333333333335
1,22,17120,2.3753153033554555,0.0
1,31,17120,3.8735138683608086,0.26988636363636365
1,19,17120,2.3997271290669837,0.0
1,16,17120,2.0622312527848408,0.11328125
1,9,17120,2.348498963854379,0.0008680555555555555
1,12,17120,2.259616144374013,0.46458333333333335
1,38,17120,2.3865480084410486,0.0
1,49,17120,2.294339061365463,0.53125
1,29,17120,2.361695520579815,0.0
1,24,17120,3.258626712220056,0.18861607142857142
1,18,17120,2.3229577434249222,0.478125
1,20,17120,2.3475599277298898,0.0
1,40,17120,3.5648281411691145,0.06818181818181818
1,3,17120,2.344335746818355,0.0
1,43,17120,2.39521980881691,0.0
1,14,17120,2.324006097184287,0.0
1,13,17120,3.5255185100767346,0.4774305555555556
1,8,17120,3.830020722220926,0.3943014705882353
1,44,17120,3.57523736026552,0.2526041666666667
1,34,17120,2.2605003964325245,0.40625
1,48,17120,2.244779941664698,0.4934895833333333
1,17,17120,2.3557723179110326,0.21875
1,36,17120,2.608900874853134,0.9129464285714286
1,21,17120,2.262569895479828,0.3640625
1,4,17120,2.1918023334971317,0.3958333333333333
1,27,17120,2.334090694754074,0.0
1,33,17120,2.369168347345355,0.25
1,39,17120,2.3543428704827365,0.0
1,10,17120,2.3328922031796537,0.0
1,46,17120,2.403332070699738,0.0
1,45,17120,2.253079935781319,0.0
2,20,17120,2.2594039840623736,0.00390625
2,48,17120,1.4711195050428312,0.4934895833333333
2,42,17120,3.1231046497821806,0.12083333333333333
2,19,17120,0.47537914308763685,0.9122023809523809
2,47,17120,2.3032300936465617,0.0
2,30,17120,1.5312081463634968,0.4765625
2,29,17120,2.3100924251290658,0.0
2,22,17120,2.277400173060596,0.0
2,14,17120,2.347770701472958,0.0
2,36,17120,2.7232814644064223,0.9151785714285714
2,17,17120,2.2772406229632907,0.0
2,26,17120,2.305860571589114,0.2552083333333333
2,32,17120,2.3127168600375834,0.15384615384615385
2,31,17120,4.044604803576614,0.26988636363636365
2,45,17120,2.005236403614452,0.3039772727272727
2,33,17120,2.2332588034371534,0.7083333333333334
2,35,17120,2.3610044515437703,0.0
2,10,17120,2.155156546505168,0.107421875
2,34,17120,2.286578232422471,0.0
2,9,17120,2.373281063951759,0.0
2,23,17120,1.8525556067276436,0.3802083333333333
2,15,17120,2.3403041421865614,0.0
2,6,17120,3.0452915553388924,0.032327586206896554
2,16,17120,0.99855518899858,0.8828125
2,21,17120,2.3023229681886734,0.0
2,11,17120,2.2506957507262437,0.6418269230769231
2,0,17120,2.264353758577878,0.0
2,39,17120,2.313185380306095,0.05330882352941176
2,3,17120,1.385721741687684,0.5267857142857143
2,24,17120,3.537549023117338,0.18973214285714285
2,44,17120,3.6615611049864025,0.2526041666666667
2,27,17120,2.0564623766345904,0.5208333333333334
2,2,17120,2.1367181784340312,0.22678571428571428
2,38,17120,2.050722618313397,0.4485294117647059
2,28,17120,2.7502702199495754,0.2956730769230769
2,37,17120,1.9695345729589462,0.3875
2,49,17120,2.26965058236965,0.541015625
2,8,17120,3.880053930422839,0.39797794117647056
2,1,17120,2.218585836259942,0.29605263157894735
2,18,17120,2.23231664308114,0.0
2,46,17120,2.321608710102737,0.2552083333333333
2,4,17120,2.1938909531648583,0.4010416666666667
2,43,17120,2.245593497902155,0.63125
2,13,17120,1.655619813543227,0.03125
2,25,17120,2.2549270913004875,0.640625
2,12,17120,2.287523706443608,0.0
2,7,17120,3.3119417508443196,0.3375
2,41,17120,1.136420238763094,0.290625
2,40,17120,3.779408086429943,0.06960227272727272
2,5,17120,1.687229328090325,0.41796875
3,6,17120,3.0268198375044197,0.032327586206896554
3,21,17120,2.302191912848502,0.0
3,36,17120,2.6133448438985005,0.9129464285714286
3,17,17120,2.2781583262840286,0.0
3,1,17120,2.1710331220375862,0.29276315789473684
3,34,17120,1.539486800489778,0.4559659090909091
3,30,17120,0.8003816423006356,0.486328125
3,18,17120,2.454097861610353,0.0
3,43,17120,0.5440283268690109,1.0
3,4,17120,2.0686959649125733,0.40625
3,38,17120,1.5814606687601875,0.44669117647058826
3,7,17120,3.2706426699956257,0.3375
3,20,17120,2.247696527687367,0.2265625
3,42,17120,3.1246680835882823,0.12083333333333333
3,27,17120,2.057673886185512,0.5208333333333334
3,46,17120,2.4578970366468034,0.036458333333333336
3,13,17120,1.6474232559816704,0.034722222222222224
3,40,17120,1.7226221431046724,0.3153409090909091
3,44,17120,1.573643999070757,0.4496527777777778
3,39,17120,2.3909177504041614,0.15625
3,10,17120,2.1543446678260807,0.107421875
3,15,17120,0.8841174416817151,0.8557692307692307
3,2,17120,2.13917035226311,0.225
3,25,17120,2.2986254112329334,0.0
3,32,17120,2.371455715969205,0.18870192307692307
3,31,17120,4.0296301733363755,0.2708333333333333
3,11,17120,2.250520903294763,0.6418269230769231
3,37,17120,1.5200333173076312,0.3729166666666667
3,0,17120,2.522401543955008,0.2578125
3,9,17120,2.3706430653110147,0.0
3,19,17120,0.4738761175956045,0.9122023809523809
3,29,17120,2.383840426802635,0.0
3,3,17120,1.3893224146394503,0.5297619047619048
3,35,17120,1.748300086368214,0.515625
3,49,17120,2.3404672339675017,0.0390625
3,5,17120,1.6613024012185633,0.4228515625
3,48,17120,1.3042818173610915,0.4921875
3,45,17120,2.004614404085177,0.3053977272727273
3,16,17120,0.710103839635849,0.88671875
3,22,17120,2.3501330576837063,0.0
3,8,17120,2.05245743867229,0.39797794117647056
3,23,17120,1.094294508298238,0.3854166666666667
3,26,17120,2.3300365062896162,0.0
3,47,17120,2.29159902385436,0.46875
3,14,17120,2.3296954896714954,0.050347222222222224
3,33,17120,2.3905991348127524,0.0
3,24,17120,3.5340549732957567,0.18973214285714285
3,41,17120,1.1206695817410945,0.29375
3,12,17120,2.366203922530015,0.07291666666666667
3,28,17120,2.7067882326933055,0.28966346153846156
4,21,17120,2.382016292586923,0.0
4,20,17120,2.362171124201268,0.0
4,28,17120,2.7456031900185804,0.296875
4,42,17120,3.120666268467903,0.12291666666666666
4,22,17120,2.3441186847165225,0.0
4,34,17120,1.5265941400588914,0.4630681818181818
4,17,17120,2.2864902425790206,0.0
4,12,17120,2.326018549750249,0.0
4,43,17120,0.5579922556877136,1.0
4,11,17120,2.322629666994684,0.0
4,45,17120,1.7951073936102064,0.3053977272727273
4,44,17120,1.5792743416710033,0.4522569444444444
4,27,17120,2.05681651897418,0.5208333333333334
4,4,17120,2.026820349507034,0.4036458333333333
4,46,17120,1.8299146605034669,0.7083333333333334
4,41,17120,1.1426574669778347,0.284375
4,26,17120,2.3326069899938173,0.1814236111111111
