Round,Cid,Size of parameters,Loss,Accuracy
1,25,21600,2.3510065618902445,0.0
1,30,21600,1.0073416158556938,0.478515625
1,15,21600,0.9448407911337339,0.8557692307692307
1,11,21600,2.285031152727942,0.6322115384615384
1,18,21600,2.3426190049387516,0.0
1,23,21600,2.362446061025063,0.0
1,31,21600,2.4058842370004365,0.02462121212121212
1,32,21600,2.334938106771845,0.0
1,26,21600,2.3706103479489684,0.006944444444444444
1,2,21600,2.358591058424541,0.23125
1,29,21600,2.3288562862823405,0.0
1,27,21600,2.432528142631054,0.0
1,33,21600,2.2932693352922797,0.24791666666666667
1,3,21600,2.3612288069866953,0.0
1,22,21600,2.3486881338059904,0.0
1,14,21600,2.206037306951152,0.3159722222222222
1,8,21600,1.980750697938835,0.40625
1,4,21600,1.9314915363987286,0.3463541666666667
1,13,21600,2.3543325655369296,0.0
1,10,21600,2.387756466632709,0.0
1,20,21600,0.8820385932922363,0.8203125
1,7,21600,1.504018485546112,0.34375
1,21,21600,2.3671933451667426,0.2875
1,17,21600,2.321184010943398,0.0
1,19,21600,2.4066276560936655,0.0
1,16,21600,0.9210095312446356,0.6796875
1,12,21600,1.7961950014034906,0.26875
1,0,21600,2.3107627276719236,0.0
1,28,21600,2.366989792467883,0.16466346153846154
1,24,21600,2.008679204753467,0.30357142857142855
1,9,21600,2.3445208991308593,0.0
1,6,21600,2.3905188132976662,0.0
1,34,21600,2.3647449582137843,0.0
1,1,21600,2.3190101303013138,0.05263157894736842
1,5,21600,2.365068902785424,0.07421875
2,29,21600,2.336942166710893,0.0
2,17,21600,2.292788367602043,0.00390625
2,30,21600,1.0629710648208857,0.474609375
2,25,21600,0.7305679796263576,0.95703125
2,21,21600,1.9340210191905498,0.45625
2,22,21600,2.3046470237895846,0.0
2,33,21600,1.0853707959254584,0.7083333333333334
2,7,21600,1.5661852598190307,0.35
2,16,21600,1.0168313905596733,0.67578125
2,28,21600,2.3114578067145954,0.001201923076923077
2,34,21600,2.309731130392968,0.0
2,5,21600,1.46939793380443,0.416015625
2,15,21600,1.036085532261775,0.8557692307692307
2,19,21600,2.3046220792568333,0.0
2,31,21600,2.4982647516510705,0.2708333333333333
2,32,21600,1.5314470449319253,0.5096153846153846
2,10,21600,2.3219621964526596,0.0
2,9,21600,1.6243208987224433,0.5607638888888888
2,8,21600,2.0405587913358914,0.4071691176470588
2,26,21600,1.6450479699091778,0.2855902777777778
2,18,21600,2.3687592597212643,0.0
2,13,21600,2.2879584026522934,0.3524305555555556
2,4,21600,2.0761621271570525,0.3489583333333333
2,12,21600,1.8381374855836232,0.26875
2,11,21600,2.3297999515556373,0.0
2,20,21600,0.8903961591422558,0.82421875
2,27,21600,2.2862444083516795,0.0375
2,0,21600,2.3078298518666998,0.2552083333333333
2,23,21600,0.8025580095127225,0.515625
2,24,21600,2.1075761626873697,0.3013392857142857
2,3,21600,1.3304676041007042,0.5327380952380952
2,1,21600,2.3118895699368105,0.0
2,6,21600,2.321308143517195,0.032327586206896554
2,2,21600,2.312182627804577,0.0
2,14,21600,2.289971184399393,0.3142361111111111
3,4,21600,2.0881965905427933,0.3333333333333333
3,18,21600,0.6984098417684436,0.71875
3,17,21600,2.32285607495578,0.0
3,7,21600,1.549644543727239,0.3375
3,20,21600,0.6563027696684003,0.79296875
3,15,21600,0.6368020661175251,0.8557692307692307
3,27,21600,2.3024141875095667,0.33125
3,13,21600,2.2591656166025333,0.3020833333333333
