Round,Cid,Size of parameters,Loss,Accuracy
1,31,11360,2.3467316860333085,0.0
1,30,11360,2.2393575670596744,0.20089285714285715
1,15,11360,2.2297765623348265,0.37259615384615385
1,25,11360,2.2889692960927883,0.5854166666666667
1,26,11360,2.2846012409362526,0.6423611111111112
1,23,11360,2.3402675124151364,0.0
1,18,11360,2.3364194849230073,0.0
1,32,11360,2.315786107335813,0.0
1,2,11360,2.3416161366992374,0.0
1,11,11360,2.308016367825783,0.3255208333333333
1,8,11360,2.109223425388336,0.3713235294117647
1,27,11360,2.31592225533878,0.1497844827586207
1,22,11360,2.2733920589089394,0.3630952380952381
1,3,11360,2.267013225859652,0.3528645833333333
1,10,11360,2.3781668663024904,0.0
1,14,11360,2.082393239844929,0.05397727272727273
1,13,11360,2.3776740402604144,0.0
1,29,11360,2.3372766423009095,0.0
1,33,11360,2.3141032533927097,0.2630208333333333
1,4,11360,2.087431718595326,0.19642857142857142
1,17,11360,2.3128547342003962,0.019736842105263157
1,7,11360,1.9910475204000249,1.0
1,20,11360,1.8662479221820831,0.34765625
1,21,11360,2.3055520395958617,0.3598790322580645
1,19,11360,2.2777073969764094,0.36794354838709675
1,34,11360,2.318006825726479,0.0
1,16,11360,2.288202911869369,0.11363636363636363
1,5,11360,2.3468025458777055,0.0
1,6,11360,2.3001880564740587,0.0
1,24,11360,0.9790131124583158,0.8139204545454546
1,28,11360,2.2606654593761526,0.0
1,9,11360,2.406231983406469,0.0
1,1,11360,2.2310788957084613,0.4502840909090909
1,0,11360,2.215470235918959,0.9
1,12,11360,1.4129688750420297,0.5479910714285714
2,10,11360,2.378106248130401,0.0
2,31,11360,2.117143219957749,0.8125
2,28,11360,2.295348283065402,0.0
2,34,11360,2.3223439268767834,0.0
2,25,11360,1.8533862449228764,0.21458333333333332
2,15,11360,2.2302527972138844,0.3798076923076923
2,30,11360,2.2419523928048357,0.20089285714285715
2,26,11360,2.144337842861811,0.3506944444444444
2,7,11360,2.024111920967698,1.0
2,16,11360,2.3015176899392498,0.10795454545454546
2,29,11360,2.341379704855142,0.0
2,5,11360,0.9298624321818352,0.7142857142857143
2,17,11360,2.327905494327608,0.0
2,8,11360,2.1149559240130817,0.3694852941176471
2,22,11360,2.3369200997764157,0.0
2,9,11360,1.7948848868906497,0.4275
2,19,11360,2.276875686621474,0.36794354838709675
2,32,11360,1.3887290937396197,0.6454326923076923
2,33,11360,2.042063331231475,0.2526041666666667
2,21,11360,1.917021888939123,0.41935483870967744
2,18,11360,2.3373691002941794,0.15393518518518517
2,24,11360,1.0909506529569626,0.8139204545454546
2,3,11360,2.0508608837844804,0.30859375
2,4,11360,2.0944181981363466,0.19866071428571427
2,20,11360,1.8946112543344498,0.3515625
2,27,11360,2.327375630302162,0.0
2,23,11360,0.43406034181160585,0.9821428571428571
2,6,11360,2.3794036507606506,0.0
2,13,11360,2.358459725417197,0.0
2,1,11360,2.386237475343726,0.0
2,14,11360,2.117027320645072,0.05113636363636364
2,2,11360,2.2964528808370233,0.3963068181818182
2,12,11360,1.4622114295406001,0.5479910714285714
2,0,11360,2.2661125040923555,0.0625
2,11,11360,2.315557858078844,0.3298611111111111
3,34,11360,2.1248610312119127,0.4875
3,1,11360,2.2647598222406073,0.16477272727272727
3,10,11360,2.4031001932919027,0.0
3,31,11360,2.1192125567855933,0.828125
3,6,11360,2.279614587314427,0.0
3,7,11360,2.09968349263072,1.0
3,30,11360,2.064181025871741,0.19196428571428573
3,20,11360,1.349916722625494,0.36328125
3,17,11360,2.2915956424059054,0.0
3,15,11360,2.0853846290936837,0.375
3,21,11360,1.9230713147910372,0.4173387096774194
3,25,11360,1.8570511559645335,0.21875
