Round,Cid,Size of parameters,Loss,Accuracy
1,15,21600,2.322702917843484,0.0
1,5,21600,2.3408942440790788,0.17857142857142858
1,30,21600,1.5100547586168562,0.19196428571428573
1,26,21600,2.349543363476793,0.0
1,10,21600,2.3587900520612797,0.0
1,2,21600,2.360885252329436,0.07670454545454546
1,25,21600,2.3448781441897153,0.06666666666666667
1,6,21600,0.47217562444069805,0.9779411764705882
1,23,21600,2.276581209552075,0.006696428571428571
1,31,21600,0.44898243993520737,0.953125
1,32,21600,2.3228154852986336,0.18990384615384615
1,0,21600,2.295391421020031,0.020833333333333332
1,28,21600,1.0468784609566564,0.6304347826086957
1,33,21600,2.363523634047144,0.0
1,11,21600,2.2993884426024227,0.06076388888888889
1,24,21600,0.44470742073926056,0.9900568181818182
1,16,21600,3.4159045842560856,0.11079545454545454
1,20,21600,2.344666727236472,0.0
1,7,21600,0.1867657563649118,1.0
1,8,21600,1.6869098631774677,0.39338235294117646
1,29,21600,2.324485834778076,0.0
1,3,21600,2.3041475696954876,0.046875
1,12,21600,2.308177743639265,0.04017857142857143
1,4,21600,1.0185306348970957,0.8727678571428571
1,14,21600,2.374819264831868,0.0
1,34,21600,2.3860063374042513,0.0
1,21,21600,2.3189111266645694,0.005040322580645161
1,17,21600,2.3275863757651103,0.003289473684210526
1,13,21600,1.7436177427570025,0.6104166666666667
1,27,21600,2.3152334662475464,0.020474137931034482
1,1,21600,2.0347015153278005,0.5241477272727273
1,22,21600,2.3113505242924606,0.017857142857142856
1,9,21600,2.3046130521595476,0.28125
1,18,21600,2.3549248920408665,0.0
1,19,21600,2.3078160898444513,0.19959677419354838
2,30,21600,1.606450923851558,0.17857142857142858
2,26,21600,2.290044396339605,0.013888888888888888
2,16,21600,3.1222700740803373,0.11363636363636363
2,10,21600,0.4235688636700312,0.9375
2,34,21600,2.3351484168320895,0.0
2,15,21600,2.254911377524527,0.36538461538461536
2,9,21600,2.3030302945151924,0.0
2,20,21600,2.3137763759004883,0.0
2,22,21600,2.340798355638981,0.38839285714285715
2,29,21600,2.29137718725589,0.34475806451612906
2,31,21600,0.5130072807272276,0.9479166666666666
2,17,21600,2.3351307060863626,0.0
2,33,21600,2.2909285105997697,0.2439236111111111
2,14,21600,2.2935391183815557,0.0
2,6,21600,0.5465484861941898,0.9779411764705882
2,19,21600,0.5262766180019225,0.8467741935483871
2,32,21600,2.346917279682552,0.0
2,21,21600,2.3108578414145495,0.2127016129032258
2,23,21600,0.09311514467533145,0.9888392857142857
2,11,21600,2.3498186201322824,0.0
2,4,21600,1.1465733796358109,0.8727678571428571
2,7,21600,0.22814990067854524,1.0
2,1,21600,2.0737697793678804,0.5198863636363636
2,18,21600,2.330896866016297,0.0
2,8,21600,1.8108385012430304,0.39338235294117646
2,25,21600,0.27081466813882193,0.9541666666666667
2,0,21600,2.370061770423005,0.0
2,13,21600,1.577420957138141,0.6104166666666667
2,28,21600,1.024439194928045,0.6317934782608695
2,3,21600,0.4210514562825362,0.9466145833333334
2,24,21600,0.7491590002213012,0.9900568181818182
2,5,21600,0.18120880691068514,0.9821428571428571
2,27,21600,1.1848489197677579,0.5150862068965517
2,2,21600,0.3983372165398164,0.9076704545454546
2,12,21600,2.307334569681968,0.0033482142857142855
3,15,21600,1.400236335511391,0.3798076923076923
3,31,21600,0.487251174946626,0.953125
3,7,21600,0.23512731362134218,1.0
3,10,21600,0.43085160901149117,0.9354166666666667
3,18,21600,2.3330869611214706,0.004629629629629629
3,4,21600,0.35430773720145226,0.96875
3,20,21600,2.3116465033381246,0.03515625
3,17,21600,2.3505355423365377,0.0
3,30,21600,0.3212297133037022,0.9732142857142857
3,34,21600,0.6587505012750625,0.9375
3,1,21600,2.080881630832499,0.5227272727272727
3,25,21600,0.28553205033143364,0.9520833333333333
3,2,21600,0.410748651759191,0.90625
3,27,21600,1.2301641132297187,0.5118534482758621
3,13,21600,1.5683591574430467,0.6104166666666667
3,21,21600,2.3796175624574385,0.19657258064516128
3,6,21600,0.5540916345575276,0.9779411764705882
3,11,21600,2.3027423130244844,0.3802083333333333
3,32,21600,2.337142489062479,0.0
3,0,21600,0.2635663089652856,0.9822916666666667
3,16,21600,2.8294873000545935,0.10795454545454546
3,9,21600,2.3839128485321996,0.035
3,23,21600,0.05012663087940642,0.9933035714285714
3,14,21600,0.8673360368067567,0.4005681818181818
3,26,21600,2.314790251561337,0.0625
3,5,21600,0.24474470530237472,0.9821428571428571
3,19,21600,0.5516112903433461,0.8467741935483871
3,22,21600,2.3543791582896594,0.2604166666666667
3,3,21600,0.4367234467839201,0.9479166666666666
3,8,21600,0.5724978942204925,0.8731617647058824
3,29,21600,2.354445369373406,0.04133064516129032
3,24,21600,0.7378390428017486,0.9900568181818182
3,28,21600,1.0373288613298666,0.626358695652174
3,12,21600,0.18894238703485047,0.9821428571428571
3,33,21600,2.341514663408614,0.019965277777777776
4,30,21600,0.2717256120273045,0.96875
4,4,21600,0.24975692507411754,0.9709821428571429
4,34,21600,0.7118265867233277,0.925
4,16,21600,2.82104377719489,0.10795454545454546
4,26,21600,2.290888828380654,0.2361111111111111
4,23,21600,0.18112680036574602,0.9933035714285714
4,17,21600,1.04390943285666,0.5148026315789473
4,2,21600,0.41909672590819275,0.9076704545454546
4,9,21600,0.33652305394411086,0.95
4,14,21600,0.8631560937924818,0.4090909090909091
4,5,21600,0.13716351640011584,0.9888392857142857
4,28,21600,1.0818689193414606,0.6317934782608695
4,12,21600,0.2385099618030446,0.9821428571428571
4,8,21600,0.5698624393519234,0.8731617647058824
4,21,21600,2.288261362396541,0.006048387096774193
4,19,21600,0.29997390364446946,0.9435483870967742
4,29,21600,0.547263162991693,0.7116935483870968
4,33,21600,2.3471310694391527,0.0
4,11,21600,2.34704249995088,0.006076388888888889
4,18,21600,2.32745387484492,0.20833333333333334
4,13,21600,1.570551624149084,0.609375
4,20,21600,2.3632617102121003,0.0
4,6,21600,0.17373823308769396,0.9871323529411765
4,10,21600,0.40595175872246425,0.9354166666666667
4,31,21600,0.5113142505288124,0.9479166666666666
4,7,21600,0.06638561724685133,1.0
4,3,21600,0.453994682058692,0.9466145833333334
4,24,21600,0.7114278216084297,0.9900568181818182
4,1,21600,1.3858113153414293,0.5383522727272727
4,25,21600,0.1865282326936722,0.975
4,15,21600,1.282881535589695,0.37259615384615385
4,32,21600,2.2837669226126027,0.0
4,27,21600,1.2151630734061372,0.5118534482758621
4,22,21600,2.364751311994734,0.15625
4,0,21600,0.2693168366948763,0.9822916666666667
5,34,21600,0.7169680967926979,0.9375
5,16,21600,2.914353494278409,0.10795454545454546
5,26,21600,2.365960724444853,0.0
5,14,21600,0.8708828558976,0.40625
5,6,21600,0.1877880788901273,0.9871323529411765
5,20,21600,2.3097662712680176,0.259765625
5,25,21600,0.19445260465145112,0.975
5,5,21600,0.14929039643279143,0.9888392857142857
5,23,21600,0.1450250123494438,0.9933035714285714
5,11,21600,0.6508556279457278,0.8151041666666666
5,3,21600,0.24389962200075388,0.9635416666666666
5,30,21600,0.26329382828303743,0.9732142857142857
5,24,21600,0.7315217198973353,0.9900568181818182
5,1,21600,1.1133997684175319,0.5440340909090909
5,7,21600,0.18837267039343714,1.0
5,18,21600,2.3212404697788536,0.02546296296296296
5,0,21600,0.2684624912838141,0.9822916666666667
5,33,21600,0.9250953271985054,0.6866319444444444
5,22,21600,1.6624378845805214,0.6205357142857143
5,19,21600,0.3079870489816512,0.9425403225806451
5,31,21600,0.5255137880643209,0.9479166666666666
5,8,21600,0.5777847271631745,0.8731617647058824
5,9,21600,0.3432466959953308,0.95
5,4,21600,0.2561636173299381,0.9732142857142857
5,15,21600,0.9796414532913611,0.375
5,27,21600,1.2128240838646889,0.5118534482758621
