Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.20561079545454544,0
1,0.0882920747358453,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.42953310276679846,0
2,0.0007102272727272727,1
2,0.058949239417989414,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.20525568181818182,0
3,0.065625,1
3,0.0,2
3,0.10334959379984053,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.2328125,0
4,0.044426638176638174,1
4,0.17211174242424243,2
4,0.0,3
4,0.01017438640793904,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.3731322900775489,0
5,0.033767361111111116,1
5,0.14109848484848483,2
5,0.0,3
5,0,4
5,0.022761093073593076,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.2909200174825175,0
6,0.18206521739130435,1
6,0.20306712962962964,2
6,0.0007102272727272727,3
6,0.0,4
6,0,5
6,0.0,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.2629616477272727,0
7,0.048828125,1
7,0.10051169590643276,2
7,0.008159722222222223,3
7,0.0,4
7,0,5
7,0,6
7,0.1341382575757576,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.35379525554457625,0
8,0.0015625,1
8,0.28911713286713286,2
8,0.0008680555555555555,3
8,0.015653935185185184,4
8,0.024305555555555556,5
8,0,6
8,0,7
8,0.026709529505582134,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.296680716814888,0
9,0.013020833333333334,1
9,0.01015625,2
9,0.1581439393939394,3
9,0.0,4
9,0.00078125,5
9,0.08159722222222222,6
9,0,7
9,0,8
9,0.013964687998405103,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.29671790654520913,0
10,0.008167613636363636,1
10,0.06336805555555555,2
10,0.0,3
10,0.0,4
10,0.09868421052631579,5
10,0.0109375,6
10,0.059027777777777776,7
10,0,8
10,0,9
10,0.10495580808080808,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.2822902609086819,0
11,0.1802174707602339,1
11,0.07859848484848485,2
11,0.017361111111111112,3
11,0.0,4
11,0.005681818181818182,5
11,0.001736111111111111,6
11,0.00234375,7
11,0,8
11,0,9
11,0,10
11,0.026594065656565653,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.2997551517210145,0
12,0.2361216542959964,1
12,0.10509868421052632,2
12,0.0,3
12,0.12196180555555555,4
12,0.09090909090909091,5
12,0.05397727272727273,6
12,0,7
12,0.06160300925925926,8
12,0,9
12,0,10
12,0,11
12,0.08656881313131314,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.2562174479166667,0
13,0.05154237117552335,1
13,0.21002375730994152,2
13,0.20390625,3
13,0.0014204545454545455,4
13,0.027777777777777776,5
13,0.32386363636363635,6
13,0.0,7
13,0,8
13,0.003472222222222222,9
13,0,10
13,0,11
13,0,12
13,0.22632575757575757,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.35244864004629634,0
14,0.05625,1
14,0.022022192028985508,2
14,0.17683205409356725,3
14,0.15625,4
14,0.0,5
14,0.010416666666666666,6
14,0.11363636363636363,7
14,0.21306818181818182,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0.004734848484848485,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.26394412878787876,0
15,0.006727430555555555,1
15,0.1078125,2
15,0.03708106884057971,3
15,0.024271290204678365,4
15,0.06085526315789474,5
15,0.05539772727272727,6
15,0.6336805555555556,7
15,0.014204545454545454,8
15,0.0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.3615584935897436,0
16,0.08380681818181818,1
16,0.26752989969135804,2
16,0.1796875,3
16,0,4
16,0.07885599415204679,5
16,0.5328947368421053,6
16,0.0014204545454545455,7
16,0.16493055555555555,8
16,0.028409090909090908,9
16,0.7443181818181818,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.4827800224065599,0
17,0.32572115384615385,1
17,0.08057133838383838,2
17,0.016927083333333332,3
17,0.1328125,4
17,0,5
17,0.06661184210526316,6
17,0,7
17,0.0,8
17,0.11805555555555555,9
17,0.5113636363636364,10
17,0.0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.4278987794612794,0
18,0.12682291666666667,1
18,0.23958333333333334,2
18,0.10590277777777778,3
18,0.04264322916666667,4
18,0,5
18,0,6
18,0.11408077485380116,7
18,0,8
18,0.16477272727272727,9
18,0.109375,10
18,0,11
18,0.13068181818181818,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.3731837606837607,0
19,0.13162878787878787,1
19,0.1699918954996186,2
19,0.1484375,3
19,0.007102272727272727,4
19,0.09147135416666667,5
19,0,6
19,0,7
19,0.07789656432748537,8
19,0,9
19,0.017045454545454544,10
19,0.013888888888888888,11
19,0,12
19,0.3380681818181818,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.3173729482323232,0
20,0.16041666666666668,1
20,0.46354166666666663,2
20,0.028125,3
20,0.375,4
20,0.1522845643939394,5
20,0.09114583333333333,6
20,0,7
20,0,8
20,0.28202668128654973,9
20,0,10
20,0,11
20,0.017361111111111112,12
20,0,13
20,0.07102272727272728,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
