Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.3229820912112579,0
1,0.04139492753623188,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.286390240194588,0
2,0.19819944234006734,1
2,0.004637078017012227,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.2195708786231884,0
3,0.03306107954545455,1
3,0.03891782407407407,2
3,0.08198047498006379,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.2127840909090909,0
4,0.04153385865342387,1
4,0.10625,2
4,0.0,3
4,0.017224880382775122,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.2554154980030087,0
5,0.028616898148148148,1
5,0.10555676961926962,2
5,0.0,3
5,0,4
5,0.05397727272727273,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.2532852564102564,0
6,0.17420107106534452,1
6,0.14631076388888892,2
6,0.08091329966329967,3
6,0.1640625,4
6,0,5
6,0.12215909090909091,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.2790705852383484,0
7,0.24698722501456877,1
7,0.18000730994152048,2
7,0.026466049382716048,3
7,0.052083333333333336,4
7,0.5546875,5
7,0,6
7,0.10026041666666667,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.3059202805296555,0
8,0.21633709629186604,1
8,0.011994949494949496,2
8,0.005116959064327485,3
8,0.017013888888888887,4
8,0.014973958333333334,5
8,0.0703125,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.32153673010858,0
9,0.04211738782051282,1
9,0.012831439393939395,2
9,0.31368371212121215,3
9,0.012381213450292397,4
9,0.05075231481481482,5
9,0.1875,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.35571990499347955,0
10,0.15939455698287222,1
10,0.14742476851851852,2
10,0.10369318181818182,3
10,0,4
10,0.0947094298245614,5
10,0.0296875,6
10,0.19270833333333334,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.13183387412417016,0
11,0.110617136275031,1
11,0.30555984436758893,2
11,0.015190972222222222,3
11,0.03409090909090909,4
11,0,5
11,0.008680555555555556,6
11,0.0171875,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.19117636967501098,0
12,0.19399370731607574,1
12,0.0437868265993266,2
12,0.0625,3
12,0.059027777777777776,4
12,0.11079545454545454,5
12,0,6
12,0,7
12,0.0484375,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.36480917314593303,0
13,0.12839673913043478,1
13,0.27065425893550893,2
13,0.3339804292929293,3
13,0,4
13,0.18055555555555555,5
13,0.23863636363636365,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.3323862793263835,0
14,0.21302083333333333,1
14,0.1260378925120773,2
14,0.29606145750265817,3
14,0.32589962121212124,4
14,0,5
14,0.09722222222222222,6
14,0.19602272727272727,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.3131747159090909,0
15,0.17908846072908574,1
15,0.16373355263157896,2
15,0.19582201086956522,3
15,0.1264924463937622,4
15,0,5
15,0,6
15,0.3506944444444444,7
15,0.17045454545454544,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.4137858831610024,0
16,0.11154250841750842,1
16,0.13589015151515152,2
16,0,3
16,0,4
16,0.27885765550239233,5
16,0,6
16,0,7
16,0.22916666666666666,8
16,0.022727272727272728,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.4252200386300071,0
17,0.2805229107312441,1
17,0.14857954545454546,2
17,0.19900173611111113,3
17,0,4
17,0,5
17,0.39473684210526316,6
17,0,7
17,0,8
17,0.19270833333333334,9
17,0.5397727272727273,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.40469498672623677,0
18,0.2845189716578447,1
18,0.2786458333333333,2
18,0.1768623737373737,3
18,0.08052201704545454,4
18,0,5
18,0,6
18,0.08223684210526316,7
18,0,8
18,0,9
18,0.0954861111111111,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.33981036324786323,0
19,0.21833570075757575,1
19,0.16497643771814255,2
19,0,3
19,0.19412878787878787,4
19,0.2940340909090909,5
19,0,6
19,0,7
19,0.2582236842105263,8
19,0,9
19,0,10
19,0.28125,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.45216597397586983,0
20,0.22655849358974361,1
20,0.14388020833333331,2
20,0.31083923473869124,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.4407894736842105,9
20,0,10
20,0,11
20,0.1857638888888889,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
