Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
10.871812,1,0.099502,118.55061155472798,0.4965335489792012,0.798295
12.984831,2,0.10431,120.74430628398176,0.5063569959629742,0.798295
13.515642,3,0.124313,157.88267796056667,0.36769701086956524,0.949219
10.498648,4,0.112723,153.86366530146094,0.3307323232323232,0.8125
16.226484,5,0.105598,114.63354657341803,0.4043932333200425,0.818359
15.368104,6,0.151185,131.31506958456825,0.3461808878256247,0.553977
14.468474,7,0.203726,140.591349307132,0.5515021163047479,0.727273
14.461719,8,0.128949,124.63863766906312,0.5397175359918495,0.792614
9.904975,9,0.175137,157.92213271102946,0.4351439523958117,0.932292
9.708817,10,0.202438,146.86418896381787,0.5160118973798894,0.838816
10.436258,11,0.137534,143.24555839536526,0.46254111842105267,0.686198
11.791457,12,0.145519,101.8360815232008,0.44384033592503985,0.630859
9.888817,13,0.269059,154.30330521411395,0.567011524659551,0.738487
11.265934,14,0.209306,114.9690828005512,0.4827971186647174,0.771484
12.126589,15,0.227936,111.90302721553158,0.44529671717171715,0.542614
12.753208,16,0.220124,154.754192188774,0.6108050059208525,0.756793
9.872018,17,0.257984,123.22494674374991,0.5423005964247741,0.616319
15.10232,18,0.235834,155.2463445624405,0.5944161690764951,0.761574
16.119149,19,0.22931,114.3916408659304,0.4353088173400674,0.521307
16.068699,20,0.280992,153.05236848869737,0.4985705741626794,0.589015
