Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,12,89592,56,2.367633,0.0
1,0,89592,56,2.185068,0.001645
1,19,89592,56,2.384352,0.181818
1,17,89592,56,2.478964,0.001563
1,6,89592,56,2.425877,0.006579
1,15,89592,56,2.596019,0.043403
1,11,89592,56,2.290943,0.053571
1,5,89592,56,2.283275,0.011161
1,7,89592,56,2.286623,0.179087
1,9,89592,56,2.355738,0.171875
1,10,89592,56,2.255409,0.391447
1,14,89592,56,2.352092,0.0
1,1,89592,56,2.375683,0.023897
1,4,89592,56,2.028652,0.222039
1,13,89592,56,2.425354,0.019886
1,18,89592,56,2.685926,0.007812
1,3,89592,56,2.031681,0.328947
1,8,89592,56,2.526932,0.048438
1,2,89592,56,2.184439,0.001488
1,16,89592,56,2.371153,0.191106
2,11,89592,56,2.370593,0.087054
2,8,89592,56,2.11402,0.251563
2,5,89592,56,2.481475,0.073661
2,13,89592,56,2.140564,0.264205
2,2,89592,56,1.960848,0.096726
2,17,89592,56,2.821446,0.017188
2,16,89592,56,1.665577,0.497596
2,15,89592,56,2.026195,0.272569
2,12,89592,56,2.672537,0.027778
2,14,89592,56,2.53555,0.003289
2,9,89592,56,2.184687,0.106771
2,18,89592,56,1.828958,0.377604
2,19,89592,56,2.324729,0.018466
2,10,89592,56,2.709273,0.034539
2,0,89592,56,2.085582,0.098684
2,3,89592,56,2.556165,0.103618
2,1,89592,56,2.106947,0.161765
2,4,89592,56,2.709883,0.001645
2,6,89592,56,2.3266,0.029605
2,7,89592,56,2.700591,0.027644
3,9,89592,56,2.510342,0.080729
3,13,89592,56,2.493843,0.130682
3,11,89592,56,2.303162,0.136161
3,2,89592,56,2.164831,0.14881
3,18,89592,56,3.192686,0.049479
3,6,89592,56,2.218466,0.546053
3,14,89592,56,2.108933,0.111842
3,5,89592,56,2.385254,0.053571
3,3,89592,56,2.230555,0.008224
3,8,89592,56,2.733256,0.175
3,12,89592,56,2.115947,0.046875
3,17,89592,56,2.040751,0.154688
3,0,89592,56,2.25649,0.116776
3,15,89592,56,2.84603,0.052083
3,19,89592,56,2.451254,0.132102
3,4,89592,56,2.030593,0.067434
3,10,89592,56,2.270285,0.019737
3,1,89592,56,2.598687,0.108456
3,7,89592,56,2.029148,0.167067
3,16,89592,56,2.758629,0.080529
4,19,89592,56,2.110769,0.285511
4,3,89592,56,2.262472,0.154605
4,8,89592,56,2.34435,0.06875
4,13,89592,56,2.225193,0.153409
4,1,89592,56,2.150219,0.215074
4,5,89592,56,2.314538,0.109375
4,11,89592,56,2.150262,0.180804
4,9,89592,56,1.865902,0.338542
4,6,89592,56,2.471101,0.004934
4,16,89592,56,2.072896,0.230769
4,0,89592,56,1.845433,0.450658
4,4,89592,56,2.251144,0.152961
4,17,89592,56,2.248578,0.115625
4,10,89592,56,2.186304,0.217105
4,7,89592,56,2.217337,0.179087
4,15,89592,56,2.16564,0.178819
4,18,89592,56,2.412079,0.072917
4,12,89592,56,1.972856,0.213542
4,2,89592,56,1.695085,0.587798
4,14,89592,56,1.859631,0.273026
5,18,89592,56,1.826372,0.177083
5,13,89592,56,1.807577,0.303977
5,5,89592,56,2.108209,0.149554
5,0,89592,56,1.757765,0.388158
5,2,89592,56,1.736953,0.391369
5,4,89592,56,2.179411,0.134868
5,16,89592,56,1.534471,0.324519
5,3,89592,56,2.021529,0.139803
5,9,89592,56,1.576361,0.429688
5,17,89592,56,1.97056,0.317188
5,14,89592,56,2.160625,0.307566
5,1,89592,56,1.80728,0.314338
5,10,89592,56,1.932138,0.222039
5,19,89592,56,1.775818,0.298295
5,11,89592,56,1.954949,0.256696
5,6,89592,56,1.745364,0.460526
5,7,89592,56,1.901729,0.284856
5,15,89592,56,1.722675,0.307292
5,12,89592,56,2.455128,0.149306
5,8,89592,56,1.867183,0.251563
6,9,89592,56,1.982407,0.330729
6,11,89592,56,2.029108,0.225446
6,18,89592,56,1.525629,0.447917
6,5,89592,56,2.14662,0.203125
6,19,89592,56,2.028879,0.271307
6,17,89592,56,2.62519,0.126562
6,13,89592,56,2.084152,0.215909
6,8,89592,56,1.893825,0.246875
6,15,89592,56,1.853298,0.348958
6,7,89592,56,2.482221,0.179087
6,4,89592,56,2.588501,0.052632
6,2,89592,56,1.2447,0.620536
6,12,89592,56,1.980808,0.166667
6,10,89592,56,2.695072,0.121711
6,3,89592,56,2.657606,0.083882
6,0,89592,56,1.21038,0.666118
6,16,89592,56,1.924388,0.336538
6,1,89592,56,1.473484,0.498162
6,6,89592,56,1.770647,0.15625
6,14,89592,56,1.944969,0.197368
7,14,89592,56,1.302731,0.684211
7,6,89592,56,2.419635,0.006579
7,13,89592,56,2.258611,0.147727
7,18,89592,56,2.568851,0.041667
7,11,89592,56,1.890682,0.258929
7,9,89592,56,2.194097,0.182292
7,0,89592,56,1.918319,0.192434
7,4,89592,56,1.865283,0.175987
7,19,89592,56,1.996087,0.21875
7,15,89592,56,2.391975,0.147569
7,12,89592,56,1.129973,0.788194
7,3,89592,56,2.169811,0.041118
7,10,89592,56,2.249674,0.144737
7,17,89592,56,2.590304,0.078125
7,1,89592,56,2.329711,0.068015
7,5,89592,56,2.093946,0.131696
7,8,89592,56,2.400017,0.114062
7,2,89592,56,1.314809,0.467262
7,7,89592,56,2.418208,0.063702
7,16,89592,56,2.215958,0.146635
8,18,89592,56,1.760471,0.364583
8,9,89592,56,1.888116,0.304688
8,10,89592,56,1.838104,0.225329
8,8,89592,56,1.794277,0.375
8,6,89592,56,1.331105,0.65625
8,14,89592,56,1.806282,0.294408
8,15,89592,56,1.80998,0.345486
8,19,89592,56,1.589735,0.431818
8,0,89592,56,1.79692,0.302632
8,11,89592,56,1.838998,0.287946
8,4,89592,56,2.066649,0.100329
8,13,89592,56,1.882684,0.309659
8,3,89592,56,2.169167,0.070724
8,5,89592,56,2.013682,0.194196
8,12,89592,56,1.853779,0.189236
8,1,89592,56,1.805258,0.338235
8,17,89592,56,1.697573,0.345313
8,2,89592,56,1.59272,0.409226
8,16,89592,56,1.920966,0.269231
8,7,89592,56,1.712487,0.340144
9,17,89592,56,2.547636,0.129688
9,13,89592,56,1.932135,0.235795
9,18,89592,56,2.178995,0.091146
9,11,89592,56,1.572575,0.392857
9,12,89592,56,1.181235,0.696181
9,5,89592,56,1.647541,0.383929
9,6,89592,56,1.96958,0.03125
9,9,89592,56,1.812999,0.322917
9,1,89592,56,2.166041,0.161765
9,14,89592,56,1.150636,0.697368
9,15,89592,56,1.953245,0.236111
9,16,89592,56,1.979769,0.204327
9,4,89592,56,1.535743,0.442434
9,2,89592,56,1.822621,0.418155
9,0,89592,56,2.20692,0.279605
9,8,89592,56,1.992727,0.167187
9,10,89592,56,2.214179,0.161184
9,19,89592,56,1.859893,0.244318
9,7,89592,56,2.498169,0.103365
9,3,89592,56,1.80421,0.296053
10,9,89592,56,1.44794,0.471354
10,17,89592,56,2.147241,0.20625
10,11,89592,56,1.687452,0.332589
10,13,89592,56,1.721152,0.323864
10,18,89592,56,1.384502,0.486979
10,8,89592,56,1.639097,0.3625
10,10,89592,56,1.953911,0.256579
10,1,89592,56,1.335681,0.529412
10,12,89592,56,2.186823,0.060764
10,6,89592,56,1.856813,0.199013
10,15,89592,56,1.508263,0.451389
10,7,89592,56,2.024446,0.230769
10,4,89592,56,1.743199,0.345395
10,3,89592,56,1.574855,0.444079
10,5,89592,56,1.599843,0.466518
10,2,89592,56,1.775251,0.302083
10,0,89592,56,1.361318,0.506579
10,19,89592,56,1.794137,0.306818
10,16,89592,56,1.455916,0.439904
10,14,89592,56,2.016877,0.133224
11,13,89592,56,1.993608,0.278409
11,14,89592,56,1.73457,0.335526
11,18,89592,56,2.217788,0.111979
11,5,89592,56,2.245798,0.122768
11,9,89592,56,2.135682,0.260417
11,19,89592,56,1.783626,0.332386
11,3,89592,56,2.728638,0.034539
11,11,89592,56,1.940918,0.272321
11,2,89592,56,1.225467,0.563988
11,17,89592,56,1.712966,0.273438
11,15,89592,56,2.132204,0.201389
11,1,89592,56,2.025161,0.194853
11,4,89592,56,2.443761,0.115132
11,8,89592,56,2.070314,0.228125
11,12,89592,56,1.89306,0.230903
11,0,89592,56,1.733003,0.350329
11,6,89592,56,1.330357,0.521382
11,16,89592,56,2.32282,0.222356
11,7,89592,56,1.881427,0.289663
11,10,89592,56,2.382274,0.129934
12,1,89592,56,1.685281,0.352941
12,18,89592,56,1.328252,0.533854
12,10,89592,56,1.499066,0.450658
12,11,89592,56,1.7274,0.299107
12,5,89592,56,1.947622,0.209821
12,8,89592,56,1.381733,0.514062
12,6,89592,56,1.397345,0.542763
12,3,89592,56,1.753667,0.291118
12,0,89592,56,1.936001,0.215461
12,4,89592,56,1.927052,0.213816
12,9,89592,56,1.403725,0.455729
12,2,89592,56,1.950907,0.184524
12,14,89592,56,1.826855,0.259868
12,16,89592,56,1.146819,0.616587
12,13,89592,56,1.526454,0.440341
12,7,89592,56,1.636022,0.429087
12,12,89592,56,1.998446,0.220486
12,15,89592,56,1.312216,0.581597
12,17,89592,56,1.687396,0.403125
12,19,89592,56,1.522892,0.446023
13,11,89592,56,1.459532,0.459821
13,18,89592,56,1.849584,0.289062
13,13,89592,56,1.525324,0.434659
13,5,89592,56,1.512198,0.495536
13,0,89592,56,1.724936,0.368421
13,7,89592,56,1.579477,0.442308
