Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.753725,89592,1.794461,0.308456
1,18,1,1.30791,89592,1.422173,0.53072
1,3,1,1.442649,89592,1.797718,0.274148
1,8,1,1.534854,89592,2.062891,0.20625
1,4,1,1.647388,89592,1.81285,0.281667
1,2,1,1.684883,89592,1.930077,0.306818
2,11,1,1.157226,89592,1.433644,0.548407
2,18,1,1.330651,89592,1.27793,0.554555
2,1,1,1.547211,89592,1.679518,0.445536
2,2,1,1.711705,89592,1.775457,0.372971
2,16,1,1.853154,89592,0.850316,0.682292
2,5,1,1.920735,89592,0.900555,0.650281
3,11,1,1.172153,89592,1.330622,0.582108
3,18,1,1.323787,89592,1.29419,0.519068
3,17,1,1.520176,89592,1.617907,0.483456
3,4,1,1.665627,89592,1.579808,0.379167
3,7,1,1.856138,89592,1.655346,0.384191
3,14,1,2.00537,89592,1.359518,0.395041
4,2,1,1.77471,89592,1.629571,0.435065
4,9,1,1.779574,89592,1.252867,0.558494
4,3,1,1.664823,89592,1.464206,0.442235
4,12,1,1.724384,89592,1.50761,0.450417
4,15,1,1.774348,89592,1.674742,0.307292
4,7,1,1.909604,89592,1.482158,0.467279
5,19,1,0.679408,89592,1.463909,0.451509
5,13,1,0.688504,89592,1.336316,0.570833
5,11,1,1.236411,89592,1.217335,0.636029
5,8,1,1.524341,89592,1.656686,0.393304
5,16,1,1.78779,89592,0.539744,0.834821
5,0,1,1.812879,89592,1.508044,0.420015
6,18,1,1.294118,89592,1.189774,0.592161
6,1,1,1.579141,89592,1.397441,0.518304
6,8,1,1.583238,89592,1.581245,0.44375
6,2,1,1.708114,89592,1.553183,0.451705
6,15,1,1.714302,89592,1.533936,0.366987
6,0,1,1.852901,89592,1.350126,0.502604
7,13,1,0.692751,89592,1.198653,0.602083
7,12,1,1.636303,89592,1.318599,0.516667
7,4,1,1.641138,89592,1.385053,0.453333
7,1,1,1.55553,89592,1.265747,0.569643
7,2,1,1.678494,89592,1.415177,0.514205
7,10,1,2.156424,89592,1.106726,0.585784
8,11,1,1.163321,89592,1.107864,0.655637
8,18,1,1.337861,89592,1.071758,0.616525
8,4,1,1.662286,89592,1.290171,0.50875
8,12,1,1.650909,89592,1.184218,0.5775
8,7,1,1.86396,89592,1.28641,0.536765
8,6,1,2.634288,89592,1.208266,0.586426
9,13,1,0.686312,89592,1.029633,0.648958
9,11,1,1.145509,89592,0.982518,0.689951
9,8,1,1.540638,89592,1.459001,0.482589
9,4,1,1.617014,89592,1.367584,0.46875
9,5,1,1.856881,89592,0.79791,0.663624
9,14,1,1.984142,89592,1.025613,0.594429
10,13,1,0.679732,89592,1.228236,0.605208
10,18,1,1.287628,89592,1.054227,0.641949
10,3,1,1.58121,89592,1.218013,0.557765
10,1,1,1.543809,89592,1.219382,0.580357
10,15,1,1.719512,89592,1.395933,0.420673
10,0,1,1.785105,89592,1.198566,0.557292
11,19,1,0.805081,89592,1.281458,0.553879
11,18,1,1.31031,89592,0.833049,0.71875
11,17,1,1.503314,89592,1.229027,0.602941
11,2,1,1.684655,89592,1.268553,0.555601
11,14,1,1.952729,89592,0.933325,0.632133
11,6,1,2.629031,89592,1.080471,0.631836
12,11,1,1.12957,89592,0.955201,0.691176
12,4,1,1.650581,89592,1.250593,0.52125
12,8,1,1.68965,89592,1.318975,0.535714
12,16,1,1.810704,89592,0.491219,0.842634
12,15,1,1.840314,89592,1.438513,0.422276
12,6,1,2.643561,89592,1.009377,0.647949
13,13,1,0.81498,89592,1.015161,0.653125
13,4,1,1.659511,89592,1.21817,0.539583
13,8,1,1.692831,89592,1.295534,0.540179
13,9,1,1.713231,89592,0.934316,0.67508
13,7,1,1.852503,89592,1.059895,0.602941
13,5,1,1.886622,89592,0.70648,0.683638
14,18,1,1.306691,89592,0.899491,0.691208
14,3,1,1.45943,89592,1.070338,0.607955
14,8,1,1.552313,89592,1.312924,0.541964
14,4,1,1.663613,89592,1.134849,0.573333
14,7,1,1.856131,89592,1.067139,0.608456
14,16,1,1.828357,89592,0.38373,0.875372
15,1,1,1.561445,89592,1.095848,0.632143
15,5,1,1.947813,89592,0.688109,0.699438
15,16,1,1.830042,89592,0.369783,0.885789
15,0,1,1.85193,89592,1.055348,0.621652
15,14,1,2.110248,89592,0.889919,0.654891
15,6,1,2.708189,89592,0.957922,0.670166
16,13,1,0.695935,89592,0.98426,0.659375
16,11,1,1.149,89592,0.967457,0.674632
16,18,1,1.311146,89592,0.768154,0.740466
16,3,1,1.454678,89592,0.980963,0.654356
16,15,1,1.66911,89592,1.276064,0.494792
16,9,1,1.70664,89592,0.889826,0.673878
17,13,1,0.687346,89592,0.827984,0.726042
17,11,1,1.11734,89592,0.851154,0.719975
17,17,1,1.473459,89592,1.086525,0.647518
17,9,1,1.693037,89592,0.83372,0.707532
17,2,1,1.663637,89592,1.202338,0.588474
17,16,1,1.79584,89592,0.351404,0.895089
18,18,1,1.303548,89592,0.817418,0.733051
18,3,1,1.466525,89592,1.029036,0.630682
18,7,1,1.846732,89592,1.031404,0.616544
18,14,1,2.021498,89592,0.8673,0.672215
18,5,1,1.922751,89592,0.675531,0.698034
18,10,1,2.283474,89592,0.897767,0.671262
19,18,1,1.315993,89592,0.74531,0.747881
19,1,1,1.556115,89592,1.054912,0.637946
19,3,1,1.464599,89592,0.893776,0.681345
19,15,1,1.686858,89592,1.250434,0.497596
19,16,1,1.805078,89592,0.378224,0.879092
19,6,1,2.626462,89592,0.92755,0.675293
20,3,1,1.469236,89592,0.928791,0.669508
20,4,1,1.647478,89592,1.100535,0.594583
20,8,1,1.5527,89592,1.178392,0.594643
20,0,1,1.86056,89592,0.996839,0.646949
20,5,1,1.92809,89592,0.687862,0.695225
20,10,1,2.200044,89592,0.852636,0.693321
