Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.19624065589320525,0
1,0.0480089501833342,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.16555239270748173,0
2,0.09016288807189543,1
2,0.10422310217946829,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.2731143499066293,0
3,0.16808251410612093,1
3,0.26056985294117646,2
3,0.23487455210291353,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.2793395707149819,0
4,0.21278452685421995,1
4,0.24415239580680756,2
4,0.16727941176470587,3
4,0.1784906994047619,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.37357026143790845,0
5,0.24963722239626848,1
5,0.19029220836885477,2
5,0.20822192513368984,3
5,0,4
5,0.1848046875,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.3906980994152047,0
6,0.32040550595238093,1
6,0.2803346256265664,2
6,0.3949674978687127,3
6,0.019886363636363636,4
6,0,5
6,0.36966796874999996,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.3791605136206529,0
7,0.23310965833701905,1
7,0.38578869047619047,2
7,0.2848707054093567,3
7,0.1685581841432225,4
7,0.234375,5
7,0,6
7,0.0888671875,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.46035827959656084,0
8,0.37907742702344094,1
8,0.2525246940881616,2
8,0.2299107142857143,3
8,0.3447265625,4
8,0.3312020460358056,5
8,0.028409090909090908,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.2668213503012096,0
9,0.11556299603174602,1
9,0.22340686274509805,2
9,0.2521146616541353,3
9,0.20758928571428573,4
9,0.30108963815789475,5
9,0.23161764705882354,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.44606656807459827,0
10,0.3381529085613165,1
10,0.4000082671957672,2
10,0.45786184210526315,3
10,0,4
10,0.4799107142857143,5
10,0.09703947368421052,6
10,0.48713235294117646,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.5362067413194779,0
11,0.407093964230429,1
11,0.236303754456328,2
11,0.3195684523809524,3
11,0.30875,4
11,0,5
11,0.03125,6
11,0.14144736842105263,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.41638415348778396,0
12,0.17602491683172125,1
12,0.24385750393907563,2
12,0.3039772727272727,3
12,0.3819444444444444,4
12,0.45875,5
12,0,6
12,0,7
12,0.44901315789473684,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.38891819520205745,0
13,0.29670000195802004,1
13,0.14141018306636158,2
13,0.24675755718954248,3
13,0,4
13,0.2552083333333333,5
13,0.3425,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.5138442095588235,0
14,0.31266732171337436,1
14,0.3397809301900585,2
14,0.4328904402149876,3
14,0.40839460784313725,4
14,0,5
14,0.28125,6
14,0.51875,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.49461827432100963,0
15,0.4027658146591969,1
15,0.3731203007518797,2
15,0.2591831140350877,3
15,0.3684947663275837,4
15,0,5
15,0,6
15,0.4513888888888889,7
15,0.5275,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.46572175882414363,0
16,0.33787133255393725,1
16,0.36413593215063805,2
16,0,3
16,0,4
16,0.36742591773551525,5
16,0,6
16,0,7
16,0.453125,8
16,0.31625,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.5257260799056466,0
17,0.22878974780701755,1
17,0.2555273171521573,2
17,0.3399519530034236,3
17,0,4
17,0,5
17,0.17410714285714285,6
17,0,7
17,0,8
17,0.5451388888888888,9
17,0.41375,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.5132230667505803,0
18,0.4033300546095631,1
18,0.4194078947368421,2
18,0.5063207574696545,3
18,0.5402879901960784,4
18,0,5
18,0,6
18,0.48214285714285715,7
18,0,8
18,0,9
18,0.3142361111111111,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.5314802305242273,0
19,0.49306682900432897,1
19,0.4274795444493587,2
19,0,3
19,0.49255952380952384,4
19,0.49816176470588236,5
19,0,6
19,0,7
19,0.4642857142857143,8
19,0,9
19,0,10
19,0.4131944444444444,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.4644718168201624,0
20,0.3965802719113961,1
20,0.44882246376811596,2
20,0.2851524491375498,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.34375,9
20,0,10
20,0,11
20,0.3697916666666667,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
