Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,19,1276408,56,2.316873,0.129464
1,17,1276408,56,2.185701,0.009191
1,12,1276408,56,2.63019,0.0
1,0,1276408,56,2.3611,0.005952
1,15,1276408,56,2.541644,0.004934
1,6,1276408,56,1.873149,0.478516
1,3,1276408,56,2.111822,0.207031
1,1,1276408,56,2.469142,0.049632
1,9,1276408,56,2.717809,0.0
1,5,1276408,56,2.567209,0.0
1,14,1276408,56,2.38631,0.012228
1,10,1276408,56,2.439387,0.02375
1,13,1276408,56,2.141111,0.0
1,11,1276408,56,2.563873,0.002604
1,18,1276408,56,1.730743,0.520833
1,4,1276408,56,2.498886,0.010417
1,8,1276408,56,2.276235,0.095588
1,2,1276408,56,2.171954,0.177632
1,16,1276408,56,2.364373,0.0
1,7,1276408,56,2.095458,0.18006
2,13,1276408,56,2.320722,0.160714
2,19,1276408,56,2.482243,0.013393
2,12,1276408,56,2.080787,0.163194
2,9,1276408,56,2.113865,0.110197
2,4,1276408,56,2.160288,0.149306
2,18,1276408,56,2.49256,0.033333
2,5,1276408,56,1.992282,0.302557
2,11,1276408,56,2.211282,0.007812
2,1,1276408,56,2.236092,0.049632
2,3,1276408,56,2.466373,0.007812
2,15,1276408,56,2.149034,0.263158
2,17,1276408,56,2.373812,0.040441
2,8,1276408,56,2.280561,0.132353
2,2,1276408,56,2.340657,0.042763
2,14,1276408,56,2.456348,0.0
2,16,1276408,56,1.787115,0.563988
2,0,1276408,56,2.391597,0.047619
2,7,1276408,56,2.388182,0.078869
2,10,1276408,56,2.132686,0.245
2,6,1276408,56,2.480869,0.007812
3,19,1276408,56,1.974593,0.290179
3,13,1276408,56,1.752239,0.513393
3,15,1276408,56,2.296558,0.106908
3,11,1276408,56,2.077958,0.216146
3,18,1276408,56,1.958585,0.31875
3,17,1276408,56,1.801945,0.479779
3,16,1276408,56,2.282236,0.09375
3,8,1276408,56,2.055362,0.240809
3,3,1276408,56,1.983617,0.294922
3,4,1276408,56,2.077927,0.151042
3,12,1276408,56,2.218266,0.079861
3,2,1276408,56,1.971762,0.324013
3,9,1276408,56,2.232896,0.006579
3,5,1276408,56,2.471971,0.004261
3,7,1276408,56,1.93111,0.290179
3,14,1276408,56,1.928545,0.351902
3,0,1276408,56,1.91425,0.296131
3,1,1276408,56,2.081936,0.174632
3,10,1276408,56,2.000581,0.3725
3,6,1276408,56,2.014354,0.288086
4,19,1276408,56,1.949424,0.160714
4,14,1276408,56,2.190901,0.040761
4,4,1276408,56,1.742395,0.296875
4,12,1276408,56,1.813943,0.463542
4,15,1276408,56,1.84032,0.212171
4,11,1276408,56,1.693572,0.580729
4,2,1276408,56,2.28608,0.180921
4,8,1276408,56,2.062983,0.152574
4,18,1276408,56,2.441375,0.070833
4,1,1276408,56,2.108496,0.28125
4,5,1276408,56,1.941148,0.024148
4,16,1276408,56,1.627424,0.385417
4,6,1276408,56,2.343252,0.107422
4,13,1276408,56,2.065281,0.245536
4,3,1276408,56,2.149357,0.027344
4,0,1276408,56,2.125051,0.154762
4,7,1276408,56,1.89355,0.212798
4,17,1276408,56,2.268219,0.090074
4,9,1276408,56,1.560451,0.575658
4,10,1276408,56,1.830369,0.2125
5,11,1276408,56,1.913488,0.125
5,18,1276408,56,2.526035,0.158333
5,13,1276408,56,1.462972,0.410714
5,2,1276408,56,2.146578,0.21875
5,4,1276408,56,2.145778,0.220486
5,14,1276408,56,1.782621,0.357337
5,19,1276408,56,1.887842,0.316964
5,12,1276408,56,1.944435,0.211806
5,9,1276408,56,2.19944,0.129934
5,17,1276408,56,2.026509,0.216912
5,3,1276408,56,2.387201,0.207031
5,5,1276408,56,2.71836,0.167614
5,8,1276408,56,1.79339,0.413603
5,0,1276408,56,1.762954,0.339286
5,10,1276408,56,1.729348,0.30125
5,16,1276408,56,1.162671,0.727679
