Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.1848738501082251,0
1,0.06799890350877193,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.26489668906061453,0
2,0.27593710542929295,1
2,0.14628686951754385,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.2955808080808081,0
3,0.24659652603731552,1
3,0.18741319444444446,2
3,0.17477933114035088,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.32411496307055515,0
4,0.20432291666666663,1
4,0.1649731968810916,2
4,0.2361111111111111,3
4,0.21661184210526319,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.3191035676575698,0
5,0.229610804947976,1
5,0.26832682291666665,2
5,0.46173245614035086,3
5,0,4
5,0.36484375,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.3681058114035088,0
6,0.31482623659844056,1
6,0.2342699611244019,2
6,0.2625868055555556,3
6,0.36041666666666666,4
6,0,5
6,0.33619791666666665,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.4183347692147035,0
7,0.3733484100877193,1
7,0.3600790895061729,2
7,0.29699461722488035,3
7,0.35384114583333337,4
7,0.5354166666666667,5
7,0,6
7,0.4505208333333333,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.43531328914141415,0
8,0.32214520676691727,1
8,0.32542945906432746,2
8,0.38671875,3
8,0.3057565789473684,4
8,0.255859375,5
8,0.46041666666666664,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.4677113791423002,0
9,0.4420857007575757,1
9,0.40802396616541353,2
9,0.3150356359649123,3
9,0.43619791666666663,4
9,0.33519736842105263,5
9,0.3203125,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.44275402046783624,0
10,0.29845486111111114,1
10,0.3674589646464647,2
10,0.26726190476190476,3
10,0,4
10,0.21426504629629628,5
10,0.21710526315789475,6
10,0.349609375,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.46740451388888893,0
11,0.4418256578947369,1
11,0.4472873263888889,2
11,0.38957386363636365,3
11,0.4734375,4
11,0,5
11,0.41203703703703703,6
11,0.43914473684210525,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.5211226851851852,0
12,0.4007477678571429,1
12,0.29907483552631575,2
12,0.40625,3
12,0.5107386363636364,4
12,0.35625,5
12,0,6
12,0,7
12,0.44243421052631576,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.49829670055821373,0
13,0.46942997685185184,1
13,0.40871651785714286,2
13,0.43421052631578944,3
13,0,4
13,0.4875,5
13,0.425,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.5093206369248036,0
14,0.45299707602339184,1
14,0.5333333333333333,2
14,0.4415922619047619,3
14,0.506578947368421,4
14,0,5
14,0.53125,6
14,0.3734375,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.5354242811890838,0
15,0.39524779040404046,1
15,0.5082236842105263,2
15,0.39583333333333337,3
15,0.3581659226190476,4
15,0,5
15,0,6
15,0.4475,7
15,0.403125,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.4875456871345029,0
16,0.5063835079597141,1
16,0.45212542087542085,2
16,0,3
16,0,4
16,0.4387090773809524,5
16,0,6
16,0,7
16,0.57125,8
16,0.446875,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.5303339548234011,0
17,0.4088541666666667,1
17,0.5274122807017544,2
17,0.49397622053872053,3
17,0,4
17,0,5
17,0.515625,6
17,0,7
17,0,8
17,0.52,9
17,0.521875,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.5205255681818182,0
18,0.4660590821672235,1
18,0.4947916666666667,2
18,0.5447733918128655,3
18,0.3988715277777778,4
18,0,5
18,0,6
18,0.46484375,7
18,0,8
18,0,9
18,0.55375,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.5191637223846653,0
19,0.492779356060606,1
19,0.5096869125939849,2
19,0,3
19,0.4934210526315789,4
19,0.4952256944444444,5
19,0,6
19,0,7
19,0.4609375,8
19,0,9
19,0,10
19,0.55125,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.5352217348927876,0
20,0.5110081627680312,1
20,0.5426136363636364,2
20,0.5204597431077694,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.49609375,9
20,0,10
20,0,11
20,0.53375,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
