Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.808898,1276408,1.801057,0.385885
1,8,1,1.695603,1276408,2.113829,0.209459
1,18,1,1.821918,1276408,1.861475,0.338672
1,3,1,1.852323,1276408,1.819074,0.376883
1,2,1,1.970627,1276408,2.088791,0.249641
1,4,1,2.136986,1276408,1.823096,0.282552
2,5,1,1.382317,1276408,1.826715,0.285348
2,1,1,1.716872,1276408,1.748549,0.360609
2,11,1,1.832148,1276408,1.617616,0.439429
2,18,1,1.804828,1276408,1.737645,0.380859
2,2,1,1.976069,1276408,1.97825,0.303161
2,16,1,2.361242,1276408,1.834098,0.359518
3,14,1,1.098788,1276408,1.64329,0.470052
3,17,1,1.477441,1276408,1.777994,0.345192
3,11,1,1.788104,1276408,1.529339,0.482639
3,18,1,1.771965,1276408,1.693547,0.369531
3,7,1,1.949291,1276408,1.5711,0.490871
3,4,1,2.082695,1276408,1.589504,0.420247
4,15,1,1.101605,1276408,1.562414,0.479167
4,3,1,1.841104,1276408,1.512049,0.477786
4,9,1,1.864165,1276408,1.747809,0.377841
4,7,1,1.987667,1276408,1.489242,0.50632
4,2,1,2.075092,1276408,1.821344,0.350934
4,12,1,2.18806,1276408,1.496504,0.450625
5,19,1,0.771137,1276408,1.576411,0.489583
5,8,1,1.679331,1276408,1.787752,0.347551
5,13,1,1.719073,1276408,1.26482,0.547286
5,11,1,1.844057,1276408,1.328995,0.560571
5,0,1,1.868032,1276408,1.405192,0.495066
5,16,1,2.359668,1276408,1.582604,0.457282
6,15,1,1.088182,1276408,1.427399,0.505208
6,0,1,1.647746,1276408,1.366527,0.512747
6,8,1,1.653107,1276408,1.652309,0.410051
6,18,1,1.786192,1276408,1.47516,0.456641
6,1,1,1.782128,1276408,1.258276,0.543174
6,2,1,1.923028,1276408,1.617012,0.433549
7,13,1,1.703449,1276408,1.16348,0.589227
7,1,1,1.714465,1276408,1.229848,0.548931
7,10,1,1.845446,1276408,1.485059,0.463349
7,2,1,1.963594,1276408,1.558079,0.453664
7,12,1,2.229535,1276408,1.365365,0.499375
7,4,1,2.129,1276408,1.297712,0.541016
8,6,1,1.138689,1276408,1.415431,0.5175
8,18,1,1.776508,1276408,1.328925,0.513281
8,11,1,1.819014,1276408,1.146306,0.624614
8,7,1,1.971902,1276408,1.338925,0.550562
8,4,1,2.102188,1276408,1.231235,0.537435
8,12,1,2.161906,1276408,1.273201,0.525
9,14,1,1.083531,1276408,1.259893,0.56901
9,5,1,1.367628,1276408,1.182129,0.576844
9,13,1,1.700977,1276408,1.054428,0.627056
9,8,1,1.634353,1276408,1.542056,0.447213
9,11,1,1.801133,1276408,1.087492,0.641204
9,4,1,2.069572,1276408,1.203138,0.55957
10,15,1,1.076729,1276408,1.171029,0.577474
10,13,1,1.691358,1276408,0.995644,0.643503
10,1,1,1.699296,1276408,1.061295,0.615954
10,0,1,1.690402,1276408,1.202846,0.564967
10,3,1,1.820826,1276408,1.226966,0.573419
10,18,1,1.897705,1276408,1.284599,0.533203
11,19,1,0.761485,1276408,1.412517,0.53125
11,6,1,1.128575,1276408,1.333405,0.53875
11,14,1,1.057372,1276408,1.297242,0.550781
11,17,1,1.404882,1276408,1.380158,0.477404
11,18,1,1.741006,1276408,1.266469,0.5375
11,2,1,1.854356,1276408,1.440032,0.488147
12,15,1,1.099243,1276408,1.155221,0.604818
12,6,1,1.127079,1276408,1.2646,0.5625
12,11,1,1.786218,1276408,1.046127,0.656636
12,8,1,1.775742,1276408,1.450249,0.486909
12,4,1,2.097196,1276408,1.131623,0.593099
12,16,1,2.322598,1276408,1.237887,0.573968
13,5,1,1.366531,1276408,1.086869,0.614242
13,8,1,1.648485,1276408,1.381241,0.502111
13,13,1,1.678758,1276408,0.960129,0.661184
13,9,1,1.701341,1276408,1.357561,0.535714
13,7,1,1.958335,1276408,1.182627,0.596208
13,4,1,2.07504,1276408,1.064321,0.615885
14,8,1,1.657544,1276408,1.380889,0.500845
14,18,1,1.793048,1276408,1.207607,0.542969
14,3,1,1.854664,1276408,1.18218,0.596009
14,7,1,1.964141,1276408,1.143155,0.609199
14,4,1,2.126435,1276408,1.037128,0.627279
14,16,1,2.361565,1276408,1.212714,0.573968
15,14,1,1.122448,1276408,1.136855,0.611979
15,6,1,1.158789,1276408,1.215491,0.580625
15,5,1,1.3943,1276408,1.018161,0.646004
15,1,1,1.70856,1276408,0.977837,0.658306
15,0,1,1.806785,1276408,1.120738,0.598273
15,16,1,2.298011,1276408,1.174901,0.595183
16,15,1,1.093995,1276408,1.116017,0.610026
16,13,1,1.668439,1276408,0.896521,0.686266
16,9,1,1.730066,1276408,1.303559,0.552354
16,18,1,1.805196,1276408,1.199016,0.560937
16,3,1,1.854364,1276408,1.144875,0.607304
16,11,1,1.811452,1276408,0.968288,0.676698
17,17,1,1.459981,1276408,1.230765,0.542788
17,13,1,1.672868,1276408,0.922893,0.677632
17,9,1,1.698893,1276408,1.290347,0.545049
17,11,1,1.926867,1276408,0.898189,0.703704
17,2,1,1.898923,1276408,1.270592,0.547055
17,16,1,2.313687,1276408,1.119735,0.617259
18,14,1,1.079927,1276408,1.057195,0.629557
18,5,1,1.342725,1276408,0.9742,0.668033
18,10,1,1.764338,1276408,1.230913,0.554398
18,3,1,1.819619,1276408,1.123225,0.615587
18,18,1,1.867849,1276408,1.158534,0.569531
18,7,1,1.926612,1276408,1.095875,0.628511
19,15,1,1.069734,1276408,1.044965,0.63737
19,6,1,1.152184,1276408,1.151598,0.605
19,1,1,1.684702,1276408,0.92867,0.676809
19,3,1,1.818361,1276408,1.060051,0.626506
19,18,1,1.769902,1276408,1.094717,0.596875
19,16,1,2.320937,1276408,1.131295,0.606651
20,5,1,1.357409,1276408,0.924706,0.692111
20,8,1,1.637309,1276408,1.281844,0.536318
20,10,1,1.786965,1276408,1.170525,0.573302
20,0,1,1.821239,1276408,1.05209,0.619655
20,3,1,1.810462,1276408,1.053373,0.634036
20,4,1,2.098156,1276408,0.977062,0.64974
