Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,15,89592,56,2.43144,0.013021
1,17,89592,56,2.393674,0.132812
1,11,89592,56,2.273878,0.064062
1,0,89592,56,2.273061,0.322368
1,19,89592,56,2.314625,0.066406
1,6,89592,56,2.40301,0.049479
1,2,89592,56,2.265435,0.111607
1,12,89592,56,2.225799,0.13
1,8,89592,56,2.277154,0.09375
1,1,89592,56,2.449743,0.003289
1,18,89592,56,2.102521,0.334375
1,13,89592,56,2.450065,0.059211
1,10,89592,56,2.313775,0.042188
1,4,89592,56,2.253145,0.126302
1,14,89592,56,2.32815,0.041667
1,5,89592,56,2.360321,0.06875
1,9,89592,56,2.297678,0.050987
1,3,89592,56,2.074101,0.39375
1,7,89592,56,2.144381,0.106534
1,16,89592,56,2.310938,0.040509
2,19,89592,56,2.175532,0.230469
2,14,89592,56,2.115036,0.190104
2,15,89592,56,2.22667,0.098958
2,5,89592,56,1.877386,0.264583
2,17,89592,56,2.284275,0.144531
2,18,89592,56,2.335549,0.071875
2,6,89592,56,2.105295,0.140625
2,1,89592,56,2.033543,0.269737
2,8,89592,56,2.241084,0.140625
2,2,89592,56,2.133466,0.235119
2,11,89592,56,1.909177,0.421875
2,16,89592,56,1.940326,0.366898
2,3,89592,56,2.364656,0.225
2,4,89592,56,1.879514,0.324219
2,13,89592,56,2.076611,0.078947
2,10,89592,56,2.388489,0.089063
2,12,89592,56,1.987995,0.255
2,0,89592,56,2.313633,0.069079
2,7,89592,56,2.032802,0.427557
2,9,89592,56,2.20805,0.189145
3,5,89592,56,1.981174,0.333333
3,18,89592,56,1.979169,0.175
3,19,89592,56,2.061721,0.242188
3,0,89592,56,2.136298,0.143092
3,15,89592,56,2.191073,0.164062
3,17,89592,56,2.203832,0.140625
3,7,89592,56,1.717864,0.482955
3,6,89592,56,2.194637,0.161458
3,13,89592,56,2.18184,0.172697
3,1,89592,56,2.079274,0.277961
3,14,89592,56,1.946221,0.255208
3,11,89592,56,1.876139,0.404687
3,8,89592,56,2.134663,0.098958
3,4,89592,56,1.81443,0.365885
3,10,89592,56,2.102316,0.160938
3,3,89592,56,1.893021,0.26875
