Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,19,1276408,56,2.314625,0.066406
1,6,1276408,56,2.406777,0.049479
1,15,1276408,56,2.43144,0.013021
1,12,1276408,56,2.227437,0.12875
1,17,1276408,56,2.393674,0.132812
1,0,1276408,56,2.273061,0.322368
1,4,1276408,56,2.253145,0.126302
1,16,1276408,56,2.310938,0.040509
1,11,1276408,56,2.275862,0.0625
1,10,1276408,56,2.313775,0.042188
1,9,1276408,56,2.297678,0.050987
1,7,1276408,56,2.144381,0.106534
1,3,1276408,56,2.074101,0.39375
1,18,1276408,56,2.102521,0.334375
1,14,1276408,56,2.32815,0.041667
1,13,1276408,56,2.450065,0.059211
1,2,1276408,56,2.265435,0.111607
1,1,1276408,56,2.449743,0.003289
1,5,1276408,56,2.360321,0.06875
1,8,1276408,56,2.277154,0.09375
2,5,1276408,56,1.877522,0.2625
2,19,1276408,56,2.175992,0.230469
2,6,1276408,56,2.105088,0.143229
2,15,1276408,56,2.234602,0.096354
2,14,1276408,56,2.114281,0.192708
2,17,1276408,56,2.284058,0.144531
2,9,1276408,56,2.208154,0.190789
2,0,1276408,56,2.312924,0.070724
2,18,1276408,56,2.333715,0.073438
2,16,1276408,56,1.940788,0.364583
2,1,1276408,56,2.037183,0.261513
2,13,1276408,56,2.076234,0.080592
2,10,1276408,56,2.389134,0.089063
2,12,1276408,56,1.988546,0.25625
2,8,1276408,56,2.241442,0.140625
2,2,1276408,56,2.134077,0.235119
2,3,1276408,56,2.360233,0.226562
2,11,1276408,56,1.911068,0.423438
2,4,1276408,56,1.879954,0.322917
2,7,1276408,56,2.037535,0.426136
