Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,17,3514152,56,3.059497,0.0
1,6,3514152,56,2.828798,0.013986
1,12,3514152,56,2.609852,0.039872
1,19,3514152,56,2.374437,0.197302
1,15,3514152,56,2.428803,0.0
1,11,3514152,56,2.932172,0.0
1,3,3514152,56,2.218593,0.116071
1,14,3514152,56,2.32312,0.010152
1,5,3514152,56,2.497685,0.056962
1,1,3514152,56,1.569756,0.375635
1,18,3514152,56,2.366034,0.0
1,16,3514152,56,2.405226,0.0
1,7,3514152,56,1.415858,0.986053
1,2,3514152,56,1.969747,0.309278
1,13,3514152,56,2.794918,0.0
1,8,3514152,56,2.192162,0.0
1,10,3514152,56,2.811111,0.0
1,4,3514152,56,2.025697,0.0
1,0,3514152,56,2.475825,0.0
1,9,3514152,56,3.014157,0.0
2,3,3514152,56,1.592766,0.517857
2,5,3514152,56,1.824138,0.436709
2,17,3514152,56,3.049366,0.0
2,18,3514152,56,2.268372,0.404878
2,6,3514152,56,2.212289,0.604895
2,1,3514152,56,2.989145,0.0
2,14,3514152,56,3.635725,0.0
2,15,3514152,56,3.118694,0.241935
2,13,3514152,56,4.266423,0.0
2,8,3514152,56,3.846317,0.001605
2,12,3514152,56,4.468711,0.0
2,16,3514152,56,1.310104,0.626563
2,7,3514152,56,2.205674,0.0
2,4,3514152,56,3.67815,0.031343
2,19,3514152,56,3.522404,0.0
2,0,3514152,56,2.335025,0.0
2,10,3514152,56,3.945282,0.000949
2,2,3514152,56,1.729361,0.195876
2,11,3514152,56,1.488663,0.696482
2,9,3514152,56,3.407779,0.0
3,6,3514152,56,1.75324,0.653846
3,3,3514152,56,2.946479,0.0
3,1,3514152,56,1.871235,0.045685
3,17,3514152,56,2.214624,0.082927
3,18,3514152,56,1.547715,0.487805
3,5,3514152,56,2.776543,0.044304
3,12,3514152,56,3.544408,0.007974
3,8,3514152,56,2.325071,0.036918
3,15,3514152,56,2.877834,0.019355
3,19,3514152,56,2.527086,0.025295
3,0,3514152,56,2.14326,0.152128
3,14,3514152,56,2.143634,0.033841
3,4,3514152,56,2.259184,0.077612
3,16,3514152,56,2.825417,0.145313
3,2,3514152,56,2.404166,0.073454
3,11,3514152,56,1.453191,0.780905
3,13,3514152,56,2.715657,0.003247
3,7,3514152,56,2.137076,0.006974
3,10,3514152,56,2.98125,0.012334
3,9,3514152,56,2.329826,0.106291
4,6,3514152,56,3.749627,0.0
4,1,3514152,56,2.697553,0.0
4,3,3514152,56,2.547719,0.008929
4,17,3514152,56,2.40142,0.263415
4,18,3514152,56,3.547761,0.0
4,5,3514152,56,2.172404,0.14557
4,15,3514152,56,1.895241,0.437097
4,16,3514152,56,2.793895,0.0
4,14,3514152,56,3.44169,0.038917
4,12,3514152,56,3.496639,0.007974
4,8,3514152,56,2.132772,0.451043
4,13,3514152,56,4.099825,0.003247
4,7,3514152,56,1.661255,0.008368
4,2,3514152,56,2.391572,0.001289
4,19,3514152,56,3.46617,0.001686
4,4,3514152,56,3.452072,0.0
4,10,3514152,56,3.386442,0.058824
4,11,3514152,56,3.235551,0.094472
4,9,3514152,56,1.097242,0.701374
4,0,3514152,56,3.074744,0.0
5,18,3514152,56,2.698412,0.102439
5,3,3514152,56,3.094735,0.0
5,1,3514152,56,3.428766,0.015228
5,17,3514152,56,2.033738,0.297561
5,5,3514152,56,3.086041,0.0
5,16,3514152,56,2.974462,0.021875
5,14,3514152,56,2.560566,0.147208
5,12,3514152,56,4.476239,0.020734
5,6,3514152,56,2.084544,0.076923
5,19,3514152,56,2.208897,0.153457
5,2,3514152,56,2.338359,0.33634
5,15,3514152,56,3.142231,0.001613
5,13,3514152,56,2.089606,0.064935
5,4,3514152,56,3.536841,0.044776
5,0,3514152,56,1.027049,0.759574
5,8,3514152,56,3.041618,0.033708
5,7,3514152,56,3.27949,0.0
5,10,3514152,56,2.856104,0.250474
5,11,3514152,56,2.090069,0.138693
5,9,3514152,56,2.856131,0.0
6,3,3514152,56,2.3635,0.0
6,5,3514152,56,2.723054,0.0
6,17,3514152,56,2.725966,0.195122
6,18,3514152,56,2.897838,0.034146
6,1,3514152,56,2.524692,0.015228
6,6,3514152,56,3.234426,0.0
6,12,3514152,56,4.25112,0.023923
6,13,3514152,56,2.919513,0.022727
6,7,3514152,56,2.76738,0.0
6,4,3514152,56,2.877117,0.041791
6,2,3514152,56,1.836074,0.362113
6,19,3514152,56,2.637874,0.166948
6,16,3514152,56,2.446506,0.003125
6,15,3514152,56,2.479754,0.024194
6,14,3514152,56,2.30254,0.054146
6,8,3514152,56,2.349146,0.069021
6,10,3514152,56,2.93233,0.14611
6,0,3514152,56,1.065888,0.678723
6,11,3514152,56,3.276188,0.040201
6,9,3514152,56,3.354164,0.027477
7,1,3514152,56,2.40007,0.015228
7,17,3514152,56,2.610788,0.385366
7,3,3514152,56,2.43982,0.0
7,18,3514152,56,3.228034,0.068293
7,6,3514152,56,3.468419,0.0
7,19,3514152,56,2.224669,0.116358
7,16,3514152,56,2.676831,0.009375
7,14,3514152,56,2.089648,0.252115
7,13,3514152,56,2.288454,0.116883
7,5,3514152,56,2.838195,0.0
7,7,3514152,56,2.21742,0.0
7,15,3514152,56,2.594584,0.019355
7,2,3514152,56,1.971287,0.260309
7,8,3514152,56,2.732125,0.027287
7,12,3514152,56,1.477696,0.266348
7,4,3514152,56,2.276226,0.079104
7,0,3514152,56,1.254097,0.776596
7,11,3514152,56,3.818676,0.033166
7,9,3514152,56,3.675558,0.000723
7,10,3514152,56,1.385321,0.476281
8,3,3514152,56,3.097474,0.080357
8,17,3514152,56,2.629299,0.009756
8,1,3514152,56,1.760855,0.269036
8,18,3514152,56,1.511734,0.453659
8,5,3514152,56,3.064205,0.025316
8,8,3514152,56,2.329295,0.020867
8,13,3514152,56,2.597554,0.0
8,16,3514152,56,3.019936,0.13125
8,15,3514152,56,2.747658,0.045161
8,6,3514152,56,1.519138,0.611888
8,12,3514152,56,1.622112,0.39075
8,19,3514152,56,2.255293,0.123103
8,4,3514152,56,1.90573,0.132836
8,14,3514152,56,2.275405,0.027073
8,7,3514152,56,1.625547,0.640167
8,2,3514152,56,2.310943,0.21134
8,10,3514152,56,2.188387,0.187856
8,11,3514152,56,1.32759,0.689447
8,9,3514152,56,2.651625,0.0
8,0,3514152,56,2.215254,0.006383
9,3,3514152,56,3.59016,0.053571
9,5,3514152,56,3.427124,0.0
9,1,3514152,56,2.204995,0.431472
9,6,3514152,56,1.376848,0.458042
9,17,3514152,56,2.230021,0.107317
9,18,3514152,56,1.484346,0.404878
9,4,3514152,56,1.697561,0.485075
9,15,3514152,56,2.875715,0.046774
9,19,3514152,56,1.633832,0.558179
9,12,3514152,56,3.08159,0.025518
9,8,3514152,56,1.834514,0.341894
9,16,3514152,56,3.464165,0.0375
9,13,3514152,56,0.96114,0.780844
9,11,3514152,56,1.769637,0.20804
9,14,3514152,56,1.400247,0.543147
9,7,3514152,56,3.785116,0.0
9,2,3514152,56,3.259413,0.001289
9,0,3514152,56,2.086876,0.114894
9,10,3514152,56,2.458489,0.100569
9,9,3514152,56,2.507953,0.001446
10,5,3514152,56,2.910414,0.0
10,1,3514152,56,2.836319,0.020305
10,3,3514152,56,2.847319,0.008929
10,18,3514152,56,2.819975,0.063415
10,6,3514152,56,2.769514,0.076923
10,17,3514152,56,1.872693,0.429268
10,8,3514152,56,2.572124,0.051364
10,16,3514152,56,2.889905,0.015625
10,15,3514152,56,2.876257,0.003226
10,12,3514152,56,3.094868,0.019139
10,7,3514152,56,3.670753,0.0
10,14,3514152,56,1.674143,0.343486
10,19,3514152,56,1.899233,0.241147
10,13,3514152,56,1.407688,0.327922
10,4,3514152,56,2.426312,0.052239
10,2,3514152,56,2.532737,0.220361
10,11,3514152,56,3.157529,0.033166
10,0,3514152,56,1.026205,0.72766
10,9,3514152,56,3.012012,0.001446
10,10,3514152,56,1.931578,0.412713
11,3,3514152,56,2.591568,0.026786
11,1,3514152,56,2.072947,0.081218
11,18,3514152,56,2.71016,0.04878
11,5,3514152,56,2.989681,0.0
11,17,3514152,56,2.65484,0.321951
11,19,3514152,56,1.498375,0.198988
11,6,3514152,56,2.50481,0.017483
11,13,3514152,56,1.685572,0.095779
11,16,3514152,56,2.794418,0.007812
11,14,3514152,56,2.034169,0.21489
11,12,3514152,56,4.32533,0.030303
11,8,3514152,56,2.952708,0.032103
11,7,3514152,56,1.408351,0.213389
11,2,3514152,56,1.681248,0.384021
11,0,3514152,56,1.126862,0.701064
11,4,3514152,56,2.872651,0.037313
11,10,3514152,56,2.931716,0.273245
11,15,3514152,56,3.274992,0.0
11,9,3514152,56,3.913329,0.000723
11,11,3514152,56,2.990317,0.035176
12,3,3514152,56,1.786909,0.401786
12,1,3514152,56,2.366419,0.152284
12,6,3514152,56,1.100716,0.786713
12,18,3514152,56,1.353924,0.531707
12,5,3514152,56,1.960888,0.35443
12,15,3514152,56,1.864296,0.232258
12,12,3514152,56,3.163908,0.012759
12,14,3514152,56,2.007404,0.194585
12,17,3514152,56,2.784094,0.004878
12,19,3514152,56,1.929814,0.413153
12,4,3514152,56,1.937551,0.237313
12,13,3514152,56,1.677909,0.542208
12,8,3514152,56,1.722745,0.168539
12,0,3514152,56,2.390491,0.021277
12,2,3514152,56,2.458189,0.159794
12,7,3514152,56,3.567143,0.002789
12,16,3514152,56,1.545458,0.503125
12,10,3514152,56,2.944179,0.003795
12,11,3514152,56,1.253067,0.689447
12,9,3514152,56,2.386173,0.014461
13,5,3514152,56,2.59882,0.202532
13,3,3514152,56,3.176967,0.026786
13,1,3514152,56,2.705216,0.0
13,18,3514152,56,2.991683,0.0
13,6,3514152,56,2.719788,0.101399
13,14,3514152,56,2.394293,0.079526
13,17,3514152,56,2.071369,0.35122
13,16,3514152,56,3.316557,0.0
13,12,3514152,56,3.381567,0.012759
13,19,3514152,56,2.02089,0.173693
13,13,3514152,56,1.750438,0.222403
13,7,3514152,56,3.035561,0.008368
13,8,3514152,56,1.441128,0.479936
