Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,3.360229,3514152,0.014228,0.957796
1,3,1,0.525455,3514152,0.063821,0.730337
1,18,1,0.96592,3514152,0.060344,0.50918
1,8,1,2.90277,3514152,0.043745,0.502008
1,4,1,3.128002,3514152,0.040777,0.649869
1,2,1,3.547246,3514152,0.047156,0.337742
2,5,1,0.74472,3514152,0.040192,0.610493
2,1,1,0.931578,3514152,0.024799,0.645489
2,18,1,0.953506,3514152,0.038674,0.501836
2,16,1,2.942301,3514152,0.01866,0.811107
2,2,1,3.515118,3514152,0.038171,0.366774
2,11,1,4.52446,3514152,0.024642,0.773756
3,18,1,0.954911,3514152,0.032122,0.567931
3,17,1,0.96222,3514152,0.038899,0.540244
3,14,1,2.756478,3514152,0.040094,0.494282
3,4,1,3.150048,3514152,0.032744,0.656215
3,7,1,3.357727,3514152,0.005751,0.970003
3,11,1,4.566744,3514152,0.020007,0.802413
4,3,1,0.598824,3514152,0.028546,0.779775
4,12,1,2.942169,3514152,0.019291,0.857827
4,15,1,2.948091,3514152,0.040699,0.526443
4,7,1,3.381364,3514152,0.005076,0.969655
4,2,1,3.615835,3514152,0.038134,0.377419
4,9,1,6.352366,3514152,0.017921,0.745481
5,19,1,2.795975,3514152,0.03215,0.606661
5,13,1,2.897891,3514152,0.013504,0.868047
5,8,1,2.940331,3514152,0.032607,0.507229
5,16,1,3.010215,3514152,0.013775,0.859601
5,0,1,4.352425,3514152,0.018626,0.741953
5,11,1,4.669422,3514152,0.018252,0.826546
6,1,1,0.921085,3514152,0.024116,0.688691
6,18,1,1.010009,3514152,0.031374,0.549572
6,15,1,2.863657,3514152,0.038443,0.582963
6,8,1,2.9683,3514152,0.032361,0.521687
6,2,1,3.606368,3514152,0.037454,0.393226
6,0,1,4.321813,3514152,0.017291,0.758978
7,1,1,0.928647,3514152,0.022682,0.702668
7,13,1,2.851687,3514152,0.010353,0.904588
7,12,1,2.917072,3514152,0.018661,0.859824
7,4,1,3.225027,3514152,0.028457,0.692049
7,2,1,3.599834,3514152,0.036242,0.407097
7,10,1,4.805346,3514152,0.027122,0.705603
8,18,1,0.969405,3514152,0.030785,0.608323
8,6,1,1.339298,3514152,0.019533,0.821522
8,12,1,2.943651,3514152,0.016829,0.859026
8,4,1,3.146232,3514152,0.027228,0.695409
8,7,1,3.34767,3514152,0.004603,0.968957
8,11,1,4.623952,3514152,0.017137,0.836601
9,5,1,0.743877,3514152,0.035135,0.593005
9,14,1,2.714683,3514152,0.032053,0.609488
9,8,1,2.925118,3514152,0.030846,0.540161
9,13,1,2.892725,3514152,0.009708,0.906212
9,4,1,3.096694,3514152,0.026838,0.698395
9,11,1,4.573333,3514152,0.015897,0.854198
10,3,1,0.525335,3514152,0.027285,0.795506
10,1,1,0.923591,3514152,0.021836,0.735705
10,18,1,0.956861,3514152,0.031018,0.553244
10,15,1,2.851079,3514152,0.035704,0.612031
10,13,1,2.817747,3514152,0.008486,0.923264
10,0,1,4.299034,3514152,0.016744,0.765895
11,17,1,0.962345,3514152,0.028359,0.680488
11,18,1,0.962759,3514152,0.030433,0.576499
11,6,1,1.318905,3514152,0.018039,0.833771
11,14,1,2.717133,3514152,0.030965,0.626429
11,19,1,2.74247,3514152,0.030212,0.626054
11,2,1,3.545915,3514152,0.036638,0.409032
12,6,1,1.313043,3514152,0.017219,0.849519
12,8,1,2.897575,3514152,0.029572,0.553414
12,15,1,2.912142,3514152,0.034425,0.633428
12,16,1,3.027733,3514152,0.011406,0.879546
12,4,1,3.160157,3514152,0.02621,0.70698
12,11,1,4.581147,3514152,0.01592,0.848416
13,5,1,0.738864,3514152,0.029995,0.63434
13,13,1,2.838452,3514152,0.008647,0.926512
13,8,1,2.881954,3514152,0.028835,0.562651
13,4,1,3.120557,3514152,0.024956,0.720045
13,7,1,3.317167,3514152,0.004758,0.966864
13,9,1,6.34349,3514152,0.01209,0.850506
14,3,1,0.522099,3514152,0.024445,0.788764
14,18,1,0.957589,3514152,0.029435,0.609547
14,8,1,2.867774,3514152,0.028715,0.55261
14,16,1,2.983151,3514152,0.011242,0.888932
14,4,1,3.091755,3514152,0.025244,0.726764
