Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,19,2404028,56,3.805128,0.091538
1,0,2404028,56,3.809335,0.063649
1,12,2404028,56,3.926577,0.053908
1,17,2404028,56,3.703522,0.022912
1,18,2404028,56,3.674289,0.052015
1,15,2404028,56,3.948207,0.034014
1,13,2404028,56,3.81226,0.059308
1,9,2404028,56,3.928323,0.039939
1,3,2404028,56,3.690883,0.074129
1,10,2404028,56,3.776011,0.063004
1,16,2404028,56,3.838103,0.027047
1,1,2404028,56,3.763622,0.040571
1,8,2404028,56,3.647663,0.082798
1,6,2404028,56,3.945232,0.031272
1,14,2404028,56,3.820887,0.098612
1,5,2404028,56,3.894747,0.049961
1,4,2404028,56,3.769439,0.154742
1,2,2404028,56,3.622682,0.162406
1,7,2404028,56,3.750557,0.130641
1,11,2404028,56,3.690946,0.035156
2,13,2404028,56,3.125466,0.229819
2,12,2404028,56,3.35854,0.174304
2,4,2404028,56,3.269178,0.193012
2,9,2404028,56,3.553595,0.145161
2,16,2404028,56,3.018142,0.219298
2,0,2404028,56,2.894005,0.258133
2,5,2404028,56,3.114262,0.26776
2,3,2404028,56,2.964499,0.181616
2,15,2404028,56,3.206737,0.182162
2,2,2404028,56,2.810871,0.251128
2,7,2404028,56,3.311607,0.182898
2,17,2404028,56,2.624941,0.334812
2,10,2404028,56,2.995483,0.207326
2,14,2404028,56,3.144932,0.211833
2,19,2404028,56,3.180218,0.136154
2,11,2404028,56,2.732297,0.297656
2,8,2404028,56,2.917121,0.197716
2,6,2404028,56,3.84275,0.139303
2,1,2404028,56,2.757092,0.184072
2,18,2404028,56,2.693528,0.271062
3,12,2404028,56,2.543239,0.356694
3,19,2404028,56,2.297608,0.37
3,0,2404028,56,2.10657,0.420792
3,3,2404028,56,2.088434,0.39066
3,11,2404028,56,1.863458,0.474219
3,7,2404028,56,2.172913,0.422803
3,1,2404028,56,2.081536,0.338092
3,4,2404028,56,2.180809,0.425125
3,2,2404028,56,2.118164,0.407519
3,18,2404028,56,1.765601,0.487179
3,5,2404028,56,2.403156,0.325527
3,10,2404028,56,2.180117,0.401465
3,14,2404028,56,1.907746,0.44485
3,15,2404028,56,2.458487,0.34845
3,8,2404028,56,2.041579,0.398287
3,9,2404028,56,2.426494,0.307988
3,17,2404028,56,1.637442,0.517369
3,6,2404028,56,2.985078,0.253731
3,16,2404028,56,2.2249,0.402047
3,13,2404028,56,2.153468,0.405272
4,5,2404028,56,1.880672,0.468384
4,11,2404028,56,1.642968,0.5375
4,1,2404028,56,1.802772,0.430503
4,12,2404028,56,1.727023,0.515723
4,14,2404028,56,1.570055,0.556611
4,9,2404028,56,1.777882,0.486943
4,15,2404028,56,1.664695,0.501134
4,4,2404028,56,1.791985,0.494176
4,19,2404028,56,1.853179,0.473077
4,2,2404028,56,1.712514,0.521805
4,17,2404028,56,1.482745,0.588322
4,0,2404028,56,1.535486,0.565771
4,7,2404028,56,1.853273,0.475059
4,16,2404028,56,1.544689,0.565789
4,10,2404028,56,1.863705,0.45641
4,18,2404028,56,1.501469,0.575092
4,13,2404028,56,1.715124,0.498353
4,3,2404028,56,1.461312,0.581171
4,8,2404028,56,1.759812,0.461099
4,6,2404028,56,2.12662,0.402274
5,4,2404028,56,1.556626,0.576539
5,19,2404028,56,1.398745,0.613846
5,2,2404028,56,1.44804,0.579699
5,9,2404028,56,1.739161,0.498464
5,18,2404028,56,1.241166,0.635897
5,3,2404028,56,1.237081,0.647146
5,13,2404028,56,1.405511,0.576606
5,12,2404028,56,1.596159,0.553459
5,6,2404028,56,2.000973,0.464819
5,1,2404028,56,1.586886,0.488355
5,7,2404028,56,1.699661,0.555028
5,14,2404028,56,1.389446,0.589481
5,17,2404028,56,1.216453,0.633407
5,5,2404028,56,1.747603,0.488681
5,8,2404028,56,1.238422,0.640971
5,15,2404028,56,1.45306,0.535147
5,10,2404028,56,1.541788,0.539194
5,11,2404028,56,1.398404,0.619531
5,16,2404028,56,1.347041,0.614035
5,0,2404028,56,1.18913,0.661952
6,11,2404028,56,1.437606,0.598437
6,4,2404028,56,1.757238,0.514143
6,5,2404028,56,1.949988,0.476971
6,13,2404028,56,1.518224,0.579901
6,7,2404028,56,1.944851,0.505146
6,10,2404028,56,1.60651,0.561172
6,19,2404028,56,1.599183,0.559231
6,16,2404028,56,1.41076,0.572368
6,9,2404028,56,1.9245,0.466206
6,2,2404028,56,1.404338,0.599248
6,18,2404028,56,0.962206,0.711355
6,12,2404028,56,1.729599,0.540881
6,1,2404028,56,1.193333,0.625094
6,15,2404028,56,1.514209,0.559335
6,14,2404028,56,1.482063,0.581446
6,17,2404028,56,1.115508,0.63119
6,6,2404028,56,2.223459,0.481166
6,3,2404028,56,1.158197,0.662713
6,8,2404028,56,1.08748,0.675946
6,0,2404028,56,1.16093,0.681047
7,4,2404028,56,1.239736,0.636439
7,12,2404028,56,1.154123,0.673854
7,19,2404028,56,1.178052,0.657692
7,0,2404028,56,1.069924,0.686704
7,1,2404028,56,1.191373,0.597295
7,11,2404028,56,1.178434,0.653906
7,17,2404028,56,0.992003,0.683666
7,6,2404028,56,1.558552,0.559346
7,8,2404028,56,1.080112,0.675946
7,3,2404028,56,1.043768,0.702743
7,2,2404028,56,1.083507,0.66391
7,15,2404028,56,1.19857,0.626606
7,14,2404028,56,1.107813,0.675676
7,18,2404028,56,1.017851,0.684249
7,9,2404028,56,1.360161,0.599078
7,5,2404028,56,1.313408,0.589383
7,16,2404028,56,1.104437,0.67617
7,13,2404028,56,1.123648,0.64827
7,7,2404028,56,1.341452,0.603325
7,10,2404028,56,1.101616,0.657143
8,11,2404028,56,1.017295,0.694531
8,4,2404028,56,1.090298,0.6797
8,15,2404028,56,1.208263,0.616024
8,18,2404028,56,0.912389,0.733333
8,13,2404028,56,1.053544,0.671334
8,16,2404028,56,1.051682,0.681287
8,10,2404028,56,1.171408,0.635897
8,9,2404028,56,1.063332,0.683564
8,8,2404028,56,1.054487,0.659529
8,0,2404028,56,1.075714,0.685997
8,2,2404028,56,1.153547,0.644361
8,5,2404028,56,1.296942,0.607338
8,3,2404028,56,0.961858,0.717569
8,19,2404028,56,1.140464,0.653846
8,17,2404028,56,0.956201,0.707317
8,12,2404028,56,1.143799,0.637017
