Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,4.608065,2404028,0.117793,0.066537
1,4,1,4.345053,2404028,0.119021,0.065083
1,2,1,4.739312,2404028,0.11656,0.065568
1,8,1,4.866943,2404028,0.11844,0.07417
1,3,1,4.982351,2404028,0.118994,0.064707
1,18,1,4.919869,2404028,0.116816,0.066642
2,1,1,4.640128,2404028,0.110527,0.154199
2,2,1,4.650054,2404028,0.107833,0.147053
2,5,1,4.749152,2404028,0.106646,0.171762
2,18,1,4.845247,2404028,0.10799,0.156057
2,16,1,4.893546,2404028,0.109369,0.138874
2,11,1,4.95999,2404028,0.110544,0.153535
3,4,1,4.267761,2404028,0.078786,0.345041
3,17,1,4.542223,2404028,0.077975,0.348376
3,18,1,4.732998,2404028,0.073968,0.388464
3,14,1,4.778013,2404028,0.076357,0.382743
3,7,1,4.752085,2404028,0.076028,0.372648
3,11,1,4.840557,2404028,0.076771,0.361249
4,7,1,4.537187,2404028,0.053472,0.523375
4,2,1,4.713364,2404028,0.053205,0.519992
4,9,1,4.61441,2404028,0.054101,0.510196
4,3,1,4.818931,2404028,0.056096,0.491218
4,12,1,4.857076,2404028,0.052106,0.513802
4,15,1,4.74198,2404028,0.052912,0.530446
5,19,1,4.351792,2404028,0.045757,0.578937
5,8,1,4.820236,2404028,0.045709,0.575461
5,16,1,4.805688,2404028,0.044447,0.591268
5,0,1,4.738629,2404028,0.044291,0.591736
5,13,1,4.7739,2404028,0.046946,0.553179
5,11,1,4.842176,2404028,0.044869,0.587879
6,1,1,4.612231,2404028,0.037442,0.643773
6,15,1,4.71396,2404028,0.03823,0.646558
6,0,1,4.692886,2404028,0.038111,0.640826
6,2,1,4.654713,2404028,0.038112,0.647527
6,8,1,4.869175,2404028,0.039812,0.627306
6,18,1,4.787545,2404028,0.037917,0.64159
7,4,1,4.326745,2404028,0.035817,0.654339
7,10,1,4.521753,2404028,0.035766,0.670127
7,1,1,4.637791,2404028,0.033013,0.677635
7,2,1,4.672011,2404028,0.033455,0.679742
7,13,1,4.700255,2404028,0.036978,0.639478
7,12,1,4.894096,2404028,0.033494,0.670225
8,4,1,4.297727,2404028,0.032717,0.680165
8,7,1,4.54533,2404028,0.031283,0.695635
8,6,1,4.743795,2404028,0.029401,0.713716
8,11,1,4.798857,2404028,0.031459,0.702112
8,12,1,4.791504,2404028,0.030476,0.690467
