Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,31,89592,28,2.517032027244568,0.0
1,15,89592,28,2.3322348411266622,0.01201923076923077
1,30,89592,28,1.8337642635617937,0.017857142857142856
1,25,89592,28,1.5443250735600789,0.20208333333333334
1,26,89592,28,1.7392289770974054,0.013888888888888888
1,23,89592,28,3.7869675500052318,0.0
1,2,89592,28,1.8532290729609402,0.3977272727272727
1,18,89592,28,1.7729819968894676,0.44560185185185186
1,32,89592,28,2.3198698117182803,0.046875
1,11,89592,28,2.2827638487021127,0.006076388888888889
1,8,89592,28,1.5111715232624727,0.32536764705882354
1,14,89592,28,2.2005781910636206,0.002840909090909091
1,29,89592,28,2.730366660702613,0.0
1,22,89592,28,3.24112598101298,0.0
1,27,89592,28,3.308328365457469,0.0
1,10,89592,28,1.5077983458836874,0.5520833333333334
1,3,89592,28,2.798851251602173,0.0
1,13,89592,28,1.1017655352751414,0.615625
1,4,89592,28,1.9347161139760698,0.23883928571428573
1,33,89592,28,2.657495505279965,0.0
1,7,89592,28,3.8340957403182983,0.0
1,20,89592,28,1.754135176539421,0.087890625
1,21,89592,28,3.0685615616460002,0.0
1,19,89592,28,2.0872940555695565,0.005040322580645161
1,17,89592,28,2.5330026526200142,0.003289473684210526
1,34,89592,28,2.3468371391296388,0.0
1,16,89592,28,3.6575554717670786,0.0
1,5,89592,28,2.7593528032302856,0.0
1,6,89592,28,2.975511270410874,0.0
1,28,89592,28,3.813295416210009,0.0
1,9,89592,28,2.504362964630127,0.0125
1,12,89592,28,2.229253658226558,0.10602678571428571
1,0,89592,28,2.243023173014323,0.0
1,24,89592,28,2.479673060503873,0.0
1,1,89592,28,2.624659462408586,0.0
2,31,89592,28,1.296856701374054,0.7864583333333334
2,28,89592,28,4.285838096038155,0.0
2,15,89592,28,2.9754510476039004,0.0
2,34,89592,28,0.7762695789337158,0.625
2,10,89592,28,1.6234664440155029,0.15625
2,30,89592,28,2.217138034956796,0.11607142857142858
2,25,89592,28,1.8914395650227864,0.225
2,5,89592,28,0.4883210318429129,0.8995535714285714
2,17,89592,28,3.5824714710837915,0.0
2,29,89592,28,1.220296525186108,0.7913306451612904
