Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,16,1,-1681936446.345144,89592,0.946038049335281,0.5927734375
1,4,1,-1681936444.0303268,89592,1.3867842128759698,0.4509493670886076
1,30,1,-1681936443.9579666,89592,0.8656894770264626,0.519375
1,41,1,-1681936441.9953728,89592,0.7318357575213772,0.6945043103448276
1,8,1,-1681936440.3282423,89592,1.1657758794010502,0.4538741438356164
1,31,1,-1681936441.6138823,89592,1.1509734600493051,0.6242415048543689
1,7,1,-1681936439.7960024,89592,0.8219283190848944,0.7381993006993007
1,28,1,-1681936439.2148108,89592,1.3574138440382786,0.4127604166666667
1,36,1,-1681936438.620084,89592,0.8995918555946772,0.6804956896551724
1,13,1,-1681936440.9057376,89592,1.3931101616975423,0.37141047297297297
1,44,1,-1681936429.7528715,89592,1.4752274143599695,0.40505292338709675
1,40,1,-1681936438.061716,89592,1.3237892832074847,0.38803571428571426
1,24,1,-1681936437.7490683,89592,1.4951184089942897,0.3432595291479821
1,1,1,-1681936437.6773367,89592,1.4001786891745511,0.3414351851851852
1,6,1,-1681936438.363996,89592,1.492048211974801,0.3470693005181347
2,16,1,-1681936452.089877,89592,0.7030121013522148,0.6396484375
2,27,1,-1681936461.6441653,89592,1.0329890218045976,0.4671875
2,23,1,-1681936461.6256487,89592,0.7002422819214482,0.6187836021505376
2,39,1,-1681936460.8375077,89592,1.2596954389785726,0.44140625
2,25,1,-1681936452.6371806,89592,0.7656520964964381,0.5201945754716981
2,5,1,-1681936444.8752487,89592,1.2146396234978076,0.4811046511627907
2,13,1,-1681936446.2792485,89592,1.2406151643073238,0.44372888513513514
2,45,1,-1681936445.3191137,89592,1.0561192245645956,0.4991714015151515
2,10,1,-1681936445.2955773,89592,1.1067654313225495,0.5659539473684211
2,2,1,-1681936457.6380093,89592,1.3857622239738703,0.464453125
2,48,1,-1681936456.8684647,89592,0.6826245736955219,0.7348265895953757
2,3,1,-1681936444.756529,89592,1.0843368588450426,0.5349925149700598
2,19,1,-1681936444.9267218,89592,0.4990087640397051,0.7799966577540107
3,0,1,-1681936462.4864633,89592,0.42831711334631195,0.8713662790697675
3,16,1,-1681936459.4742098,89592,0.6775990367556611,0.6702473958333334
3,12,1,-1681936469.9065971,89592,0.8475967367490133,0.6700520833333333
3,38,1,-1681936452.9964159,89592,1.0665951710121304,0.4880514705882353
3,4,1,-1681936463.9850345,89592,1.0957910584498056,0.567246835443038
3,23,1,-1681936460.2727191,89592,0.658876171515834,0.6387768817204301
3,30,1,-1681936460.670767,89592,0.73934369713068,0.5503125
3,15,1,-1681936451.067552,89592,0.8583549324955259,0.6837797619047619
3,47,1,-1681936466.7703435,89592,1.0967850068598304,0.477337786259542
3,8,1,-1681936448.9124768,89592,0.9759629944415942,0.5493364726027398
3,14,1,-1681936456.5576608,89592,1.2799199929943792,0.4417162698412698
3,34,1,-1681936458.254195,89592,0.8451091510739492,0.720771144278607
4,17,1,-1681936464.9468284,89592,0.5689323782920838,0.80625
4,29,1,-1681936480.0608916,89592,0.35915464967755334,0.8624441964285714
4,42,1,-1681936483.044744,89592,0.531965153836287,0.8473557692307693
4,4,1,-1681936472.1354916,89592,1.0543676878832564,0.5897943037974683
4,30,1,-1681936463.7253518,89592,0.7146803632378578,0.56640625
4,25,1,-1681936465.4083123,89592,0.7476403035645215,0.5280070754716981
4,15,1,-1681936461.751228,89592,0.8364246641359632,0.6845238095238095
4,5,1,-1681936472.784948,89592,1.1498316216838451,0.502422480620155
4,19,1,-1681936476.1304958,89592,0.44325220668539006,0.8183489304812834
4,6,1,-1681936463.3280659,89592,1.2438852113763286,0.47465997409326427
4,1,1,-1681936453.9063458,89592,1.1221265442787656,0.4913194444444444
4,9,1,-1681936457.589316,89592,1.1133022023283916,0.5541968599033816
5,16,1,-1681936460.7732632,89592,0.6561502398302158,0.6998697916666666
5,22,1,-1681936464.9891841,89592,0.45322904519496426,0.8371975806451613
5,29,1,-1681936471.8051324,89592,0.35245056616674575,0.8699776785714286
5,37,1,-1681936485.9347804,89592,0.8398555883843648,0.6373355263157895
5,15,1,-1681936481.1533196,89592,0.8111591700996671,0.6879960317460317
5,49,1,-1681936475.8922558,89592,0.6697198077542892,0.7190604304635762
5,3,1,-1681936466.3710136,89592,1.0403037040890335,0.545939371257485
5,11,1,-1681936462.7945647,89592,0.8388836889024724,0.6325200534759359
5,1,1,-1681936473.9848344,89592,1.0713172933411976,0.5190145502645502
5,10,1,-1681936472.3480642,89592,0.9156664296200401,0.6551809210526316
5,33,1,-1681936463.7112525,89592,1.1653596970924112,0.5073401162790697
5,32,1,-1681936479.8934343,89592,0.9135855662695905,0.6150265957446809
6,0,1,-1681936493.331108,89592,0.28342843393600264,0.9022529069767442
6,16,1,-1681936492.8944023,89592,0.5567383738234639,0.7434895833333334
6,21,1,-1681936490.0793724,89592,0.6339580997824669,0.76875
6,43,1,-1681936471.214969,89592,0.02686918971665906,0.9915021929824561
6,31,1,-1681936471.8248227,89592,0.8726954914412453,0.6474514563106796
6,15,1,-1681936483.8093824,89592,0.797866125783277,0.6875
6,5,1,-1681936495.0770602,89592,1.0753414885018222,0.5371850775193798
6,2,1,-1681936467.8468125,89592,1.246975227817893,0.536328125
6,18,1,-1681936465.1195846,89592,0.38663192597501306,0.8406080163043478
6,9,1,-1681936468.6930578,89592,1.0484520399916,0.5844655797101449
6,24,1,-1681936488.4589996,89592,1.0715734520300622,0.578895739910314
7,16,1,-1681936496.3705227,89592,0.5467765809347233,0.7604166666666666
7,4,1,-1681936477.098379,89592,0.9231204741363284,0.6352848101265823
7,20,1,-1681936499.0802186,89592,0.46632127924246736,0.8091643258426966
7,25,1,-1681936498.4032419,89592,0.7300538046742385,0.5424528301886793
7,31,1,-1681936495.6260688,89592,0.8287123778780687,0.6559466019417476
7,11,1,-1681936487.3792076,89592,0.7452674170228887,0.6764705882352942
7,6,1,-1681936503.2903185,89592,1.1017898367476586,0.5480084196891192
7,1,1,-1681936489.9622607,89592,0.979718653297929,0.5669642857142857
7,3,1,-1681936469.3922606,89592,0.9811678021967768,0.5519273952095808
7,18,1,-1681936496.384692,89592,0.34339490144149115,0.859375
7,9,1,-1681936484.6129646,89592,1.0082235385254386,0.5948822463768116
8,16,1,-1681936492.2581396,89592,0.49785363286112744,0.7932942708333334
8,12,1,-1681936503.528224,89592,0.5935807379583518,0.7807291666666667
8,4,1,-1681936475.0606387,89592,0.896750200586983,0.6546677215189873
8,23,1,-1681936501.8631978,89592,0.5610555397566929,0.7350470430107527
8,31,1,-1681936490.1381397,89592,0.8141355423383343,0.6606492718446602
8,25,1,-1681936494.180874,89592,0.7138628762847973,0.5710495283018868
8,7,1,-1681936484.378646,89592,0.5275669061950037,0.800590034965035
8,8,1,-1681936506.6858535,89592,0.7549690390898757,0.6956335616438356
8,2,1,-1681936497.4898074,89592,1.1781612960621715,0.5568359375
8,14,1,-1681936499.6654806,89592,1.0055747689708832,0.5851521164021164
8,24,1,-1681936486.6490264,89592,0.9764486080862481,0.6287836322869955
9,17,1,-1681936499.2957926,89592,0.3602410636842251,0.865625
9,0,1,-1681936527.417096,89592,0.24732061261094587,0.9153343023255814
9,16,1,-1681936506.0251782,89592,0.44250101145977777,0.8102213541666666
9,29,1,-1681936521.8194866,89592,0.2401502818933555,0.9059709821428571
9,23,1,-1681936505.9184248,89592,0.5156722573503372,0.7624327956989247
9,8,1,-1681936510.488573,89592,0.7032472514738776,0.7170376712328768
