Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.15183574021464646,0
1,0.05141519360269361,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.25819787285480217,0
2,0.1694391835016835,1
2,0.04316105130249868,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.1562392170236403,0
3,0.023805765993265993,1
3,0.02734375,2
3,0.12218868371212122,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.15262915614478115,0
4,0.10849385922683978,1
4,0.06352588383838384,2
4,0.0,3
4,0.07623106060606061,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.2794558262744002,0
5,0.024641203703703703,1
5,0.1781517094017094,2
5,0.09659090909090909,3
5,0,4
5,0.0,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.23126500606712364,0
6,0.13260114734299516,1
6,0.060792824074074076,2
6,0.09606481481481481,3
6,0.078125,4
6,0,5
6,0.0,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.15923217578748006,0
7,0.166401170101828,1
7,0.04778079710144928,2
7,0.026938657407407404,3
7,0.2126736111111111,4
7,0.0625,5
7,0,6
7,0.005208333333333333,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.3637523199174014,0
8,0.30149023125996816,1
8,0.06873629385964912,2
8,0,3
8,0.08237847222222222,4
8,0.1076388888888889,5
8,0.21875,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.3424478828076243,0
9,0.13457398504273504,1
9,0.004577020202020202,2
9,0.29529879385964913,3
9,0,4
9,0.06918402777777777,5
9,0.2569444444444444,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.3851526344330621,0
10,0.17856040019762845,1
10,0.11675347222222222,2
10,0.1553030303030303,3
10,0.1875,4
10,0,5
10,0.0703125,6
10,0,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.21010804288456425,0
11,0.02315797780435938,1
11,0.05296597084980237,2
11,0,3
11,0.1076388888888889,4
11,0,5
11,0,6
11,0.0046875,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.3134916805624176,0
12,0.23160682823511772,1
12,0.2533892239278752,2
12,0.17897727272727273,3
12,0,4
12,0,5
12,0,6
12,0,7
12,0.075,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.31337589505249863,0
13,0.16776220081247256,1
13,0.22964177559161114,2
13,0.428125,3
13,0,4
13,0,5
13,0,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.3242853838429586,0
14,0.19980375299043063,1
14,0.13008996212121213,2
14,0.2569523358585859,3
14,0,4
14,0,5
14,0,6
14,0,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.38045529412716916,0
15,0.25051015419137024,1
15,0.2889428827751196,2
15,0.2994791666666667,3
15,0.25565274455077086,4
15,0,5
15,0,6
15,0,7
15,0,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.46349656769556297,0
16,0.0750173611111111,1
16,0.009499289772727272,2
16,0.04261363636363636,3
16,0,4
16,0.3202398159223817,5
16,0,6
16,0,7
16,0,8
16,0,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.3654851350677831,0
17,0.26235188422688427,1
17,0.1083984375,2
17,0.42347301136363635,3
17,0.1846590909090909,4
17,0,5
17,0,6
17,0,7
17,0,8
17,0,9
17,0,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.38177649896399896,0
18,0.29670809104447543,1
18,0.23295454545454544,2
18,0.25299479166666666,3
18,0.09721235795454546,4
18,0,5
18,0,6
18,0,7
18,0,8
18,0,9
18,0,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.36012022012998574,0
19,0.21192392676767677,1
19,0.2506087455958737,2
19,0.2869318181818182,3
19,0,4
19,0.6548295454545454,5
19,0,6
19,0,7
19,0,8
19,0,9
19,0,10
19,0,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.41046576303052457,0
20,0.2783186431623932,1
20,0.16536458333333334,2
20,0.23569969816394298,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0,9
20,0,10
20,0,11
20,0,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
