Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,15,3514152,56,2.345543,0.471354
1,17,3514152,56,2.428868,0.079861
1,12,3514152,56,2.365893,0.027778
1,8,3514152,56,2.487271,0.054688
1,19,3514152,56,2.503349,0.0
1,11,3514152,56,2.120129,0.0
1,6,3514152,56,2.373088,0.0
1,0,3514152,56,2.62156,0.014205
1,7,3514152,56,2.029604,0.0
1,9,3514152,56,2.967441,0.001563
1,14,3514152,56,1.729652,0.951823
1,13,3514152,56,2.504831,0.0
1,2,3514152,56,1.855716,0.005682
1,10,3514152,56,2.924879,0.0
1,5,3514152,56,2.483581,0.03125
1,18,3514152,56,2.269323,0.0
1,1,3514152,56,2.440589,0.01875
1,4,3514152,56,2.41644,0.174716
1,16,3514152,56,2.966272,0.0
1,3,3514152,56,2.028062,0.0
2,10,3514152,56,2.37551,0.0
2,5,3514152,56,2.374735,0.09375
2,2,3514152,56,1.86283,0.795455
2,13,3514152,56,2.082966,0.154605
2,8,3514152,56,2.558495,0.0
2,11,3514152,56,1.794838,0.722826
2,12,3514152,56,2.286823,0.074653
2,15,3514152,56,2.559227,0.0
2,7,3514152,56,1.949061,0.768229
2,14,3514152,56,2.696578,0.0
2,17,3514152,56,2.370379,0.064236
2,18,3514152,56,2.101036,0.355769
2,4,3514152,56,2.632945,0.00142
2,19,3514152,56,2.508098,0.0
2,6,3514152,56,2.428742,0.0
2,16,3514152,56,2.354907,0.001736
2,9,3514152,56,2.311644,0.004687
2,3,3514152,56,2.070618,0.078704
2,1,3514152,56,2.399333,0.009375
2,0,3514152,56,2.310689,0.078598
3,5,3514152,56,2.183125,0.179688
3,10,3514152,56,2.39284,0.005682
3,6,3514152,56,2.689341,0.028646
3,1,3514152,56,2.333449,0.064062
3,13,3514152,56,2.420478,0.013158
3,2,3514152,56,2.268877,0.008523
3,7,3514152,56,2.278169,0.0
3,17,3514152,56,2.185008,0.081597
3,18,3514152,56,2.29861,0.016827
3,15,3514152,56,1.974622,0.497396
3,14,3514152,56,1.734268,0.917969
3,16,3514152,56,2.392332,0.003472
3,19,3514152,56,2.025449,0.075658
3,8,3514152,56,2.010901,0.050781
3,3,3514152,56,2.413717,0.017361
3,11,3514152,56,2.363795,0.0
3,12,3514152,56,2.609438,0.027778
3,4,3514152,56,1.866855,0.330966
3,9,3514152,56,2.414878,0.007812
3,0,3514152,56,2.42562,0.023674
4,5,3514152,56,2.384503,0.007812
4,2,3514152,56,1.99083,0.883523
4,7,3514152,56,2.075204,0.723958
4,15,3514152,56,2.423191,0.0
4,10,3514152,56,2.350192,0.039773
4,8,3514152,56,2.482576,0.0
4,16,3514152,56,2.405115,0.0
4,11,3514152,56,2.071308,0.48913
4,13,3514152,56,2.133406,0.0
4,12,3514152,56,2.504378,0.022569
4,17,3514152,56,2.353195,0.052083
4,18,3514152,56,2.055898,0.362981
4,3,3514152,56,2.030006,0.561343
4,1,3514152,56,2.270352,0.198437
4,19,3514152,56,2.386311,0.024671
4,6,3514152,56,2.663838,0.0
4,14,3514152,56,2.48343,0.0
4,0,3514152,56,2.27056,0.0
4,4,3514152,56,2.441953,0.00142
4,9,3514152,56,2.309211,0.067187
5,5,3514152,56,2.442556,0.234375
5,18,3514152,56,1.853704,0.132212
5,17,3514152,56,1.857132,0.428819
5,2,3514152,56,2.440848,0.0
5,16,3514152,56,2.753508,0.109375
5,13,3514152,56,1.320033,0.549342
5,14,3514152,56,2.950898,0.0
5,10,3514152,56,2.680151,0.048295
5,1,3514152,56,2.601254,0.014063
5,7,3514152,56,2.327093,0.036458
5,15,3514152,56,2.955978,0.018229
5,4,3514152,56,3.043991,0.0
5,8,3514152,56,1.807677,0.458984
5,9,3514152,56,2.845419,0.028125
5,3,3514152,56,2.471503,0.138889
5,19,3514152,56,2.054944,0.342105
5,0,3514152,56,1.855103,0.249053
5,11,3514152,56,1.804915,0.391304
5,12,3514152,56,2.320767,0.206597
5,6,3514152,56,2.883272,0.0
6,10,3514152,56,2.134407,0.321023
6,7,3514152,56,2.557634,0.190104
6,2,3514152,56,2.813238,0.002841
6,15,3514152,56,2.240429,0.026042
6,5,3514152,56,2.219312,0.0
6,12,3514152,56,2.945336,0.046875
6,11,3514152,56,2.772816,0.006793
6,19,3514152,56,1.643944,0.440789
6,3,3514152,56,2.391476,0.001157
6,8,3514152,56,1.446991,0.742188
6,16,3514152,56,2.540031,0.142361
6,6,3514152,56,3.221896,0.0
6,18,3514152,56,2.259189,0.0625
6,13,3514152,56,2.184804,0.055921
6,17,3514152,56,1.771401,0.489583
6,1,3514152,56,1.787159,0.373437
6,4,3514152,56,1.908544,0.0
6,14,3514152,56,2.251685,0.0
6,9,3514152,56,2.440336,0.128125
6,0,3514152,56,1.741564,0.430871
7,1,3514152,56,2.219903,0.059375
7,18,3514152,56,2.315027,0.168269
7,7,3514152,56,2.539978,0.049479
7,8,3514152,56,1.712566,0.716797
7,5,3514152,56,1.949376,0.226562
7,10,3514152,56,2.107914,0.102273
7,12,3514152,56,2.185951,0.130208
7,9,3514152,56,2.139791,0.051562
7,2,3514152,56,2.599187,0.0
7,17,3514152,56,1.930323,0.461806
7,6,3514152,56,2.222306,0.014323
7,4,3514152,56,1.845836,0.112216
7,15,3514152,56,1.940825,0.065104
7,19,3514152,56,1.792691,0.53125
7,13,3514152,56,2.132653,0.284539
7,16,3514152,56,2.045533,0.15625
7,14,3514152,56,1.898955,0.005208
7,11,3514152,56,2.405319,0.16712
7,0,3514152,56,2.190213,0.211174
7,3,3514152,56,2.317713,0.053241
8,4,3514152,56,1.770177,0.080966
8,16,3514152,56,3.079103,0.003472
8,2,3514152,56,1.761196,0.678977
8,7,3514152,56,1.605511,0.65625
8,10,3514152,56,2.788779,0.045455
8,5,3514152,56,1.711694,0.203125
8,15,3514152,56,2.387765,0.039062
8,19,3514152,56,2.016067,0.164474
8,8,3514152,56,2.325152,0.023438
8,13,3514152,56,1.458211,0.646382
8,18,3514152,56,1.456242,0.752404
8,11,3514152,56,1.572583,0.627717
8,1,3514152,56,2.163568,0.121875
8,12,3514152,56,1.927936,0.177083
8,17,3514152,56,2.131425,0.157986
8,9,3514152,56,3.117969,0.0375
8,14,3514152,56,2.05117,0.019531
8,6,3514152,56,2.075646,0.019531
8,3,3514152,56,2.682966,0.094907
8,0,3514152,56,1.673112,0.392992
9,12,3514152,56,2.211084,0.1875
9,10,3514152,56,2.785853,0.164773
9,7,3514152,56,2.776244,0.101562
9,5,3514152,56,1.64063,0.328125
9,15,3514152,56,2.078919,0.432292
9,8,3514152,56,1.964506,0.111328
9,6,3514152,56,2.714703,0.015625
9,13,3514152,56,1.141955,0.572368
9,17,3514152,56,1.775815,0.335069
9,4,3514152,56,1.711301,0.291193
9,11,3514152,56,2.164926,0.342391
9,16,3514152,56,3.267141,0.005208
9,18,3514152,56,2.040621,0.28125
9,9,3514152,56,3.303318,0.067187
9,14,3514152,56,1.334122,0.782552
9,1,3514152,56,2.160942,0.296875
9,2,3514152,56,3.224952,0.005682
9,19,3514152,56,1.914373,0.111842
9,3,3514152,56,3.277571,0.122685
9,0,3514152,56,1.233003,0.55303
10,9,3514152,56,3.189049,0.070312
10,5,3514152,56,2.210062,0.203125
10,18,3514152,56,1.406527,0.598558
10,10,3514152,56,2.811555,0.122159
10,7,3514152,56,2.01221,0.333333
10,4,3514152,56,2.490269,0.017045
10,15,3514152,56,2.918698,0.015625
10,19,3514152,56,2.072804,0.212171
10,2,3514152,56,1.937439,0.338068
10,8,3514152,56,2.301556,0.125
10,16,3514152,56,3.525704,0.027778
10,12,3514152,56,2.845211,0.222222
10,17,3514152,56,1.816356,0.284722
10,1,3514152,56,1.638477,0.2625
10,11,3514152,56,1.691401,0.474185
10,13,3514152,56,0.991822,0.740132
10,14,3514152,56,2.687806,0.046875
10,3,3514152,56,1.252844,0.375
10,6,3514152,56,3.65795,0.0
10,0,3514152,56,1.300874,0.515152
11,7,3514152,56,3.105173,0.002604
11,12,3514152,56,1.801187,0.609375
11,18,3514152,56,3.238777,0.024038
11,5,3514152,56,2.279576,0.164062
11,2,3514152,56,3.231328,0.002841
11,10,3514152,56,3.424285,0.008523
11,15,3514152,56,2.269557,0.044271
11,3,3514152,56,3.714215,0.009259
11,14,3514152,56,1.370055,0.161458
11,13,3514152,56,3.366308,0.021382
11,6,3514152,56,1.187232,0.852865
11,9,3514152,56,3.602226,0.001563
11,17,3514152,56,2.531966,0.027778
11,8,3514152,56,1.797581,0.033203
11,16,3514152,56,3.02838,0.112847
11,11,3514152,56,3.254561,0.009511
