Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,1.390045,1276408,1.829841,0.275568
1,18,1,1.406233,1276408,1.422173,0.53072
1,8,1,1.672782,1276408,2.062891,0.20625
1,12,1,1.767936,1276408,1.786407,0.334167
1,4,1,1.786897,1276408,1.81285,0.281667
1,2,1,1.846472,1276408,1.930077,0.306818
1,7,1,2.006731,1276408,1.818187,0.300735
1,14,1,2.1267,1276408,1.521032,0.311481
2,11,1,1.24832,1276408,1.418072,0.560662
2,18,1,1.406459,1276408,1.312352,0.539195
2,12,1,1.760852,1276408,1.655687,0.385833
2,1,1,1.675573,1276408,1.641779,0.460268
2,2,1,1.803291,1276408,1.788362,0.374188
2,16,1,1.949908,1276408,0.873484,0.681548
2,5,1,2.038561,1276408,0.900017,0.650983
2,10,1,2.248215,1276408,1.38126,0.5
3,19,1,0.742642,1276408,1.770082,0.331897
3,11,1,1.211648,1276408,1.422734,0.571078
3,18,1,1.361966,1276408,1.367843,0.510064
3,17,1,1.567573,1276408,1.686353,0.463695
3,4,1,1.731883,1276408,1.570908,0.384583
3,9,1,1.819345,1276408,1.269469,0.550481
3,7,1,1.944925,1276408,1.691067,0.378676
3,14,1,2.142154,1276408,1.324913,0.428329
4,13,1,0.733758,1276408,1.358651,0.565625
4,1,1,1.658421,1276408,1.531431,0.4875
4,2,1,1.815938,1276408,1.725411,0.386769
4,9,1,1.846034,1276408,1.219237,0.578125
4,3,1,1.699662,1276408,1.508962,0.432765
4,15,1,1.84031,1276408,1.678695,0.299679
4,12,1,1.764243,1276408,1.504159,0.443333
4,7,1,2.066571,1276408,1.508176,0.449265
5,13,1,0.74817,1276408,1.320068,0.554167
5,19,1,0.727556,1276408,1.500572,0.436422
5,11,1,1.192998,1276408,1.166263,0.647672
5,12,1,1.712884,1276408,1.399322,0.486667
5,8,1,1.623285,1276408,1.648179,0.403125
5,16,1,1.906713,1276408,0.537307,0.826265
5,7,1,1.928057,1276408,1.364972,0.499265
5,0,1,1.916762,1276408,1.495344,0.431548
6,19,1,0.72043,1276408,1.439961,0.470905
6,18,1,1.414889,1276408,1.141903,0.588983
6,8,1,1.661415,1276408,1.573284,0.440179
6,1,1,1.645051,1276408,1.365502,0.529911
6,2,1,1.768665,1276408,1.549743,0.452922
6,15,1,1.795297,1276408,1.529323,0.372596
6,0,1,1.910491,1276408,1.358384,0.500372
6,10,1,2.241285,1276408,1.201701,0.54565
7,13,1,0.73638,1276408,1.208886,0.597917
7,8,1,1.674128,1276408,1.482554,0.480804
7,12,1,1.779746,1276408,1.271165,0.534583
7,1,1,1.663095,1276408,1.264321,0.573214
7,2,1,1.787152,1276408,1.477236,0.480519
7,4,1,1.7641,1276408,1.356268,0.468333
7,16,1,1.902013,1276408,0.541388,0.823289
7,10,1,2.298823,1276408,1.084175,0.588848
8,11,1,1.220779,1276408,1.134599,0.657475
8,18,1,1.415026,1276408,1.129482,0.583686
8,1,1,1.675551,1276408,1.225466,0.584375
8,4,1,1.797667,1276408,1.296772,0.49375
8,12,1,1.743298,1276408,1.189025,0.580833
