Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,1.659611,3514152,2.168647,0.179193
1,12,1,1.316316,3514152,2.161682,0.207386
1,8,1,1.611954,3514152,2.06698,0.320199
1,4,1,1.51496,3514152,2.171787,0.202404
1,14,1,1.79488,3514152,2.058684,0.172073
1,2,1,1.809611,3514152,2.103337,0.220753
1,18,1,1.834921,3514152,1.921939,0.270833
1,7,1,1.843227,3514152,1.935187,0.320988
2,12,1,1.335761,3514152,2.042869,0.277273
2,11,1,1.707861,3514152,2.111658,0.220951
2,16,1,1.868831,3514152,1.759221,0.335938
2,18,1,1.904064,3514152,1.766287,0.336806
2,2,1,1.839105,3514152,1.967218,0.273237
2,1,1,1.987918,3514152,2.001136,0.291039
2,5,1,2.054724,3514152,1.957422,0.277037
2,10,1,2.0345,3514152,1.892362,0.289244
3,17,1,1.140992,3514152,1.842135,0.343071
3,19,1,1.209994,3514152,1.866977,0.338431
3,4,1,1.556844,3514152,1.973149,0.276923
3,11,1,1.707378,3514152,1.96088,0.272887
3,18,1,1.864711,3514152,1.630335,0.421682
3,9,1,1.919955,3514152,1.965234,0.274849
3,7,1,1.885627,3514152,1.71025,0.368441
3,14,1,1.833052,3514152,1.794839,0.32318
4,12,1,1.347152,3514152,1.794992,0.351136
4,15,1,1.756864,3514152,1.82567,0.362083
4,7,1,1.819147,3514152,1.616968,0.412423
4,1,1,1.887023,3514152,1.773676,0.381024
4,13,1,1.958761,3514152,1.751524,0.361029
4,2,1,1.962101,3514152,1.806343,0.339744
4,3,1,1.973678,3514152,1.808278,0.351266
4,9,1,2.051769,3514152,1.870677,0.330196
5,19,1,1.15482,3514152,1.617348,0.433511
5,12,1,1.301807,3514152,1.653247,0.408523
5,8,1,1.588445,3514152,1.642974,0.43433
5,11,1,1.643109,3514152,1.777877,0.355194
5,0,1,1.610965,3514152,1.555933,0.487676
5,7,1,1.840227,3514152,1.538909,0.44483
5,16,1,1.82808,3514152,1.453588,0.493359
5,13,1,1.91415,3514152,1.647835,0.402574
6,19,1,1.119244,3514152,1.573908,0.442819
6,8,1,1.594744,3514152,1.593531,0.451993
6,0,1,1.646164,3514152,1.506139,0.50132
6,15,1,1.734355,3514152,1.698631,0.391667
6,2,1,1.795692,3514152,1.666485,0.395433
6,18,1,1.848339,3514152,1.396162,0.532407
6,1,1,1.868595,3514152,1.633099,0.422063
6,10,1,2.015026,3514152,1.597887,0.402616
7,12,1,1.303854,3514152,1.587194,0.429545
7,4,1,1.518595,3514152,1.589094,0.410096
7,8,1,1.628504,3514152,1.467902,0.481884
7,16,1,1.836475,3514152,1.384833,0.501172
7,2,1,1.797155,3514152,1.613832,0.408253
7,13,1,1.937254,3514152,1.523288,0.445956
7,10,1,1.94769,3514152,1.523481,0.431323
7,1,1,1.884968,3514152,1.56472,0.451431
8,12,1,1.272187,3514152,1.485597,0.467045
8,4,1,1.523773,3514152,1.556611,0.414904
8,11,1,1.630041,3514152,1.585154,0.422095
8,0,1,1.632107,3514152,1.409821,0.525968
8,7,1,1.816213,3514152,1.357301,0.525077
