Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,15,92064,28,3.3878566301785984,0.0
1,25,92064,28,2.8127497136592865,0.0
1,43,92064,28,2.7518200397491457,0.0
1,42,92064,28,2.736674769719442,0.05
1,23,92064,28,2.1785386204719543,0.5078125
1,33,92064,28,2.2043344497680666,0.0
1,47,92064,28,1.9838059842586517,0.240234375
1,41,92064,28,1.7943475365638732,0.596875
1,35,92064,28,2.442971868948503,0.19744318181818182
1,26,92064,28,2.391079584757487,0.0
1,11,92064,28,2.2096029061537523,0.3473557692307692
1,49,92064,28,2.1697457432746887,0.048828125
1,6,92064,28,2.1146479762833694,0.20474137931034483
1,1,92064,28,2.191626736992284,0.14967105263157895
1,5,92064,28,1.9522952623665333,0.2080078125
1,48,92064,28,2.5829527974128723,0.0
1,28,92064,28,1.935250616990603,0.31850961538461536
1,31,92064,28,2.4480176694465405,0.0
1,32,92064,28,2.2502171167960534,0.15625
1,10,92064,28,2.7321081832051277,0.0
1,22,92064,28,2.4081462383270265,0.3
1,38,92064,28,2.2813783533432903,0.43566176470588236
1,9,92064,28,2.534572316540612,0.09375
1,18,92064,28,2.1742491126060486,0.0
1,19,92064,28,2.8648304712204706,0.044642857142857144
1,0,92064,28,3.431270261605581,0.0
1,20,92064,28,3.4119809567928314,0.0
1,12,92064,28,2.684342861175537,0.0
1,16,92064,28,2.014089658856392,0.1015625
1,21,92064,28,2.684598743915558,0.0
1,46,92064,28,2.2391872803370156,0.0
1,40,92064,28,2.365622498772361,0.0
1,34,92064,28,2.863413843241605,0.0
1,37,92064,28,2.653350496292114,0.34375
1,7,92064,28,1.9222623666127523,0.4479166666666667
1,39,92064,28,2.0565983407637654,0.3805147058823529
1,27,92064,28,1.8189775228500367,0.38333333333333336
1,45,92064,28,2.542572920972651,0.23295454545454544
1,24,92064,28,2.9926819375583102,0.0
1,8,92064,28,2.0396147265153775,0.2270220588235294
1,4,92064,28,2.558566768964132,0.08333333333333333
1,30,92064,28,2.1509136855602264,0.279296875
1,17,92064,28,2.075281336903572,0.40234375
1,29,92064,28,1.7325065930684407,0.7604166666666666
1,36,92064,28,2.073429294994899,0.0
1,14,92064,28,2.248904241455926,0.3072916666666667
1,13,92064,28,1.927343726158142,0.3298611111111111
1,3,92064,28,3.0261415299915133,0.0
1,2,92064,28,2.2622241156441825,0.12142857142857143
1,44,92064,28,1.846354474623998,0.4809027777777778
2,22,92064,28,1.8102588176727294,0.3625
2,36,92064,28,2.143143057823181,0.002232142857142857
2,14,92064,28,2.2495413886176214,0.3385416666666667
2,29,92064,28,1.6456998189290364,0.7604166666666666
2,42,92064,28,1.915004801750183,0.07291666666666667
2,46,92064,28,2.9076388676961265,0.0
2,30,92064,28,2.761086031794548,0.36328125
2,17,92064,28,1.810689315199852,0.53125
2,35,92064,28,2.0714895725250244,0.19318181818181818
2,31,92064,28,2.275605071674694,0.008522727272727272
2,39,92064,28,2.0520711856729843,0.3584558823529412
2,33,92064,28,2.5550983905792237,0.0
2,48,92064,28,1.8889185537894566,0.009114583333333334
2,20,92064,28,3.5101076662540436,0.0
2,19,92064,28,1.860472628048488,0.0625
2,34,92064,28,2.5547787926413794,0.0014204545454545455
2,10,92064,28,2.424476705491543,0.001953125
2,32,92064,28,2.22475974376385,0.13942307692307693
2,9,92064,28,2.9314551287227206,0.125
2,26,92064,28,2.678135620223151,0.004340277777777778
2,6,92064,28,2.203860143135334,0.25862068965517243
2,15,92064,28,3.4302071241232066,0.0
2,16,92064,28,2.0779740810394287,0.1015625
2,23,92064,28,1.6813790599505107,0.484375
2,11,92064,28,2.333219574047969,0.41586538461538464
2,21,92064,28,2.346977210044861,0.0
2,0,92064,28,3.547023673852285,0.0
2,47,92064,28,2.162533164024353,0.25
2,38,92064,28,1.7634568354662727,0.4172794117647059
2,18,92064,28,2.74330974817276,0.0
2,27,92064,28,1.7482249895731607,0.4
2,2,92064,28,1.9469664539609637,0.15267857142857144
2,37,92064,28,2.2906290849049884,0.32916666666666666
2,40,92064,28,2.6532029672102495,0.011363636363636364
2,28,92064,28,2.154528008057521,0.34615384615384615
2,1,92064,28,2.8251229963804545,0.19078947368421054
2,3,92064,28,2.877760330835978,0.00744047619047619
2,8,92064,28,2.4133639265509212,0.24816176470588236
2,49,92064,28,2.64959055185318,0.056640625
2,4,92064,28,2.4881023168563843,0.10416666666666667
2,44,92064,28,1.861721158027649,0.4861111111111111
2,24,92064,28,2.951708597796304,0.0
2,13,92064,28,1.8875439299477472,0.3211805555555556
2,41,92064,28,1.73021559715271,0.68125
2,43,92064,28,1.990040135383606,0.0
2,25,92064,28,2.0286222249269485,0.0
2,45,92064,28,2.517649856480685,0.265625
2,7,92064,28,2.209617328643799,0.4875
2,12,92064,28,2.8284838994344077,0.0
2,5,92064,28,2.0604808032512665,0.26171875
3,22,92064,28,2.053341245651245,0.0125
3,41,92064,28,2.0282206177711486,0.23125
3,46,92064,28,2.641693631807963,0.052083333333333336
3,30,92064,28,2.4848633259534836,0.0
3,17,92064,28,2.182700753211975,0.0078125
3,43,92064,28,1.6365548372268677,0.7375
3,45,92064,28,2.676141207868403,0.0625
3,13,92064,28,1.8949894507726033,0.3142361111111111
3,4,92064,28,2.440280536810557,0.0
3,36,92064,28,2.0692164642470225,0.020089285714285716
3,40,92064,28,2.553599379279397,0.0
3,27,92064,28,2.1954753398895264,0.28541666666666665
3,18,92064,28,2.5302582740783692,0.0015625
3,1,92064,28,2.4501774060098747,0.001644736842105263
3,7,92064,28,2.2212275664011636,0.2875
3,48,92064,28,2.114930505553881,0.13932291666666666
3,26,92064,28,2.33952616320716,0.003472222222222222
3,5,92064,28,2.4140795543789864,0.001953125
3,24,92064,28,2.34761871610369,0.24330357142857142
3,9,92064,28,2.5493614408704968,0.0008680555555555555
3,31,92064,28,2.361246448574644,0.13541666666666666
3,25,92064,28,1.6463143080472946,0.7421875
3,47,92064,28,2.3146196454763412,0.244140625
3,12,92064,28,2.3915822823842365,0.0
3,19,92064,28,1.9500922475542342,0.005952380952380952
3,16,92064,28,1.9467735290527344,0.109375
3,33,92064,28,2.2114689191182455,0.020833333333333332
3,42,92064,28,1.8036930481592814,0.36875
3,0,92064,28,3.0011091033617654,0.0
3,35,92064,28,1.8517770225351506,0.5170454545454546
3,3,92064,28,2.734007789975121,0.14732142857142858
3,15,92064,28,3.171083560356727,0.0
3,23,92064,28,1.6514255702495575,0.4713541666666667
3,49,92064,28,2.311408683657646,0.00390625
3,32,92064,28,1.9005952064807599,0.2439903846153846
3,37,92064,28,2.133638787269592,0.32083333333333336
3,10,92064,28,2.2377759516239166,0.0712890625
3,8,92064,28,2.381159417769488,0.09926470588235294
3,34,92064,28,2.077592036940835,0.078125
3,44,92064,28,1.9790951907634735,0.3576388888888889
3,29,92064,28,1.7273533741633098,0.5208333333333334
3,21,92064,28,2.1737553000450136,0.2234375
3,39,92064,28,1.8169863013660206,0.34375
3,20,92064,28,2.976225346326828,0.0
3,28,92064,28,2.414973442371075,0.16826923076923078
3,38,92064,28,1.7381875725353466,0.40625
3,2,92064,28,2.0971336364746094,0.17857142857142858
3,14,92064,28,1.998557190100352,0.3663194444444444
3,6,92064,28,2.368042016851491,0.10021551724137931
3,11,92064,28,2.2786214443353505,0.0
4,43,92064,28,2.3196243762969972,0.0
4,17,92064,28,1.3920166045427322,0.8046875
4,22,92064,28,1.7277321815490723,0.525
4,4,92064,28,2.101011574268341,0.2109375
4,27,92064,28,2.7236387729644775,0.13125
4,37,92064,28,2.4647857824961346,0.035416666666666666
4,20,92064,28,2.2645862698554993,0.015625
4,48,92064,28,2.5293988287448883,0.041666666666666664
4,12,92064,28,2.32385303179423,0.014583333333333334
4,39,92064,28,2.545684393714456,0.01838235294117647
4,3,92064,28,2.4423366274152483,0.002976190476190476
4,36,92064,28,2.375882080623082,0.0
4,40,92064,28,2.588031855496493,0.03125
4,28,92064,28,2.365346285013052,0.23918269230769232
4,45,92064,28,2.1532079469073904,0.29829545454545453
4,11,92064,28,1.623696111715757,0.6526442307692307
4,35,92064,28,2.3735401413657446,0.07102272727272728
4,26,92064,28,2.3683237632115683,0.018229166666666668
4,6,92064,28,2.003631538358228,0.375
4,44,92064,28,2.4831921524471707,0.1623263888888889
4,7,92064,28,2.1052289088567098,0.35625
4,8,92064,28,2.112590747721055,0.2601102941176471
4,29,92064,28,2.4096688429514566,0.28125
4,19,92064,28,2.1822073346092585,0.17261904761904762
4,18,92064,28,2.32754168510437,0.0359375
4,0,92064,28,2.2861143549283347,0.005208333333333333
4,24,92064,28,2.3226432033947537,0.012276785714285714
4,46,92064,28,2.318578322728475,0.046875
4,14,92064,28,2.105002072122362,0.24305555555555555
4,9,92064,28,1.8439357578754425,0.2248263888888889
4,16,92064,28,2.398394078016281,0.00390625
4,5,92064,28,2.017868496477604,0.4228515625
4,31,92064,28,2.5088342608827534,0.03314393939393939
4,25,92064,28,2.3224082589149475,0.0
4,1,92064,28,1.7682474851608276,0.2730263157894737
4,47,92064,28,2.6980403810739517,0.00390625
4,30,92064,28,1.5279056951403618,0.4765625
4,49,92064,28,2.066509634256363,0.09765625
4,10,92064,28,2.328758381307125,0.060546875
4,21,92064,28,2.324578034877777,0.0359375
4,2,92064,28,2.2019602162497383,0.23482142857142857
4,41,92064,28,1.669373917579651,0.7
4,34,92064,28,2.391961693763733,0.041193181818181816
4,13,92064,28,2.617895483970642,0.010416666666666666
4,23,92064,28,2.6419877409934998,0.057291666666666664
4,38,92064,28,2.5773972623488484,0.04963235294117647
4,15,92064,28,2.3270641290224514,0.0
4,42,92064,28,2.1897442658742268,0.15
4,33,92064,28,2.2013935089111327,0.0
4,32,92064,28,2.438337757037236,0.007211538461538462
5,22,92064,28,2.210687351226807,0.00625
5,46,92064,28,2.168196717898051,0.015625
5,43,92064,28,1.9284231185913085,0.08125
5,23,92064,28,2.4264094829559326,0.018229166666666668
5,16,92064,28,2.5294799506664276,0.0
5,12,92064,28,2.2825248718261717,0.2125
5,1,92064,28,1.7812334236345793,0.4243421052631579
5,25,92064,28,1.9213697165250778,0.1484375
5,3,92064,28,2.431344849722726,0.05952380952380952
5,30,92064,28,1.663652926683426,0.458984375
5,11,92064,28,1.868491489153642,0.2548076923076923
5,0,92064,28,2.388736585776011,0.20572916666666666
5,35,92064,28,2.0955896269191396,0.06534090909090909
5,49,92064,28,2.092599406838417,0.287109375
5,28,92064,28,2.2330524096122155,0.001201923076923077
5,47,92064,28,2.177605390548706,0.1796875
5,24,92064,28,1.9642795835222517,0.3169642857142857
5,45,92064,28,2.448235370896079,0.0
5,2,92064,28,2.2468460968562534,0.04285714285714286
5,26,92064,28,1.9575881196392908,0.3958333333333333
5,38,92064,28,2.3943766004898968,0.007352941176470588
5,29,92064,28,2.346113999684652,0.0
5,36,92064,28,2.533732226916722,0.015625
5,7,92064,28,2.182284212112427,0.0020833333333333333
5,41,92064,28,2.1565265893936156,0.003125
5,18,92064,28,2.3197494745254517,0.009375
5,14,92064,28,1.938502013683319,0.2534722222222222
5,42,92064,28,2.14110578695933,0.08333333333333333
5,15,92064,28,2.6523541120382457,0.019230769230769232
5,8,92064,28,2.2330772666370167,0.0055147058823529415
5,40,92064,28,2.036722107367082,0.24005681818181818
5,37,92064,28,2.484514077504476,0.008333333333333333
5,27,92064,28,2.367903772989909,0.008333333333333333
5,32,92064,28,2.210443744292626,0.18389423076923078
5,6,92064,28,1.9901643498190518,0.1939655172413793
5,48,92064,28,2.349357565244039,0.033854166666666664
5,19,92064,28,2.380319913228353,0.005952380952380952
5,44,92064,28,2.303467916117774,0.059895833333333336
5,9,92064,28,1.867145836353302,0.4131944444444444
5,5,92064,28,2.2594181671738625,0.005859375
5,21,92064,28,2.177406978607178,0.0265625
5,17,92064,28,2.114517092704773,0.0
5,33,92064,28,2.2149541060129803,0.225
5,20,92064,28,2.376713454723358,0.18359375
5,4,92064,28,2.2372458577156067,0.005208333333333333
5,39,92064,28,2.3060343546025894,0.12316176470588236
5,13,92064,28,2.4761471615897284,0.010416666666666666
5,34,92064,28,1.9685471816496416,0.3565340909090909
5,31,92064,28,2.2517161152579566,0.01893939393939394
5,10,92064,28,2.2016119323670864,0.0849609375
6,33,92064,28,1.6808420817057292,0.5645833333333333
6,30,92064,28,1.7231122329831123,0.35546875
6,12,92064,28,2.1482807874679564,0.3645833333333333
6,13,92064,28,2.280367043283251,0.2986111111111111
6,43,92064,28,2.266350269317627,0.01875
6,38,92064,28,2.3995411536272835,0.2702205882352941
6,8,92064,28,1.9974411165013033,0.2261029411764706
6,0,92064,28,2.8855216900507608,0.08854166666666667
6,4,92064,28,1.7963273624579112,0.3177083333333333
6,21,92064,28,1.8919006764888764,0.2765625
6,23,92064,28,2.619049588839213,0.2109375
6,18,92064,28,1.7605229198932648,0.3578125
6,19,92064,28,1.6086839267185755,0.5282738095238095
6,24,92064,28,2.3851228015763417,0.15066964285714285
6,14,92064,28,2.2646056413650513,0.16145833333333334
6,34,92064,28,1.9117064367641101,0.3622159090909091
6,1,92064,28,1.6681384977541471,0.47039473684210525
6,35,92064,28,2.319025754928589,0.09232954545454546
6,10,92064,28,1.78811726719141,0.3564453125
6,44,92064,28,2.441679616769155,0.1597222222222222
6,46,92064,28,1.790793816248576,0.296875
6,20,92064,28,2.863340049982071,0.09375
6,39,92064,28,2.351626564474667,0.2757352941176471
6,41,92064,28,2.3274636268615723,0.034375
6,17,92064,28,1.81403049826622,0.18359375
6,15,92064,28,3.048581416790302,0.016826923076923076
6,36,92064,28,1.7156811356544495,0.5044642857142857
6,22,92064,28,1.700448989868164,0.3125
6,5,92064,28,1.8628648556768894,0.193359375
6,37,92064,28,2.666670560836792,0.19583333333333333
6,27,92064,28,2.396272961298625,0.06458333333333334
6,45,92064,28,2.58288912339644,0.041193181818181816
6,28,92064,28,2.168096831211677,0.09014423076923077
6,47,92064,28,2.2376672327518463,0.212890625
6,2,92064,28,1.9179475341524397,0.23660714285714285
6,7,92064,28,2.3087172826131184,0.09791666666666667
6,48,92064,28,1.8617470413446426,0.3046875
6,3,92064,28,2.6859231335776195,0.047619047619047616
6,32,92064,28,2.0827521681785583,0.3473557692307692
6,6,92064,28,1.9004404174870457,0.19181034482758622
6,49,92064,28,1.6771307364106178,0.515625
6,25,92064,28,2.281921833753586,0.046875
6,16,92064,28,1.8409457206726074,0.46875
6,11,92064,28,1.9661873899973357,0.15625
6,29,92064,28,2.8823022842407227,0.0
6,42,92064,28,1.974419355392456,0.24166666666666667
6,26,92064,28,1.7591958741346996,0.4383680555555556
6,40,92064,28,1.9020698504014448,0.234375
6,9,92064,28,1.860583911339442,0.4322916666666667
6,31,92064,28,1.9077362111120513,0.2206439393939394
7,21,92064,28,2.1780135691165925,0.1828125
7,30,92064,28,2.082341745495796,0.123046875
7,7,92064,28,2.381359338760376,0.041666666666666664
7,4,92064,28,2.1827946106592813,0.20052083333333334
7,5,92064,28,1.8997182436287403,0.2734375
7,36,92064,28,1.8137083734784807,0.203125
7,33,92064,28,1.9043700059254964,0.20208333333333334
7,38,92064,28,2.0103245833340813,0.29044117647058826
7,19,92064,28,1.6176656654902868,0.47619047619047616
7,37,92064,28,2.1293129444122316,0.19583333333333333
7,28,92064,28,2.1113498348456163,0.2536057692307692
7,2,92064,28,1.8390528644834245,0.26875
7,31,92064,28,2.035729144558762,0.3191287878787879
7,45,92064,28,2.1447937705300073,0.1690340909090909
7,18,92064,28,2.354795181751251,0.0921875
7,32,92064,28,1.9749806844271147,0.18629807692307693
7,10,92064,28,2.080549631267786,0.279296875
7,44,92064,28,1.9975854655106862,0.2482638888888889
7,26,92064,28,1.8349277211560144,0.3489583333333333
7,9,92064,28,2.0884585479895272,0.19444444444444445
7,46,92064,28,2.5469773610432944,0.0625
7,17,92064,28,1.8750243782997131,0.13671875
7,22,92064,28,1.7100064039230347,0.29375
7,35,92064,28,2.231625188480724,0.05823863636363636
7,42,92064,28,1.9161014477411906,0.18541666666666667
7,25,92064,28,2.1342047452926636,0.00390625
7,43,92064,28,2.13667368888855,0.00625
7,24,92064,28,2.235601552895137,0.09375
7,27,92064,28,1.8045679728190105,0.45416666666666666
7,29,92064,28,2.2474366823832193,0.07291666666666667
7,16,92064,28,1.8740499913692474,0.18359375
7,23,92064,28,2.066786219676336,0.2552083333333333
7,48,92064,28,1.668266589442889,0.4765625
7,15,92064,28,2.400885380231417,0.08173076923076923
7,47,92064,28,1.8386430814862251,0.44140625
7,39,92064,28,2.0304213411667766,0.17463235294117646
7,14,92064,28,2.1641185879707336,0.08159722222222222
7,1,92064,28,2.0358761235287317,0.15296052631578946
7,0,92064,28,2.3931789000829062,0.06510416666666667
7,11,92064,28,2.0303043952355018,0.11057692307692307
7,40,92064,28,2.0121925581585276,0.375
7,41,92064,28,2.1007546901702883,0.046875
7,20,92064,28,2.3457416594028473,0.078125
7,13,92064,28,1.9327923589282565,0.2309027777777778
7,12,92064,28,2.0314610401789346,0.15625
7,49,92064,28,1.9896501675248146,0.171875
7,34,92064,28,1.961864010854201,0.2840909090909091
7,6,92064,28,1.859946423563464,0.2952586206896552
7,3,92064,28,2.177356379372733,0.19196428571428573
7,8,92064,28,2.3294478093876556,0.06433823529411764
8,12,92064,28,2.1995765447616575,0.2125
8,22,92064,28,2.0388256072998048,0.1
8,37,92064,28,2.3611748695373533,0.17916666666666667
8,48,92064,28,2.107107405861219,0.17057291666666666
8,41,92064,28,1.849838411808014,0.159375
8,33,92064,28,1.7860052029291789,0.30416666666666664
8,31,92064,28,1.9919480193745007,0.2528409090909091
8,14,92064,28,1.8376110990842183,0.3489583333333333
8,0,92064,28,2.9769545793533325,0.0026041666666666665
8,45,92064,28,2.43434033610604,0.06818181818181818
8,39,92064,28,1.8221350347294527,0.3235294117647059
8,47,92064,28,2.0718834176659584,0.154296875
8,19,92064,28,2.3022433462597074,0.06696428571428571
8,18,92064,28,1.7550067126750946,0.3515625
8,44,92064,28,1.863210678100586,0.2630208333333333
8,4,92064,28,2.1459841430187225,0.15364583333333334
8,40,92064,28,2.205683393911882,0.08238636363636363
8,34,92064,28,2.356007218360901,0.11931818181818182
8,32,92064,28,1.692333418589372,0.4206730769230769
8,9,92064,28,2.4096548888418408,0.044270833333333336
8,29,92064,28,1.8620115518569946,0.20833333333333334
8,15,92064,28,3.026918759712806,0.0
8,7,92064,28,1.845898175239563,0.2916666666666667
8,25,92064,28,1.2026112973690033,0.83203125
8,43,92064,28,1.2153125762939454,0.7875
8,10,92064,28,2.184953548014164,0.19140625
8,1,92064,28,2.0594008784545097,0.13322368421052633
8,38,92064,28,2.058173137552598,0.23713235294117646
8,23,92064,28,2.064116597175598,0.2421875
8,16,92064,28,1.587041214108467,0.40234375
8,49,92064,28,1.8969496190547943,0.23046875
8,8,92064,28,1.8033320062300737,0.3005514705882353
8,27,92064,28,1.971643622716268,0.1375
8,3,92064,28,2.4891369229271296,0.16666666666666666
8,13,92064,28,1.7249875598483615,0.359375
8,21,92064,28,1.8845540285110474,0.36875
8,36,92064,28,1.571362887110029,0.3638392857142857
8,28,92064,28,1.9322906732559204,0.19591346153846154
8,30,92064,28,2.2005293369293213,0.044921875
8,5,92064,28,1.8666248619556427,0.1533203125
8,2,92064,28,1.7330941029957363,0.325
8,24,92064,28,2.229337249483381,0.28125
8,20,92064,28,2.9201205372810364,0.0
8,42,92064,28,1.7209405024846396,0.44375
8,17,92064,28,1.9106205701828003,0.0546875
8,46,92064,28,1.795243263244629,0.34375
8,35,92064,28,1.5563861240040173,0.5369318181818182
8,6,92064,28,1.9581739121469959,0.13577586206896552
8,11,92064,28,2.1074307698469896,0.055288461538461536
8,26,92064,28,2.154445389906565,0.12065972222222222
9,17,92064,28,1.4654604494571686,0.55859375
9,37,92064,28,2.2715648492177327,0.17291666666666666
9,36,92064,28,1.9646578771727425,0.1875
9,25,92064,28,1.456156000494957,0.52734375
9,23,92064,28,1.7962405184904735,0.265625
9,4,92064,28,1.6929639677206676,0.3880208333333333
9,34,92064,28,1.7883770845153115,0.2755681818181818
9,38,92064,28,1.7600123601801254,0.3014705882352941
9,12,92064,28,2.2034409284591674,0.18541666666666667
9,3,92064,28,2.8387709572201683,0.11458333333333333
9,33,92064,28,2.103456672032674,0.16666666666666666
9,48,92064,28,2.2591349482536316,0.16145833333333334
9,5,92064,28,1.9426843039691448,0.3828125
9,32,92064,28,1.7036159176092882,0.3425480769230769
9,2,92064,28,1.905688554900033,0.3410714285714286
9,31,92064,28,2.0309776573470146,0.3077651515151515
9,26,92064,28,2.219752232233683,0.1362847222222222
9,44,92064,28,1.9820530017217,0.3064236111111111
9,11,92064,28,1.539379963508019,0.5060096153846154
9,9,92064,28,2.360733389854431,0.15885416666666666
9,1,92064,28,2.080668675272088,0.23848684210526316
9,18,92064,28,1.6785003542900085,0.384375
9,22,92064,28,1.5653187036514282,0.45
9,16,92064,28,1.8883083313703537,0.26171875
9,39,92064,28,1.7406549944597132,0.3327205882352941
9,30,92064,28,2.088959790766239,0.318359375
9,7,92064,28,1.4896267811457315,0.5583333333333333
9,40,92064,28,2.131325163624503,0.2585227272727273
9,15,92064,28,3.3522217823908877,0.0
9,43,92064,28,1.4218632459640503,0.55625
9,45,92064,28,2.5962238853627984,0.2159090909090909
9,27,92064,28,2.376879612604777,0.22083333333333333
9,49,92064,28,2.117804951965809,0.197265625
9,21,92064,28,1.619258278608322,0.375
9,47,92064,28,2.5610863268375397,0.119140625
9,28,92064,28,1.9602956038254957,0.3942307692307692
9,19,92064,28,1.8661326283500308,0.1875
9,13,92064,28,1.9657015469339159,0.2482638888888889
9,35,92064,28,1.5097358280962163,0.47301136363636365
9,24,92064,28,2.0872999344553267,0.3002232142857143
9,0,92064,28,2.9446981946627298,0.06510416666666667
9,42,92064,28,1.5945187012354534,0.4166666666666667
9,20,92064,28,2.8894445598125458,0.09375
9,46,92064,28,1.5291424989700317,0.5416666666666666
9,29,92064,28,1.5836143096288045,0.5729166666666666
9,41,92064,28,1.493276596069336,0.571875
9,6,92064,28,2.0999051907966875,0.31896551724137934
9,10,92064,28,1.75491526350379,0.2890625
9,8,92064,28,1.5954876401845146,0.4641544117647059
9,14,92064,28,1.756905456384023,0.3975694444444444
10,17,92064,28,1.7731750011444092,0.23046875
10,42,92064,28,1.343870727221171,0.63125
10,22,92064,28,1.4526101112365724,0.48125
10,24,92064,28,2.205115224633898,0.2622767857142857
10,38,92064,28,1.7279541913200827,0.4209558823529412
10,23,92064,28,1.8252146045366924,0.3541666666666667
10,27,92064,28,2.032163127263387,0.0875
10,12,92064,28,2.082647140820821,0.30833333333333335
10,15,92064,28,2.8060253583467922,0.002403846153846154
10,7,92064,28,2.2581906874974567,0.0625
10,28,92064,28,2.1924066222631016,0.04447115384615385
10,36,92064,28,1.5174024190221513,0.5022321428571429
10,45,92064,28,2.401804739778692,0.04261363636363636
10,10,92064,28,1.7465907894074917,0.4423828125
10,11,92064,28,2.1838854459615855,0.07091346153846154
10,6,92064,28,1.9451512591592197,0.15948275862068967
10,9,92064,28,2.119498838980993,0.2170138888888889
10,26,92064,28,1.9246559639771779,0.2682291666666667
10,8,92064,28,2.1562955624916973,0.1645220588235294
10,44,92064,28,2.0186499191655054,0.17447916666666666
10,14,92064,28,1.9611825678083632,0.2760416666666667
10,33,92064,28,1.70236234664917,0.43333333333333335
10,21,92064,28,1.6868848264217378,0.4859375
10,20,92064,28,2.706151843070984,0.03515625
10,46,92064,28,2.2106878956158957,0.18229166666666666
10,25,92064,28,1.3926485776901245,0.69140625
10,29,92064,28,2.1786216100056968,0.09375
10,41,92064,28,2.087776267528534,0.084375
10,0,92064,28,2.7816196282704673,0.018229166666666668
10,49,92064,28,1.8614935502409935,0.330078125
10,16,92064,28,1.5843484997749329,0.46484375
10,4,92064,28,1.9221276640892029,0.3203125
10,13,92064,28,1.7883639070722792,0.34375
10,32,92064,28,1.7379900262906,0.421875
10,35,92064,28,1.742505501617085,0.42045454545454547
10,47,92064,28,2.0608342066407204,0.123046875
10,31,92064,28,1.8329816550919504,0.32007575757575757
10,3,92064,28,2.3540816647665843,0.14434523809523808
10,1,92064,28,2.029704715076246,0.20559210526315788
10,5,92064,28,1.9388324990868568,0.1474609375
10,18,92064,28,2.0828876316547396,0.2484375
10,43,92064,28,1.390645408630371,0.64375
10,37,92064,28,2.079702949523926,0.27708333333333335
10,19,92064,28,1.1903194189071655,0.6785714285714286
10,39,92064,28,1.8931106258841122,0.3125
10,2,92064,28,1.6222531352724348,0.39553571428571427
10,30,92064,28,2.1766201332211494,0.091796875
10,34,92064,28,1.8410765582864934,0.3934659090909091
10,48,92064,28,1.4691198815902073,0.4869791666666667
