Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
1,0.1780183019137202,0
1,0.16319562267846358,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
2,0.41528662827761,0
2,0.2571291228121723,1
2,0.40438599725704116,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
3,0.3700811973533988,0
3,0.3057609371243199,1
3,0.21913012812780613,2
3,0.3813450890896543,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
4,0.6581544491279983,0
4,0.5804305528759178,1
4,0.5461087992935351,2
4,0.6747869318181818,3
4,0.5948843086205964,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
5,0.6149734660517245,0
5,0.5661350453449163,1
5,0.675797309971734,2
5,0.5275621564217892,3
5,0.7535511363636364,4
5,0.48309665731650303,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
6,0.7679780949287891,0
6,0.76179473012668,1
6,0.8479208888620209,2
6,0.8237887336632266,3
6,0.6026799100449775,4
6,0,5
6,0.5934651122019635,6
6,0,7
6,0,8
6,0,9
6,0,10
7,0.7674752730419091,0
7,0.6881671468760284,1
7,0.7930103740543138,2
7,0.8033987407279627,3
7,0.7890777431662319,4
7,0.4266304347826087,5
7,0,6
7,0.5514112903225806,7
7,0,8
7,0,9
7,0,10
8,0.7937676297992782,0
8,0.6399897542134168,1
8,0.5713801747107669,2
8,0.7191750311235605,3
8,0.7305807571684588,4
8,0.6632799671592774,5
8,0,6
8,0,7
8,0.48750876577840113,8
8,0,9
8,0,10
9,0.8165935899035522,0
9,0.8446054632384847,1
9,0.7760484375309584,2
9,0.6499193322109988,3
9,0.840859156162465,4
9,0.8618951612903226,5
9,0.7424568965517241,6
9,0,7
9,0,8
9,0,9
9,0,10
10,0.8139037130002776,0
10,0.8316313544253432,1
10,0.8886422750918549,2
10,0.7862619294512677,3
10,0.6650182379349047,4
10,0.8266223155929039,5
10,0.875,6
10,0,7
10,0,8
10,0,9
10,0,10
