Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,27,1,-1681682148.887637,89592,1.4086813423368665,0.38958333333333334
1,16,1,-1681682154.861825,89592,1.2153377383947372,0.5768229166666666
1,12,1,-1681682153.9016943,89592,1.3079914271831512,0.6317708333333333
1,0,1,-1681682154.0994728,89592,0.9819771578145582,0.8473837209302325
1,4,1,-1681682154.1879692,89592,1.56093903885612,0.43156645569620256
1,20,1,-1681682153.3986928,89592,1.0188205362705702,0.5470505617977528
1,30,1,-1681682152.8544817,89592,1.0179972976446152,0.5009375
1,15,1,-1681682152.6073613,89592,1.0713718268606398,0.6808035714285714
1,8,1,-1681682152.5744238,89592,1.2813043161614301,0.4175941780821918
1,7,1,-1681682152.2811718,89592,0.9252534068964579,0.736451048951049
1,3,1,-1681682151.9361777,89592,1.2233876664481478,0.5411676646706587
1,24,1,-1681682150.4915857,89592,1.617486315992381,0.2914798206278027
1,6,1,-1681682151.1458433,89592,1.5985856451518794,0.3118523316062176
1,14,1,-1681682151.7834563,89592,1.562390717249068,0.32490079365079366
2,23,1,-1681682164.373465,89592,0.8004345989996388,0.5577956989247311
2,21,1,-1681682159.9549217,89592,0.9368525365988414,0.5484375
2,5,1,-1681682163.7220678,89592,1.2965879227763923,0.45421511627906974
2,8,1,-1681682159.259969,89592,1.1484430750755414,0.4214469178082192
2,25,1,-1681682163.3840306,89592,0.7797705486135663,0.5094339622641509
2,31,1,-1681682163.5724053,89592,1.101197898387909,0.6149878640776699
2,26,1,-1681682155.7068179,89592,1.5689462920561195,0.3322192513368984
2,28,1,-1681682162.9290411,89592,1.3184746488546715,0.3798076923076923
2,9,1,-1681682153.5219388,89592,1.3935356030717565,0.41440217391304346
2,33,1,-1681682152.760438,89592,1.3509499788284303,0.37863372093023256
2,3,1,-1681682154.5354266,89592,1.0995804157085762,0.5265718562874252
2,19,1,-1681682155.1806638,89592,0.6429872433132029,0.6814839572192514
2,6,1,-1681682156.7984903,89592,1.4511656847642493,0.3434261658031088
2,32,1,-1681682160.0829258,89592,1.161056795526058,0.4609042553191489
3,17,1,-1681682172.22034,89592,0.8100967437028885,0.76875
3,0,1,-1681682167.5161684,89592,0.44403804457464885,0.872093023255814
3,15,1,-1681682164.0810032,89592,0.8867301046848297,0.6775793650793651
3,23,1,-1681682168.6296272,89592,0.7624022761980692,0.5668682795698925
3,30,1,-1681682168.9462636,89592,0.7824682825803757,0.523125
3,20,1,-1681682158.4442506,89592,0.7136328280641792,0.6221910112359551
3,7,1,-1681682166.1065335,89592,0.7604872244638163,0.7272727272727273
3,18,1,-1681682155.9561663,89592,0.6478854223437931,0.6745923913043478
3,8,1,-1681682159.7366562,89592,1.1021224468538207,0.4732448630136986
3,19,1,-1681682165.9638493,89592,0.579096509811075,0.7259358288770054
3,2,1,-1681682157.5755355,89592,1.457847072929144,0.420703125
3,6,1,-1681682165.8440456,89592,1.4136104361380937,0.3806670984455959
3,34,1,-1681682161.8925474,89592,0.9424966610782776,0.7125310945273632
3,33,1,-1681682162.8829217,89592,1.3277580000633418,0.40755813953488373
4,17,1,-1681682171.915313,89592,0.6985642820596695,0.859375
4,12,1,-1681682169.8599708,89592,0.8859897017478943,0.6494791666666667
4,0,1,-1681682161.6718976,89592,0.42975127662337104,0.8771802325581395
4,25,1,-1681682175.286763,89592,0.7865928085345142,0.5126768867924528
4,4,1,-1681682170.5924847,89592,1.1869791723504852,0.524129746835443
4,7,1,-1681682165.0279965,89592,0.7327563850196092,0.7423513986013986
4,15,1,-1681682170.8505998,89592,0.8836764430715924,0.6830357142857143
4,2,1,-1681682168.5220635,89592,1.403345925360918,0.454296875
4,28,1,-1681682177.4547389,89592,1.2358289922659214,0.44811698717948717
4,34,1,-1681682165.302355,89592,0.9221537163601586,0.7143967661691543
4,6,1,-1681682160.3007843,89592,1.3764264558881059,0.40301165803108807
4,19,1,-1681682168.667748,89592,0.528457526456226,0.7687165775401069
4,1,1,-1681682162.3219209,89592,1.2486987249561088,0.41369047619047616
4,9,1,-1681682165.7733564,89592,1.223725836346115,0.5123792270531401
5,22,1,-1681682165.282994,89592,0.5042344548048512,0.8235887096774194
5,12,1,-1681682187.314881,89592,0.8794400811195373,0.6505208333333333
5,29,1,-1681682174.9854925,89592,0.4076259718941791,0.8638392857142857
5,16,1,-1681682181.3269632,89592,0.8165014994641145,0.5885416666666666
5,20,1,-1681682169.9532678,89592,0.6912988856267394,0.6769662921348315
5,31,1,-1681682178.3327687,89592,0.9780217681116271,0.6216626213592233
5,15,1,-1681682172.5912843,89592,0.861831679467171,0.6803075396825397
5,5,1,-1681682168.5738397,89592,1.189982980258705,0.4949127906976744
5,7,1,-1681682168.2198489,89592,0.69055677439783,0.7456293706293706
5,3,1,-1681682172.0170853,89592,1.0830916726660587,0.5276946107784432
5,1,1,-1681682170.389975,89592,1.2037267975075534,0.4416335978835979
5,11,1,-1681682177.2009127,89592,0.9901379448844787,0.5508021390374331
5,24,1,-1681682162.5255692,89592,1.3112968759686423,0.44716928251121074
5,32,1,-1681682161.8633585,89592,1.0707158930758212,0.5386968085106383
6,16,1,-1681682186.291304,89592,0.7543434867014488,0.6438802083333334
6,0,1,-1681682181.9278948,89592,0.3788835891457491,0.8888081395348837
6,4,1,-1681682175.2608323,89592,1.1077016629750216,0.5545886075949367
6,21,1,-1681682192.8901534,89592,0.8055778781572978,0.6864583333333333
6,23,1,-1681682190.906205,89592,0.7484975860964868,0.6092069892473119
6,15,1,-1681682168.3317087,89592,0.8412592032599071,0.6817956349206349
6,30,1,-1681682166.2415454,89592,0.7531055295467377,0.5490625
6,5,1,-1681682176.2009418,89592,1.1785789949949397,0.4890988372093023
6,2,1,-1681682182.6419547,89592,1.3507454693317413,0.5005859375
6,31,1,-1681682196.705441,89592,0.9744318697637725,0.625
6,11,1,-1681682176.2247434,89592,0.960587634122308,0.5661764705882353
6,18,1,-1681682171.3415983,89592,0.5100674878643907,0.7788722826086957
6,10,1,-1681682164.6081352,89592,1.060176407349737,0.5802631578947368
6,24,1,-1681682168.844933,89592,1.2705770332717041,0.4726737668161435
7,17,1,-1681682175.2219503,89592,0.5650031104683876,0.853125
7,16,1,-1681682188.5593584,89592,0.7273534902681907,0.6608072916666666
7,31,1,-1681682175.7381852,89592,0.9486185815727827,0.6216626213592233
7,20,1,-1681682194.9665446,89592,0.5957127374209715,0.7317415730337079
7,3,1,-1681682180.6083694,89592,1.0708352880563565,0.530688622754491
7,25,1,-1681682198.7156582,89592,0.7806020187881758,0.5191627358490566
7,18,1,-1681682189.5721369,89592,0.4928955306177554,0.7900815217391305
7,6,1,-1681682193.3889253,89592,1.2806953985456357,0.45579663212435234
7,9,1,-1681682186.264084,89592,1.1359424737916477,0.5454408212560387
7,11,1,-1681682178.1037345,89592,0.9370070683127418,0.5788770053475936
7,1,1,-1681682187.3075142,89592,1.1467541695902588,0.4697420634920635
7,2,1,-1681682169.8161664,89592,1.3187011051923037,0.5052734375
7,26,1,-1681682176.8049226,89592,1.3324785799903667,0.4682486631016043
7,24,1,-1681682167.9716911,89592,1.2203558897223707,0.4990190582959641
8,12,1,-1681682207.7422724,89592,0.7965323607126872,0.6890625
8,16,1,-1681682200.448716,89592,0.7541925627738237,0.654296875
8,22,1,-1681682191.7335927,89592,0.528834980341696,0.8185483870967742
8,30,1,-1681682195.729134,89592,0.7452704548835755,0.5709375
8,4,1,-1681682172.0589821,89592,1.0563493718074848,0.5909810126582279
8,20,1,-1681682192.8806958,89592,0.5691107973623811,0.7391151685393258
