Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,15,92064,28,3.3816578021416297,0.002403846153846154
1,11,92064,28,2.207995212995089,0.4050480769230769
1,20,92064,28,3.4014437198638916,0.0
1,22,92064,28,2.4224016666412354,0.3375
1,23,92064,28,2.1778902411460876,0.4973958333333333
1,33,92064,28,2.155485184987386,0.0
1,25,92064,28,2.8607758581638336,0.0
1,34,92064,28,2.9000198407606645,0.0
1,12,92064,28,2.6598555564880373,0.0
1,28,92064,28,1.8963890304932227,0.3425480769230769
1,26,92064,28,2.361961563428243,0.004340277777777778
1,32,92064,28,2.2389699954252977,0.1466346153846154
1,5,92064,28,1.9260521307587624,0.25390625
1,6,92064,28,2.0909289614907625,0.25323275862068967
1,18,92064,28,2.1266486763954164,0.0
1,19,92064,28,2.925049838565645,0.05357142857142857
1,10,92064,28,2.755219392478466,0.0
1,31,92064,28,2.4445503408258613,0.003787878787878788
1,9,92064,28,2.4862538046307034,0.1189236111111111
1,1,92064,28,2.1227375457161353,0.19078947368421054
1,21,92064,28,2.7103322744369507,0.0
1,30,92064,28,2.0868241786956787,0.337890625
1,0,92064,28,3.433229704697927,0.0
1,7,92064,28,1.880185842514038,0.4979166666666667
1,16,92064,28,1.977957397699356,0.109375
1,29,92064,28,1.7007193565368652,0.78125
1,24,92064,28,3.0039492590086803,0.0
1,27,92064,28,1.7867458820343018,0.39375
1,4,92064,28,2.570133368174235,0.09375
1,3,92064,28,3.0237212294623967,0.010416666666666666
1,17,92064,28,2.0830545872449875,0.484375
1,14,92064,28,2.226783116658529,0.3385416666666667
1,13,92064,28,1.897625916534,0.328125
1,8,92064,28,2.001149794634651,0.24724264705882354
1,2,92064,28,2.268520225797381,0.14285714285714285
2,22,92064,28,1.6526572942733764,0.30625
2,29,92064,28,2.007472515106201,0.052083333333333336
2,16,92064,28,2.117017835378647,0.0078125
2,15,92064,28,3.5517767392672024,0.0
2,17,92064,28,1.8475327789783478,0.12109375
2,19,92064,28,1.499502494221642,0.5089285714285714
2,33,92064,28,2.5323287804921466,0.020833333333333332
2,23,92064,28,1.7883466978867848,0.2942708333333333
2,21,92064,28,2.013330399990082,0.5125
2,31,92064,28,2.2110565250570122,0.3125
2,14,92064,28,2.1493302517467074,0.2916666666666667
2,26,92064,28,2.521779629919264,0.04600694444444445
2,30,92064,28,2.8670573085546494,0.001953125
2,11,92064,28,2.1348262291688185,0.0
2,20,92064,28,3.352544069290161,0.0
2,6,92064,28,2.286581434052566,0.12284482758620689
2,32,92064,28,2.0213319613383365,0.14903846153846154
2,9,92064,28,2.934514648384518,0.09114583333333333
2,10,92064,28,2.097827587276697,0.3798828125
2,0,92064,28,3.372145970662435,0.0
2,34,92064,28,1.9362071319059893,0.3039772727272727
2,27,92064,28,2.1745880285898846,0.022916666666666665
2,25,92064,28,1.3309504836797714,0.90234375
2,2,92064,28,1.858331540652684,0.29285714285714287
2,7,92064,28,2.4566843350728353,0.03958333333333333
2,4,92064,28,2.4201452334721885,0.23177083333333334
2,12,92064,28,2.6027348041534424,0.0
2,1,92064,28,2.881702548579166,0.0
2,18,92064,28,2.8015586376190185,0.0
2,28,92064,28,2.4625685673493605,0.019230769230769232
2,8,92064,28,2.5677598364212932,0.012867647058823529
2,13,92064,28,2.090130070845286,0.036458333333333336
2,3,92064,28,2.8389173462277366,0.18601190476190477
2,24,92064,28,2.461509781224387,0.30691964285714285
2,5,92064,28,2.2695916816592216,0.0009765625
3,13,92064,28,2.008225997289022,0.2951388888888889
3,15,92064,28,3.6678220675541806,0.0
3,20,92064,28,3.1970284581184387,0.07421875
3,4,92064,28,1.980991929769516,0.2109375
3,34,92064,28,1.8877521699125117,0.16619318181818182
3,7,92064,28,1.638279914855957,0.5375
3,6,92064,28,2.2277185875793983,0.3426724137931034
3,10,92064,28,1.9598231874406338,0.0966796875
3,1,92064,28,2.1680790499637,0.23519736842105263
3,2,92064,28,2.107789659500122,0.225
3,11,92064,28,1.623716230575855,0.5997596153846154
3,27,92064,28,2.3872872511545817,0.35
3,30,92064,28,2.085720583796501,0.39453125
3,0,92064,28,3.2221672733624778,0.06770833333333333
3,17,92064,28,1.5753724873065948,0.671875
3,18,92064,28,2.0627112865447996,0.04375
3,31,92064,28,2.2921947782689873,0.06912878787878787
3,25,92064,28,1.8177360892295837,0.1015625
3,32,92064,28,1.8629209399223328,0.20432692307692307
3,9,92064,28,2.4094684720039368,0.1753472222222222
3,23,92064,28,1.6832771003246307,0.4661458333333333
3,19,92064,28,1.9247451850346156,0.19196428571428573
3,16,92064,28,2.0413336902856827,0.12109375
3,22,92064,28,1.6881574869155884,0.49375
3,29,92064,28,1.4729502201080322,0.7291666666666666
3,3,92064,28,3.1240018549419584,0.03422619047619048
3,14,92064,28,1.8394625518057082,0.3888888888888889
3,12,92064,28,2.422090752919515,0.10208333333333333
3,8,92064,28,1.853684260564692,0.3014705882352941
3,26,92064,28,2.3199953966670566,0.07378472222222222
3,5,92064,28,2.142001673579216,0.3388671875
3,21,92064,28,1.9306636452674866,0.0859375
3,33,92064,28,2.263419485092163,0.016666666666666666
3,24,92064,28,2.33639726468495,0.12611607142857142
3,28,92064,28,2.125448029774886,0.3581730769230769
4,21,92064,28,1.7284823834896088,0.2203125
4,17,92064,28,1.435255840420723,0.68359375
4,22,92064,28,1.5099759817123413,0.55
4,30,92064,28,1.5055228173732758,0.470703125
