Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,6,1,-1681849848.2313936,89592,1.2582348550067228,0.8118872549019608
1,7,1,-1681849853.0169418,89592,1.2612210877239705,0.94375
1,31,1,-1681849852.704163,89592,1.6623786687850952,0.6302083333333334
1,16,1,-1681849852.4453623,89592,0.8425408059205765,0.9262820512820513
1,30,1,-1681849852.2793834,89592,1.0841316775135372,0.6677989130434783
1,13,1,-1681849852.1602716,89592,0.5184117757809766,0.9578804347826086
1,28,1,-1681849852.1909184,89592,1.248628979548812,0.6829427083333334
1,1,1,-1681849851.1782417,89592,1.1379664683006179,0.6487676056338029
1,44,1,-1681849851.6851132,89592,1.0542086724375115,0.6567622950819673
1,17,1,-1681849851.827138,89592,1.3828335525333018,0.49818840579710144
1,0,1,-1681849851.2898564,89592,0.849124526105276,0.7240853658536586
1,24,1,-1681849851.5774436,89592,0.7787514315254387,0.7546695402298851
1,8,1,-1681849851.4991705,89592,1.296610187821918,0.5579861111111111
1,27,1,-1681849851.2820954,89592,1.3831547045936952,0.48197115384615385
1,41,1,-1681849850.9451041,89592,1.3949224255918486,0.4842479674796748
1,4,1,-1681849851.044472,89592,1.272809099110346,0.611359126984127
1,36,1,-1681849850.9033623,89592,1.1768124888085911,0.5194978632478633
1,23,1,-1681849850.8459697,89592,0.6755276604765846,0.772429435483871
1,40,1,-1681849850.7159529,89592,0.7145212878557768,0.7807765151515151
1,43,1,-1681849850.6044967,89592,0.9432056665812668,0.6833881578947368
2,10,1,-1681849853.627739,89592,0.593150647292877,0.7451508620689655
2,29,1,-1681849855.3172626,89592,0.4500837481684155,0.8756944444444444
2,16,1,-1681849852.7279656,89592,0.3393493047318397,0.9278846153846154
2,39,1,-1681849853.6080687,89592,0.7267793340885893,0.6163563829787234
2,13,1,-1681849853.2940023,89592,0.22047003582659838,0.9592391304347826
2,46,1,-1681849853.4183395,89592,0.6174831562675536,0.7666015625
2,48,1,-1681849854.0812511,89592,0.38798934852163636,0.9133064516129032
2,17,1,-1681849852.6085613,89592,0.9698361184286035,0.6059782608695652
2,19,1,-1681849852.4729664,89592,0.6947463161974068,0.754894578313253
2,14,1,-1681849853.624666,89592,0.6089058804350931,0.7124155405405406
2,45,1,-1681849852.0936787,89592,0.43123455058379345,0.865210843373494
2,27,1,-1681849852.4868343,89592,1.0208698958158493,0.6063701923076923
2,2,1,-1681849852.8327074,89592,0.4953049384699813,0.8550646551724138
2,3,1,-1681849853.831149,89592,0.752812800604269,0.7586009174311926
2,5,1,-1681849852.918718,89592,0.3133676092557866,0.8930495689655172
2,23,1,-1681849851.450285,89592,0.3343271561447651,0.8747479838709677
