Round,Cid,Size of parameters,Loss,Accuracy
1,32,8400,2.4471539717454176,0.001201923076923077
1,45,8400,2.112610081831614,0.2690972222222222
1,30,8400,1.6991258689335413,0.8125
1,31,8400,2.6941362222035727,0.0
1,15,8400,1.947701490842379,0.6153846153846154
1,37,8400,2.7457776619837833,0.0
1,48,8400,1.8845088687436333,0.46875
1,18,8400,2.3460363105491355,0.1261574074074074
1,2,8400,2.2236205014315518,0.2315340909090909
1,25,8400,1.899474318822225,0.58125
1,34,8400,2.3549201011657717,0.0
1,16,8400,2.6784467046911065,0.036931818181818184
1,38,8400,2.261301801318214,0.2916666666666667
1,39,8400,1.731752628371829,0.5297619047619048
1,12,8400,2.2895847218377248,0.2533482142857143
1,42,8400,2.440222462018331,0.0
1,0,8400,1.9769170165061951,0.3104166666666667
1,36,8400,1.642492034218528,0.6903409090909091
1,41,8400,1.7118118673563003,0.6046875
1,1,8400,1.8283584226261487,0.4502840909090909
1,49,8400,2.205676441607268,0.22554347826086957
1,9,8400,2.224823360443115,0.3825
1,22,8400,1.922650348572504,0.14434523809523808
1,27,8400,2.4858759847180596,0.11206896551724138
1,33,8400,2.2821069028642444,0.1796875
1,29,8400,2.697815510534471,0.0
1,8,8400,1.9253202536526848,0.37683823529411764
1,3,8400,2.327691286802292,0.2734375
1,14,8400,2.0036393620751123,0.05397727272727273
1,13,8400,2.0181949416796368,0.37916666666666665
1,10,8400,2.210183620452881,0.004166666666666667
1,4,8400,2.342942867960249,0.060267857142857144
1,47,8400,2.136320114135742,0.1753472222222222
1,40,8400,2.589003324508667,0.09926470588235294
1,7,8400,1.8801143050193787,0.196875
1,43,8400,2.646076726913452,0.058333333333333334
1,20,8400,1.9542476758360863,0.5703125
1,21,8400,2.7161198815991803,0.0
1,19,8400,2.1402805697533394,0.34576612903225806
1,17,8400,2.0801458045055994,0.38980263157894735
1,5,8400,2.678367648805891,0.0
1,35,8400,1.6430349508921305,0.7520833333333333
1,26,8400,1.6773507992426555,0.6284722222222222
1,24,8400,2.470537163994529,0.13636363636363635
1,44,8400,1.9624647034539118,0.1423611111111111
1,11,8400,2.056306345595254,0.3993055555555556
1,6,8400,2.7041131748872647,0.0
1,46,8400,2.3847935480229996,0.16544117647058823
1,23,8400,1.8676202382360185,0.20982142857142858
1,28,8400,2.1771639119023862,0.14266304347826086
2,43,8400,2.500991217295329,0.0625
2,31,8400,2.2476497093836465,0.125
2,17,8400,2.2180393369574296,0.049342105263157895
2,15,8400,2.135765414971572,0.0625
2,46,8400,2.0940753011142506,0.125
2,45,8400,2.1962919897503324,0.001736111111111111
2,14,8400,1.3932049057700417,0.9318181818181818
2,40,8400,2.376616393818575,0.04595588235294118
2,37,8400,2.682077958033635,0.016826923076923076
2,38,8400,2.079905861899966,0.09077380952380952
2,32,8400,1.5102086938344514,0.4579326923076923
2,47,8400,2.1359864473342896,0.09027777777777778
2,20,8400,1.716089628636837,0.142578125
2,26,8400,1.6291329463322957,0.4166666666666667
2,36,8400,1.9397367184812373,0.08806818181818182
2,22,8400,1.775257950737363,0.5505952380952381
2,48,8400,1.7986877252315652,0.3857758620689655
2,41,8400,1.9521088600158691,0.121875
2,33,8400,2.0748252669970193,0.2821180555555556
2,29,8400,2.3463645289021153,0.10483870967741936
2,5,8400,1.8595103791781835,0.20982142857142858
2,34,8400,1.4147654056549073,0.6
2,30,8400,1.937320249421256,0.08928571428571429
2,35,8400,1.9668911616007487,0.022916666666666665
2,44,8400,2.122284915712145,0.2222222222222222
2,8,8400,1.8383022055906408,0.31066176470588236
2,24,8400,1.5956605727022344,0.2159090909090909
2,16,8400,2.71965200250799,0.008522727272727272
2,7,8400,2.0563621640205385,0.303125
2,42,8400,1.478526105483373,0.5026041666666666
