Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,3,1,-1681068921.3038423,8400,1.7888698853568297,0.27754728765167735
1,4,1,-1681068925.1537912,8400,1.776765907275923,0.2595877964804897
1,8,1,-1681068925.09707,8400,1.7661223667008537,0.28733368347338933
1,14,1,-1681068924.3332796,8400,1.7579062064435247,0.2984942799461642
1,2,1,-1681068924.9439864,8400,1.781222042027606,0.2565579014715291
1,15,1,-1681068924.9629035,8400,1.7954517454911445,0.24535550458715596
1,18,1,-1681068924.9367423,8400,1.7420905059383762,0.2835963570634038
2,11,1,-1681068929.4467154,8400,1.7116031791712787,0.2684872372372372
2,22,1,-1681068929.415752,8400,1.7454064507215057,0.2790719002201027
2,5,1,-1681068929.4651954,8400,1.6948595104397217,0.2623211793440335
2,8,1,-1681068929.0978312,8400,1.6912782011913652,0.30392156862745096
2,1,1,-1681068928.7317462,8400,1.6940570540238407,0.3174542682926829
2,2,1,-1681068929.1378746,8400,1.7131595830465842,0.26669465770953293
2,9,1,-1681068929.2194054,8400,1.7217538509183778,0.2930053547523427
3,4,1,-1681068929.677341,8400,1.6942227697591337,0.2615005738332058
3,11,1,-1681068929.4103272,8400,1.702419292908889,0.2681353228228228
3,7,1,-1681068929.4739556,8400,1.716917097725573,0.29226366930171277
3,2,1,-1681068929.5301704,8400,1.7054272914497195,0.27989043506078054
3,17,1,-1681068929.1214433,8400,1.7285026854770198,0.26560509554140127
3,15,1,-1681068929.1887429,8400,1.7246253621687584,0.2684250764525994
3,18,1,-1681068929.82949,8400,1.6790021985470918,0.28368325917686316
4,12,1,-1681068930.1482162,8400,1.6066587560799948,0.3102992957746479
4,4,1,-1681068930.2554302,8400,1.690946473360244,0.26699980872226475
4,3,1,-1681068930.609672,8400,1.7027048301390457,0.280000892219843
4,9,1,-1681068929.7563813,8400,1.7101167761976301,0.32201723560910306
4,7,1,-1681068929.7187943,8400,1.7132862010020984,0.31488801054018445
4,2,1,-1681068929.3651545,8400,1.7014375218045459,0.29250639795265515
4,15,1,-1681068929.9278111,8400,1.7208839635236548,0.27222859327217125
5,11,1,-1681068930.173932,8400,1.6942077733732916,0.268628003003003
5,19,1,-1681068929.6194549,8400,1.7073944476588545,0.27124909288824384
5,8,1,-1681068929.9473944,8400,1.6708218646483595,0.32692139355742295
5,16,1,-1681068930.694634,8400,1.67874290396913,0.40203980547550433
5,14,1,-1681068932.8059907,8400,1.6621913207170942,0.3679130215343203
5,0,1,-1681068931.9013233,8400,1.650995831728441,0.3315269749518304
5,20,1,-1681068929.7169378,8400,1.716708806456346,0.2878337202553685
6,4,1,-1681068931.8415518,8400,1.6884142236118564,0.2781417368018363
6,8,1,-1681068929.982963,8400,1.6569795367263613,0.34368434873949577
6,0,1,-1681068932.0680726,8400,1.6373431805088188,0.3320688824662813
6,2,1,-1681068933.483944,8400,1.6888690076420418,0.35544625719769674
6,1,1,-1681068932.5324795,8400,1.6652736682181792,0.3198812580231066
6,15,1,-1681068929.7128673,8400,1.7148196953152297,0.2892775229357798
6,18,1,-1681068932.789823,8400,1.6732977250128884,0.2851779755283648
7,12,1,-1681068932.3421466,8400,1.597045210978608,0.3144072769953052
7,4,1,-1681068934.4984012,8400,1.6856353798255541,0.29267884468247896
7,10,1,-1681068934.507861,8400,1.6608741841657282,0.33987010796221323
7,1,1,-1681068929.8639054,8400,1.6567968958761634,0.3178754813863928
7,17,1,-1681068933.0360324,8400,1.7136891024887182,0.2830015923566879
7,2,1,-1681068933.648595,8400,1.6823054738938619,0.3920745361484325
7,20,1,-1681068932.6154385,8400,1.693784756779463,0.3918855194428323
8,12,1,-1681068934.846998,8400,1.5913672378178867,0.32198748043818465
8,4,1,-1681068933.9239311,8400,1.6826653480529785,0.3095830145371079
8,11,1,-1681068934.0831544,8400,1.668002021205318,0.30808933933933935
8,7,1,-1681068934.6619468,8400,1.6895520824531636,0.38525197628458496
8,6,1,-1681068932.793959,8400,1.6703470665827675,0.34960809928151537
8,1,1,-1681068934.457682,8400,1.646400242163985,0.32064345314505777
8,2,1,-1681068932.755006,8400,1.6747977656579827,0.40728966730646193
9,4,1,-1681068937.0354562,8400,1.680895015768359,0.3253634276970161
9,11,1,-1681068934.651623,8400,1.657317763513273,0.3470579954954955
9,19,1,-1681068934.2349749,8400,1.6748366810067818,0.3038824383164006
9,8,1,-1681068933.7497175,8400,1.6228200194715452,0.3930103291316527
9,14,1,-1681068932.8818777,8400,1.6122975648652818,0.43074949528936746
9,5,1,-1681068937.1586323,8400,1.6294271223876164,0.4232379623168179
9,0,1,-1681068932.8553588,8400,1.6026032083526052,0.33923410404624277
10,23,1,-1681068935.4207547,8400,1.5647505317014807,0.4968137254901961
10,13,1,-1681068933.0818577,8400,1.641433301795981,0.3739598087818697
10,1,1,-1681068932.8878808,8400,1.616977327289263,0.3833841463414634
10,6,1,-1681068936.196031,8400,1.6500509479013166,0.3731629653821032
10,15,1,-1681068937.042771,8400,1.6936162584053995,0.32031727828746176
10,0,1,-1681068938.3242302,8400,1.5793049198431164,0.3442919075144509
10,18,1,-1681068937.070465,8400,1.6648994091487965,0.2917825361512792
11,23,1,-1681068935.7685728,8400,1.5481221182206097,0.5231862745098039
11,16,1,-1681068937.337028,8400,1.5750897235588657,0.4399090417867435
11,21,1,-1681068939.4818113,8400,1.6080048413787569,0.44754464285714285
11,14,1,-1681068938.5466788,8400,1.575954934629746,0.4453019851951548
11,6,1,-1681068937.2846534,8400,1.6436898283986465,0.37928641410842584
11,17,1,-1681068936.743877,8400,1.6903639763783498,0.3374004777070064
11,18,1,-1681068935.9098754,8400,1.6575187413525396,0.30572163515016687
12,4,1,-1681068936.2370305,8400,1.6757450630943922,0.40072685539403213
12,12,1,-1681068939.2599573,8400,1.5710121133890884,0.3803550469483568
12,11,1,-1681068938.837661,8400,1.615428319206467,0.41577515015015015
12,16,1,-1681068937.059808,8400,1.5490870490369604,0.44265579971181557
12,8,1,-1681068937.559344,8400,1.5667149694192977,0.43894432773109243
12,21,1,-1681068934.8285513,8400,1.587082172036171,0.445625
12,15,1,-1681068937.9080346,8400,1.672734483228911,0.36452599388379203
13,4,1,-1681068937.7838454,8400,1.6742689604967171,0.43783473603672535
13,19,1,-1681068938.1272964,8400,1.6177528747107364,0.44566400580551524
13,21,1,-1681068941.0134103,8400,1.5664949847119196,0.44247767857142856
13,5,1,-1681068934.9795406,8400,1.5555386714642478,0.47280617585484996
13,8,1,-1681068935.6605031,8400,1.5458911700742919,0.4482230392156863
13,9,1,-1681068938.9689002,8400,1.6370256006957058,0.39179635207496655
13,7,1,-1681068939.2826948,8400,1.6334625362407549,0.44410820158102765
14,16,1,-1681068939.4563012,8400,1.4880795375758014,0.4486446325648415
14,19,1,-1681068938.4553277,8400,1.5953784959582702,0.44387246008708275
14,3,1,-1681068941.1674874,8400,1.603786351083433,0.4314998215560314
14,8,1,-1681068940.0550556,8400,1.51545319345151,0.4612876400560224
14,7,1,-1681068938.4186003,8400,1.6135534147814172,0.45106637022397894
14,20,1,-1681068937.7985876,8400,1.5633806420562575,0.4087166279744631
14,18,1,-1681068938.142467,8400,1.6533897895701604,0.324944382647386
15,22,1,-1681068939.7659361,8400,1.605890402615464,0.4368121790168745
15,16,1,-1681068939.6056488,8400,1.449371050087794,0.4532600864553314
15,5,1,-1681068940.4470546,8400,1.4969505115729982,0.4769059665038381
15,7,1,-1681068940.2362072,8400,1.5904922660474563,0.46061841238471674
15,6,1,-1681068938.3428416,8400,1.5881596605112784,0.40661740692357934
15,1,1,-1681068941.3499997,8400,1.5219962163822336,0.5083039152759948
15,0,1,-1681068938.0040693,8400,1.467506119205007,0.49636721258831085
16,11,1,-1681068941.5967267,8400,1.5167476384489387,0.41704204204204204
16,13,1,-1681068938.475524,8400,1.6524704973353206,0.3871060552407932
16,22,1,-1681068940.6002672,8400,1.5776072307623055,0.43871515040352166
16,7,1,-1681068939.7140534,8400,1.5610833085572766,0.4590950263504611
16,14,1,-1681068941.8197086,8400,1.4603249175551762,0.45977035666218036
16,9,1,-1681068942.7992132,8400,1.5753832027774897,0.40779785809906294
16,15,1,-1681068939.7624228,8400,1.6615772471879966,0.29684633027522933
17,11,1,-1681068940.0567803,8400,1.502828928711894,0.41525900900900903
17,21,1,-1681068938.7382038,8400,1.453458435535431,0.4639285714285714
17,16,1,-1681068939.5208812,8400,1.3865193616416338,0.4621307636887608
17,13,1,-1681068944.0583208,8400,1.6517326093091504,0.3998760623229462
17,5,1,-1681068942.2142441,8400,1.4431201138865757,0.4816599790648988
17,9,1,-1681068941.224503,8400,1.5639907068197667,0.41191850736278446
17,17,1,-1681068942.9604123,8400,1.6140993652070403,0.42018312101910826
18,21,1,-1681068941.3552241,8400,1.4286768538611276,0.46698660714285717
18,5,1,-1681068942.3217075,8400,1.4179451171118982,0.4889436496859735
18,3,1,-1681068942.0778787,8400,1.5242808638599241,0.4470021413276231
18,14,1,-1681068943.0647495,8400,1.4253218353677084,0.4687079407806191
18,10,1,-1681068942.7479799,8400,1.594678178409494,0.5218243927125507
18,7,1,-1681068941.5819912,8400,1.5288749622262043,0.4716114953886693
18,6,1,-1681068944.1733415,8400,1.54733137762056,0.4224975506205095
19,12,1,-1681068942.969616,8400,1.6004894935469112,0.360304186228482
19,23,1,-1681068940.9434154,8400,1.5335484316769767,0.5276470588235294
19,16,1,-1681068942.1734796,8400,1.3300102499960478,0.47442363112391933
19,3,1,-1681068944.3167334,8400,1.5050833440524694,0.4499687723054961
19,21,1,-1681068944.3349001,8400,1.4052117764098304,0.47953125
19,1,1,-1681068942.4112043,8400,1.4304075677220414,0.5096277278562259
19,6,1,-1681068945.5969408,8400,1.533769535520044,0.425518451992162
20,4,1,-1681068942.3868315,8400,1.7616953807836648,0.37335022953328234
20,23,1,-1681068943.0277371,8400,1.527127124000998,0.5313235294117648
20,3,1,-1681068945.7042322,8400,1.492948327721399,0.45157476802284086
20,21,1,-1681068944.4704475,8400,1.3883793939862932,0.48305803571428574
20,5,1,-1681068941.9974108,8400,1.3782165423191601,0.5016573621772505
20,8,1,-1681068941.185585,8400,1.3498956164976461,0.5007221638655462
20,10,1,-1681068941.0494952,8400,1.5898129367313565,0.5333375506072875
21,22,1,-1681068945.8313305,8400,1.5042581049204746,0.44366746148202496
21,5,1,-1681068944.5311005,8400,1.3694333392094666,0.5168789253314724
21,13,1,-1681068943.5392506,8400,1.6612831918105864,0.4117608002832861
21,9,1,-1681068944.1856253,8400,1.5190733296963743,0.42808734939759036
21,6,1,-1681068943.6261883,8400,1.5251044006148324,0.43368305029392556
21,15,1,-1681068945.2000282,8400,1.6322988280462563,0.3176414373088685
21,20,1,-1681068941.085111,8400,1.407581811164329,0.4308618688334301
22,4,1,-1681068942.4734998,8400,1.7726455053119323,0.40003347360367253
22,19,1,-1681068944.9433548,8400,1.4480246734549933,0.4506531204644412
22,5,1,-1681068944.778665,8400,1.3572018097849552,0.5198447313328681
22,3,1,-1681068943.3515015,8400,1.478451974982453,0.4528684867951463
22,7,1,-1681068944.3386116,8400,1.4822294845568489,0.4879158432147563
22,14,1,-1681068945.431299,8400,1.3816837179067156,0.5106409825033648
22,0,1,-1681068941.260515,8400,1.325610294239446,0.571893063583815
23,23,1,-1681068941.503669,8400,1.5126398009879916,0.5417401960784314
23,12,1,-1681068945.6169775,8400,1.5926960508028667,0.3894757433489828
23,13,1,-1681068952.5698347,8400,1.6714837062291314,0.40605081444759206
23,9,1,-1681068947.5869699,8400,1.4961073787975183,0.4362031459170013
23,0,1,-1681068945.2115693,8400,1.304226835836718,0.5776131984585742
23,2,1,-1681068947.2115228,8400,1.4195692359218977,0.4814259436980166
23,18,1,-1681068944.702274,8400,1.6915683753631006,0.3346947997775306
24,12,1,-1681068949.8000414,8400,1.5581700436199588,0.4547388497652582
24,22,1,-1681068947.489273,8400,1.4776092593668142,0.4478631694790902
24,19,1,-1681068948.8309104,8400,1.4339575495879087,0.44995010885341075
24,5,1,-1681068952.7782307,8400,1.3397816940362188,0.5285240753663643
24,6,1,-1681068945.7783062,8400,1.520932175613244,0.45291067929457873
24,20,1,-1681068945.3441298,8400,1.3757598468957082,0.4549840394660476
24,18,1,-1681068944.789879,8400,1.6680929750966549,0.3739571746384872
25,12,1,-1681068947.374939,8400,1.5532589415802456,0.46278364632237873
25,8,1,-1681068947.8138943,8400,1.2997442623313402,0.5167629551820728
25,9,1,-1681068945.036391,8400,1.4884098202508775,0.4410349732262383
25,1,1,-1681068945.5159197,8400,1.3617607743045332,0.513137836970475
25,6,1,-1681068945.9869244,8400,1.5142548307727786,0.4597281188765513
25,0,1,-1681068951.6355488,8400,1.3035476495994538,0.5828114964675658
25,15,1,-1681068947.281233,8400,1.5949741068965433,0.36905581039755353
26,23,1,-1681068950.314643,8400,1.4586309932259953,0.5687254901960784
26,22,1,-1681068947.4919238,8400,1.4525202986779497,0.45015590608950845
26,21,1,-1681068946.3663642,8400,1.3235138922504017,0.5254464285714285
26,13,1,-1681068951.7840736,8400,1.6324546851281065,0.4762526558073654
26,6,1,-1681068950.287547,8400,1.5091780231016123,0.47211789679947747
26,1,1,-1681068946.0370219,8400,1.3436790514971693,0.5129573170731707
26,17,1,-1681068947.8529453,8400,1.5423780131491887,0.4437101910828026
27,8,1,-1681068946.227033,8400,1.2826250358289029,0.5227591036414566
27,9,1,-1681068947.653615,8400,1.4712976418345807,0.45580237617135205
27,6,1,-1681068948.7935622,8400,1.5046753895820004,0.4763226649248857
27,2,1,-1681068949.7568142,8400,1.399096687634786,0.5072176903390915
27,15,1,-1681068947.948324,8400,1.5752067934847025,0.4121750764525994
27,20,1,-1681068952.3890483,8400,1.3469724442401183,0.4887913522925131
27,18,1,-1681068955.1500518,8400,1.662780041623036,0.4004796996662959
28,4,1,-1681068950.0774775,8400,1.7895426189251866,0.44644223412394796
28,22,1,-1681068955.4993622,8400,1.4385767359114359,0.452746698459281
28,3,1,-1681068946.5358093,8400,1.4358291757013184,0.46127765881513205
28,19,1,-1681068953.4095693,8400,1.395595770183253,0.48426161103047893
28,5,1,-1681068952.6374416,8400,1.3017815473357532,0.5530137822749477
28,7,1,-1681068946.6514578,8400,1.4364593716164038,0.5188570487483531
28,17,1,-1681068951.7668219,8400,1.5280353663073982,0.44767117834394904
29,11,1,-1681068953.5804744,8400,1.3475792396354962,0.5335726351351351
29,22,1,-1681068952.8495677,8400,1.423241136009345,0.45215058694057225
29,19,1,-1681068953.7280784,8400,1.3797694846922843,0.4849646226415094
29,9,1,-1681068951.841524,8400,1.4473003358087706,0.4774305555555556
29,17,1,-1681068950.2374263,8400,1.5126889651748026,0.45224920382165607
29,2,1,-1681068952.8833058,8400,1.3691300291780166,0.5183341330774153
29,20,1,-1681068946.6360383,8400,1.3196611488481214,0.51015670342426
30,21,1,-1681068953.0025988,8400,1.2742050260731153,0.5456696428571428
30,8,1,-1681068953.9270194,8400,1.224412624408551,0.5322566526610645
30,19,1,-1681068949.9761295,8400,1.3579019894620676,0.49428519593613934
30,9,1,-1681068953.0415437,8400,1.426287327425547,0.501610609103079
30,0,1,-1681068950.3440015,8400,1.2241467348106718,0.586665061014772
30,6,1,-1681068946.8155828,8400,1.4679686024950502,0.5190847485303723
30,17,1,-1681068950.3779595,8400,1.4917252082733592,0.45529458598726114
