Round,Cid,Size of parameters,Loss,Accuracy
1,14,8400,2.188991665840149,0.25
1,15,8400,2.209707498550415,0.296875
1,7,8400,2.1470577716827393,0.46875
1,17,8400,2.224011778831482,0.390625
1,24,8400,2.2222068309783936,0.171875
1,23,8400,2.227347254753113,0.265625
1,11,8400,2.191584587097168,0.328125
1,21,8400,2.1586028337478638,0.328125
1,25,8400,2.2163546085357666,0.1875
1,28,8400,2.2581251859664917,0.296875
1,9,8400,2.2166800498962402,0.1875
1,0,8400,2.1867895126342773,0.359375
1,5,8400,2.2059285640716553,0.25
1,13,8400,2.163296341896057,0.390625
1,29,8400,2.2243316173553467,0.34375
1,10,8400,2.1846683025360107,0.296875
1,1,8400,2.18129825592041,0.4375
1,6,8400,2.2147209644317627,0.34375
1,16,8400,2.2104170322418213,0.390625
1,2,8400,2.1899311542510986,0.296875
1,3,8400,2.1842334270477295,0.328125
1,8,8400,2.2200493812561035,0.3125
1,19,8400,2.1911219358444214,0.3125
1,4,8400,2.178245782852173,0.21875
1,20,8400,2.2147324085235596,0.328125
1,27,8400,2.188465714454651,0.265625
1,18,8400,2.1682050228118896,0.3125
1,26,8400,2.2042990922927856,0.3125
1,12,8400,2.1718530654907227,0.28125
1,22,8400,2.1863362789154053,0.296875
2,10,8400,2.0776678323745728,0.203125
2,5,8400,2.0900100469589233,0.28125
2,29,8400,2.11651349067688,0.3125
2,4,8400,2.0766565799713135,0.40625
2,25,8400,2.1049336194992065,0.171875
2,16,8400,2.1051746606826782,0.40625
2,11,8400,2.073759078979492,0.3125
2,24,8400,2.099532961845398,0.203125
2,21,8400,2.0210161209106445,0.421875
2,14,8400,2.0775240063667297,0.3125
2,22,8400,2.0871620178222656,0.265625
2,13,8400,2.048721194267273,0.359375
2,17,8400,2.0963298082351685,0.328125
2,27,8400,2.0824824571609497,0.21875
2,23,8400,2.1056801080703735,0.1875
2,9,8400,2.1383886337280273,0.25
2,12,8400,2.0449832677841187,0.296875
2,6,8400,2.052734613418579,0.375
2,28,8400,2.1741888523101807,0.296875
2,18,8400,2.0503264665603638,0.34375
2,7,8400,2.025028705596924,0.46875
2,2,8400,2.077497363090515,0.296875
2,19,8400,2.066222906112671,0.34375
2,26,8400,2.0999913215637207,0.203125
2,20,8400,2.044998288154602,0.359375
2,3,8400,2.0729708671569824,0.296875
2,1,8400,2.0111331939697266,0.28125
2,15,8400,2.0944766998291016,0.296875
2,8,8400,2.1054980754852295,0.34375
2,0,8400,2.0859543085098267,0.421875
3,19,8400,1.9249386191368103,0.34375
3,12,8400,1.9061700701713562,0.21875
3,25,8400,1.9480517506599426,0.1875
3,13,8400,1.911395788192749,0.21875
3,23,8400,2.0050820112228394,0.171875
3,27,8400,1.941119134426117,0.1875
3,4,8400,1.927725076675415,0.25
3,22,8400,1.9073188304901123,0.296875
3,18,8400,1.8881055116653442,0.34375
3,14,8400,1.946014940738678,0.265625
3,1,8400,1.9946078062057495,0.21875
3,11,8400,1.9460598826408386,0.265625
3,20,8400,1.947656273841858,0.28125
