Round,Cid,Size of parameters,Loss,Accuracy
1,47,92064,1.983805999159813,0.240234375
1,25,92064,2.8127497732639313,0.0
1,23,92064,2.1785386204719543,0.5078125
1,42,92064,2.736674769719442,0.05
1,43,92064,2.7518199920654296,0.0
1,26,92064,2.391079591380225,0.0
1,15,92064,3.3878566118387075,0.0
1,11,92064,2.20960285113408,0.3473557692307692
1,41,92064,1.7943474888801574,0.596875
1,28,92064,1.9352506124056303,0.31850961538461536
1,49,92064,2.1714885383844376,0.048828125
1,35,92064,2.442971879785711,0.19744318181818182
1,6,92064,2.11464799272603,0.20474137931034483
1,10,92064,2.732556290924549,0.0
1,1,92064,2.191626711895591,0.14967105263157895
1,33,92064,2.2043344497680666,0.0
1,32,92064,2.250217107626108,0.15625
1,5,92064,1.9522952735424042,0.2080078125
1,31,92064,2.4480176694465405,0.0
1,48,92064,2.582952787478765,0.0
1,38,92064,2.2813783954171574,0.43566176470588236
1,22,92064,2.4081462383270265,0.3
1,9,92064,2.534572290049659,0.09375
1,18,92064,2.1742490768432616,0.0
1,19,92064,2.8648305393400646,0.044642857142857144
1,16,92064,2.014089599251747,0.1015625
1,34,92064,2.8634138757532295,0.0
1,20,92064,3.4119808673858643,0.0
1,12,92064,2.684342877070109,0.0
1,40,92064,2.3656224445863203,0.0
1,46,92064,2.239187240600586,0.0
1,7,92064,1.9244338909784953,0.44375
1,0,92064,3.4312702218691506,0.0
1,27,92064,1.8189775784810385,0.38333333333333336
1,21,92064,2.684598755836487,0.0
1,39,92064,2.0565983477760765,0.3805147058823529
1,24,92064,2.9929245795522417,0.0
1,37,92064,2.6533504645029704,0.34375
1,45,92064,2.5425728992982344,0.23295454545454544
1,8,92064,2.039614670416888,0.2270220588235294
1,30,92064,2.1509136855602264,0.279296875
1,17,92064,2.0752812772989273,0.40234375
1,4,92064,2.5585667490959167,0.08333333333333333
1,36,92064,2.073429294994899,0.0
1,13,92064,1.9273437062899272,0.3298611111111111
1,29,92064,1.7325066328048706,0.7604166666666666
1,3,92064,3.02614164352417,0.0
1,44,92064,1.8463544613785214,0.4809027777777778
1,14,92064,2.248904201719496,0.3072916666666667
1,2,92064,2.262224136080061,0.12142857142857143
2,22,92064,1.8063518047332763,0.34375
2,17,92064,1.8091949969530106,0.4765625
