Round,Cid,Size of parameters,Loss,Accuracy
1,26,89592,1.7930487659242418,0.6354166666666666
1,15,89592,2.133502400838412,0.6274038461538461
1,31,89592,2.578850428263346,0.0
1,43,89592,2.116140611966451,0.0625
1,35,89592,1.9455934762954712,0.23125
1,25,89592,2.2440669775009154,0.5875
1,23,89592,1.7977955426488603,0.24553571428571427
1,6,89592,2.8504789576810947,0.0
1,28,89592,2.213501919870791,0.17255434782608695
1,10,89592,2.5811973889668782,0.0
1,42,89592,2.919671614964803,0.0
1,49,89592,2.4597771064094873,0.0
1,1,89592,2.003384042869915,0.03977272727272727
1,47,89592,2.438327511151632,0.0
1,48,89592,2.0288311407483857,0.4709051724137931
1,5,89592,2.937961288860866,0.002232142857142857
1,32,89592,2.944954514503479,0.0
1,38,89592,2.434607494445074,0.0
1,41,89592,1.8330086380243302,0.3890625
1,33,89592,2.1840970052613153,0.001736111111111111
1,11,89592,2.1099997096591525,0.3663194444444444
1,34,89592,2.782876205444336,0.0
1,16,89592,2.9196144450794566,0.0
1,20,89592,2.3250043839216232,0.568359375
1,9,89592,2.0370264530181883,0.38625
1,7,89592,1.78609379529953,0.259375
1,40,89592,2.2186771000132843,0.0
1,22,89592,1.9037121023450578,0.17261904761904762
1,37,89592,1.969339948434096,0.0
1,46,89592,2.490913853925817,0.022058823529411766
1,12,89592,2.506139482770647,0.0
1,18,89592,2.9468912990004927,0.0
1,39,89592,1.836850370679583,0.5446428571428571
1,21,89592,2.466469495527206,0.0
1,19,89592,2.2175620909660094,0.21975806451612903
1,24,89592,3.116861202500083,0.0
1,8,89592,2.1937867403030396,0.37316176470588236
1,0,89592,2.0628055651982624,0.0
1,30,89592,1.6551998002188546,0.8035714285714286
1,27,89592,2.3794794904774634,0.0010775862068965517
1,45,89592,2.6305896176232233,0.0
1,4,89592,2.5344601699284146,0.0
1,17,89592,2.2420124129245154,0.25164473684210525
1,3,89592,2.5948935449123383,0.0
1,13,89592,2.4438217639923097,0.3854166666666667
1,44,89592,1.79870691564348,0.19444444444444445
1,36,89592,1.8633404807610945,0.3494318181818182
1,2,89592,2.787565133788369,0.0
1,14,89592,2.089058182456277,0.05113636363636364
1,29,89592,2.4087013275392595,0.0010080645161290322
2,46,89592,2.2713819111094757,0.22794117647058823
2,30,89592,1.9992145810808455,0.07589285714285714
2,10,89592,1.6052730003992717,0.825
2,17,89592,2.686760789469669,0.023026315789473683
2,14,89592,1.6304449818351052,0.71875
2,26,89592,1.8239650858773127,0.3125
2,35,89592,1.5437945445378622,0.7645833333333333
2,31,89592,2.5341673294703164,0.0
2,19,89592,2.5128965608535276,0.020161290322580645
2,34,89592,1.3776661157608032,0.8625
2,36,89592,1.6800367452881553,0.5369318181818182
2,42,89592,1.3766215443611145,0.875
2,9,89592,1.949994101524353,0.21125
2,20,89592,1.6598873808979988,0.4453125
2,32,89592,1.373937739775731,0.9002403846153846
2,22,89592,1.8680406014124553,0.33035714285714285
2,39,89592,1.7845674071993147,0.39285714285714285
2,29,89592,2.46662595195155,0.0
2,16,89592,3.097806843844327,0.0
2,33,89592,1.9768473009268444,0.4366319444444444
2,48,89592,2.026377772462779,0.33405172413793105
2,23,89592,2.041060439177922,0.05133928571428571
2,6,89592,2.8266828480888817,0.0
2,47,89592,2.24563287364112,0.3993055555555556
2,2,89592,1.4346377090974287,0.9247159090909091
2,15,89592,2.3839737451993503,0.06971153846153846
2,38,89592,2.1087702172143117,0.40029761904761907
2,40,89592,1.9516896780799418,0.31433823529411764
2,28,89592,2.42281292832416,0.04483695652173913
2,3,89592,2.2184147288401923,0.3997395833333333
2,37,89592,2.328553346487192,0.0
2,1,89592,2.1490106636827644,0.375
2,21,89592,2.584807534371653,0.0
2,0,89592,2.690223773320516,0.07604166666666666
2,11,89592,2.3019238114356995,0.035590277777777776
2,44,89592,2.0828510655297174,0.04513888888888889
2,8,89592,1.7666403756422155,0.5294117647058824
2,18,89592,1.432242614251596,0.9120370370370371
2,24,89592,1.2626773444089023,0.9616477272727273
2,4,89592,2.193093623433794,0.328125
2,13,89592,1.7265745282173157,0.559375
2,25,89592,1.7142560720443725,0.43125
2,45,89592,1.5259139074219599,0.8958333333333334
2,5,89592,1.538902154990605,0.6696428571428571
2,49,89592,2.1618717649708623,0.5122282608695652
2,7,89592,2.0462225437164308,0.0875
2,12,89592,2.0739891784531728,0.42410714285714285
2,27,89592,2.394968106828887,0.24568965517241378
2,43,89592,2.351112063725789,0.0020833333333333333
2,41,89592,1.958052396774292,0.29296875
3,45,89592,1.5698745515611436,0.2864583333333333
3,7,89592,2.479904627799988,0.040625
3,26,89592,1.2435818778143988,0.4479166666666667
3,40,89592,1.507502184194677,0.29044117647058826
3,30,89592,1.4769963707242693,0.17410714285714285
3,4,89592,1.4290946977479118,0.5870535714285714
3,22,89592,1.772804475965954,0.4107142857142857
3,24,89592,2.0389164794575083,0.018465909090909092
3,17,89592,2.651453582864059,0.03125
3,43,89592,1.3114570379257202,0.5083333333333333
3,46,89592,1.3896291887058931,0.6415441176470589
3,5,89592,1.8984246935163225,0.12053571428571429
3,36,89592,1.6834980682893232,0.11363636363636363
3,18,89592,1.8076943335709748,0.16435185185185186
3,13,89592,1.5886608521143595,0.2520833333333333
3,9,89592,1.5312356519699097,0.215
3,41,89592,1.8925318360328673,0.09765625
3,48,89592,1.6732711175392414,0.4213362068965517
3,27,89592,2.3306087789864374,0.27370689655172414
3,1,89592,2.0063246326013044,0.078125
3,31,89592,1.2807203928629558,0.703125
3,47,89592,1.932202524609036,0.19270833333333334
3,44,89592,2.360201464758979,0.08680555555555555
3,25,89592,1.6704289754231771,0.12708333333333333
3,12,89592,1.386569538286754,0.5323660714285714
3,37,89592,1.3045343527427087,0.41346153846153844
3,34,89592,1.4043465852737427,0.5
3,35,89592,1.5133900801340738,0.1625
3,10,89592,1.2210863033930461,0.6354166666666666
3,33,89592,1.1998315188619826,0.5963541666666666
3,16,89592,3.9076380079442803,0.0
3,19,89592,1.6891438076573033,0.3689516129032258
3,49,89592,2.3094953039418096,0.33695652173913043
3,3,89592,2.155388131737709,0.3125
3,42,89592,1.6477070450782776,0.3489583333333333
3,23,89592,2.439426473208836,0.05580357142857143
3,15,89592,2.4772916390345645,0.08653846153846154
3,0,89592,2.124701189994812,0.09479166666666666
3,32,89592,1.681650459766388,0.3245192307692308
3,8,89592,1.3530616690130794,0.44669117647058826
3,28,89592,3.012792898261029,0.035326086956521736
3,21,89592,1.8463007865413543,0.5040322580645161
3,2,89592,1.738765375180678,0.17045454545454544
3,14,89592,0.7498519637367942,0.9573863636363636
3,29,89592,1.2617113282603603,0.6824596774193549
3,20,89592,1.7530843243002892,0.11328125
3,38,89592,1.3636575823738462,0.5178571428571429
3,6,89592,2.5116734925438378,0.44485294117647056
3,39,89592,1.1440531810124714,0.5372023809523809
3,11,89592,1.6782984104421403,0.3567708333333333
4,43,89592,0.9879247903823852,0.7895833333333333
4,44,89592,1.679540581173367,0.3125
4,20,89592,0.7265567146241665,0.927734375
4,4,89592,1.1327815651893616,0.6785714285714286
4,37,89592,1.1493694553008447,0.6778846153846154
4,17,89592,1.9274364207920276,0.41118421052631576
4,35,89592,1.0854793906211853,0.7375
4,26,89592,1.0291714800728693,0.7465277777777778
4,45,89592,1.1593699389033847,0.7378472222222222
4,28,89592,2.265273638393568,0.21739130434782608
4,39,89592,1.0912201007207234,0.6785714285714286
4,36,89592,1.103478729724884,0.7244318181818182
4,22,89592,1.5930461713245936,0.38095238095238093
4,6,89592,1.7940305471420288,0.5220588235294118
4,40,89592,1.0764395314104416,0.7352941176470589
4,3,89592,1.5024077395598094,0.625
4,12,89592,0.8463841868298394,0.8571428571428571
4,48,89592,1.443801345496342,0.5786637931034483
4,7,89592,1.7417584300041198,0.3
4,27,89592,2.0477876827634613,0.3620689655172414
4,11,89592,0.9531879954867892,0.7682291666666666
4,8,89592,1.1240074634552002,0.6911764705882353
4,14,89592,1.4821679483760486,0.375
4,31,89592,0.7130135099093119,0.90625
4,16,89592,3.153870625929399,0.04261363636363636
4,5,89592,0.8172853291034698,0.8370535714285714
4,24,89592,0.7326683104038239,0.8920454545454546
4,18,89592,0.9834883787013866,0.8009259259259259
4,29,89592,0.7956526933177825,0.8558467741935484
4,10,89592,1.3224623282750447,0.5645833333333333
4,2,89592,1.0115954632108861,0.7954545454545454
4,1,89592,1.4615907885811545,0.5071022727272727
4,49,89592,2.127804009810738,0.3138586956521739
4,46,89592,0.7800231961642995,0.8639705882352942
4,0,89592,1.6575262626012166,0.37083333333333335
4,30,89592,0.7749583806310382,0.9375
4,34,89592,1.0314660310745238,0.65
4,25,89592,0.7837711135546367,0.90625
4,47,89592,1.472186307112376,0.5138888888888888
4,19,89592,1.0065701046297628,0.7399193548387096
4,9,89592,0.8920886898040772,0.84
4,21,89592,1.3734423460498932,0.6612903225806451
4,15,89592,1.6781893418385432,0.6081730769230769
4,13,89592,1.0036659359931945,0.8197916666666667
4,23,89592,1.7154810088021415,0.31473214285714285
4,42,89592,0.9692200769980749,0.6875
4,38,89592,0.8193167476426988,0.8601190476190477
4,33,89592,1.1129359702269237,0.6866319444444444
4,41,89592,1.239779818058014,0.63359375
4,32,89592,0.9572150111198425,0.7259615384615384
5,30,89592,2.0548930849347795,0.19642857142857142
5,26,89592,1.8092499044206407,0.3229166666666667
5,16,89592,2.6277552517977627,0.0625
5,35,89592,1.004807205994924,0.7104166666666667
5,23,89592,0.7209709158965519,0.875
5,25,89592,1.9334683736165366,0.22708333333333333
5,45,89592,1.238772643937005,0.5920138888888888
5,47,89592,1.385967214902242,0.484375
5,3,89592,1.179700717329979,0.6588541666666666
5,2,89592,1.0900963138450275,0.6519886363636364
5,24,89592,0.8211134780536998,0.75
5,46,89592,0.5828363001346588,0.9264705882352942
5,22,89592,0.6354171548570905,0.9002976190476191
5,43,89592,0.8079353253046672,0.8083333333333333
5,1,89592,0.8652295849540017,0.765625
5,49,89592,1.4751379023427549,0.53125
5,11,89592,1.288827175895373,0.5737847222222222
5,12,89592,0.714584755046027,0.8448660714285714
5,28,89592,1.4471794522326926,0.5706521739130435
5,7,89592,0.7085966110229492,0.878125
5,44,89592,0.7318879961967468,0.8680555555555556
5,38,89592,0.5915456144582658,0.9077380952380952
5,36,89592,1.0996168499643153,0.6349431818181818
5,8,89592,1.621143284965964,0.4117647058823529
5,0,89592,1.187966815630595,0.5708333333333333
5,14,89592,0.7092175429517572,0.8522727272727273
5,29,89592,0.6421537380064687,0.8830645161290323
5,37,89592,0.7364756556657645,0.8341346153846154
5,18,89592,1.1714664697647095,0.6053240740740741
5,6,89592,1.5692539776072782,0.5110294117647058
5,32,89592,0.8423347358520215,0.7536057692307693
5,15,89592,2.55013762987577,0.014423076923076924
