Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,44,1,-1681331696.7415273,89592,1.057077169418335,0.6285860655737705
1,7,1,-1681331700.9495077,89592,1.2612210877239705,0.94375
1,31,1,-1681331700.555705,89592,1.6623786687850952,0.6302083333333334
1,30,1,-1681331700.3555493,89592,1.0841316775135372,0.6677989130434783
1,16,1,-1681331700.6633415,89592,0.8425408059205765,0.9262820512820513
1,28,1,-1681331700.5333805,89592,1.248628979548812,0.6829427083333334
1,1,1,-1681331699.41233,89592,1.1379664683006179,0.6487676056338029
1,0,1,-1681331699.1331332,89592,0.849124526105276,0.7240853658536586
1,17,1,-1681331700.341757,89592,1.3828335525333018,0.49818840579710144
1,6,1,-1681331700.8060586,89592,1.2608435849348705,0.7395833333333334
1,24,1,-1681331699.0170105,89592,0.7787514315254387,0.7546695402298851
1,13,1,-1681331700.5328624,89592,0.5184117757809766,0.9578804347826086
1,23,1,-1681331698.0507433,89592,0.6755276604765846,0.772429435483871
1,8,1,-1681331699.3559701,89592,1.296610187821918,0.5579861111111111
1,27,1,-1681331699.8982146,89592,1.3831547045936952,0.48197115384615385
1,36,1,-1681331699.3587503,89592,1.1768124888085911,0.5194978632478633
1,4,1,-1681331698.509783,89592,1.272809099110346,0.611359126984127
1,41,1,-1681331698.700188,89592,1.3949224255918486,0.4842479674796748
1,43,1,-1681331698.2563798,89592,0.9432056665812668,0.6833881578947368
1,40,1,-1681331699.0092213,89592,0.7145212878557768,0.7807765151515151
2,38,1,-1681331704.8256996,89592,0.6595123217386358,0.7941176470588235
2,16,1,-1681331701.67814,89592,0.3404168738768651,0.9286858974358975
2,10,1,-1681331703.3185678,89592,0.5806347373230704,0.7483836206896551
2,46,1,-1681331702.4936795,89592,0.6176605834625661,0.7666015625
2,28,1,-1681331703.7942786,89592,0.5957447811961174,0.7532552083333334
2,37,1,-1681331702.340317,89592,0.3676787235472404,0.8965669014084507
2,44,1,-1681331701.8669283,89592,0.5833811261614815,0.7628073770491803
2,19,1,-1681331702.7708993,89592,0.6945870270930141,0.754894578313253
2,13,1,-1681331701.0179644,89592,0.22020026201895182,0.9592391304347826
2,48,1,-1681331701.9356568,89592,0.3956292021659113,0.9133064516129032
2,27,1,-1681331702.6960392,89592,1.0187718959955068,0.6051682692307693
2,45,1,-1681331700.6774955,89592,0.4440359186874815,0.8475150602409639
2,42,1,-1681331701.5036695,89592,0.4797520666666653,0.8026494565217391
2,3,1,-1681331702.6111453,89592,0.7486168168006687,0.7560206422018348
2,5,1,-1681331701.1776392,89592,0.3132901116884474,0.8930495689655172
2,41,1,-1681331701.4322696,89592,0.9571361725892478,0.614329268292683
2,2,1,-1681331700.5688045,89592,0.48578903046918326,0.8671875
2,23,1,-1681331701.185698,89592,0.33253201992521364,0.8704637096774194
2,25,1,-1681331700.5262628,89592,0.5548028635217789,0.8295656028368794
2,32,1,-1681331700.8827784,89592,0.5587898785589447,0.7907130281690141
3,34,1,-1681331705.3233707,89592,0.6061977326869965,0.7479166666666667
3,30,1,-1681331704.2433033,89592,0.5514378648089326,0.7927989130434783
3,16,1,-1681331705.5330956,89592,0.30103292096501744,0.9270833333333334
3,38,1,-1681331709.2436395,89592,0.43305659995359536,0.8731617647058824
3,35,1,-1681331704.4895065,89592,0.4424491339340443,0.8528963414634146
3,15,1,-1681331705.5459313,89592,0.45953584648668766,0.846875
3,48,1,-1681331707.0423987,89592,0.34374547791817495,0.9017137096774194
3,37,1,-1681331703.6322236,89592,0.21603184460964,0.9348591549295775
3,0,1,-1681331705.0981672,89592,0.2957904506929037,0.9043445121951219
3,44,1,-1681331707.0884533,89592,0.473664892990081,0.8125
3,14,1,-1681331704.083546,89592,0.5458297697273461,0.7681587837837838
3,33,1,-1681331701.6617966,89592,0.44040547311306,0.8597222222222223
3,8,1,-1681331705.0142505,89592,0.7467573420868979,0.7125
3,23,1,-1681331702.279551,89592,0.23932844256201097,0.9165826612903226
3,43,1,-1681331702.528212,89592,0.3989271754398942,0.8694490131578947
3,41,1,-1681331704.276699,89592,0.7561055993646141,0.7225609756097561
3,12,1,-1681331703.2450407,89592,0.25861919414720785,0.9310844370860927
3,4,1,-1681331701.6617353,89592,0.5128907712087745,0.8373015873015873
3,40,1,-1681331704.0152245,89592,0.23336458065067278,0.9292140151515151
3,32,1,-1681331704.8254454,89592,0.33237357857361643,0.8939260563380281
4,26,1,-1681331711.7067547,89592,0.7586245238780975,0.6694711538461539
