Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,18,1,2.283004,1400,0.196337,0.998355
1,8,1,0.97271,1400,0.690817,0.891667
1,2,1,1.229253,1400,0.940252,0.808728
1,3,1,1.629331,1400,1.126045,0.545455
1,4,1,2.147642,1400,0.620916,0.873526
2,1,1,0.139149,1400,2.137079,0.755208
2,2,1,1.230977,1400,0.694044,0.825431
2,5,1,1.525958,1400,1.766143,0.387842
2,18,1,1.725403,1400,0.061371,1.0
2,11,1,2.136377,1400,0.326561,0.966964
3,17,1,0.925756,1400,0.908776,0.78561
3,18,1,1.706656,1400,0.049343,1.0
3,7,1,2.204526,1400,0.431883,0.940448
3,11,1,2.207695,1400,0.127656,0.985714
3,4,1,2.254873,1400,0.514703,0.89092
4,9,1,0.896712,1400,1.135306,0.683689
4,15,1,1.230496,1400,1.101668,0.614583
4,12,1,1.575723,1400,1.017529,0.645
4,3,1,1.653282,1400,0.894753,0.599432
4,7,1,2.12571,1400,0.257374,0.949292
