Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,15,1400,232,2.55465,0.0
1,19,1400,232,2.273512,0.0
1,17,1400,232,2.362202,0.0
1,12,1400,232,2.840714,0.022569
1,6,1400,232,2.947503,0.0
1,0,1400,232,2.550548,0.0
1,5,1400,232,2.636573,0.0
1,8,1400,232,1.3476,0.820312
1,14,1400,232,2.633894,0.0
1,4,1400,232,0.792544,0.826705
1,3,1400,232,1.54559,0.824074
1,2,1400,232,0.659812,0.798295
1,1,1400,232,2.225412,0.009375
1,11,1400,232,2.032401,0.5
1,10,1400,232,2.809698,0.002841
1,16,1400,232,2.999446,0.0
1,7,1400,232,0.957869,0.760417
1,18,1400,232,0.843821,0.463942
1,9,1400,232,2.853683,0.0125
1,13,1400,232,2.807793,0.0
2,5,1400,232,1.547364,0.546875
2,13,1400,232,2.364711,0.0
2,8,1400,232,0.665633,0.820312
2,18,1400,232,0.724603,0.766827
2,2,1400,232,0.372357,0.892045
2,9,1400,232,2.258253,0.004687
2,7,1400,232,0.835472,0.765625
2,15,1400,232,2.440477,0.0
2,10,1400,232,2.312088,0.0
2,3,1400,232,0.625931,0.824074
2,12,1400,232,2.47347,0.022569
2,1,1400,232,1.996134,0.328125
2,17,1400,232,2.430251,0.0
2,16,1400,232,1.357215,0.682292
2,19,1400,232,2.493542,0.0
2,4,1400,232,0.57922,0.821023
2,6,1400,232,2.540017,0.0
2,14,1400,232,2.589716,0.0
2,11,1400,232,0.532529,0.820652
2,0,1400,232,2.392701,0.0
3,5,1400,232,1.323316,0.53125
3,18,1400,232,0.614094,0.740385
3,2,1400,232,0.367631,0.857955
3,4,1400,232,0.504568,0.822443
3,12,1400,232,2.427405,0.020833
3,10,1400,232,2.473244,0.0
3,7,1400,232,0.784268,0.765625
3,15,1400,232,2.248364,0.0
3,8,1400,232,0.618686,0.820312
3,11,1400,232,0.514564,0.835598
3,6,1400,232,2.464066,0.0
3,9,1400,232,2.448886,0.004687
3,16,1400,232,0.933818,0.673611
3,13,1400,232,2.376733,0.0
3,17,1400,232,1.647115,0.244792
3,1,1400,232,1.347874,0.348438
3,19,1400,232,2.374186,0.0
3,14,1400,232,0.209279,0.951823
3,0,1400,232,2.381183,0.0
3,3,1400,232,0.554449,0.824074
4,5,1400,232,1.300262,0.53125
4,2,1400,232,0.587121,0.801136
4,15,1400,232,1.229905,0.46875
4,10,1400,232,2.285817,0.051136
4,17,1400,232,1.614969,0.329861
4,1,1400,232,1.549056,0.328125
4,7,1400,232,0.666179,0.78125
4,13,1400,232,2.425119,0.0
