Round,Cid,Selected,Total time,Size of parameters,Avg loss train,Avg accuracy train
1,7,1,1.030793,1400,1.116284,0.689338
1,2,1,0.969916,1400,0.848921,0.771307
1,18,1,1.190696,1400,1.188905,0.553819
1,8,1,1.375383,1400,0.91816,0.77877
1,4,1,1.92753,1400,0.69856,0.791319
1,3,1,2.248863,1400,0.70055,0.807292
2,5,1,0.42326,1400,1.846751,0.458882
2,2,1,0.986841,1400,0.485635,0.818182
2,18,1,1.170235,1400,0.826562,0.622685
2,16,1,1.610864,1400,1.152265,0.66875
2,1,1,1.757939,1400,1.469259,0.407407
2,11,1,1.923516,1400,0.827185,0.645041
3,7,1,1.178639,1400,0.782834,0.753064
3,18,1,1.246731,1400,0.684477,0.752894
3,17,1,1.646398,1400,1.752467,0.374578
3,4,1,1.97819,1400,0.554464,0.819444
3,11,1,2.012,1400,0.474607,0.804348
3,14,1,2.056093,1400,0.417506,0.950387
4,2,1,1.005357,1400,0.474712,0.837358
4,15,1,1.152966,1400,1.487364,0.441176
4,7,1,1.109997,1400,0.731789,0.770833
4,12,1,1.618249,1400,1.401576,0.578125
4,9,1,1.766301,1400,1.161201,0.719893
4,3,1,2.311352,1400,0.599705,0.822627
5,8,1,1.435866,1400,0.650798,0.819444
5,16,1,1.71158,1400,0.942765,0.70125
5,19,1,1.665464,1400,1.357229,0.437094
5,13,1,1.719988,1400,1.078198,0.510285
5,11,1,2.021588,1400,0.408787,0.856318
5,0,1,2.793756,1400,1.311458,0.493937
6,2,1,1.005834,1400,0.330283,0.900568
6,18,1,1.195409,1400,0.676124,0.821759
6,15,1,1.150773,1400,1.241561,0.511029
6,8,1,1.377646,1400,0.602134,0.823413
6,1,1,1.73443,1400,1.295882,0.484182
6,0,1,2.700118,1400,1.025081,0.605644
7,2,1,0.998241,1400,0.321852,0.890625
7,10,1,1.051583,1400,1.597511,0.433424
7,12,1,1.658863,1400,1.184055,0.636402
7,1,1,1.779263,1400,1.103841,0.594907
7,13,1,1.698738,1400,0.754981,0.653877
7,4,1,1.939307,1400,0.534318,0.818403
8,7,1,1.153604,1400,0.656441,0.820466
8,18,1,1.204603,1400,0.655888,0.835648
8,12,1,1.651298,1400,1.071307,0.667652
8,11,1,2.010867,1400,0.361269,0.889606
8,4,1,1.98381,1400,0.486693,0.819097
8,6,1,2.209877,1400,0.589065,0.868371
9,5,1,0.438016,1400,1.241201,0.608553
9,8,1,1.392103,1400,0.631085,0.824901
9,13,1,1.697343,1400,0.671698,0.748022
9,11,1,1.976744,1400,0.291011,0.901495
9,4,1,1.962961,1400,0.48848,0.830903
9,14,1,2.040917,1400,0.260145,0.951997
10,15,1,1.162304,1400,1.165941,0.545956
10,18,1,1.184029,1400,0.579076,0.859954
10,13,1,1.726062,1400,0.540309,0.799446
10,1,1,1.760445,1400,1.020165,0.64892
10,3,1,2.297097,1400,0.596183,0.822627
10,0,1,2.749884,1400,0.97887,0.639459
11,2,1,0.99186,1400,0.321154,0.902699
11,18,1,1.180288,1400,0.604311,0.852431
11,19,1,1.707869,1400,1.201636,0.480114
11,17,1,1.619436,1400,1.536629,0.444679
11,14,1,2.065665,1400,0.253195,0.95232
