Round,Cid,Size of parameters,Size of config,Loss,Accuracy
1,19,1400,232,2.298671,0.102679
1,15,1400,232,2.362155,0.0
1,17,1400,232,2.333375,0.007353
1,12,1400,232,2.533367,0.0
1,0,1400,232,2.330444,0.0
1,6,1400,232,2.140266,0.478516
1,11,1400,232,2.624842,0.0
1,3,1400,232,2.646215,0.335938
1,4,1400,232,1.950339,0.444444
1,9,1400,232,2.763782,0.0
1,14,1400,232,2.321351,0.0
1,10,1400,232,2.504307,0.0
1,13,1400,232,2.349602,0.0
1,18,1400,232,1.504273,0.520833
1,1,1400,232,2.505572,0.042279
1,8,1400,232,2.077184,0.266544
1,7,1400,232,2.016838,0.431548
1,2,1400,232,2.677611,0.363487
1,5,1400,232,2.436547,0.0
1,16,1400,232,2.593879,0.0
2,13,1400,232,2.255296,0.084821
2,19,1400,232,2.465969,0.004464
2,11,1400,232,1.52476,0.604167
2,8,1400,232,2.066695,0.238971
2,3,1400,232,1.911798,0.279297
2,9,1400,232,2.224901,0.108553
2,5,1400,232,0.81365,0.65483
2,12,1400,232,2.234102,0.142361
2,17,1400,232,2.28867,0.022059
2,18,1400,232,1.112882,0.616667
2,1,1400,232,1.635092,0.505515
2,15,1400,232,2.314665,0.223684
2,16,1400,232,0.985462,0.59375
2,4,1400,232,1.534462,0.395833
2,2,1400,232,1.672625,0.427632
2,0,1400,232,2.41953,0.019345
2,10,1400,232,2.349678,0.22875
2,6,1400,232,2.330419,0.003906
2,7,1400,232,1.799318,0.331845
2,14,1400,232,2.520643,0.0
3,19,1400,232,2.251614,0.227679
3,13,1400,232,2.294935,0.013393
3,18,1400,232,1.280922,0.547917
3,11,1400,232,1.165509,0.611979
3,17,1400,232,1.62409,0.450368
3,3,1400,232,1.651322,0.333984
3,8,1400,232,2.014779,0.215074
3,12,1400,232,2.345074,0.013889
3,5,1400,232,0.823908,0.65625
3,1,1400,232,1.597698,0.512868
3,14,1400,232,1.296822,0.353261
3,16,1400,232,1.027854,0.550595
3,0,1400,232,2.271415,0.144345
3,9,1400,232,2.372727,0.0
3,2,1400,232,1.701346,0.417763
3,15,1400,232,2.299927,0.075658
3,4,1400,232,1.421973,0.432292
3,7,1400,232,1.556254,0.5
3,10,1400,232,2.314054,0.41125
3,6,1400,232,2.340993,0.012695
4,13,1400,232,2.353158,0.0625
4,19,1400,232,2.277229,0.15625
4,2,1400,232,1.534647,0.496711
4,3,1400,232,1.490697,0.445312
4,12,1400,232,1.680186,0.333333
4,7,1400,232,1.303537,0.53125
4,11,1400,232,1.19326,0.609375
4,18,1400,232,1.176866,0.577083
4,1,1400,232,1.611465,0.507353
4,17,1400,232,1.653402,0.450368
4,9,1400,232,1.266305,0.567434
4,4,1400,232,1.425689,0.440972
4,5,1400,232,0.794821,0.65625
4,8,1400,232,1.974348,0.222426
4,0,1400,232,2.341467,0.0
4,15,1400,232,1.806191,0.154605
4,14,1400,232,1.325508,0.350543
4,16,1400,232,0.880077,0.556548
4,10,1400,232,2.322619,0.06375
4,6,1400,232,2.33619,0.03418
5,19,1400,232,1.61996,0.4375
5,11,1400,232,0.961944,0.729167
5,13,1400,232,1.428829,0.513393
5,18,1400,232,1.225119,0.525
5,3,1400,232,1.427277,0.451172
5,14,1400,232,1.320488,0.349185
5,15,1400,232,1.742511,0.235197
5,12,1400,232,1.693145,0.335069
5,1,1400,232,1.57393,0.505515
5,7,1400,232,1.359939,0.498512
5,2,1400,232,1.565573,0.4375
5,17,1400,232,1.671647,0.448529
5,8,1400,232,1.762241,0.391544
5,4,1400,232,1.535592,0.359375
5,5,1400,232,0.808135,0.653409
5,9,1400,232,1.264549,0.564145
5,0,1400,232,1.685017,0.334821
5,16,1400,232,1.181007,0.660714
5,10,1400,232,2.265914,0.0825
5,6,1400,232,2.403371,0.014648
6,19,1400,232,1.627237,0.4375
6,11,1400,232,0.997297,0.726562
6,13,1400,232,1.427653,0.522321
6,18,1400,232,1.073648,0.616667
6,8,1400,232,1.747394,0.380515
6,15,1400,232,1.657643,0.225329
6,3,1400,232,1.483452,0.439453
