Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.2961841177923739,0
1,0.0879166221911412,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.2997458500445633,0
2,0.3182837203557312,1
2,0.09610554419136076,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.3377685300899016,0
3,0.3045580924131016,1
3,0.27421874999999996,2
3,0.07574321694387484,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.31662861877705634,0
4,0.28686460997442453,1
4,0.3127061051693405,2
4,0.23125,3
4,0.09632326555023922,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.3227449367905057,0
5,0.32455554428210676,1
5,0.306661604859335,2
5,0.3705965909090909,3
5,0,4
5,0.11777935606060605,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.39745515046296304,0
6,0.26649574303405577,1
6,0.3260890151515151,2
6,0.2827085997442455,3
6,0.32670454545454547,4
6,0,5
6,0.07303503787878787,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.42477936480591305,0
7,0.4005387050653595,1
7,0.2798202614379085,2
7,0.393655303030303,3
7,0.2395220588235294,4
7,0.3210227272727273,5
7,0,6
7,0.11197916666666667,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.4038035751191122,0
8,0.41319022876794254,1
8,0.40914351851851855,2
8,0.2433823529411765,3
8,0.33902529761904765,4
8,0.2572610294117647,5
8,0.328125,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.39376846393331616,0
9,0.3898675237140311,1
9,0.4277651515151515,2
9,0.39340277777777777,3
9,0.24430147058823531,4
9,0.3300967261904762,5
9,0.3088235294117647,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.4451780902419447,0
10,0.3983998634038596,1
10,0.4002074314574315,2
10,0.3971946022727273,3
10,0,4
10,0.24650735294117648,5
10,0.29017857142857145,6
10,0.30330882352941174,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.36657347834967324,0
11,0.4648402777777777,1
11,0.421790172343641,2
11,0.5198863636363636,3
11,0.4147727272727273,4
11,0,5
11,0.22242647058823528,6
11,0.29017857142857145,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.39701997193805055,0
12,0.38379442401960784,1
12,0.499391447368421,2
12,0.32954545454545453,3
12,0.5271915584415584,4
12,0.4289772727272727,5
12,0,6
12,0,7
12,0.25892857142857145,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.5045834127892194,0
13,0.34920087826797386,1
13,0.3884267769607843,2
13,0.5402083333333333,3
13,0,4
13,0.41294642857142855,5
13,0.42613636363636365,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.5010218674920561,0
14,0.4549797789929369,1
14,0.35615808823529416,2
14,0.38070427389705885,3
14,0.57703125,4
14,0,5
14,0.4174107142857143,6
14,0.4289772727272727,7
14,0,8
14,0,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.45608706550802136,0
15,0.5372443181818182,1
15,0.4710996240601504,2
15,0.3958843954248366,3
15,0.36104217728758164,4
15,0,5
15,0,6
15,0.4375,7
15,0.4289772727272727,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.4662552904933904,0
16,0.45411532605466437,1
16,0.5752717391304348,2
16,0,3
16,0,4
16,0.3652445874183006,5
16,0,6
16,0,7
16,0.41294642857142855,8
16,0.42613636363636365,9
16,0,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.4391490560039806,0
17,0.4641680283224401,1
17,0.46353219696969694,2
17,0.5742630105401845,3
17,0,4
17,0,5
17,0.325,6
17,0,7
17,0,8
17,0.42410714285714285,9
17,0.42613636363636365,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.5091911764705882,0
18,0.43987678678927705,1
18,0.3993055555555556,2
18,0.4992013888888889,3
18,0.549898097826087,4
18,0,5
18,0,6
18,0.3145833333333333,7
18,0,8
18,0,9
18,0.4107142857142857,10
18,0,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.47312840413943347,0
19,0.5045454545454546,1
19,0.4452297448584697,2
19,0,3
19,0.6359375,4
19,0.543953804347826,5
19,0,6
19,0,7
19,0.3,8
19,0,9
19,0,10
19,0.4107142857142857,11
19,0,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.5307888669301714,0
20,0.4472140522875817,1
20,0.54765625,2
20,0.44482535612929375,3
20,0,4
20,0,5
20,0,6
20,0,7
20,0,8
20,0.30416666666666664,9
20,0,10
20,0,11
20,0.4174107142857143,12
20,0,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
